cfbDataWarehouse,allAmer,sos,espn,rivals
Air Force (CO),Air Force,Air Force,Air Force,Air Force
Akron (OH),Akron,Akron,Akron,Akron
Alabama,Alabama,Alabama,Alabama,Alabama
Alabama-Birmingham,UAB,UAB,UAB,UAB
Arizona,Arizona,Arizona,Arizona,Arizona
Arizona St.,Arizona State,Arizona State,Arizona State,Arizona State
Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
Arkansas St.,,Arkansas State,Arkansas State,Arkansas State
Army (NY),Army,Army,Army,Army
Auburn (AL),Auburn,Auburn,Auburn,Auburn
Ball St. (IN),Ball State,Ball State,Ball State,Ball State
Baylor (TX),Baylor,Baylor,Baylor,Baylor
Boise St. (ID),Boise State,Boise State,Boise State,Boise State
Boston College (MA),Boston College,Boston College,Boston College,Boston College
Bowling Green (OH),Bowling Green,Bowling Green,Bowling Green,Bowling Green
Brigham Young (UT),Brigham Young,Brigham Young,Brigham Young,Brigham Young
Buffalo (NY),Buffalo,Buffalo,Buffalo,Buffalo
California,California,California,California,California
Central Florida,Central Florida,Central Florida,UCF,UCF
Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan
Cincinnati (OH),Cincinnati,Cincinnati,Cincinnati,Cincinnati
Clemson (SC),Clemson,Clemson,Clemson,Clemson
Colorado,Colorado,Colorado,Colorado,Colorado
Colorado St.,Colorado State,Colorado State,Colorado State,Colorado State
Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
Duke (NC),Duke,Duke,Duke,Duke
East Carolina (NC),East Carolina,East Carolina,East Carolina,East Carolina
Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan
Florida,Florida,Florida,Florida,Florida
Florida Atlantic,,Florida Atlantic,Florida Atlantic,Florida Atlantic
Florida International,,Fla. International,Florida International,FIU
Florida St.,Florida State,Florida State,Florida State,Florida State
Fresno St. (CA),Fresno State,Fresno State,Fresno State,Fresno State
Georgia,Georgia,Georgia,Georgia,Georgia
Georgia St.,,Georgia State,Georgia State,
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech
Hawaii,Hawaii,Hawaii,Hawaii,Hawaii
Houston (TX),Houston,Houston,Houston,Houston
Idaho,Idaho,Idaho,Idaho,Idaho
Illinois,Illinois,Illinois,Illinois,Illinois
Indiana,Indiana,Indiana,Indiana,Indiana
Iowa,Iowa,Iowa,Iowa,Iowa
Iowa St.,Iowa State,Iowa State,Iowa State,Iowa State
Kansas,Kansas,Kansas,Kansas,Kansas
Kansas St.,Kansas State,Kansas State,Kansas State,Kansas State
Kent St. (OH),,Kent State,Kent State,Kent State
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
Louisiana-Lafayette,,Louisiana-Lafayette,Louisiana-Lafayette,Louisiana-Lafayette
Louisiana-Monroe,,Louisiana-Monroe,Louisiana-Monroe,Louisiana-Monroe
Louisiana St.,LSU,LSU,LSU,LSU
Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech
Louisville (KY),Louisville,Louisville,Louisville,Louisville
Marshall (WV),Marshall,Marshall,Marshall,Marshall
Maryland,Maryland,Maryland,Maryland,Maryland
Massachusetts,,Massachusetts,Massachusetts,Massachusetts
Memphis (TN),Memphis,Memphis,Memphis,Memphis
Miami (FL),Miami,Miami-Florida,Miami (FL),Miami (FL)
Miami (OH),Miami OH,Miami-Ohio,Miami (OH),Miami (OH)
Michigan,Michigan,Michigan,Michigan,Michigan
Michigan St.,Michigan State,Michigan State,Michigan State,Michigan State
Middle Tennessee St.,,Middle Tennessee,Middle Tennessee,Middle Tennessee
Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
Mississippi,Mississippi,Mississippi,Mississippi,Mississippi
Mississippi St.,Mississippi State,Mississippi State,Mississippi State,Mississippi State
Missouri,Missouri,Missouri,Missouri,Missouri
Navy (MD),Navy,Navy,Navy,Navy
Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
Nevada,Nevada,Nevada,Nevada,Nevada
Nevada-Las Vegas,UNLV,UNLV,UNLV,UNLV
New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
New Mexico St.,,New Mexico State,New Mexico State,New Mexico State
North Carolina,North Carolina,North Carolina,North Carolina,North Carolina
North Carolina St.,North Carolina State,No. Carolina State,North Carolina State,North Carolina State
North Texas,North Texas,North Texas,North Texas,North Texas
Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois
Northwestern (IL),Northwestern,Northwestern,Northwestern,Northwestern
Notre Dame (IN),Notre Dame,Notre Dame,Notre Dame,Notre Dame
Ohio,Ohio,Ohio,Ohio,Ohio
Ohio St.,Ohio State,Ohio State,Ohio State,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
Oklahoma St.,Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State
Oregon,Oregon,Oregon,Oregon,Oregon
Oregon St.,Oregon State,Oregon State,Oregon State,Oregon State
Penn St.,Penn State,Penn State,Penn State,Penn State
Pittsburgh (PA),Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
Purdue (IN),Purdue,Purdue,Purdue,Purdue
Rice (TX),Rice,Rice,Rice,Rice
