"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1911" "6" "Paragould HS (AR)" "11" "?" "" 0 0 1911 "Arkansas St."
"W" "00-00-1911" "6" "Paragould HS (AR)" "0" "?" "" 0 0 1911 "Arkansas St."
"L" "10-26-1912" "6" "Christian Brothers (TN)" "20" "Jonesboro, AR" "" 10 26 1912 "Arkansas St."
"W" "00-00-1912" "7" "Paragould HS (AR)" "0" "Jonesboro, AR" "" 0 0 1912 "Arkansas St."
"W" "11-15-1912" "6" "Corning HS (AR)" "0" "?" "" 11 15 1912 "Arkansas St."
"W" "11-28-1912" "20" "Paragould HS (AR)" "0" "Jonesboro, AR" "" 11 28 1912 "Arkansas St."
"W" "10-01-1913" "12" "Arkansas College" "0" "Batesville, AR" "" 10 1 1913 "Arkansas St."
"W" "10-04-1913" "85" "Corning HS (AR)" "0" "Jonesboro, AR" "" 10 4 1913 "Arkansas St."
"T" "10-11-1913" "0" "Christian Brothers (TN)" "0" "Memphis, TN" "" 10 11 1913 "Arkansas St."
"W" "10-17-1913" "69" "Arkansas College" "0" "Jonesboro, AR" "" 10 17 1913 "Arkansas St."
"L" "10-25-1913" "0" "Hendrix (AR)" "32" "Jonesboro, AR" "" 10 25 1913 "Arkansas St."
"W" "11-01-1913" "21" "Memphis University School (TN)" "0" "Jonesboro, AR" "" 11 1 1913 "Arkansas St."
"L" "11-14-1913" "0" "Memphis Central HS (TN)" "7" "Memphis, TN" "" 11 14 1913 "Arkansas St."
"W" "11-27-1913" "67" "Memphis All-Stars (TN)" "0" "Jonesboro, AR" "" 11 27 1913 "Arkansas St."
"W" "09-26-1914" "63" "Bolton College (TN)" "0" "Jonesboro, AR" "" 9 26 1914 "Arkansas St."
"L" "10-07-1914" "0" "Mississippi" "20" "Oxford, MS" "" 10 7 1914 "Arkansas St."
"W" "10-14-1914" "7" "Henderson St. (AR)" "0" "Arkadelphia, AR" "" 10 14 1914 "Arkansas St."
