"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "02-20-1892" "10" "Georgia" "0" "Atlanta, GA" "" 2 20 1892 "Auburn (AL)"
"L" "11-22-1892" "6" "Duke (NC)" "34" "Atlanta, GA" "" 11 22 1892 "Auburn (AL)"
"L" "11-23-1892" "0" "North Carolina" "64" "Atlanta, GA" "" 11 23 1892 "Auburn (AL)"
"W" "11-25-1892" "26" "Georgia Tech" "0" "Atlanta, GA" "" 11 25 1892 "Auburn (AL)"
"W" "02-22-1893" "32" "Alabama" "22" "Birmingham, AL" "" 2 22 1893 "Auburn (AL)"
"W" "11-06-1893" "30" "Vanderbilt (TN)" "10" "Montgomery, AL" "" 11 6 1893 "Auburn (AL)"
"T" "11-18-1893" "14" "Sewanee (TN)" "14" "Atlanta, GA" "Piedmont Park" 11 18 1893 "Auburn (AL)"
"W" "11-30-1893" "40" "Alabama" "16" "Montgomery, AL" "" 11 30 1893 "Auburn (AL)"
"T" "12-07-1893" "0" "Georgia Tech" "0" "Atlanta, GA" "" 12 7 1893 "Auburn (AL)"
"L" "11-04-1894" "4" "Vanderbilt (TN)" "20" "Montgomery, AL" "" 11 4 1894 "Auburn (AL)"
"W" "11-17-1894" "94" "Georgia Tech" "0" "Atlanta, GA" "" 11 17 1894 "Auburn (AL)"
"L" "11-24-1894" "8" "Georgia" "10" "Atlanta, GA" "" 11 24 1894 "Auburn (AL)"
"L" "11-29-1894" "0" "Alabama" "18" "Montgomery, AL" "" 11 29 1894 "Auburn (AL)"
"L" "11-09-1895" "6" "Vanderbilt (TN)" "9" "Nashville, TN" "" 11 9 1895 "Auburn (AL)"
"W" "11-23-1895" "48" "Alabama" "0" "Tuscaloosa, AL" "" 11 23 1895 "Auburn (AL)"
"W" "11-28-1895" "16" "Georgia" "6" "Atlanta, GA" "" 11 28 1895 "Auburn (AL)"
"W" "10-06-1896" "46" "Mercer (GA)" "0" "Macon, GA" "" 10 6 1896 "Auburn (AL)"
"W" "11-07-1896" "45" "Georgia Tech" "0" "Auburn, AL" "" 11 7 1896 "Auburn (AL)"
"W" "11-16-1896" "38" "Sewanee (TN)" "6" "Montgomery, AL" "" 11 16 1896 "Auburn (AL)"
"L" "11-26-1896" "6" "Georgia" "12" "Atlanta, GA" "" 11 26 1896 "Auburn (AL)"
"W" "10-23-1897" "26" "Mercer (GA)" "0" "Macon, GA" "" 10 23 1897 "Auburn (AL)"
"W" "10-29-1897" "14" "Nashville (TN)" "4" "Nashville, TN" "" 10 29 1897 "Auburn (AL)"
"T" "10-30-1897" "0" "Sewanee (TN)" "0" "Sewanee, TN" "" 10 30 1897 "Auburn (AL)"
"W" "11-05-1898" "29" "Georgia Tech" "6" "Auburn, AL" "" 11 5 1898 "Auburn (AL)"
"L" "11-14-1898" "0" "North Carolina" "24" "Auburn, AL" "" 11 14 1898 "Auburn (AL)"
"W" "11-24-1898" "18" "Georgia" "17" "Atlanta, GA" "" 11 24 1898 "Auburn (AL)"
"W" "10-14-1899" "63" "Georgia Tech" "0" "Auburn, AL" "" 10 14 1899 "Auburn (AL)"
"W" "10-21-1899" "41" "Montgomery AC (AL)" "0" "Auburn, AL" "" 10 21 1899 "Auburn (AL)"
"W" "10-28-1899" "34" "Clemson (SC)" "0" "Auburn, AL" "" 10 28 1899 "Auburn (AL)"
"T" "11-18-1899" "0" "Georgia" "0" "Atlanta, GA" "" 11 18 1899 "Auburn (AL)"
"L" "11-30-1899" "10" "Sewanee (TN)" "11" "Montgomery, AL" "" 11 30 1899 "Auburn (AL)"
"W" "10-22-1900" "28" "Nashville (TN)" "0" "Auburn, AL" "" 10 22 1900 "Auburn (AL)"
"W" "11-10-1900" "23" "Tennessee" "0" "Birmingham, AL" "" 11 10 1900 "Auburn (AL)"
"W" "11-17-1900" "53" "Alabama" "5" "Montgomery, AL" "" 11 17 1900 "Auburn (AL)"
"W" "11-30-1900" "44" "Georgia" "0" "Atlanta, GA" "" 11 30 1900 "Auburn (AL)"
"L" "10-19-1901" "5" "Nashville (TN)" "23" "Birmingham, AL" "" 10 19 1901 "Auburn (AL)"
"L" "10-26-1901" "0" "Vanderbilt (TN)" "41" "Montgomery, AL" "" 10 26 1901 "Auburn (AL)"
"L" "11-04-1901" "0" "North Carolina" "10" "Auburn, AL" "" 11 4 1901 "Auburn (AL)"
"W" "11-15-1901" "17" "Alabama" "0" "Tuscaloosa, AL" "" 11 15 1901 "Auburn (AL)"
"W" "11-20-1901" "28" "Louisiana St." "0" "Baton Rouge, LA" "" 11 20 1901 "Auburn (AL)"
"T" "11-29-1901" "0" "Georgia" "0" "Atlanta, GA" "" 11 29 1901 "Auburn (AL)"
"W" "10-11-1902" "18" "Georgia Tech" "6" "Atlanta, GA" "" 10 11 1902 "Auburn (AL)"
"W" "10-18-1902" "23" "Alabama" "0" "Birmingham, AL" "" 10 18 1902 "Auburn (AL)"
"T" "10-25-1902" "0" "Tulane (LA)" "0" "New Orleans, LA" "" 10 25 1902 "Auburn (AL)"
"L" "10-27-1902" "0" "Louisiana St." "5" "Baton Rouge, LA" "" 10 27 1902 "Auburn (AL)"
"L" "11-06-1902" "0" "Sewanee (TN)" "6" "Birmingham, AL" "" 11 6 1902 "Auburn (AL)"
