"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-20-1893" "4" "Saint John's Literary Institute (MA)" "0" "Cambridge, MA" "" 10 20 1893 "Boston College (MA)"
"L" "10-26-1893" "0" "MIT Freshmen (MA)" "6" "Cambridge, MA" "" 10 26 1893 "Boston College (MA)"
"W" "10-27-1893" "10" "Somerville HS (MA)" "6" "Somerville, MA" "" 10 27 1893 "Boston College (MA)"
"L" "11-01-1893" "0" "Newton HS (MA)" "10" "Newton, MA" "" 11 1 1893 "Boston College (MA)"
"W" "11-24-1893" "10" "Boston (MA)" "6" "Boston, MA" "" 11 24 1893 "Boston College (MA)"
"L" "00-00-1894" "0" "Saint Anselm (NH)" "22" "Manchester, NH" "This game is probably a duplicate" 0 0 1894 "Boston College (MA)"
"L" "10-20-1894" "0" "Saint Anselm (NH)" "16" "Manchester, NH" "Varick Park" 10 20 1894 "Boston College (MA)"
"L" "10-31-1894" "0" "Phillips Andover Academy (MA)" "32" "Andover, MA" "" 10 31 1894 "Boston College (MA)"
"W" "11-02-1894" "16" "Marlboro AC (VT)" "0" "Marlboro, VT" "" 11 2 1894 "Boston College (MA)"
"L" "11-03-1894" "0" "Whitman AC (MA)" "6" "Whitman, MA" "" 11 3 1894 "Boston College (MA)"
"L" "11-17-1894" "4" "Brockton YMCA (MA)" "12" "Brockton, MA" "" 11 17 1894 "Boston College (MA)"
"L" "11-30-1894" "0" "Boston (MA)" "28" "Boston, MA" "" 11 30 1894 "Boston College (MA)"
"L" "10-02-1895" "0" "Phillips Andover Academy (MA)" "22" "Andover, MA" "" 10 2 1895 "Boston College (MA)"
"L" "10-05-1895" "10" "Campello AA (MA)" "28" "Brockton, MA" "" 10 5 1895 "Boston College (MA)"
"L" "10-09-1895" "0" "Tufts (MA)" "28" "Medford, MA" "" 10 9 1895 "Boston College (MA)"
"T" "10-26-1895" "6" "Hyde Park AA (MA)" "6" "Boston, MA" "" 10 26 1895 "Boston College (MA)"
