"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1894" "6" "Hobart (NY)" "12" "Buffalo, NY" "" 0 0 1894 "Buffalo (NY)"
"T" "00-00-1894" "0" "Rochester (NY)" "0" "Rochester, NY" "" 0 0 1894 "Buffalo (NY)"
"L" "00-00-1895" "4" "Rochester (NY)" "6" "?" "" 0 0 1895 "Buffalo (NY)"
"T" "00-00-1895" "6" "Rochester (NY)" "6" "?" "" 0 0 1895 "Buffalo (NY)"
"W" "11-16-1895" "30" "Lancaster AC (NY)" "0" "Buffalo, NY" "" 11 16 1895 "Buffalo (NY)"
"W" "09-26-1896" "20" "Tonawanda Independents (NY)" "0" "Buffalo, NY" "" 9 26 1896 "Buffalo (NY)"
"W" "10-07-1896" "18" "Company C, National Guard (PA)" "0" "Bradford, PA" "Buffalo won - score unknown" 10 7 1896 "Buffalo (NY)"
"W" "10-10-1896" "62" "Rochester (NY)" "6" "Buffalo, NY" "" 10 10 1896 "Buffalo (NY)"
"W" "10-14-1896" "30" "Buffalo HS (NY)" "0" "Buffalo, NY" "" 10 14 1896 "Buffalo (NY)"
"W" "10-17-1896" "18" "Elmira AA (NY)" "0" "Buffalo, NY" "" 10 17 1896 "Buffalo (NY)"
"W" "10-24-1896" "16" "Lancaster AC (NY)" "4" "Buffalo, NY" "" 10 24 1896 "Buffalo (NY)"
"W" "10-31-1896" "6" "Saint Bonaventure (NY)" "4" "Buffalo, NY" "" 10 31 1896 "Buffalo (NY)"
"W" "11-03-1896" "22" "Saint John's Military Academy (NY)" "5" "Buffalo, NY" "" 11 3 1896 "Buffalo (NY)"
"T" "11-07-1896" "6" "Syracuse (NY)" "6" "Buffalo, NY" "" 11 7 1896 "Buffalo (NY)"
"T" "11-26-1896" "6" "Hobart (NY)" "6" "Buffalo, NY" "" 11 26 1896 "Buffalo (NY)"
"L" "00-00-1896" "6" "Lancaster AC (NY)" "10" "Buffalo, NY" "" 0 0 1896 "Buffalo (NY)"
"W" "10-02-1897" "18" "Buffalo All-Stars (NY)" "0" "Buffalo, NY" "" 10 2 1897 "Buffalo (NY)"
"W" "10-09-1897" "16" "Hamilton (NY)" "6" "Buffalo, NY" "" 10 9 1897 "Buffalo (NY)"
"W" "10-16-1897" "32" "Niagara (NY)" "0" "Niagara Falls, NY" "" 10 16 1897 "Buffalo (NY)"
"W" "10-20-1897" "26" "Union (NY)" "0" "Buffalo, NY" "" 10 20 1897 "Buffalo (NY)"
"W" "10-23-1897" "16" "Western Reserve (OH)" "6" "Buffalo, NY" "" 10 23 1897 "Buffalo (NY)"
"W" "11-06-1897" "16" "Syracuse (NY)" "0" "Buffalo, NY" "" 11 6 1897 "Buffalo (NY)"
"W" "11-13-1897" "10" "Syracuse (NY)" "0" "Syracuse, NY" "" 11 13 1897 "Buffalo (NY)"
"W" "11-25-1897" "28" "Hobart (NY)" "0" "Buffalo, NY" "" 11 25 1897 "Buffalo (NY)"
"W" "10-01-1898" "29" "Towanda AA (PA)" "0" "Towanda, PA" "" 10 1 1898 "Buffalo (NY)"
"W" "10-08-1898" "12" "Rensselaer Tech (NY)" "5" "Buffalo, NY" "" 10 8 1898 "Buffalo (NY)"
"L" "10-15-1898" "0" "Cornell (NY)" "27" "Ithaca, NY" "" 10 15 1898 "Buffalo (NY)"
"W" "10-22-1898" "23" "Company C, National Guard (PA)" "0" "Bradford, PA" "" 10 22 1898 "Buffalo (NY)"
"W" "10-29-1898" "29" "Case Institute of Technology (OH)" "0" "Buffalo, NY" "" 10 29 1898 "Buffalo (NY)"
"W" "11-08-1898" "23" "Colgate (NY)" "0" "Buffalo, NY" "" 11 8 1898 "Buffalo (NY)"
"W" "11-12-1898" "28" "Company C, National Guard (PA)" "0" "Buffalo, NY" "" 11 12 1898 "Buffalo (NY)"
"W" "11-19-1898" "34" "Cornell JV (NY)" "0" "Buffalo, NY" "" 11 19 1898 "Buffalo (NY)"
"W" "11-24-1898" "36" "Bucknell (PA)" "5" "Buffalo, NY" "" 11 24 1898 "Buffalo (NY)"
"W" "10-14-1899" "6" "Rochester (NY)" "0" "Buffalo, NY" "" 10 14 1899 "Buffalo (NY)"
"W" "10-21-1899" "18" "Case Institute of Technology (OH)" "0" "Buffalo, NY" "" 10 21 1899 "Buffalo (NY)"
"L" "10-28-1899" "5" "Duquesne AC (PA)" "52" "Pittsburgh, PA" "" 10 28 1899 "Buffalo (NY)"
"W" "11-04-1899" "16" "Syracuse (NY)" "0" "Syracuse, NY" "" 11 4 1899 "Buffalo (NY)"
"W" "11-07-1899" "51" "Hobart (NY)" "0" "Geneva, NY" "" 11 7 1899 "Buffalo (NY)"
"W" "11-11-1899" "46" "Erie AC (PA)" "0" "Buffalo, NY" "" 11 11 1899 "Buffalo (NY)"
"W" "11-18-1899" "5" "Western Reserve (OH)" "0" "Cleveland, OH" "" 11 18 1899 "Buffalo (NY)"
"W" "11-30-1899" "30" "Bucknell (PA)" "0" "Buffalo, NY" "" 11 30 1899 "Buffalo (NY)"
"W" "10-06-1900" "6" "Tonawanda Independents (NY)" "0" "North Tonawanda, NY" "" 10 6 1900 "Buffalo (NY)"
"W" "10-13-1900" "12" "Syracuse AA (NY)" "0" "Buffalo, NY" "" 10 13 1900 "Buffalo (NY)"
"T" "10-27-1900" "0" "Case Institute of Technology (OH)" "0" "Cleveland, OH" "" 10 27 1900 "Buffalo (NY)"
"L" "11-02-1900" "0" "Elmira AA (NY)" "15" "Elmira, NY" "" 11 2 1900 "Buffalo (NY)"
"L" "11-10-1900" "0" "Columbia (NY)" "17" "Buffalo, NY" "" 11 10 1900 "Buffalo (NY)"
"T" "11-17-1900" "0" "Western Reserve (OH)" "0" "Buffalo, NY" "" 11 17 1900 "Buffalo (NY)"
"W" "11-29-1900" "10" "Penn St." "0" "Buffalo, NY" "" 11 29 1900 "Buffalo (NY)"
"W" "09-28-1901" "5" "Columbia (NY)" "0" "Buffalo, NY" "" 9 28 1901 "Buffalo (NY)"
"W" "10-05-1901" "16" "Lehigh (PA)" "0" "Buffalo, NY" "" 10 5 1901 "Buffalo (NY)"
"W" "10-12-1901" "6" "Case Institute of Technology (OH)" "0" "Buffalo, NY" "" 10 12 1901 "Buffalo (NY)"
"W" "10-17-1901" "5" "Oberlin (OH)" "0" "Buffalo, NY" "" 10 17 1901 "Buffalo (NY)"
"L" "10-26-1901" "0" "Michigan" "128" "Ann Arbor, MI" "" 10 26 1901 "Buffalo (NY)"
"L" "11-09-1901" "6" "Western Reserve (OH)" "17" "Cleveland, OH" "" 11 9 1901 "Buffalo (NY)"
"W" "09-27-1902" "6" "Buffalo Masten Park HS (NY)" "0" "Buffalo, NY" "" 9 27 1902 "Buffalo (NY)"
"L" "10-04-1902" "0" "Bucknell (PA)" "29" "Buffalo, NY" "" 10 4 1902 "Buffalo (NY)"
"L" "10-11-1902" "0" "Columbia (NY)" "5" "New York, NY" "" 10 11 1902 "Buffalo (NY)"
"T" "10-18-1902" "0" "Hobart (NY)" "0" "Buffalo, NY" "" 10 18 1902 "Buffalo (NY)"
"L" "10-25-1902" "0" "Western Reserve (OH)" "22" "Cleveland, OH" "" 10 25 1902 "Buffalo (NY)"
"W" "11-08-1902" "6" "Rochester (NY)" "0" "Buffalo, NY" "" 11 8 1902 "Buffalo (NY)"
"L" "11-11-1902" "0" "Alfred (NY)" "12" "Alfred, NY" "" 11 11 1902 "Buffalo (NY)"
"W" "11-21-1902" "28" "Niagara (NY)" "0" "Buffalo, NY" "" 11 21 1902 "Buffalo (NY)"
"L" "11-27-1902" "6" "Buffalo Oakdales (NY)" "10" "Buffalo, NY" "" 11 27 1902 "Buffalo (NY)"
"W" "10-03-1903" "14" "Westminster (PA)" "0" "Buffalo, NY" "" 10 3 1903 "Buffalo (NY)"
"W" "10-10-1903" "10" "Buffalo Masten Park HS (NY)" "0" "Buffalo, NY" "" 10 10 1903 "Buffalo (NY)"
"W" "10-17-1903" "17" "Niagara (NY)" "6" "Lewiston, NY" "" 10 17 1903 "Buffalo (NY)"
"L" "10-31-1903" "0" "Allegheny (PA)" "23" "Meadville, PA" "" 10 31 1903 "Buffalo (NY)"
"L" "11-03-1903" "0" "Hobart (NY)" "12" "Buffalo, NY" "" 11 3 1903 "Buffalo (NY)"
"L" "11-07-1903" "0" "Rochester (NY)" "47" "Rochester, NY" "" 11 7 1903 "Buffalo (NY)"
"W" "11-14-1903" "10" "Niagara (NY)" "8" "Buffalo, NY" "" 11 14 1903 "Buffalo (NY)"
"L" "00-00-1903" "0" "Buffalo Oakdales (NY)" "33" "?" "" 0 0 1903 "Buffalo (NY)"
"W" "10-16-1915" "6" "Saint Bonaventure (NY)" "0" "Buffalo, NY" "" 10 16 1915 "Buffalo (NY)"
"W" "10-27-1915" "6" "Alfred (NY)" "0" "Alfred, NY" "" 10 27 1915 "Buffalo (NY)"
"W" "11-02-1915" "21" "Thiel (PA)" "0" "Buffalo, NY" "" 11 2 1915 "Buffalo (NY)"
"L" "11-06-1915" "0" "Geneva (PA)" "29" "Buffalo, NY" "" 11 6 1915 "Buffalo (NY)"
"L" "11-13-1915" "7" "Grove City (PA)" "10" "Buffalo, NY" "" 11 13 1915 "Buffalo (NY)"
"W" "11-20-1915" "7" "Rochester (NY)" "3" "Rochester, NY" "" 11 20 1915 "Buffalo (NY)"
"L" "11-25-1915" "6" "Hobart (NY)" "20" "Buffalo, NY" "" 11 25 1915 "Buffalo (NY)"
"L" "10-07-1916" "0" "Allegheny (PA)" "29" "Meadville, PA" "" 10 7 1916 "Buffalo (NY)"
"W" "10-14-1916" "9" "Thiel (PA)" "7" "Buffalo, NY" "" 10 14 1916 "Buffalo (NY)"
"L" "10-21-1916" "2" "Rochester (NY)" "14" "Rochester, NY" "" 10 21 1916 "Buffalo (NY)"
"L" "10-28-1916" "0" "Geneva (PA)" "7" "Beaver Falls, PA" "" 10 28 1916 "Buffalo (NY)"
"T" "11-04-1916" "0" "Grove City (PA)" "0" "Buffalo, NY" "" 11 4 1916 "Buffalo (NY)"
"L" "11-07-1916" "0" "Saint Bonaventure (NY)" "12" "Buffalo, NY" "" 11 7 1916 "Buffalo (NY)"
"L" "11-11-1916" "0" "Hamilton (NY)" "19" "Clinton, NY" "" 11 11 1916 "Buffalo (NY)"
"W" "11-18-1916" "7" "Westminster (PA)" "0" "New Wilmington, PA" "" 11 18 1916 "Buffalo (NY)"
"T" "11-25-1916" "0" "Detroit (MI)" "0" "Buffalo, NY" "" 11 25 1916 "Buffalo (NY)"
"W" "11-30-1916" "6" "Hobart (NY)" "0" "Buffalo, NY" "" 11 30 1916 "Buffalo (NY)"
"W" "10-13-1917" "12" "Mansfield (PA)" "6" "Buffalo, NY" "" 10 13 1917 "Buffalo (NY)"
"W" "10-20-1917" "28" "Rochester (NY)" "0" "Rochester, NY" "" 10 20 1917 "Buffalo (NY)"
"L" "10-27-1917" "6" "Saint Bonaventure (NY)" "13" "Buffalo, NY" "" 10 27 1917 "Buffalo (NY)"
"L" "11-06-1917" "0" "Westminster (PA)" "7" "Buffalo, NY" "" 11 6 1917 "Buffalo (NY)"
"L" "11-10-1917" "0" "Hamilton (NY)" "6" "Buffalo, NY" "" 11 10 1917 "Buffalo (NY)"
"W" "11-17-1917" "27" "Thiel (PA)" "7" "Buffalo, NY" "" 11 17 1917 "Buffalo (NY)"
"L" "11-24-1917" "7" "Detroit (MI)" "20" "Detroit, MI" "" 11 24 1917 "Buffalo (NY)"
"W" "11-29-1917" "45" "Hobart (NY)" "0" "Buffalo, NY" "" 11 29 1917 "Buffalo (NY)"
"W" "10-12-1918" "6" "Curtiss Aeroplane Plant" "0" "Buffalo, NY" "" 10 12 1918 "Buffalo (NY)"
"W" "10-19-1918" "40" "Buffalo Navy (NY)" "0" "Buffalo, NY" "" 10 19 1918 "Buffalo (NY)"
"W" "11-02-1918" "41" "Niagara (NY)" "0" "Buffalo, NY" "" 11 2 1918 "Buffalo (NY)"
"W" "00-00-1918" "47" "Buffalo Navy (NY)" "6" "?" "" 0 0 1918 "Buffalo (NY)"
"W" "11-09-1918" "19" "Rochester (NY)" "6" "Buffalo, NY" "" 11 9 1918 "Buffalo (NY)"
"L" "00-00-1918" "0" "Cornell JV (NY)" "28" "?" "" 0 0 1918 "Buffalo (NY)"
"W" "11-16-1918" "81" "Hobart (NY)" "0" "Buffalo, NY" "" 11 16 1918 "Buffalo (NY)"
"L" "10-18-1919" "0" "Saint Lawrence (NY)" "23" "Buffalo, NY" "" 10 18 1919 "Buffalo (NY)"
"L" "10-25-1919" "6" "Hobart (NY)" "21" "Buffalo, NY" "" 10 25 1919 "Buffalo (NY)"
"L" "11-01-1919" "0" "Rochester (NY)" "33" "Rochester, NY" "" 11 1 1919 "Buffalo (NY)"
"L" "11-08-1919" "0" "Westminster (PA)" "6" "Buffalo, NY" "" 11 8 1919 "Buffalo (NY)"
"T" "11-15-1919" "6" "Saint Bonaventure (NY)" "6" "Buffalo, NY" "" 11 15 1919 "Buffalo (NY)"
"L" "11-22-1919" "0" "Detroit (MI)" "25" "Buffalo, NY" "" 11 22 1919 "Buffalo (NY)"
"L" "10-09-1920" "0" "Thiel (PA)" "13" "Buffalo, NY" "" 10 9 1920 "Buffalo (NY)"
"L" "10-16-1920" "0" "Saint Lawrence (NY)" "20" "Buffalo, NY" "" 10 16 1920 "Buffalo (NY)"
"L" "10-23-1920" "3" "Alfred (NY)" "7" "Alfred, NY" "" 10 23 1920 "Buffalo (NY)"
"L" "10-30-1920" "2" "Hobart (NY)" "20" "Buffalo, NY" "" 10 30 1920 "Buffalo (NY)"
"W" "00-00-1920" "12" "Canisius (NY)" "0" "?" "" 0 0 1920 "Buffalo (NY)"
"T" "10-08-1921" "0" "Thiel (PA)" "0" "Buffalo, NY" "" 10 8 1921 "Buffalo (NY)"
"L" "10-15-1921" "0" "Bethany (WV)" "42" "Bethany, WV" "" 10 15 1921 "Buffalo (NY)"
"W" "10-22-1921" "7" "Alfred (NY)" "0" "Buffalo, NY" "" 10 22 1921 "Buffalo (NY)"
"W" "10-29-1921" "54" "Saint Stephen's College (NY)" "0" "Buffalo, NY" "" 10 29 1921 "Buffalo (NY)"
"L" "11-05-1921" "13" "Allegheny (PA)" "26" "Erie, PA" "" 11 5 1921 "Buffalo (NY)"
"L" "11-12-1921" "0" "Hobart (NY)" "37" "Geneva, NY" "" 11 12 1921 "Buffalo (NY)"
"T" "11-19-1921" "0" "Rensselaer Tech (NY)" "0" "Buffalo, NY" "" 11 19 1921 "Buffalo (NY)"
"W" "00-00-1922" "12" "Rochester Tech (NY)" "0" "Buffalo, NY" "" 0 0 1922 "Buffalo (NY)"
"L" "10-14-1922" "13" "Thiel (PA)" "15" "Buffalo, NY" "" 10 14 1922 "Buffalo (NY)"
"L" "10-21-1922" "0" "Alfred (NY)" "6" "Buffalo, NY" "" 10 21 1922 "Buffalo (NY)"
"L" "10-28-1922" "0" "Clarkson (NY)" "18" "Buffalo, NY" "" 10 28 1922 "Buffalo (NY)"
"L" "11-04-1922" "0" "Rochester (NY)" "19" "Rochester, NY" "" 11 4 1922 "Buffalo (NY)"
"L" "11-11-1922" "13" "Hobart (NY)" "28" "Buffalo, NY" "" 11 11 1922 "Buffalo (NY)"
"W" "10-06-1923" "40" "Rochester Optometry (NY)" "0" "Buffalo, NY" "" 10 6 1923 "Buffalo (NY)"
"L" "10-13-1923" "0" "Thiel (PA)" "29" "Buffalo, NY" "" 10 13 1923 "Buffalo (NY)"
"L" "10-19-1923" "6" "Alfred (NY)" "16" "Alfred, NY" "" 10 19 1923 "Buffalo (NY)"
"T" "10-27-1923" "7" "Clarkson (NY)" "7" "Buffalo, NY" "" 10 27 1923 "Buffalo (NY)"
"W" "11-03-1923" "7" "Hamilton (NY)" "6" "Buffalo, NY" "" 11 3 1923 "Buffalo (NY)"
"L" "11-10-1923" "0" "Hobart (NY)" "7" "Geneva, NY" "" 11 10 1923 "Buffalo (NY)"
"L" "11-17-1923" "6" "Rochester (NY)" "13" "Buffalo, NY" "" 11 17 1923 "Buffalo (NY)"
"L" "11-25-1923" "0" "Holy Cross (MA)" "37" "Worcester, MA" "" 11 25 1923 "Buffalo (NY)"
"L" "10-04-1924" "7" "Westminster (PA)" "16" "Buffalo, NY" "" 10 4 1924 "Buffalo (NY)"
"L" "10-11-1924" "0" "Alfred (NY)" "9" "Buffalo, NY" "" 10 11 1924 "Buffalo (NY)"
"W" "10-18-1924" "7" "Saint Lawrence (NY)" "0" "Buffalo, NY" "" 10 18 1924 "Buffalo (NY)"
"L" "10-25-1924" "0" "Davis & Elkins (WV)" "48" "Elkins, WV" "" 10 25 1924 "Buffalo (NY)"
"L" "11-01-1924" "0" "Clarkson (NY)" "26" "Buffalo, NY" "" 11 1 1924 "Buffalo (NY)"
"L" "11-08-1924" "7" "Rochester (NY)" "21" "Rochester, NY" "" 11 8 1924 "Buffalo (NY)"
"L" "11-15-1924" "6" "Hobart (NY)" "13" "Buffalo, NY" "" 11 15 1924 "Buffalo (NY)"
"L" "11-22-1924" "0" "George Washington (DC)" "6" "Buffalo, NY" "" 11 22 1924 "Buffalo (NY)"
"W" "10-03-1925" "2" "Toledo (OH)" "0" "Buffalo, NY" "" 10 3 1925 "Buffalo (NY)"
"L" "10-10-1925" "0" "Westminster (PA)" "8" "Buffalo, NY" "" 10 10 1925 "Buffalo (NY)"
"T" "10-17-1925" "0" "Rochester (NY)" "0" "Buffalo, NY" "" 10 17 1925 "Buffalo (NY)"
"L" "10-24-1925" "0" "Davis & Elkins (WV)" "40" "Buffalo, NY" "" 10 24 1925 "Buffalo (NY)"
"W" "10-30-1925" "6" "Alfred (NY)" "0" "Alfred, NY" "" 10 30 1925 "Buffalo (NY)"
"W" "11-07-1925" "10" "Clarkson (NY)" "2" "Buffalo, NY" "" 11 7 1925 "Buffalo (NY)"
