"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "12-09-1882" "0" "Phoenix AC (CA)" "1" "San Francisco, CA" "Phoenix AC 1g,1t - California 2t,1s" 12 9 1882 "California"
"T" "02-09-1883" "0" "Allies AC (CA)" "0" "San Francisco, CA" "California 0 - Allies AC 0" 2 9 1883 "California"
"W" "02-16-1883" "1" "Unions (CA)" "0" "San Francisco, CA" "California 1g - Unions 0" 2 16 1883 "California"
"W" "04-07-1883" "1" "Phoenix AC (CA)" "0" "San Francisco, CA" "California 1g - Phoenix AC 0" 4 7 1883 "California"
"W" "02-09-1884" "2" "San Francisco Merion Cricket FBC (CA)" "0" "San Francisco, CA" "California 2g,2t - Merions 0" 2 9 1884 "California"
"W" "03-01-1884" "1" "San Francisco Wanderer Club (CA)" "0" "San Francisco, CA" "California 1g,1t - Wanderers 0" 3 1 1884 "California"
"W" "02-14-1885" "3" "San Francisco Merion Cricket FBC (CA)" "0" "Berkeley, CA" "California 1g,3t - Merions 0" 2 14 1885 "California"
"W" "02-21-1885" "2" "San Francisco Merion Cricket FBC (CA)" "0" "Berkeley, CA" "California 2t - Merions 0" 2 21 1885 "California"
"W" "02-28-1885" "1" "San Francisco Merion Cricket FBC (CA)" "0" "Berkeley, CA" "California 1t - Merions 0" 2 28 1885 "California"
"T" "03-14-1885" "0" "San Francisco Wasps (CA)" "0" "Berkeley, CA" "California 1s - Wasps 0" 3 14 1885 "California"
"W" "03-28-1885" "1" "San Francisco Wasps (CA)" "0" "Berkeley, CA" "California 1t - Wasps 0" 3 28 1885 "California"
"W" "01-16-1886" "20" "San Francisco Wasps (CA)" "2" "Berkeley, CA" "" 1 16 1886 "California"
"L" "02-06-1886" "10" "Orions" "12" "Oakland, CA" "" 2 6 1886 "California"
"W" "02-22-1886" "1" "Hastings Law College (CA)" "0" "Berkeley, CA" "Hastings Law College Forfeits" 2 22 1886 "California"
"T" "03-13-1886" "12" "Reliance AC (CA)" "12" "Berkeley, CA" "" 3 13 1886 "California"
"W" "03-27-1886" "10" "Reliance AC (CA)" "0" "Berkeley, CA" "" 3 27 1886 "California"
"W" "04-30-1886" "29" "Orions" "2" "Berkeley, CA" "" 4 30 1886 "California"
"L" "05-05-1886" "4" "Reliance AC (CA)" "7" "Berkeley, CA" "" 5 5 1886 "California"
"W" "05-21-1886" "1" "San Francisco Wasps (CA)" "0" "Berkeley, CA" "San Francisco Wasps Forfeits" 5 21 1886 "California"
"W" "05-22-1886" "1" "Hastings Law College (CA)" "0" "Berkeley, CA" "Hastings Law College Forfeits" 5 22 1886 "California"
"W" "02-18-1887" "26" "San Francisco Club (CA)" "0" "Berkeley, CA" "" 2 18 1887 "California"
"W" "02-25-1887" "14" "California Volunteers" "0" "Berkeley, CA" "" 2 25 1887 "California"
"W" "03-05-1887" "14" "Reliance AC (CA)" "6" "Berkeley, CA" "" 3 5 1887 "California"
"W" "03-26-1887" "12" "Reliance AC (CA)" "6" "Berkeley, CA" "" 3 26 1887 "California"
"W" "02-18-1888" "26" "San Francisco Club (CA)" "0" "Berkeley, CA" "" 2 18 1888 "California"
"L" "02-25-1888" "6" "California Volunteers" "10" "Berkeley, CA" "" 2 25 1888 "California"
"W" "03-10-1888" "20" "San Francisco Club (CA)" "0" "Berkeley, CA" "" 3 10 1888 "California"
"W" "03-17-1888" "14" "Posens" "0" "Berkeley, CA" "" 3 17 1888 "California"
"W" "03-31-1888" "1" "San Francisco Wasps (CA)" "0" "Berkeley, CA" "San Francisco Wasps Forfeits" 3 31 1888 "California"
"W" "04-21-1888" "1" "San Francisco Wasps (CA)" "0" "Berkeley, CA" "San Francisco Wasps Forfeits" 4 21 1888 "California"
"W" "04-23-1888" "36" "San Francisco Club (CA)" "0" "Santa Rosa, CA" "" 4 23 1888 "California"
"W" "01-11-1890" "6" "Posens" "4" "Berkeley, CA" "" 1 11 1890 "California"
"W" "02-08-1890" "16" "Posens" "0" "Berkeley, CA" "" 2 8 1890 "California"
"W" "02-15-1890" "11" "Posens" "0" "Berkeley, CA" "" 2 15 1890 "California"
"W" "03-01-1890" "12" "Posens" "0" "Berkeley, CA" "" 3 1 1890 "California"
"L" "03-07-1891" "0" "San Francisco Club (CA)" "36" "Berkeley, CA" "" 3 7 1891 "California"
"W" "12-12-1891" "12" "San Francisco Boys HS (CA)" "0" "Berkeley, CA" "" 12 12 1891 "California"
"W" "01-05-1892" "14" "San Francisco Boys HS (CA)" "0" "Berkeley, CA" "" 1 5 1892 "California"
"W" "01-12-1892" "16" "Hopkins Academy (CA)" "4" "Berkeley, CA" "" 1 12 1892 "California"
"W" "02-03-1892" "30" "Berkeley Gym (CA)" "0" "Berkeley, CA" "" 2 3 1892 "California"
"L" "02-20-1892" "0" "Olympic AC (CA)" "6" "Berkeley, CA" "" 2 20 1892 "California"
"L" "03-19-1892" "10" "Stanford (CA)" "14" "San Francisco, CA" "" 3 19 1892 "California"
"L" "10-26-1892" "10" "Olympic AC (CA)" "20" "San Francisco, CA" "" 10 26 1892 "California"
"W" "11-05-1892" "16" "Olympic AC (CA)" "0" "San Francisco, CA" "" 11 5 1892 "California"
"W" "11-12-1892" "8" "Olympic AC (CA)" "4" "San Francisco, CA" "" 11 12 1892 "California"
"T" "12-17-1892" "10" "Stanford (CA)" "10" "San Francisco, CA" "" 12 17 1892 "California"
"W" "10-28-1893" "30" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 28 1893 "California"
"W" "11-01-1893" "14" "San Francisco All-Stars (CA)" "12" "San Francisco, CA" "" 11 1 1893 "California"
"W" "11-04-1893" "22" "Reliance AC (CA)" "10" "Oakland, CA" "Piedmont Grounds" 11 4 1893 "California"
"W" "11-11-1893" "12" "Olympic AC (CA)" "6" "San Francisco, CA" "" 11 11 1893 "California"
"L" "11-17-1893" "4" "Reliance AC (CA)" "16" "Oakland, CA" "Piedmont Grounds" 11 17 1893 "California"
"T" "11-30-1893" "6" "Stanford (CA)" "6" "San Francisco, CA" "" 11 30 1893 "California"
"T" "10-13-1894" "12" "Reliance AC (CA)" "12" "San Francisco, CA" "" 10 13 1894 "California"
"T" "10-28-1894" "0" "Reliance AC (CA)" "0" "Piedmont, CA" "" 10 28 1894 "California"
"L" "11-11-1894" "0" "Reliance AC (CA)" "28" "San Francisco, CA" "Haight Street Park" 11 11 1894 "California"
"L" "11-29-1894" "0" "Stanford (CA)" "6" "San Francisco, CA" "" 11 29 1894 "California"
"L" "10-06-1895" "0" "Reliance AC (CA)" "4" "Berkeley, CA" "" 10 6 1895 "California"
"W" "10-12-1895" "12" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 12 1895 "California"
"W" "10-26-1895" "8" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 26 1895 "California"
"W" "11-09-1895" "20" "Olympic AC (CA)" "0" "San Francisco, CA" "" 11 9 1895 "California"
"T" "11-28-1895" "6" "Stanford (CA)" "6" "San Francisco, CA" "" 11 28 1895 "California"
"L" "10-03-1896" "2" "Reliance AC (CA)" "12" "San Francisco, CA" "" 10 3 1896 "California"
"T" "10-06-1896" "0" "Olympic AC (CA)" "0" "San Francisco, CA" "" 10 6 1896 "California"
"T" "10-10-1896" "0" "Reliance AC (CA)" "0" "San Francisco, CA" "" 10 10 1896 "California"
"W" "10-17-1896" "24" "Olympic AC (CA)" "8" "San Francisco, CA" "" 10 17 1896 "California"
"W" "11-03-1896" "16" "Reliance AC (CA)" "10" "San Francisco, CA" "" 11 3 1896 "California"
"L" "11-26-1896" "0" "Stanford (CA)" "20" "San Francisco, CA" "" 11 26 1896 "California"
"W" "12-25-1896" "14" "Los Angeles AC (CA)" "0" "Los Angeles, CA" "" 12 25 1896 "California"
"W" "12-29-1896" "32" "Redlands HS (CA)" "0" "Redlands, CA" "" 12 29 1896 "California"
"W" "12-31-1896" "52" "San Diego HS (CA)" "0" "San Diego, CA" "" 12 31 1896 "California"
"W" "01-01-1897" "10" "Whittier Reform School" "6" "Los Angeles, CA" "" 1 1 1897 "California"
"L" "09-25-1897" "0" "Reliance AC (CA)" "12" "Berkeley, CA" "" 9 25 1897 "California"
"L" "10-02-1897" "0" "Reliance AC (CA)" "10" "San Francisco, CA" "" 10 2 1897 "California"
"T" "10-09-1897" "4" "Reliance AC (CA)" "4" "Berkeley, CA" "" 10 9 1897 "California"
"T" "11-06-1897" "4" "Reliance AC (CA)" "4" "Berkeley, CA" "" 11 6 1897 "California"
"L" "11-25-1897" "0" "Stanford (CA)" "28" "San Francisco, CA" "" 11 25 1897 "California"
"W" "10-01-1898" "17" "Olympic AC (CA)" "0" "San Francisco, CA" "" 10 1 1898 "California"
"W" "10-08-1898" "4" "Washington Volunteers" "0" "Berkeley, CA" "" 10 8 1898 "California"
"W" "10-13-1898" "44" "Washington Volunteers" "0" "Berkeley, CA" "" 10 13 1898 "California"
"W" "10-15-1898" "18" "Olympic AC (CA)" "0" "San Francisco, CA" "" 10 15 1898 "California"
"W" "10-18-1898" "33" "Kansas Volunteers" "0" "Berkeley, CA" "" 10 18 1898 "California"
"T" "10-31-1898" "0" "51st Regiment" "0" "Berkeley, CA" "" 10 31 1898 "California"
"W" "11-04-1898" "51" "Saint Mary's (CA)" "0" "Berkeley, CA" "" 11 4 1898 "California"
"T" "11-12-1898" "5" "Olympic AC (CA)" "5" "San Francisco, CA" "" 11 12 1898 "California"
"W" "11-25-1898" "22" "Stanford (CA)" "0" "San Francisco, CA" "" 11 25 1898 "California"
"W" "12-26-1898" "27" "Multnomah AC (OR)" "0" "Portland, OR" "" 12 26 1898 "California"
"W" "09-30-1899" "6" "Olympic AC (CA)" "0" "Berkeley, CA" "" 9 30 1899 "California"
"T" "10-14-1899" "0" "Olympic AC (CA)" "0" "San Francisco, CA" "" 10 14 1899 "California"
"W" "10-21-1899" "11" "League of the Cross" "0" "Berkeley, CA" "" 10 21 1899 "California"
"W" "11-11-1899" "15" "Olympic AC (CA)" "0" "San Francisco, CA" "" 11 11 1899 "California"
"W" "11-15-1899" "24" "Nevada" "0" "Berkeley, CA" "" 11 15 1899 "California"
"W" "11-18-1899" "12" "Oregon" "0" "Berkeley, CA" "" 11 18 1899 "California"
"W" "11-22-1899" "44" "San Jose St. (CA)" "0" "Berkeley, CA" "" 11 22 1899 "California"
"W" "11-30-1899" "30" "Stanford (CA)" "0" "San Francisco, CA" "" 11 30 1899 "California"
"L" "12-25-1899" "0" "Carlisle Indian School (PA)" "2" "San Francisco, CA" "" 12 25 1899 "California"
"T" "10-06-1900" "0" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 6 1900 "California"
"W" "10-20-1900" "5" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 20 1900 "California"
"W" "11-10-1900" "11" "Reliance AC (CA)" "0" "Berkeley, CA" "" 11 10 1900 "California"
"W" "11-15-1900" "32" "Nevada" "0" "Berkeley, CA" "" 11 15 1900 "California"
"L" "11-17-1900" "0" "Oregon" "2" "Berkeley, CA" "" 11 17 1900 "California"
"W" "11-22-1900" "5" "San Jose St. (CA)" "0" "Berkeley, CA" "" 11 22 1900 "California"
"L" "11-29-1900" "0" "Stanford (CA)" "5" "San Francisco, CA" "" 11 29 1900 "California"
"T" "09-28-1901" "0" "Reliance AC (CA)" "0" "Berkeley, CA" "" 9 28 1901 "California"
"W" "10-05-1901" "5" "Olympic AC (CA)" "0" "Berkeley, CA" "" 10 5 1901 "California"
"W" "10-10-1901" "6" "Olympic AC (CA)" "0" "Berkeley, CA" "" 10 10 1901 "California"
"W" "10-12-1901" "6" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 12 1901 "California"
"W" "10-26-1901" "6" "Olympic AC (CA)" "5" "San Francisco, CA" "" 10 26 1901 "California"
"W" "10-30-1901" "12" "Nevada" "0" "Berkeley, CA" "" 10 30 1901 "California"
"W" "11-01-1901" "16" "Mare Island Marines (CA)" "0" "Berkeley, CA" "" 11 1 1901 "California"
"W" "11-09-1901" "2" "Stanford (CA)" "0" "San Francisco, CA" "" 11 9 1901 "California"
"W" "12-25-1901" "38" "Southern California All-Stars" "0" "Los Angeles, CA" "" 12 25 1901 "California"
"W" "12-30-1901" "15" "Perris Indian School (CA)" "10" "Riverside, CA" "" 12 30 1901 "California"
"W" "09-27-1902" "12" "Alumni Club" "0" "Berkeley, CA" "" 9 27 1902 "California"
"W" "10-04-1902" "16" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 4 1902 "California"
"W" "10-11-1902" "44" "Alumni Club" "0" "Berkeley, CA" "" 10 11 1902 "California"
"W" "10-25-1902" "17" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 25 1902 "California"
"W" "10-28-1902" "5" "California Alumni" "0" "Berkeley, CA" "" 10 28 1902 "California"
"W" "11-01-1902" "29" "Nevada" "0" "Berkeley, CA" "" 11 1 1902 "California"
"W" "11-08-1902" "16" "Stanford (CA)" "0" "San Francisco, CA" "" 11 8 1902 "California"
"W" "11-28-1902" "29" "Perris Indian School (CA)" "12" "Riverside, CA" "" 11 28 1902 "California"
"T" "09-26-1903" "0" "Reliance AC (CA)" "0" "Berkeley, CA" "" 9 26 1903 "California"
"W" "10-03-1903" "51" "Navy Academy" "0" "Berkeley, CA" "" 10 3 1903 "California"
"W" "10-10-1903" "7" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 10 1903 "California"
"W" "10-14-1903" "5" "Reliance AC (CA)" "0" "Berkeley, CA" "" 10 14 1903 "California"
"W" "10-24-1903" "40" "Chemawa Indian School (OR)" "0" "Berkeley, CA" "" 10 24 1903 "California"
"W" "10-28-1903" "6" "California Alumni" "0" "Berkeley, CA" "" 10 28 1903 "California"
"W" "10-31-1903" "11" "Multnomah AC (OR)" "0" "Berkeley, CA" "" 10 31 1903 "California"
"L" "11-07-1903" "2" "Nevada" "6" "Berkeley, CA" "" 11 7 1903 "California"
"T" "11-14-1903" "6" "Stanford (CA)" "6" "San Francisco, CA" "" 11 14 1903 "California"
"W" "10-01-1904" "6" "Sherman Indian School (CA)" "0" "Berkeley, CA" "" 10 1 1904 "California"
"W" "10-08-1904" "10" "Olympic AC (CA)" "0" "Berkeley, CA" "" 10 8 1904 "California"
"W" "10-18-1904" "20" "Multnomah AC (OR)" "0" "Berkeley, CA" "" 10 18 1904 "California"
"W" "10-22-1904" "12" "Oregon" "0" "Berkeley, CA" "" 10 22 1904 "California"
"W" "10-29-1904" "5" "Pomona-Pitzer (CA)" "0" "Berkeley, CA" "" 10 29 1904 "California"
"W" "11-05-1904" "16" "Nevada" "0" "Berkeley, CA" "" 11 5 1904 "California"
"L" "11-12-1904" "0" "Stanford (CA)" "18" "Berkeley, CA" "" 11 12 1904 "California"
"T" "11-24-1904" "6" "Washington" "6" "Seattle, WA" "" 11 24 1904 "California"
"W" "09-30-1905" "23" "Loyola Marymount (CA)" "0" "Berkeley, CA" "" 9 30 1905 "California"
