"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1896" "5" "Alma HS (MI)" "14" "?" "" 0 0 1896 "Central Michigan"
"W" "00-00-1896" "14" "Bay City HS (MI)" "4" "?" "" 0 0 1896 "Central Michigan"
"W" "00-00-1896" "35" "Saginaw Arthur Hill HS (MI)" "0" "?" "" 0 0 1896 "Central Michigan"
"W" "00-00-1896" "8" "Alma HS (MI)" "4" "?" "" 0 0 1896 "Central Michigan"
"L" "00-00-1897" "0" "Alma (MI)" "18" "Mount Pleasant, MI" "" 0 0 1897 "Central Michigan"
"W" "00-00-1897" "10" "Bay City HS (MI)" "0" "?" "" 0 0 1897 "Central Michigan"
"W" "00-00-1897" "6" "Ithaca HS (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1897 "Central Michigan"
"L" "00-00-1898" "0" "Alma (MI)" "27" "?" "" 0 0 1898 "Central Michigan"
"W" "00-00-1898" "35" "Mount Pleasant Indian School (MI)" "0" "?" "" 0 0 1898 "Central Michigan"
"L" "00-00-1898" "2" "Mount Pleasant HS (MI)" "5" "?" "" 0 0 1898 "Central Michigan"
"L" "00-00-1899" "0" "Alma (MI)" "12" "?" "" 0 0 1899 "Central Michigan"
"L" "00-00-1899" "0" "Saginaw All-Stars (MI)" "5" "?" "" 0 0 1899 "Central Michigan"
"W" "00-00-1899" "12" "Cadillac HS (MI)" "0" "?" "" 0 0 1899 "Central Michigan"
"W" "00-00-1899" "17" "Saint John's HS (MI)" "5" "?" "" 0 0 1899 "Central Michigan"
"W" "00-00-1899" "6" "Ferris St. (MI)" "0" "?" "" 0 0 1899 "Central Michigan"
"W" "00-00-1900" "20" "Cadillac HS (MI)" "5" "?" "" 0 0 1900 "Central Michigan"
"L" "11-28-1901" "0" "Ferris St. (MI)" "33" "Big Rapids, MI" "" 11 28 1901 "Central Michigan"
"W" "00-00-1902" "10" "Marion HS (MI)" "0" "?" "" 0 0 1902 "Central Michigan"
"W" "00-00-1902" "51" "Mc Bain HS (MI)" "0" "?" "" 0 0 1902 "Central Michigan"
"W" "11-01-1902" "10" "Eastern Michigan" "0" "Mount Pleasant, MI" "" 11 1 1902 "Central Michigan"
"W" "11-15-1902" "11" "Ferris St. (MI)" "0" "Mount Pleasant, MI" "" 11 15 1902 "Central Michigan"
"W" "00-00-1903" "12" "Ferris St. (MI)" "0" "?" "" 0 0 1903 "Central Michigan"
"W" "00-00-1903" "23" "Alma (MI)" "5" "?" "" 0 0 1903 "Central Michigan"
"W" "00-00-1903" "15" "Elsie Giants (MI)" "0" "?" "" 0 0 1903 "Central Michigan"
"W" "00-00-1903" "7" "Hillsdale (MI)" "6" "?" "" 0 0 1903 "Central Michigan"
"W" "00-00-1903" "6" "Clare HS (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1903 "Central Michigan"
"W" "00-00-1903" "6" "Mount Pleasant HS (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1903 "Central Michigan"
"L" "10-29-1904" "6" "Ferris St. (MI)" "60" "Big Rapids, MI" "" 10 29 1904 "Central Michigan"
"W" "00-00-1905" "5" "Elsie Giants (MI)" "0" "?" "" 0 0 1905 "Central Michigan"
"W" "10-14-1905" "35" "Ferris St. (MI)" "2" "Mount Pleasant, MI" "" 10 14 1905 "Central Michigan"
"W" "00-00-1905" "51" "Midland AC (MI)" "0" "?" "" 0 0 1905 "Central Michigan"
"L" "00-00-1905" "6" "Alma (MI)" "12" "?" "" 0 0 1905 "Central Michigan"
"W" "11-17-1905" "13" "Eastern Michigan" "0" "Mount Pleasant, MI" "" 11 17 1905 "Central Michigan"
"W" "11-25-1905" "10" "Ferris St. (MI)" "0" "Big Rapids, MI" "" 11 25 1905 "Central Michigan"
"W" "00-00-1905" "6" "Western Michigan" "0" "?" "" 0 0 1905 "Central Michigan"
"W" "00-00-1905" "6" "Kalamazoo (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1905 "Central Michigan"
"L" "10-12-1907" "0" "Ferris St. (MI)" "45" "Big Rapids, MI" "" 10 12 1907 "Central Michigan"
"W" "00-00-1907" "6" "Michigan School for the Deaf" "5" "?" "" 0 0 1907 "Central Michigan"
"W" "00-00-1907" "12" "Mount Pleasant Indian School (MI)" "11" "?" "" 0 0 1907 "Central Michigan"
"L" "00-00-1907" "0" "Western Michigan" "29" "?" "" 0 0 1907 "Central Michigan"
"L" "11-09-1907" "0" "Alma (MI)" "35" "Mount Pleasant, MI" "" 11 9 1907 "Central Michigan"
"L" "11-16-1907" "0" "Eastern Michigan" "39" "Ypsilanti, MI" "" 11 16 1907 "Central Michigan"
"L" "00-00-1908" "0" "Alma (MI)" "5" "?" "" 0 0 1908 "Central Michigan"
"W" "00-00-1908" "10" "Alma (MI)" "0" "?" "" 0 0 1908 "Central Michigan"
"W" "11-07-1908" "11" "Eastern Michigan" "0" "Mount Pleasant, MI" "" 11 7 1908 "Central Michigan"
"L" "00-00-1908" "5" "Western Michigan" "11" "?" "" 0 0 1908 "Central Michigan"
"W" "00-00-1908" "6" "Elsie Giants (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1908 "Central Michigan"
"L" "00-00-1908" "5" "Hillsdale (MI)" "6" "?" "" 0 0 1908 "Central Michigan"
"W" "00-00-1908" "6" "West Branch HS (MI)" "0" "?" "Central Michigan won - score unknown" 0 0 1908 "Central Michigan"
"W" "00-00-1909" "23" "West Branch HS (MI)" "0" "?" "" 0 0 1909 "Central Michigan"
"W" "00-00-1909" "8" "Saginaw Arthur Hill HS (MI)" "5" "?" "" 0 0 1909 "Central Michigan"
"W" "00-00-1909" "15" "Alma (MI)" "8" "?" "" 0 0 1909 "Central Michigan"
"L" "00-00-1909" "6" "Michigan St. Freshmen" "17" "?" "" 0 0 1909 "Central Michigan"
"W" "00-00-1909" "11" "Ferris St. (MI)" "0" "?" "" 0 0 1909 "Central Michigan"
