"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "10-23-1885" "0" "Mount Auburn AC (OH)" "0" "?" "" 10 23 1885 "Cincinnati (OH)"
"W" "11-14-1885" "26" "Mount Auburn AC (OH)" "6" "?" "" 11 14 1885 "Cincinnati (OH)"
"W" "00-00-1886" "18" "Mount Auburn AC (OH)" "6" "?" "" 0 0 1886 "Cincinnati (OH)"
"W" "00-00-1886" "8" "Mount Auburn AC (OH)" "6" "?" "" 0 0 1886 "Cincinnati (OH)"
"W" "00-00-1887" "8" "Cincinnati Woodward HS (OH)" "4" "?" "" 0 0 1887 "Cincinnati (OH)"
"W" "00-00-1888" "8" "Walnut Hills Gym (OH)" "6" "?" "" 0 0 1888 "Cincinnati (OH)"
"T" "12-08-1888" "0" "Miami (OH)" "0" "Oxford, OH" "" 12 8 1888 "Cincinnati (OH)"
"W" "00-00-1889" "12" "Avondale AC (OH)" "0" "?" "" 0 0 1889 "Cincinnati (OH)"
"L" "12-14-1889" "0" "Miami (OH)" "34" "Oxford, OH" "" 12 14 1889 "Cincinnati (OH)"
"T" "00-00-1890" "0" "Franklin (IN)" "0" "?" "" 0 0 1890 "Cincinnati (OH)"
"L" "00-00-1890" "8" "Cincinnati Woodward HS (OH)" "16" "?" "" 0 0 1890 "Cincinnati (OH)"
"W" "00-00-1890" "6" "Wyoming (OH)" "0" "?" "" 0 0 1890 "Cincinnati (OH)"
"W" "11-27-1890" "8" "Wyoming (OH)" "4" "Cincinnati, OH" "" 11 27 1890 "Cincinnati (OH)"
"W" "00-00-1891" "22" "Cincinnati Woodward HS (OH)" "0" "?" "" 0 0 1891 "Cincinnati (OH)"
"W" "00-00-1891" "33" "Cincinnati Hughes HS (OH)" "0" "?" "" 0 0 1891 "Cincinnati (OH)"
"W" "10-23-1891" "38" "Franklin (IN)" "0" "Cincinnati, OH" "" 10 23 1891 "Cincinnati (OH)"
"T" "00-00-1891" "0" "Cincinnati Gym AC (OH)" "0" "?" "" 0 0 1891 "Cincinnati (OH)"
"L" "00-00-1891" "8" "Dayton YMCA (OH)" "12" "?" "" 0 0 1891 "Cincinnati (OH)"
"L" "11-21-1891" "10" "Butler (IN)" "34" "Indianapolis, IN" "" 11 21 1891 "Cincinnati (OH)"
"W" "00-00-1891" "18" "Cincinnati Gym AC (OH)" "0" "?" "" 0 0 1891 "Cincinnati (OH)"
"W" "00-00-1892" "16" "Dayton YMCA (OH)" "6" "?" "" 0 0 1892 "Cincinnati (OH)"
"L" "00-00-1892" "0" "Centre (KY)" "34" "?" "" 0 0 1892 "Cincinnati (OH)"
"L" "11-24-1892" "4" "Centre (KY)" "12" "Cincinnati, OH" "" 11 24 1892 "Cincinnati (OH)"
"L" "10-07-1893" "6" "Miami (OH)" "24" "Oxford, OH" "" 10 7 1893 "Cincinnati (OH)"
"L" "10-14-1893" "0" "Centre (KY)" "16" "Danville, KY" "" 10 14 1893 "Cincinnati (OH)"
"L" "10-28-1893" "0" "Chicago (IL)" "20" "Chicago, IL" "" 10 28 1893 "Cincinnati (OH)"
"L" "11-04-1893" "0" "Miami (OH)" "6" "Cincinnati, OH" "Gymnasium East End Grounds" 11 4 1893 "Cincinnati (OH)"
"L" "11-18-1893" "0" "Ohio St." "32" "Columbus, OH" "" 11 18 1893 "Cincinnati (OH)"
"L" "11-30-1893" "6" "Cincinnati YMCA (OH)" "22" "Cincinnati, OH" "" 11 30 1893 "Cincinnati (OH)"
"L" "10-13-1894" "4" "Georgetown (KY)" "6" "Georgetown, KY" "" 10 13 1894 "Cincinnati (OH)"
"W" "10-20-1894" "6" "Miami (OH)" "0" "Cincinnati, OH" "" 10 20 1894 "Cincinnati (OH)"
