"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1896" "16" "Vernon Rockville HS (CT)" "6" "?" "" 0 0 1896 "Connecticut"
"L" "00-00-1896" "6" "Norwich Free Academy (VT)" "22" "?" "" 0 0 1896 "Connecticut"
"W" "00-00-1896" "16" "Willimantic YMCA (CT)" "0" "?" "" 0 0 1896 "Connecticut"
"W" "00-00-1896" "6" "Willimantic YMCA (CT)" "0" "?" "" 0 0 1896 "Connecticut"
"L" "00-00-1896" "0" "Middletown HS (CT)" "4" "?" "" 0 0 1896 "Connecticut"
"W" "00-00-1896" "16" "Willimantic HS (CT)" "8" "?" "" 0 0 1896 "Connecticut"
"W" "00-00-1896" "4" "Willimantic HS (CT)" "0" "?" "" 0 0 1896 "Connecticut"
"L" "00-00-1896" "0" "Middletown HS (CT)" "16" "?" "" 0 0 1896 "Connecticut"
"L" "00-00-1897" "4" "Norwich Free Academy (VT)" "12" "?" "" 0 0 1897 "Connecticut"
"W" "00-00-1897" "16" "Willimantic YMCA (CT)" "0" "?" "" 0 0 1897 "Connecticut"
"W" "00-00-1897" "10" "New London AC (CT)" "8" "?" "" 0 0 1897 "Connecticut"
"W" "10-23-1897" "22" "Rhode Island" "8" "Storrs, CT" "" 10 23 1897 "Connecticut"
"W" "00-00-1897" "10" "Willimantic HS (CT)" "4" "?" "" 0 0 1897 "Connecticut"
"L" "11-06-1897" "0" "Massachusetts" "36" "Amherst, MA" "" 11 6 1897 "Connecticut"
"W" "00-00-1897" "30" "Willimantic YMCA (CT)" "0" "?" "" 0 0 1897 "Connecticut"
"L" "00-00-1898" "0" "Willimantic HS (CT)" "17" "?" "" 0 0 1898 "Connecticut"
"L" "00-00-1898" "0" "Norwich Free Academy (VT)" "43" "?" "" 0 0 1898 "Connecticut"
"L" "00-00-1898" "0" "Willimantic HS (CT)" "29" "?" "" 0 0 1898 "Connecticut"
"W" "00-00-1899" "12" "Vernon Rockville HS (CT)" "0" "?" "" 0 0 1899 "Connecticut"
"W" "00-00-1899" "5" "Willimantic Business College (CT)" "0" "?" "" 0 0 1899 "Connecticut"
"W" "00-00-1899" "24" "Norwich Free Academy (VT)" "0" "?" "" 0 0 1899 "Connecticut"
"W" "00-00-1899" "12" "Springfield (MA)" "5" "?" "" 0 0 1899 "Connecticut"
"W" "10-23-1899" "26" "Wesleyan Academy (MA)" "0" "?" "" 10 23 1899 "Connecticut"
"L" "11-04-1899" "6" "Massachusetts" "34" "Amherst, MA" "" 11 4 1899 "Connecticut"
