"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-21-1891" "4" "Ann Arbor HS (MI)" "34" "Ypsilanti, MI" "" 10 21 1891 "Eastern Michigan"
"L" "00-00-1891" "0" "Michigan Lit." "30" "?" "" 0 0 1891 "Eastern Michigan"
"L" "10-15-1892" "0" "Ann Arbor HS (MI)" "16" "Ann Arbor, MI" "" 10 15 1892 "Eastern Michigan"
"W" "10-29-1892" "6" "Michigan Junior Lawyers" "4" "?" "" 10 29 1892 "Eastern Michigan"
"W" "11-02-1892" "30" "Albion (MI)" "10" "Ypsilanti, MI" "" 11 2 1892 "Eastern Michigan"
"W" "00-00-1893" "16" "Michigan Lit. Freshmen" "8" "Ypsilanti, MI" "" 0 0 1893 "Eastern Michigan"
"L" "00-00-1893" "0" "Hillsdale (MI)" "28" "Hillsdale, MI" "" 0 0 1893 "Eastern Michigan"
"W" "00-00-1893" "14" "Detroit HS (MI)" "10" "Detroit, MI" "" 0 0 1893 "Eastern Michigan"
"W" "00-00-1893" "42" "Ann Arbor HS (MI)" "12" "Ann Arbor, MI" "" 0 0 1893 "Eastern Michigan"
"L" "00-00-1893" "22" "Michigan Military Academy" "30" "Orchard Lake, MI" "" 0 0 1893 "Eastern Michigan"
"W" "11-30-1893" "22" "Fort Wayne YMCA (IN)" "6" "Fort Wayne, IN" "" 11 30 1893 "Eastern Michigan"
"W" "09-29-1894" "18" "Ann Arbor HS (MI)" "0" "Ypsilanti, MI" "" 9 29 1894 "Eastern Michigan"
"L" "10-06-1894" "0" "Olivet (MI)" "48" "Olivet, MI" "" 10 6 1894 "Eastern Michigan"
"W" "10-13-1894" "18" "Michigan JV" "4" "Ypsilanti, MI" "" 10 13 1894 "Eastern Michigan"
"W" "10-27-1894" "36" "Ypsilanti HS (MI)" "0" "Ypsilanti, MI" "" 10 27 1894 "Eastern Michigan"
"W" "11-03-1894" "76" "Toledo AA (OH)" "0" "Ypsilanti, MI" "" 11 3 1894 "Eastern Michigan"
"W" "11-17-1894" "18" "Detroit" "6" "Detroit, MI" "" 11 17 1894 "Eastern Michigan"
"L" "11-24-1894" "10" "Ann Arbor HS (MI)" "12" "Ann Arbor, MI" "" 11 24 1894 "Eastern Michigan"
"W" "10-04-1895" "9" "Atlantis" "8" "?" "" 10 4 1895 "Eastern Michigan"
"W" "10-05-1895" "32" "Ann Arbor HS (MI)" "0" "Ann Arbor, MI" "" 10 5 1895 "Eastern Michigan"
"L" "10-12-1895" "0" "Michigan JV" "10" "Ann Arbor, MI" "" 10 12 1895 "Eastern Michigan"
"L" "10-26-1895" "10" "Michigan Military Academy" "24" "Orchard Lake, MI" "" 10 26 1895 "Eastern Michigan"
"W" "11-02-1895" "56" "Michigan Lit." "6" "Ypsilanti, MI" "" 11 2 1895 "Eastern Michigan"
"L" "11-16-1895" "12" "Detroit AC (MI)" "16" "Detroit, MI" "" 11 16 1895 "Eastern Michigan"
"W" "00-00-1896" "18" "Hillsdale (MI)" "0" "Ypsilanti, MI" "" 0 0 1896 "Eastern Michigan"
"L" "10-03-1896" "0" "Michigan" "18" "Ann Arbor, MI" "" 10 3 1896 "Eastern Michigan"
"W" "00-00-1896" "30" "Ann Arbor HS (MI)" "0" "Ann Arbor, MI" "" 0 0 1896 "Eastern Michigan"
"W" "00-00-1896" "10" "Detroit AC (MI)" "0" "Detroit, MI" "" 0 0 1896 "Eastern Michigan"
"W" "00-00-1896" "52" "Albion (MI)" "0" "Albion, MI" "" 0 0 1896 "Eastern Michigan"
"W" "09-25-1897" "24" "Michigan Alumni" "0" "Ypsilanti, MI" "" 9 25 1897 "Eastern Michigan"
"L" "10-02-1897" "0" "Michigan" "24" "Ann Arbor, MI" "" 10 2 1897 "Eastern Michigan"
"L" "10-30-1897" "0" "Albion (MI)" "18" "Albion, MI" "" 10 30 1897 "Eastern Michigan"
"W" "11-06-1897" "12" "Toledo YMCA (OH)" "4" "Toledo, OH" "" 11 6 1897 "Eastern Michigan"
"L" "11-30-1897" "0" "Kalamazoo (MI)" "16" "Ypsilanti, MI" "" 11 30 1897 "Eastern Michigan"
"L" "10-01-1898" "0" "Michigan" "21" "Ann Arbor, MI" "" 10 1 1898 "Eastern Michigan"
