"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "11-30-1893" "8" "Spokane AC (WA)" "8" "Spokane, WA" "" 11 30 1893 "Idaho"
"W" "05-20-1894" "22" "Washington St." "0" "Moscow, ID" "" 5 20 1894 "Idaho"
"W" "06-10-1894" "12" "Washington St." "0" "Pullman, WA" "" 6 10 1894 "Idaho"
"L" "00-00-1894" "6" "Lewis-Clark St. (ID)" "8" "?" "" 0 0 1894 "Idaho"
"L" "11-18-1894" "0" "Washington St." "10" "Moscow, ID" "" 11 18 1894 "Idaho"
"L" "11-09-1895" "4" "Washington St." "10" "Pullman, WA" "" 11 9 1895 "Idaho"
"L" "11-25-1897" "4" "Spokane AC (WA)" "12" "Spokane, WA" "" 11 25 1897 "Idaho"
"L" "10-28-1899" "0" "Washington St." "11" "Pullman, WA" "" 10 28 1899 "Idaho"
"L" "00-00-1899" "6" "Whitman (WA)" "16" "?" "" 0 0 1899 "Idaho"
"L" "00-00-1899" "0" "Wallace AC (ID)" "1" "?" "Wallace AC won - score unknown" 0 0 1899 "Idaho"
"L" "00-00-1899" "0" "Lewis-Clark St. (ID)" "1" "?" "Lewis-Clark St. won - score unknown" 0 0 1899 "Idaho"
"W" "10-27-1900" "12" "Washington" "6" "Spokane, WA" "" 10 27 1900 "Idaho"
"W" "10-19-1901" "11" "Lewis-Clark St. (ID)" "5" "?" "" 10 19 1901 "Idaho"
"W" "10-25-1901" "5" "Washington St." "0" "Moscow, ID" "" 10 25 1901 "Idaho"
"T" "11-06-1901" "0" "Oregon" "0" "?" "" 11 6 1901 "Idaho"
"L" "11-20-1901" "0" "Whitman (WA)" "10" "Moscow, ID" "" 11 20 1901 "Idaho"
"L" "11-28-1901" "0" "Washington" "10" "Seattle, WA" "" 11 28 1901 "Idaho"
"W" "12-20-1901" "22" "Lewis-Clark St. (ID)" "0" "Lewiston, ID" "" 12 20 1901 "Idaho"
"T" "10-09-1902" "0" "Lewis-Clark St. (ID)" "0" "?" "" 10 9 1902 "Idaho"
"W" "10-16-1902" "23" "Pacific (OR)" "0" "?" "" 10 16 1902 "Idaho"
"L" "10-24-1902" "0" "Washington St." "17" "Pullman, WA" "" 10 24 1902 "Idaho"
"L" "11-10-1902" "0" "Washington" "10" "Moscow, ID" "" 11 10 1902 "Idaho"
"L" "11-25-1902" "0" "Whitman (WA)" "16" "Walla Walla, WA" "" 11 25 1902 "Idaho"
"W" "10-23-1903" "32" "Washington St." "0" "Moscow, ID" "" 10 23 1903 "Idaho"
"W" "00-00-1903" "28" "Montana" "0" "Moscow, ID" "" 0 0 1903 "Idaho"
"L" "11-26-1903" "0" "Washington" "5" "Seattle, WA" "" 11 26 1903 "Idaho"
"W" "00-00-1903" "36" "Whitman (WA)" "0" "?" "" 0 0 1903 "Idaho"
"W" "10-21-1904" "5" "Washington St." "0" "Pullman, WA" "" 10 21 1904 "Idaho"
"L" "11-05-1904" "10" "Washington" "12" "Seattle, WA" "" 11 5 1904 "Idaho"
"W" "00-00-1904" "21" "Whitman (WA)" "0" "Walla Walla, WA" "" 0 0 1904 "Idaho"
"W" "00-00-1905" "41" "Lewiston HS (ID)" "2" "Moscow, ID" "" 0 0 1905 "Idaho"
"W" "00-00-1905" "50" "Montana St." "0" "Moscow, ID" "" 0 0 1905 "Idaho"
"W" "10-30-1905" "8" "Washington" "0" "Moscow, ID" "" 10 30 1905 "Idaho"
