"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1887" "8" "Franklin (IN)" "10" "?" "" 0 0 1887 "Indiana"
"T" "00-00-1888" "0" "DePauw (IN)" "0" "?" "Game tied - score unknown" 0 0 1888 "Indiana"
"L" "11-23-1889" "5" "DePauw (IN)" "10" "Greencastle, IN" "" 11 23 1889 "Indiana"
"L" "00-00-1889" "2" "Wabash (IN)" "40" "?" "" 0 0 1889 "Indiana"
"W" "00-00-1891" "30" "Louisville AC (KY)" "0" "?" "" 0 0 1891 "Indiana"
"L" "10-31-1891" "4" "DePauw (IN)" "62" "Bloomington, IN" "" 10 31 1891 "Indiana"
"L" "11-01-1891" "6" "Butler (IN)" "52" "Indianapolis, IN" "" 11 1 1891 "Indiana"
"L" "11-14-1891" "0" "Purdue (IN)" "60" "West Lafayette, IN" "" 11 14 1891 "Indiana"
"L" "00-00-1891" "6" "Butler (IN)" "26" "?" "" 0 0 1891 "Indiana"
"L" "00-00-1891" "0" "Wabash (IN)" "25" "?" "" 0 0 1891 "Indiana"
"W" "00-00-1892" "11" "Butler (IN)" "10" "?" "" 0 0 1892 "Indiana"
"L" "10-29-1892" "0" "DePauw (IN)" "1" "Greencastle, IN" "Indiana Forfeits" 10 29 1892 "Indiana"
"L" "11-05-1892" "0" "Purdue (IN)" "68" "West Lafayette, IN" "" 11 5 1892 "Indiana"
"W" "00-00-1892" "36" "Wabash (IN)" "24" "?" "" 0 0 1892 "Indiana"
"L" "10-14-1893" "0" "Purdue (IN)" "64" "West Lafayette, IN" "" 10 14 1893 "Indiana"
"L" "00-00-1893" "0" "Butler (IN)" "38" "?" "" 0 0 1893 "Indiana"
"W" "00-00-1893" "18" "Danville AC (IN)" "0" "?" "" 0 0 1893 "Indiana"
"L" "00-00-1893" "12" "Wabash (IN)" "24" "?" "" 0 0 1893 "Indiana"
"L" "11-04-1893" "0" "DePauw (IN)" "34" "Greencastle, IN" "" 11 4 1893 "Indiana"
"T" "11-30-1893" "24" "Kentucky" "24" "Lexington, KY" "" 11 30 1893 "Indiana"
"L" "10-13-1894" "10" "DePauw (IN)" "20" "Greencastle, IN" "" 10 13 1894 "Indiana"
"L" "10-27-1894" "0" "Butler (IN)" "58" "Crawfordsville, IN" "" 10 27 1894 "Indiana"
"L" "00-00-1894" "0" "Wabash (IN)" "46" "?" "" 0 0 1894 "Indiana"
"L" "00-00-1894" "0" "Purdue (IN)" "1" "Bloomington, IN" "Indiana Forfeits" 0 0 1894 "Indiana"
"W" "00-00-1895" "36" "Louisville AC (KY)" "0" "?" "" 0 0 1895 "Indiana"
"W" "00-00-1895" "30" "Noblesville AC (IN)" "0" "?" "" 0 0 1895 "Indiana"
