"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-30-1920" "0" "Ashland (OH)" "6" "Ashland, OH" "" 10 30 1920 "Kent St. (OH)"
"W" "00-00-1920" "1" "John Carroll (OH)" "0" "Kent, OH" "John Carroll Forfeits" 0 0 1920 "Kent St. (OH)"
"L" "11-06-1920" "0" "Bowling Green (OH)" "7" "Kent, OH" "" 11 6 1920 "Kent St. (OH)"
"T" "10-01-1921" "0" "Bowling Green (OH)" "0" "Bowling Green, OH" "" 10 1 1921 "Kent St. (OH)"
"L" "10-08-1921" "0" "John Carroll (OH)" "13" "Kent, OH" "" 10 8 1921 "Kent St. (OH)"
"L" "00-00-1921" "0" "Ashland (OH)" "7" "Kent, OH" "" 0 0 1921 "Kent St. (OH)"
"L" "09-23-1922" "0" "Hiram (OH)" "14" "Hiram, OH" "" 9 23 1922 "Kent St. (OH)"
"L" "09-30-1922" "0" "Mount Union (OH)" "32" "Alliance, OH" "" 9 30 1922 "Kent St. (OH)"
"L" "10-07-1922" "0" "John Carroll (OH)" "34" "Kent, OH" "" 10 7 1922 "Kent St. (OH)"
"L" "10-14-1922" "0" "Ashland (OH)" "14" "Ashland, OH" "" 10 14 1922 "Kent St. (OH)"
"L" "00-00-1922" "0" "Baldwin-Wallace (OH)" "32" "Berea, OH" "" 0 0 1922 "Kent St. (OH)"
"L" "00-00-1922" "0" "California (PA)" "14" "California, PA" "" 0 0 1922 "Kent St. (OH)"
"L" "11-11-1922" "0" "Bowling Green (OH)" "6" "Kent, OH" "" 11 11 1922 "Kent St. (OH)"
"L" "10-06-1923" "0" "Akron (OH)" "32" "Akron, OH" "" 10 6 1923 "Kent St. (OH)"
"L" "10-13-1923" "0" "Baldwin-Wallace (OH)" "118" "Berea, OH" "" 10 13 1923 "Kent St. (OH)"
"L" "00-00-1923" "6" "West Liberty St. (WV)" "7" "Kent, OH" "" 0 0 1923 "Kent St. (OH)"
"L" "00-00-1923" "0" "Indiana (PA)" "21" "?" "" 0 0 1923 "Kent St. (OH)"
"L" "00-00-1923" "0" "Slippery Rock (PA)" "82" "?" "" 0 0 1923 "Kent St. (OH)"
"L" "00-00-1924" "0" "Indiana (PA)" "29" "Kent, OH" "" 0 0 1924 "Kent St. (OH)"
"L" "00-00-1924" "0" "Ashland (OH)" "20" "Ashland, OH" "" 0 0 1924 "Kent St. (OH)"
"L" "00-00-1924" "0" "West Liberty St. (WV)" "26" "West Liberty, WV" "" 0 0 1924 "Kent St. (OH)"
"L" "11-15-1924" "0" "Hiram (OH)" "14" "Kent, OH" "" 11 15 1924 "Kent St. (OH)"
"T" "00-00-1925" "0" "Hiram (OH)" "0" "Kent, OH" "" 0 0 1925 "Kent St. (OH)"
"T" "00-00-1925" "0" "Edinboro (PA)" "0" "Edinboro, PA" "" 0 0 1925 "Kent St. (OH)"
"T" "00-00-1925" "6" "Indiana (PA)" "6" "Indiana, PA" "" 0 0 1925 "Kent St. (OH)"
"W" "11-14-1925" "7" "West Liberty St. (WV)" "6" "Kent, OH" "" 11 14 1925 "Kent St. (OH)"
"L" "00-00-1925" "0" "Findlay (OH)" "12" "Kent, OH" "" 0 0 1925 "Kent St. (OH)"
"L" "09-25-1926" "0" "Wittenberg (OH)" "27" "Springfield, OH" "" 9 25 1926 "Kent St. (OH)"
"L" "00-00-1926" "2" "West Liberty St. (WV)" "25" "Kent, OH" "" 0 0 1926 "Kent St. (OH)"
"L" "10-16-1926" "0" "Heidelberg (OH)" "25" "Tiffin, OH" "" 10 16 1926 "Kent St. (OH)"
"L" "10-23-1926" "0" "Ashland (OH)" "55" "Ashland, OH" "" 10 23 1926 "Kent St. (OH)"
"W" "10-30-1926" "12" "Edinboro (PA)" "0" "Kent, OH" "" 10 30 1926 "Kent St. (OH)"
"L" "11-06-1926" "6" "Findlay (OH)" "7" "Findlay, OH" "" 11 6 1926 "Kent St. (OH)"
"L" "11-13-1926" "0" "Indiana (PA)" "23" "Kent, OH" "" 11 13 1926 "Kent St. (OH)"
"W" "00-00-1926" "15" "Wilmington (OH)" "14" "Kent, OH" "" 0 0 1926 "Kent St. (OH)"
"T" "09-24-1927" "6" "Kenyon (OH)" "6" "Gambier, OH" "" 9 24 1927 "Kent St. (OH)"
"L" "10-08-1927" "0" "Slippery Rock (PA)" "6" "Kent, OH" "" 10 8 1927 "Kent St. (OH)"
"L" "10-15-1927" "0" "Bowling Green (OH)" "13" "Kent, OH" "" 10 15 1927 "Kent St. (OH)"
"W" "10-22-1927" "19" "Cedarville (OH)" "18" "Kent, OH" "" 10 22 1927 "Kent St. (OH)"
"L" "00-00-1927" "0" "Edinboro (PA)" "6" "?" "" 0 0 1927 "Kent St. (OH)"
"L" "11-12-1927" "0" "Indiana (PA)" "7" "Indiana, PA" "" 11 12 1927 "Kent St. (OH)"
"L" "11-19-1927" "0" "Wilmington (OH)" "24" "Wilmington, OH" "" 11 19 1927 "Kent St. (OH)"
"W" "09-29-1928" "25" "Kenyon (OH)" "6" "Gambier, OH" "" 9 29 1928 "Kent St. (OH)"
"L" "10-06-1928" "0" "John Carroll (OH)" "12" "Cleveland, OH" "" 10 6 1928 "Kent St. (OH)"
"T" "10-13-1928" "0" "Defiance (OH)" "0" "Defiance, OH" "" 10 13 1928 "Kent St. (OH)"
"L" "10-20-1928" "6" "Akron (OH)" "8" "Akron, OH" "" 10 20 1928 "Kent St. (OH)"
"W" "10-27-1928" "26" "Cedarville (OH)" "0" "Kent, OH" "" 10 27 1928 "Kent St. (OH)"
"W" "11-03-1928" "13" "Rio Grande (OH)" "0" "Kent, OH" "" 11 3 1928 "Kent St. (OH)"
"W" "11-10-1928" "13" "Indiana (PA)" "0" "Kent, OH" "" 11 10 1928 "Kent St. (OH)"
"T" "11-26-1928" "6" "Bowling Green (OH)" "6" "Bowling Green, OH" "" 11 26 1928 "Kent St. (OH)"
"L" "09-28-1929" "0" "Oberlin (OH)" "19" "Oberlin, OH" "" 9 28 1929 "Kent St. (OH)"
"L" "10-05-1929" "0" "Akron (OH)" "25" "Akron, OH" "" 10 5 1929 "Kent St. (OH)"
"L" "10-12-1929" "2" "Heidelberg (OH)" "25" "Tiffin, OH" "" 10 12 1929 "Kent St. (OH)"
"L" "10-19-1929" "15" "Kenyon (OH)" "21" "Gambier, OH" "" 10 19 1929 "Kent St. (OH)"
"L" "10-25-1929" "0" "John Carroll (OH)" "32" "Cleveland, OH" "" 10 25 1929 "Kent St. (OH)"
"W" "11-11-1929" "3" "Rio Grande (OH)" "0" "Kent, OH" "" 11 11 1929 "Kent St. (OH)"
"L" "11-16-1929" "0" "Baldwin-Wallace (OH)" "18" "Kent, OH" "" 11 16 1929 "Kent St. (OH)"
"L" "11-23-1929" "0" "Indiana (PA)" "21" "Indiana, PA" "" 11 23 1929 "Kent St. (OH)"
"L" "10-03-1930" "6" "Mount Union (OH)" "18" "Alliance, OH" "" 10 3 1930 "Kent St. (OH)"
"L" "10-11-1930" "6" "Akron (OH)" "12" "Akron, OH" "" 10 11 1930 "Kent St. (OH)"
"L" "10-18-1930" "0" "Case Institute of Technology (OH)" "6" "Cleveland, OH" "" 10 18 1930 "Kent St. (OH)"
"T" "10-25-1930" "0" "Ashland (OH)" "0" "Kent, OH" "" 10 25 1930 "Kent St. (OH)"
"W" "11-01-1930" "6" "Hiram (OH)" "0" "Kent, OH" "" 11 1 1930 "Kent St. (OH)"
"W" "11-08-1930" "33" "Capital (OH)" "0" "Columbus, OH" "" 11 8 1930 "Kent St. (OH)"
"W" "11-15-1930" "13" "Defiance (OH)" "6" "Kent, OH" "" 11 15 1930 "Kent St. (OH)"
"L" "10-03-1931" "6" "Oberlin (OH)" "12" "Oberlin, OH" "" 10 3 1931 "Kent St. (OH)"
"L" "10-10-1931" "7" "Akron (OH)" "12" "Akron, OH" "" 10 10 1931 "Kent St. (OH)"
"L" "10-16-1931" "0" "Mount Union (OH)" "25" "Alliance, OH" "" 10 16 1931 "Kent St. (OH)"
"L" "10-31-1931" "0" "Baldwin-Wallace (OH)" "31" "Berea, OH" "" 10 31 1931 "Kent St. (OH)"
"W" "11-07-1931" "33" "Capital (OH)" "0" "Kent, OH" "" 11 7 1931 "Kent St. (OH)"
"W" "11-14-1931" "6" "Otterbein (OH)" "0" "Kent, OH" "" 11 14 1931 "Kent St. (OH)"
"W" "11-21-1931" "7" "Hiram (OH)" "0" "Kent, OH" "" 11 21 1931 "Kent St. (OH)"
"L" "09-22-1932" "0" "Hiram (OH)" "6" "Kent, OH" "" 9 22 1932 "Kent St. (OH)"
"L" "10-08-1932" "0" "Otterbein (OH)" "19" "Kent, OH" "" 10 8 1932 "Kent St. (OH)"
"L" "10-15-1932" "0" "Baldwin-Wallace (OH)" "21" "Kent, OH" "" 10 15 1932 "Kent St. (OH)"
"T" "10-22-1932" "0" "Akron (OH)" "0" "Akron, OH" "" 10 22 1932 "Kent St. (OH)"
"L" "10-29-1932" "0" "John Carroll (OH)" "28" "Cleveland, OH" "" 10 29 1932 "Kent St. (OH)"
"T" "11-05-1932" "0" "Capital (OH)" "0" "Columbus, OH" "" 11 5 1932 "Kent St. (OH)"
"L" "11-12-1932" "0" "Ashland (OH)" "6" "Kent, OH" "" 11 12 1932 "Kent St. (OH)"
"L" "09-29-1933" "0" "Muskingum (OH)" "12" "New Concord, OH" "" 9 29 1933 "Kent St. (OH)"
"L" "10-07-1933" "6" "Akron (OH)" "19" "Kent, OH" "" 10 7 1933 "Kent St. (OH)"
"W" "10-14-1933" "13" "Capital (OH)" "0" "Kent, OH" "" 10 14 1933 "Kent St. (OH)"
"T" "10-20-1933" "0" "Ashland (OH)" "0" "Ashland, OH" "" 10 20 1933 "Kent St. (OH)"
"T" "10-28-1933" "0" "Hiram (OH)" "0" "Hiram, OH" "" 10 28 1933 "Kent St. (OH)"
"W" "11-04-1933" "12" "Marietta (OH)" "0" "Kent, OH" "" 11 4 1933 "Kent St. (OH)"
"T" "11-18-1933" "0" "Mount Union (OH)" "0" "Kent, OH" "" 11 18 1933 "Kent St. (OH)"
"T" "09-28-1934" "6" "Muskingum (OH)" "6" "New Concord, OH" "" 9 28 1934 "Kent St. (OH)"
"L" "10-06-1934" "0" "Akron (OH)" "26" "Akron, OH" "" 10 6 1934 "Kent St. (OH)"
