"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-16-1902" "0" "Louisiana St." "42" "Lafayette, LA" "" 10 16 1902 "Louisiana-Lafayette"
"W" "11-04-1904" "11" "Franklin HS (LA)" "4" "Franklin, LA" "" 11 4 1904 "Louisiana-Lafayette"
"L" "00-00-1907" "0" "Jennings HS (LA)" "29" "?" "" 0 0 1907 "Louisiana-Lafayette"
"W" "00-00-1908" "11" "Saint Martinville HS (LA)" "10" "?" "" 0 0 1908 "Louisiana-Lafayette"
"W" "00-00-1908" "17" "Crowley HS (LA)" "6" "?" "" 0 0 1908 "Louisiana-Lafayette"
"W" "00-00-1908" "21" "New Iberia HS (LA)" "0" "?" "" 0 0 1908 "Louisiana-Lafayette"
"W" "11-21-1908" "16" "Saint Martinville HS (LA)" "0" "?" "" 11 21 1908 "Louisiana-Lafayette"
"W" "00-00-1908" "12" "Lake Charles HS (LA)" "0" "?" "" 0 0 1908 "Louisiana-Lafayette"
"W" "00-00-1908" "16" "Vinton HS (LA)" "0" "?" "" 0 0 1908 "Louisiana-Lafayette"
"T" "00-00-1909" "0" "Saint Martinville HS (LA)" "0" "Saint Martinville, LA" "" 0 0 1909 "Louisiana-Lafayette"
"W" "00-00-1909" "17" "Saint Martinville HS (LA)" "0" "Lafayette, LA" "" 0 0 1909 "Louisiana-Lafayette"
"W" "00-00-1909" "36" "Crowley HS (LA)" "2" "?" "" 0 0 1909 "Louisiana-Lafayette"
"W" "00-00-1909" "36" "Lake Arthur HS (LA)" "0" "?" "" 0 0 1909 "Louisiana-Lafayette"
"W" "00-00-1909" "62" "Abbeville HS (LA)" "0" "Lafayette, LA" "" 0 0 1909 "Louisiana-Lafayette"
"W" "00-00-1909" "49" "Abbeville HS (LA)" "0" "Abbeville, LA" "" 0 0 1909 "Louisiana-Lafayette"
"L" "00-00-1909" "0" "Northwestern St. (LA)" "47" "Natchitoches, LA" "" 0 0 1909 "Louisiana-Lafayette"
"L" "12-11-1909" "0" "Northwestern St. (LA)" "11" "Lafayette, LA" "" 12 11 1909 "Louisiana-Lafayette"
"W" "00-00-1910" "6" "Louisiana St. JV" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"W" "00-00-1910" "48" "Jennings HS (LA)" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"W" "00-00-1910" "3" "Tulane JV (LA)" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"T" "00-00-1910" "0" "Tulane JV (LA)" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"L" "00-00-1910" "0" "Louisiana Tech" "75" "Ruston, LA" "" 0 0 1910 "Louisiana-Lafayette"
"W" "00-00-1910" "18" "Louisiana College" "5" "?" "" 0 0 1910 "Louisiana-Lafayette"
"L" "00-00-1910" "5" "Louisiana St. JV" "43" "?" "" 0 0 1910 "Louisiana-Lafayette"
"W" "00-00-1910" "11" "Jefferson (LA)" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"W" "00-00-1910" "19" "Louisiana College" "0" "?" "" 0 0 1910 "Louisiana-Lafayette"
"L" "10-07-1911" "0" "Louisiana St." "42" "Baton Rouge, LA" "" 10 7 1911 "Louisiana-Lafayette"
"L" "00-00-1911" "0" "Louisiana College" "9" "Lafayette, LA" "" 0 0 1911 "Louisiana-Lafayette"
"T" "00-00-1911" "0" "Louisiana College" "0" "Pineville, LA" "" 0 0 1911 "Louisiana-Lafayette"
"W" "00-00-1911" "30" "Northwestern St. (LA)" "6" "?" "" 0 0 1911 "Louisiana-Lafayette"
"L" "00-00-1911" "5" "Jefferson (LA)" "11" "?" "" 0 0 1911 "Louisiana-Lafayette"
"W" "00-00-1912" "33" "Morgan City HS (LA)" "0" "Lafayette, LA" "" 0 0 1912 "Louisiana-Lafayette"
"L" "10-05-1912" "3" "Louisiana St." "85" "Baton Rouge, LA" "" 10 5 1912 "Louisiana-Lafayette"
"L" "10-12-1912" "0" "Tulane (LA)" "96" "New Orleans, LA" "" 10 12 1912 "Louisiana-Lafayette"
"L" "00-00-1912" "0" "Jefferson (LA)" "46" "Convent, LA" "" 0 0 1912 "Louisiana-Lafayette"
"W" "00-00-1912" "29" "Loyola (LA)" "0" "Lafayette, LA" "" 0 0 1912 "Louisiana-Lafayette"
"W" "00-00-1912" "19" "Louisiana College" "0" "Lafayette, LA" "" 0 0 1912 "Louisiana-Lafayette"
"L" "11-20-1912" "6" "Northwestern St. (LA)" "13" "Lafayette, LA" "" 11 20 1912 "Louisiana-Lafayette"
