"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-14-1895" "0" "Ashland HS (KY)" "36" "?" "" 11 14 1895 "Marshall (WV)"
"T" "11-28-1895" "0" "Ironton Kingsbury HS (OH)" "0" "?" "" 11 28 1895 "Marshall (WV)"
"L" "10-23-1897" "10" "Huntington Tigers (WV)" "14" "?" "" 10 23 1897 "Marshall (WV)"
"L" "10-30-1897" "0" "Ironton Kingsbury HS (OH)" "4" "?" "" 10 30 1897 "Marshall (WV)"
"L" "11-13-1897" "6" "Ironton HS (OH)" "14" "?" "" 11 13 1897 "Marshall (WV)"
"W" "10-22-1898" "12" "Ironton Kingsbury HS (OH)" "0" "?" "" 10 22 1898 "Marshall (WV)"
"W" "11-05-1898" "1" "Ironton Kingsbury HS (OH)" "0" "?" "Kingsbury HS Forfeits" 11 5 1898 "Marshall (WV)"
"L" "11-09-1898" "5" "Catlettsburg AC (KY)" "11" "Catlettsburg, KY" "" 11 9 1898 "Marshall (WV)"
"W" "11-18-1898" "17" "Catlettsburg AC (KY)" "0" "?" "" 11 18 1898 "Marshall (WV)"
"W" "11-25-1898" "6" "Ashland HS (KY)" "0" "?" "" 11 25 1898 "Marshall (WV)"
"T" "11-30-1899" "0" "Catlettsburg AC (KY)" "0" "Catlettsburg, KY" "" 11 30 1899 "Marshall (WV)"
"T" "10-19-1900" "0" "Catlettsburg AC (KY)" "0" "?" "" 10 19 1900 "Marshall (WV)"
"W" "11-19-1900" "20" "Charleston HS (WV)" "0" "?" "" 11 19 1900 "Marshall (WV)"
"T" "11-29-1900" "0" "Catlettsburg AC (KY)" "0" "?" "" 11 29 1900 "Marshall (WV)"
"W" "10-26-1901" "6" "Charleston HS (WV)" "0" "?" "" 10 26 1901 "Marshall (WV)"
"W" "11-22-1901" "19" "Huntington HS (WV)" "0" "?" "Charleston HS?" 11 22 1901 "Marshall (WV)"
"T" "11-28-1901" "0" "Charleston HS (WV)" "0" "?" "" 11 28 1901 "Marshall (WV)"
"W" "10-10-1902" "5" "Huntington HS (WV)" "2" "?" "" 10 10 1902 "Marshall (WV)"
"T" "10-17-1902" "0" "Ashland HS (KY)" "0" "?" "" 10 17 1902 "Marshall (WV)"
"W" "10-24-1902" "34" "Gallipolis HS (OH)" "0" "?" "" 10 24 1902 "Marshall (WV)"
"W" "11-01-1902" "16" "Ashland HS (KY)" "0" "Catlettsburg, KY" "" 11 1 1902 "Marshall (WV)"
"W" "11-08-1902" "5" "Charleston Medical College (SC)" "0" "Charleston, WV" "" 11 8 1902 "Marshall (WV)"
"T" "11-14-1902" "0" "Charleston Medical College (SC)" "0" "?" "" 11 14 1902 "Marshall (WV)"
"W" "11-27-1902" "6" "Middleport HS (OH)" "0" "Middleport, OH" "" 11 27 1902 "Marshall (WV)"
"T" "10-10-1903" "0" "Middleport HS (OH)" "0" "Middleport, OH" "" 10 10 1903 "Marshall (WV)"
"W" "10-24-1903" "11" "Ashland HS (KY)" "5" "?" "" 10 24 1903 "Marshall (WV)"
"W" "11-14-1903" "11" "Huntington All-Stars (WV)" "5" "?" "" 11 14 1903 "Marshall (WV)"
"L" "11-21-1903" "0" "Ashland HS (KY)" "15" "Ashland, KY" "" 11 21 1903 "Marshall (WV)"
"W" "11-24-1903" "15" "Shelton College (WV)" "0" "?" "" 11 24 1903 "Marshall (WV)"
"L" "10-08-1904" "0" "Portsmouth HS (OH)" "6" "?" "" 10 8 1904 "Marshall (WV)"
"T" "10-15-1904" "0" "Ashland HS (KY)" "0" "Ashland, KY" "" 10 15 1904 "Marshall (WV)"
"L" "10-19-1904" "5" "Bethany (WV)" "10" "?" "" 10 19 1904 "Marshall (WV)"
"T" "10-22-1904" "0" "Portsmouth HS (OH)" "0" "Portsmouth, OH" "" 10 22 1904 "Marshall (WV)"
"L" "10-29-1904" "0" "Charleston HS (WV)" "5" "?" "" 10 29 1904 "Marshall (WV)"
"T" "11-12-1904" "0" "Charleston HS (WV)" "0" "Charleston, WV" "" 11 12 1904 "Marshall (WV)"
"W" "11-24-1904" "11" "Georgetown (KY)" "5" "?" "" 11 24 1904 "Marshall (WV)"
"W" "09-30-1905" "1" "Ashland HS (KY)" "0" "?" "Ashland HS Forfeits" 9 30 1905 "Marshall (WV)"
"W" "10-05-1905" "15" "Kenova AC (WV)" "5" "Kenova, WV" "" 10 5 1905 "Marshall (WV)"
"W" "10-07-1905" "5" "Portsmouth HS (OH)" "0" "?" "" 10 7 1905 "Marshall (WV)"
"W" "10-18-1905" "12" "Ironton HS (OH)" "0" "?" "" 10 18 1905 "Marshall (WV)"
"W" "10-21-1905" "1" "Charleston HS (WV)" "0" "?" "Charleston HS Forfeits" 10 21 1905 "Marshall (WV)"
"L" "11-02-1905" "0" "Kentucky" "53" "Huntington, WV" "" 11 2 1905 "Marshall (WV)"
"W" "11-11-1905" "6" "Ohio" "5" "?" "" 11 11 1905 "Marshall (WV)"
"L" "11-30-1905" "0" "Miami (OH)" "35" "Huntington, WV" "" 11 30 1905 "Marshall (WV)"
"T" "10-06-1906" "0" "Cincinnati (OH)" "0" "?" "" 10 6 1906 "Marshall (WV)"
"W" "10-20-1906" "24" "Portsmouth AC (OH)" "0" "?" "" 10 20 1906 "Marshall (WV)"
"W" "10-27-1906" "10" "Georgetown (KY)" "0" "?" "" 10 27 1906 "Marshall (WV)"
"W" "11-10-1906" "10" "Ashland HS (KY)" "0" "?" "" 11 10 1906 "Marshall (WV)"
"W" "11-29-1906" "12" "Charleston (WV)" "5" "Huntington, WV" "" 11 29 1906 "Marshall (WV)"
"T" "10-12-1907" "0" "Ashland YMCA (KY)" "0" "?" "" 10 12 1907 "Marshall (WV)"
"W" "10-19-1907" "11" "Georgetown (KY)" "5" "Georgetown, KY" "" 10 19 1907 "Marshall (WV)"
"W" "11-02-1907" "22" "Mountain States Business (WV)" "0" "?" "" 11 2 1907 "Marshall (WV)"
"L" "11-09-1907" "0" "West Virginia Wesleyan" "18" "Ravenswood, WV" "" 11 9 1907 "Marshall (WV)"
"L" "11-16-1907" "0" "Charleston AC (WV)" "12" "?" "" 11 16 1907 "Marshall (WV)"
"W" "11-28-1907" "5" "Charleston (WV)" "0" "Huntington, WV" "" 11 28 1907 "Marshall (WV)"
"L" "10-03-1908" "0" "Ohio" "59" "Athens, OH" "" 10 3 1908 "Marshall (WV)"
"L" "10-10-1908" "4" "Charleston YMCA (WV)" "6" "?" "" 10 10 1908 "Marshall (WV)"
"L" "10-17-1908" "0" "Charleston YMCA (WV)" "12" "Charleston, WV" "" 10 17 1908 "Marshall (WV)"
"L" "10-24-1908" "5" "Ashland YMCA (KY)" "6" "?" "" 10 24 1908 "Marshall (WV)"
"L" "11-07-1908" "0" "Charleston (WV)" "10" "Barboursville, WV" "" 11 7 1908 "Marshall (WV)"
"L" "11-28-1908" "5" "Charleston (WV)" "11" "Huntington, WV" "" 11 28 1908 "Marshall (WV)"
"W" "10-16-1909" "12" "Charleston AC (WV)" "0" "?" "" 10 16 1909 "Marshall (WV)"
"W" "10-23-1909" "66" "Portsmouth AC (OH)" "0" "?" "" 10 23 1909 "Marshall (WV)"
"L" "10-25-1909" "6" "West Virginia Wesleyan" "25" "Buckhannon, WV" "" 10 25 1909 "Marshall (WV)"
"L" "11-06-1909" "0" "Marietta (OH)" "70" "Marietta, OH" "" 11 6 1909 "Marshall (WV)"
"T" "11-14-1909" "0" "Glenville St. (WV)" "0" "?" "" 11 14 1909 "Marshall (WV)"
"W" "11-25-1909" "23" "Charleston (WV)" "0" "Huntington, WV" "" 11 25 1909 "Marshall (WV)"
"W" "10-08-1910" "28" "Charleston HS (WV)" "0" "Huntington, WV" "" 10 8 1910 "Marshall (WV)"
"L" "10-15-1910" "0" "West Virginia Wesleyan" "5" "Grafton, WV" "" 10 15 1910 "Marshall (WV)"
"T" "10-22-1910" "0" "Charleston (WV)" "0" "Barboursville, WV" "" 10 22 1910 "Marshall (WV)"
"W" "10-29-1910" "6" "Davis & Elkins (WV)" "3" "Huntington, WV" "" 10 29 1910 "Marshall (WV)"
"W" "11-02-1910" "9" "Glenville St. (WV)" "0" "Glenville, WV" "" 11 2 1910 "Marshall (WV)"
"W" "11-12-1910" "40" "Kentucky Wesleyan" "0" "Huntington, WV" "" 11 12 1910 "Marshall (WV)"
"W" "11-24-1910" "8" "Charleston (WV)" "6" "Huntington, WV" "" 11 24 1910 "Marshall (WV)"
"W" "10-14-1911" "6" "Marietta (OH)" "0" "Huntington, WV" "" 10 14 1911 "Marshall (WV)"
