"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "12-08-1888" "0" "Cincinnati (OH)" "0" "Oxford, OH" "" 12 8 1888 "Miami (OH)"
"W" "11-09-1889" "44" "Dayton HS (OH)" "0" "Dayton, OH" "" 11 9 1889 "Miami (OH)"
"W" "00-00-1889" "8" "Earlham (IN)" "0" "Richmond, IN" "" 0 0 1889 "Miami (OH)"
"W" "12-11-1889" "14" "Dayton AC (OH)" "4" "Oxford, OH" "" 12 11 1889 "Miami (OH)"
"W" "12-14-1889" "34" "Cincinnati (OH)" "0" "Oxford, OH" "" 12 14 1889 "Miami (OH)"
"W" "11-21-1891" "38" "Hamilton AC (OH)" "0" "Oxford, OH" "" 11 21 1891 "Miami (OH)"
"L" "11-26-1891" "0" "Ohio Wesleyan" "104" "Delaware, OH" "" 11 26 1891 "Miami (OH)"
"L" "10-21-1892" "0" "Earlham (IN)" "12" "Richmond, IN" "" 10 21 1892 "Miami (OH)"
"W" "00-00-1892" "28" "Hamilton AC (OH)" "0" "Oxford, OH" "" 0 0 1892 "Miami (OH)"
"W" "11-20-1892" "8" "Cincinnati YMCA (OH)" "0" "Cincinnati, OH" "" 11 20 1892 "Miami (OH)"
"L" "12-02-1892" "6" "Centre (KY)" "12" "Danville, KY" "" 12 2 1892 "Miami (OH)"
"W" "10-07-1893" "24" "Cincinnati (OH)" "6" "Oxford, OH" "" 10 7 1893 "Miami (OH)"
"W" "10-28-1893" "28" "Earlham (IN)" "6" "Oxford, OH" "" 10 28 1893 "Miami (OH)"
"W" "11-04-1893" "6" "Cincinnati (OH)" "0" "Cincinnati, OH" "Gymnasium East End Grounds" 11 4 1893 "Miami (OH)"
"W" "10-04-1894" "18" "Hamilton AC (OH)" "0" "Hamilton, OH" "" 10 4 1894 "Miami (OH)"
"L" "10-13-1894" "6" "Kentucky" "28" "Lexington, KY" "" 10 13 1894 "Miami (OH)"
"L" "10-20-1894" "0" "Cincinnati (OH)" "6" "Cincinnati, OH" "" 10 20 1894 "Miami (OH)"
"W" "00-00-1895" "6" "Butler (IN)" "0" "Oxford, OH" "" 0 0 1895 "Miami (OH)"
"W" "11-16-1895" "12" "Cincinnati (OH)" "0" "Cincinnati, OH" "" 11 16 1895 "Miami (OH)"
"W" "00-00-1895" "12" "Wittenberg (OH)" "4" "Springfield, OH" "" 0 0 1895 "Miami (OH)"
"L" "11-30-1895" "0" "Wabash (IN)" "6" "?" "" 11 30 1895 "Miami (OH)"
"W" "10-02-1896" "6" "Cincinnati (OH)" "4" "Cincinnati, OH" "" 10 2 1896 "Miami (OH)"
