"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "06-05-1886" "0" "Albion (MI)" "79" "Albion, MI" "" 6 5 1886 "Michigan St."
"W" "09-26-1896" "10" "Lansing HS (MI)" "0" "East Lansing, MI" "" 9 26 1896 "Michigan St."
"L" "10-17-1896" "0" "Kalamazoo (MI)" "24" "Kalamazoo, MI" "" 10 17 1896 "Michigan St."
"T" "10-25-1896" "0" "Alma (MI)" "0" "East Lansing, MI" "" 10 25 1896 "Michigan St."
"L" "11-11-1896" "16" "Alma (MI)" "18" "East Lansing, MI" "" 11 11 1896 "Michigan St."
"W" "09-25-1897" "28" "Lansing HS (MI)" "0" "East Lansing, MI" "" 9 25 1897 "Michigan St."
"W" "10-02-1897" "26" "Olivet (MI)" "6" "East Lansing, MI" "" 10 2 1897 "Michigan St."
"L" "10-09-1897" "0" "Kalamazoo (MI)" "28" "East Lansing, MI" "" 10 9 1897 "Michigan St."
"T" "10-16-1897" "18" "Olivet (MI)" "18" "Olivet, MI" "" 10 16 1897 "Michigan St."
"W" "10-30-1897" "30" "Alma (MI)" "16" "Alma, MI" "" 10 30 1897 "Michigan St."
"W" "11-06-1897" "38" "Alma (MI)" "4" "East Lansing, MI" "" 11 6 1897 "Michigan St."
"L" "11-25-1897" "6" "Notre Dame (IN)" "34" "South Bend, IN" "" 11 25 1897 "Michigan St."
"W" "10-08-1898" "11" "Eastern Michigan" "6" "Ypsilanti, MI" "" 10 8 1898 "Michigan St."
"L" "10-12-1898" "0" "Michigan" "39" "Ann Arbor, MI" "" 10 12 1898 "Michigan St."
"L" "10-15-1898" "0" "Notre Dame (IN)" "53" "South Bend, IN" "" 10 15 1898 "Michigan St."
"W" "10-22-1898" "62" "Albion (MI)" "6" "East Lansing, MI" "" 10 22 1898 "Michigan St."
"W" "10-29-1898" "45" "Olivet (MI)" "0" "Olivet, MI" "" 10 29 1898 "Michigan St."
"W" "11-19-1898" "24" "Eastern Michigan" "6" "East Lansing, MI" "" 11 19 1898 "Michigan St."
"L" "11-28-1898" "0" "Kalamazoo (MI)" "17" "Kalamazoo, MI" "" 11 28 1898 "Michigan St."
"L" "09-30-1899" "0" "Notre Dame (IN)" "40" "South Bend, IN" "" 9 30 1899 "Michigan St."
"L" "10-07-1899" "6" "Detroit AC (MI)" "16" "Detroit, MI" "" 10 7 1899 "Michigan St."
"L" "10-14-1899" "6" "Kalamazoo (MI)" "10" "East Lansing, MI" "" 10 14 1899 "Michigan St."
"T" "10-21-1899" "11" "Alma (MI)" "11" "Alma, MI" "" 10 21 1899 "Michigan St."
"W" "11-11-1899" "18" "Eastern Michigan" "0" "East Lansing, MI" "" 11 11 1899 "Michigan St."
"L" "11-25-1899" "17" "Olivet (MI)" "18" "Olivet, MI" "" 11 25 1899 "Michigan St."
"W" "11-30-1899" "23" "DePauw (IN)" "6" "East Lansing, MI" "" 11 30 1899 "Michigan St."
"L" "09-22-1900" "0" "Lansing AC (MI)" "5" "?" "Michigan St. in question" 9 22 1900 "Michigan St."
"L" "09-26-1900" "0" "Lansing AC (MI)" "10" "?" "Michigan St. in question" 9 26 1900 "Michigan St."
"L" "09-29-1900" "0" "Albion (MI)" "23" "East Lansing, MI" "" 9 29 1900 "Michigan St."
"L" "10-06-1900" "0" "Albion (MI)" "29" "Albion, MI" "" 10 6 1900 "Michigan St."
"W" "10-10-1900" "45" "Adrian (MI)" "0" "East Lansing, MI" "" 10 10 1900 "Michigan St."
"L" "10-20-1900" "6" "Detroit AC (MI)" "21" "Detroit, MI" "" 10 20 1900 "Michigan St."
"L" "10-27-1900" "0" "Alma (MI)" "23" "East Lansing, MI" "" 10 27 1900 "Michigan St."
"L" "09-28-1901" "5" "Alma (MI)" "6" "Alma, MI" "" 9 28 1901 "Michigan St."
"W" "10-05-1901" "22" "Hillsdale (MI)" "0" "East Lansing, MI" "" 10 5 1901 "Michigan St."
"W" "10-12-1901" "11" "Albion (MI)" "0" "Albion, MI" "" 10 12 1901 "Michigan St."
"L" "10-19-1901" "0" "Detroit AC (MI)" "33" "Detroit, MI" "" 10 19 1901 "Michigan St."
