"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "05-30-1879" "1" "Racine (WI)" "0" "Chicago, IL" "Michigan 1g,1t - Racine 0" 5 30 1879 "Michigan"
"T" "11-01-1879" "0" "Toronto (Canada)" "0" "Detroit, MI" "Michigan 1t - Toronto 0" 11 1 1879 "Michigan"
"W" "11-06-1880" "1" "Toronto (Canada)" "0" "Toronto, ON (Canada)" "Michigan 1g,1t - Toronto 0" 11 6 1880 "Michigan"
"L" "10-31-1881" "0" "Harvard (MA)" "1" "Boston, MA" "Harvard 1g - Michigan 0" 10 31 1881 "Michigan"
"L" "11-02-1881" "0" "Yale (CT)" "2" "New Haven, CT" "Yale 2g,2s - Michigan 0" 11 2 1881 "Michigan"
"L" "11-04-1881" "0" "Princeton (NJ)" "1" "Princeton, NJ" "Princeton 1g,2t - Michigan 3s" 11 4 1881 "Michigan"
"W" "03-12-1883" "7" "Detroit Industrial Team (MI)" "1" "Ann Arbor, MI" "Michigan 7g,6t,1s - Detroit Industrial Team 1g" 3 12 1883 "Michigan"
"L" "11-19-1883" "6" "Wesleyan (CT)" "14" "Hartford, CT" "" 11 19 1883 "Michigan"
"L" "11-21-1883" "0" "Yale (CT)" "64" "New Haven, CT" "" 11 21 1883 "Michigan"
"L" "11-22-1883" "0" "Harvard (MA)" "3" "Cambridge, MA" "" 11 22 1883 "Michigan"
"L" "11-27-1883" "1" "Stevens Tech (NJ)" "5" "Hoboken, NJ" "" 11 27 1883 "Michigan"
"W" "11-15-1884" "18" "Albion (MI)" "0" "Ann Arbor, MI" "" 11 15 1884 "Michigan"
"W" "11-22-1884" "18" "Chicago University Football Club (IL)" "10" "Ann Arbor, MI" "" 11 22 1884 "Michigan"
"W" "11-07-1885" "10" "Windsor Club (Canada)" "0" "Windsor, ON (Canada)" "" 11 7 1885 "Michigan"
"W" "11-14-1885" "30" "Windsor Club (Canada)" "0" "Ann Arbor, MI" "" 11 14 1885 "Michigan"
"W" "11-26-1885" "42" "Peninsular Club (MI)" "0" "Detroit, MI" "" 11 26 1885 "Michigan"
"W" "10-16-1886" "50" "Albion (MI)" "0" "Albion, MI" "" 10 16 1886 "Michigan"
"W" "10-30-1886" "24" "Albion (MI)" "0" "Ann Arbor, MI" "" 10 30 1886 "Michigan"
"W" "11-12-1887" "32" "Albion (MI)" "0" "Ann Arbor, MI" "" 11 12 1887 "Michigan"
"W" "11-23-1887" "8" "Notre Dame (IN)" "0" "South Bend, IN" "" 11 23 1887 "Michigan"
"W" "11-24-1887" "26" "Chicago Harvard Club (IL)" "0" "Chicago, IL" "" 11 24 1887 "Michigan"
"W" "04-20-1888" "26" "Notre Dame (IN)" "6" "South Bend, IN" "" 4 20 1888 "Michigan"
"W" "04-21-1888" "10" "Notre Dame (IN)" "4" "South Bend, IN" "" 4 21 1888 "Michigan"
"W" "11-17-1888" "14" "Detroit AC (MI)" "0" "Detroit, MI" "" 11 17 1888 "Michigan"
"W" "11-24-1888" "76" "Albion (MI)" "4" "Ann Arbor, MI" "" 11 24 1888 "Michigan"
"L" "11-29-1888" "4" "Chicago University Football Club (IL)" "26" "Chicago, IL" "" 11 29 1888 "Michigan"
"W" "11-09-1889" "33" "Albion (MI)" "4" "Ann Arbor, MI" "" 11 9 1889 "Michigan"
"L" "11-16-1889" "0" "Cornell (NY)" "66" "Buffalo, NY" "" 11 16 1889 "Michigan"
"L" "11-28-1889" "0" "Chicago University Football Club (IL)" "20" "Chicago, IL" "" 11 28 1889 "Michigan"
"W" "10-11-1890" "56" "Albion (MI)" "10" "Ann Arbor, MI" "" 10 11 1890 "Michigan"
"W" "10-18-1890" "18" "Detroit AC (MI)" "0" "Detroit, MI" "" 10 18 1890 "Michigan"
"W" "10-25-1890" "16" "Albion (MI)" "0" "Ann Arbor, MI" "" 10 25 1890 "Michigan"
"W" "11-01-1890" "34" "Purdue (IN)" "6" "Ann Arbor, MI" "" 11 1 1890 "Michigan"
"L" "11-15-1890" "5" "Cornell (NY)" "20" "Detroit, MI" "" 11 15 1890 "Michigan"
"W" "10-10-1891" "62" "Ann Arbor HS (MI)" "0" "Ann Arbor, MI" "" 10 10 1891 "Michigan"
"L" "10-17-1891" "4" "Albion (MI)" "10" "Ann Arbor, MI" "" 10 17 1891 "Michigan"
"W" "10-19-1891" "18" "Olivet (MI)" "6" "Olivet, MI" "" 10 19 1891 "Michigan"
"W" "10-24-1891" "26" "Oberlin (OH)" "6" "Ann Arbor, MI" "" 10 24 1891 "Michigan"
"W" "10-31-1891" "42" "Butler (IN)" "6" "Ann Arbor, MI" "" 10 31 1891 "Michigan"
"L" "11-14-1891" "0" "Chicago University Football Club (IL)" "20" "Chicago, IL" "" 11 14 1891 "Michigan"
"L" "11-21-1891" "12" "Cornell (NY)" "58" "Detroit, MI" "" 11 21 1891 "Michigan"
"L" "11-26-1891" "4" "Cleveland AA (OH)" "8" "Cleveland, OH" "" 11 26 1891 "Michigan"
"L" "11-28-1891" "0" "Cornell (NY)" "10" "Chicago, IL" "" 11 28 1891 "Michigan"
"W" "10-08-1892" "74" "Michigan AA" "0" "Ann Arbor, MI" "" 10 8 1892 "Michigan"
"W" "10-12-1892" "68" "Michigan AA" "0" "Detroit, MI" "" 10 12 1892 "Michigan"
"W" "10-15-1892" "10" "Wisconsin" "6" "Madison, WI" "" 10 15 1892 "Michigan"
"L" "10-17-1892" "6" "Minnesota" "14" "Minneapolis, MN" "" 10 17 1892 "Michigan"
"W" "10-22-1892" "18" "DePauw (IN)" "6" "Indianapolis, IN" "" 10 22 1892 "Michigan"
"L" "10-24-1892" "0" "Purdue (IN)" "24" "West Lafayette, IN" "" 10 24 1892 "Michigan"
"L" "10-29-1892" "8" "Northwestern (IL)" "10" "Chicago, IL" "" 10 29 1892 "Michigan"
"W" "11-05-1892" "60" "Albion (MI)" "8" "Ann Arbor, MI" "" 11 5 1892 "Michigan"
"L" "11-08-1892" "0" "Cornell (NY)" "44" "Ithaca, NY" "" 11 8 1892 "Michigan"
"W" "11-12-1892" "18" "Chicago (IL)" "10" "Toledo, OH" "" 11 12 1892 "Michigan"
"W" "11-19-1892" "26" "Oberlin (OH)" "24" "Ann Arbor, MI" "" 11 19 1892 "Michigan"
"L" "11-22-1892" "10" "Cornell (NY)" "30" "Detroit, MI" "" 11 22 1892 "Michigan"
"W" "10-07-1893" "6" "Detroit AC (MI)" "0" "Ann Arbor, MI" "" 10 7 1893 "Michigan"
"W" "10-14-1893" "26" "Detroit AC (MI)" "0" "Detroit, MI" "" 10 14 1893 "Michigan"
"L" "10-21-1893" "6" "Chicago (IL)" "10" "Chicago, IL" "" 10 21 1893 "Michigan"
"L" "10-28-1893" "20" "Minnesota" "34" "Ann Arbor, MI" "" 10 28 1893 "Michigan"
"L" "11-04-1893" "18" "Wisconsin" "34" "Ann Arbor, MI" "" 11 4 1893 "Michigan"
"W" "11-11-1893" "46" "Purdue (IN)" "8" "West Lafayette, IN" "" 11 11 1893 "Michigan"
"W" "11-13-1893" "34" "DePauw (IN)" "0" "Greencastle, IN" "" 11 13 1893 "Michigan"
"W" "11-18-1893" "72" "Northwestern (IL)" "6" "Ann Arbor, MI" "" 11 18 1893 "Michigan"
"W" "11-25-1893" "22" "Kansas" "0" "Kansas City, MO" "" 11 25 1893 "Michigan"
"W" "11-30-1893" "28" "Chicago (IL)" "10" "Chicago, IL" "" 11 30 1893 "Michigan"
"T" "10-06-1894" "12" "Michigan Military Academy" "12" "Ann Arbor, MI" "" 10 6 1894 "Michigan"
"W" "10-13-1894" "26" "Albion (MI)" "10" "Ann Arbor, MI" "" 10 13 1894 "Michigan"
"W" "10-17-1894" "48" "Olivet (MI)" "0" "Ann Arbor, MI" "" 10 17 1894 "Michigan"
"W" "10-21-1894" "40" "Michigan Military Academy" "6" "Ann Arbor, MI" "" 10 21 1894 "Michigan"
"W" "10-24-1894" "46" "Adrian (MI)" "0" "Ann Arbor, MI" "" 10 24 1894 "Michigan"
"W" "10-28-1894" "18" "Case Institute of Technology (OH)" "8" "Cleveland, OH" "" 10 28 1894 "Michigan"
"L" "11-03-1894" "0" "Cornell (NY)" "22" "Ithaca, NY" "" 11 3 1894 "Michigan"
"W" "11-10-1894" "18" "Kansas" "12" "Kansas City, MO" "" 11 10 1894 "Michigan"
"W" "11-17-1894" "14" "Oberlin (OH)" "6" "Ann Arbor, MI" "" 11 17 1894 "Michigan"
"W" "11-24-1894" "12" "Cornell (NY)" "4" "Detroit, MI" "" 11 24 1894 "Michigan"
"W" "11-29-1894" "6" "Chicago (IL)" "4" "Chicago, IL" "" 11 29 1894 "Michigan"
"W" "10-05-1895" "34" "Michigan Military Academy" "0" "Ann Arbor, MI" "" 10 5 1895 "Michigan"
"W" "10-12-1895" "42" "Detroit AC (MI)" "0" "Ann Arbor, MI" "" 10 12 1895 "Michigan"
