"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-30-1911" "0" "Sewanee (TN)" "20" "Sewanee, TN" "" 9 30 1911 "Middle Tennessee St."
"L" "11-11-1911" "0" "Fitzgerald & Clark (TN)" "6" "?" "" 11 11 1911 "Middle Tennessee St."
"W" "10-12-1912" "29" "Fitzgerald & Clark (TN)" "7" "?" "" 10 12 1912 "Middle Tennessee St."
"W" "00-00-1913" "47" "Montgomery Bell Academy (TN)" "0" "Murfreesboro, TN" "" 0 0 1913 "Middle Tennessee St."
"W" "00-00-1913" "29" "Bowen Prep School (TN)" "0" "Murfreesboro, TN" "" 0 0 1913 "Middle Tennessee St."
"W" "00-00-1913" "32" "Fitzgerald & Clark (TN)" "0" "Tullahoma, TN" "" 0 0 1913 "Middle Tennessee St."
"T" "00-00-1913" "0" "Vanderbilt JV (TN)" "0" "Murfreesboro, TN" "" 0 0 1913 "Middle Tennessee St."
"W" "00-00-1913" "16" "Vanderbilt School of Medicine (TN)" "14" "Murfreesboro, TN" "" 0 0 1913 "Middle Tennessee St."
"W" "00-00-1913" "33" "Nashville Hume-Fogg HS (TN)" "0" "Murfreesboro, TN" "" 0 0 1913 "Middle Tennessee St."
"L" "00-00-1913" "7" "Morgan Prep School (TN)" "34" "Petersburg, TN" "" 0 0 1913 "Middle Tennessee St."
"T" "00-00-1914" "0" "Cumberland (TN)" "0" "Lebanon, TN" "" 0 0 1914 "Middle Tennessee St."
"W" "10-10-1914" "47" "Western Kentucky" "0" "Murfreesboro, TN" "" 10 10 1914 "Middle Tennessee St."
"W" "00-00-1914" "9" "Vanderbilt JV (TN)" "6" "Murfreesboro, TN" "" 0 0 1914 "Middle Tennessee St."
"W" "00-00-1914" "30" "Morgan Prep School (TN)" "0" "Murfreesboro, TN" "" 0 0 1914 "Middle Tennessee St."
"W" "00-00-1914" "21" "Castle Heights Military Institute (TN)" "7" "Murfreesboro, TN" "" 0 0 1914 "Middle Tennessee St."
"W" "00-00-1914" "25" "Vanderbilt School of Medicine (TN)" "0" "Murfreesboro, TN" "" 0 0 1914 "Middle Tennessee St."
"L" "09-25-1915" "0" "Vanderbilt (TN)" "51" "Nashville, TN" "" 9 25 1915 "Middle Tennessee St."
"T" "00-00-1915" "0" "Cumberland (TN)" "0" "Murfreesboro, TN" "" 0 0 1915 "Middle Tennessee St."
"W" "00-00-1915" "20" "Castle Heights Military Institute (TN)" "0" "Lebanon, TN" "" 0 0 1915 "Middle Tennessee St."
"L" "00-00-1915" "0" "Chattanooga Central HS (TN)" "20" "Murfreesboro, TN" "" 0 0 1915 "Middle Tennessee St."
"L" "00-00-1915" "0" "Vanderbilt JV (TN)" "14" "Murfreesboro, TN" "" 0 0 1915 "Middle Tennessee St."
"W" "00-00-1915" "14" "Rhodes (TN)" "7" "Murfreesboro, TN" "" 0 0 1915 "Middle Tennessee St."
"L" "09-30-1916" "6" "Tennessee-Chattanooga" "20" "Chattanooga, TN" "" 9 30 1916 "Middle Tennessee St."
"L" "00-00-1916" "7" "Sewanee Military Academy (TN)" "10" "Murfreesboro, TN" "" 0 0 1916 "Middle Tennessee St."
"W" "10-13-1916" "6" "Rhodes (TN)" "0" "Clarksville, TN" "Middle Tennessee St. won - score unknown" 10 13 1916 "Middle Tennessee St."
"W" "00-00-1916" "20" "Castle Heights Military Institute (TN)" "0" "Murfreesboro, TN" "" 0 0 1916 "Middle Tennessee St."
"W" "00-00-1916" "49" "Cumberland (TN)" "0" "Murfreesboro, TN" "" 0 0 1916 "Middle Tennessee St."
"W" "00-00-1916" "14" "Chattanooga Central HS (TN)" "0" "Murfreesboro, TN" "" 0 0 1916 "Middle Tennessee St."
"W" "00-00-1916" "14" "Vanderbilt JV (TN)" "0" "Murfreesboro, TN" "" 0 0 1916 "Middle Tennessee St."
"W" "00-00-1917" "33" "Sewanee Military Academy (TN)" "0" "Murfreesboro, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "38" "Sewanee JV (TN)" "0" "Murfreesboro, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "13" "Vanderbilt JV (TN)" "0" "Nashville, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "26" "Tennessee Tech" "0" "Cookeville, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "31" "Castle Heights Military Institute (TN)" "0" "Lebanon, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "32" "Baylor Military Academy (TN)" "0" "Chattanooga, TN" "" 0 0 1917 "Middle Tennessee St."
"W" "00-00-1917" "28" "Bedford County Stars (TN)" "0" "?" "" 0 0 1917 "Middle Tennessee St."
"W" "11-28-1918" "12" "Tennessee-Chattanooga" "7" "Chattanooga, TN" "" 11 28 1918 "Middle Tennessee St."
"W" "00-00-1919" "17" "Vanderbilt School of Medicine (TN)" "0" "Murfreesboro, TN" "" 0 0 1919 "Middle Tennessee St."
"W" "10-18-1919" "49" "Tennessee-Chattanooga" "0" "Murfreesboro, TN" "" 10 18 1919 "Middle Tennessee St."
"W" "00-00-1919" "41" "Union (TN)" "6" "Murfreesboro, TN" "" 0 0 1919 "Middle Tennessee St."
"W" "00-00-1919" "41" "Cumberland (TN)" "0" "Lebanon, TN" "" 0 0 1919 "Middle Tennessee St."
"W" "00-00-1920" "28" "Bethel (KY)" "0" "Murfreesboro, TN" "" 0 0 1920 "Middle Tennessee St."
"W" "00-00-1920" "33" "Maryville (TN)" "14" "Murfreesboro, TN" "" 0 0 1920 "Middle Tennessee St."
"W" "00-00-1920" "44" "Bethel (KY)" "0" "Murfreesboro, TN" "" 0 0 1920 "Middle Tennessee St."
"L" "11-13-1920" "0" "Vanderbilt (TN)" "34" "Murfreesboro, TN" "" 11 13 1920 "Middle Tennessee St."
"W" "00-00-1920" "21" "Vanderbilt School of Medicine (TN)" "6" "Nashville, TN" "" 0 0 1920 "Middle Tennessee St."
"L" "10-01-1921" "0" "Vanderbilt (TN)" "34" "Nashville, TN" "" 10 1 1921 "Middle Tennessee St."
