"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1893" "10" "Las Cruces" "0" "?" "Game in Question" 0 0 1893 "New Mexico St."
"L" "01-01-1894" "6" "New Mexico" "18" "Albuquerque, NM" "" 1 1 1894 "New Mexico St."
"W" "00-00-1894" "1" "El Paso AC (TX)" "0" "Las Cruces, NM" "El Paso AC Forfeits" 0 0 1894 "New Mexico St."
"W" "00-00-1894" "10" "El Paso HS (TX)" "4" "Las Cruces, NM" "" 0 0 1894 "New Mexico St."
"L" "00-00-1895" "6" "Albuquerque Indian School (NM)" "12" "?" "Game in Question" 0 0 1895 "New Mexico St."
"W" "00-00-1895" "22" "Fort Bliss (TX)" "4" "?" "Game in Question" 0 0 1895 "New Mexico St."
"L" "00-00-1896" "0" "Las Cruces" "6" "Las Cruces, NM" "" 0 0 1896 "New Mexico St."
"L" "00-00-1896" "0" "Fort Bliss (TX)" "10" "Las Cruces, NM" "" 0 0 1896 "New Mexico St."
"T" "00-00-1897" "0" "Fort Bliss (TX)" "0" "El Paso, TX" "" 0 0 1897 "New Mexico St."
"W" "00-00-1897" "10" "Fort Bliss (TX)" "0" "Las Cruces, NM" "" 0 0 1897 "New Mexico St."
"W" "00-00-1898" "46" "El Paso AC (TX)" "0" "Las Cruces, NM" "" 0 0 1898 "New Mexico St."
"W" "00-00-1898" "11" "Albuquerque AC (NM)" "0" "Albuquerque, NM" "" 0 0 1898 "New Mexico St."
"L" "00-00-1898" "0" "Albuquerque Indian School (NM)" "6" "Albuquerque, NM" "" 0 0 1898 "New Mexico St."
"W" "00-00-1899" "38" "Albuquerque Indian School (NM)" "0" "Las Cruces, NM" "" 0 0 1899 "New Mexico St."
"L" "00-00-1900" "5" "New Mexico Highlands" "6" "Las Vegas, NM" "" 0 0 1900 "New Mexico St."
"L" "00-00-1900" "0" "Albuquerque Indian School (NM)" "11" "Las Cruces, NM" "" 0 0 1900 "New Mexico St."
"W" "00-00-1900" "16" "Las Cruces" "0" "Las Cruces, NM" "" 0 0 1900 "New Mexico St."
"W" "00-00-1900" "6" "Las Cruces" "0" "Las Cruces, NM" "" 0 0 1900 "New Mexico St."
"W" "00-00-1900" "22" "Organ Mining Camp (NM)" "5" "Las Cruces, NM" "" 0 0 1900 "New Mexico St."
"L" "00-00-1900" "0" "El Paso AC (TX)" "5" "El Paso, TX" "" 0 0 1900 "New Mexico St."
"T" "00-00-1900" "0" "El Paso AC (TX)" "0" "El Paso, TX" "" 0 0 1900 "New Mexico St."
"L" "00-00-1901" "0" "New Mexico Highlands" "6" "Las Vegas, NM" "" 0 0 1901 "New Mexico St."
"W" "00-00-1901" "5" "Albuquerque Indian School (NM)" "0" "Albuquerque, NM" "" 0 0 1901 "New Mexico St."
"W" "00-00-1901" "33" "Albuquerque National Guard (NM)" "0" "Albuquerque, NM" "" 0 0 1901 "New Mexico St."
"T" "00-00-1902" "0" "Albuquerque Indian School (NM)" "0" "Albuquerque, NM" "" 0 0 1902 "New Mexico St."
"T" "00-00-1902" "0" "Santa Fe Indian School (NM)" "0" "Las Cruces, NM" "" 0 0 1902 "New Mexico St."
"L" "00-00-1902" "0" "Albuquerque Indian School (NM)" "6" "Las Cruces, NM" "" 0 0 1902 "New Mexico St."
"W" "00-00-1903" "23" "Las Cruces" "0" "Las Cruces, NM" "" 0 0 1903 "New Mexico St."
"T" "00-00-1903" "0" "Santa Fe Indian School (NM)" "0" "Las Cruces, NM" "" 0 0 1903 "New Mexico St."
"W" "00-00-1903" "11" "El Paso AC (TX)" "0" "Las Cruces, NM" "" 0 0 1903 "New Mexico St."
"W" "00-00-1904" "36" "Mesilla Town Team (NM)" "0" "Las Cruces, NM" "" 0 0 1904 "New Mexico St."
"T" "00-00-1904" "0" "El Paso AC (TX)" "0" "El Paso, TX" "" 0 0 1904 "New Mexico St."
"L" "00-00-1904" "0" "Albuquerque AC (NM)" "22" "Las Cruces, NM" "" 0 0 1904 "New Mexico St."
"L" "00-00-1904" "6" "Fort Bliss (TX)" "11" "Las Cruces, NM" "" 0 0 1904 "New Mexico St."
"W" "00-00-1905" "17" "Fort Bliss (TX)" "0" "Las Cruces, NM" "" 0 0 1905 "New Mexico St."
"W" "11-30-1905" "40" "New Mexico" "0" "Las Cruces, NM" "" 11 30 1905 "New Mexico St."
