"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-22-1913" "0" "Texas Christian" "13" "Denton, TX" "" 11 22 1913 "North Texas"
"L" "09-26-1914" "0" "Texas Christian" "40" "Fort Worth, TX" "" 9 26 1914 "North Texas"
"W" "00-00-1914" "25" "Burleson College (TX)" "0" "?" "" 0 0 1914 "North Texas"
"L" "10-12-1914" "0" "Southeastern Oklahoma St." "39" "Denton, TX" "" 10 12 1914 "North Texas"
"W" "00-00-1914" "13" "Dallas (TX)" "2" "?" "" 0 0 1914 "North Texas"
"L" "00-00-1914" "0" "Terrell Academy (TX)" "6" "?" "" 0 0 1914 "North Texas"
"W" "00-00-1914" "18" "Sam Houston St. (TX)" "0" "Denton, TX" "" 0 0 1914 "North Texas"
"W" "10-06-1915" "13" "Southeastern Oklahoma St." "0" "Durant, OK" "" 10 6 1915 "North Texas"
"T" "10-13-1915" "0" "Austin (TX)" "0" "Sherman, TX" "" 10 13 1915 "North Texas"
"W" "10-22-1915" "75" "Decatur Baptist College (TX)" "0" "Denton, TX" "" 10 22 1915 "North Texas"
"W" "10-30-1915" "14" "Texas St." "0" "Denton, TX" "" 10 30 1915 "North Texas"
"W" "11-08-1915" "52" "Decatur Baptist College (TX)" "0" "Decatur, TX" "" 11 8 1915 "North Texas"
"L" "11-20-1915" "0" "Dallas (TX)" "6" "Dallas, TX" "" 11 20 1915 "North Texas"
"W" "11-25-1915" "6" "Sam Houston St. (TX)" "0" "Huntsville, TX" "" 11 25 1915 "North Texas"
"W" "00-00-1916" "6" "Southeastern Oklahoma St." "0" "?" "" 0 0 1916 "North Texas"
"W" "00-00-1916" "12" "Decatur Baptist College (TX)" "0" "?" "" 0 0 1916 "North Texas"
"L" "00-00-1916" "0" "Dallas (TX)" "42" "?" "" 0 0 1916 "North Texas"
"L" "10-31-1916" "7" "Trinity (TX)" "12" "Waxahachie, TX" "" 10 31 1916 "North Texas"
"T" "11-06-1916" "0" "Texas St." "0" "Denton, TX" "" 11 6 1916 "North Texas"
"W" "11-13-1916" "48" "Thorp Springs Christian College (TX)" "0" "?" "" 11 13 1916 "North Texas"
"L" "11-18-1916" "12" "Meridian College (TX)" "13" "Denton, TX" "" 11 18 1916 "North Texas"
