"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-24-1894" "0" "Marietta (OH)" "8" "Athens, OH" "" 11 24 1894 "Ohio"
"W" "10-05-1895" "18" "Parkersburg Town Team (WV)" "0" "Athens, OH" "" 10 5 1895 "Ohio"
"L" "00-00-1895" "0" "Ohio Wesleyan" "38" "?" "" 0 0 1895 "Ohio"
"L" "10-25-1895" "0" "Marietta (OH)" "24" "Athens, OH" "" 10 25 1895 "Ohio"
"L" "11-13-1895" "0" "Marietta (OH)" "66" "Marietta, OH" "" 11 13 1895 "Ohio"
"W" "11-29-1895" "60" "Lancaster HS (OH)" "0" "Lancaster, OH" "" 11 29 1895 "Ohio"
"L" "10-09-1896" "10" "Marietta (OH)" "22" "Marietta, OH" "" 10 9 1896 "Ohio"
"W" "10-16-1896" "12" "Chillicothe Young Men's Club (OH)" "6" "Chillicothe, OH" "" 10 16 1896 "Ohio"
"L" "10-17-1896" "0" "Cincinnati (OH)" "52" "Cincinnati, OH" "" 10 17 1896 "Ohio"
"T" "00-00-1896" "0" "Parkersburg Town Team (WV)" "0" "?" "" 0 0 1896 "Ohio"
"W" "00-00-1896" "18" "Portsmouth AC (OH)" "0" "Portsmouth, OH" "" 0 0 1896 "Ohio"
"W" "11-07-1896" "18" "Denison (OH)" "12" "Athens, OH" "" 11 7 1896 "Ohio"
"L" "11-13-1896" "6" "Marietta (OH)" "22" "Athens, OH" "Game in question" 11 13 1896 "Ohio"
"W" "11-26-1896" "22" "Chillicothe Young Men's Club (OH)" "8" "Chillicothe, OH" "" 11 26 1896 "Ohio"
"L" "09-25-1897" "0" "Cincinnati (OH)" "12" "Athens, OH" "" 9 25 1897 "Ohio"
"L" "10-02-1897" "0" "Marietta (OH)" "4" "Athens, OH" "" 10 2 1897 "Ohio"
"W" "10-16-1897" "32" "Muskingum (OH)" "0" "?" "" 10 16 1897 "Ohio"
"W" "10-23-1897" "28" "Denison (OH)" "0" "Granville, OH" "" 10 23 1897 "Ohio"
"W" "10-30-1897" "12" "Ohio Medical" "0" "Athens, OH" "" 10 30 1897 "Ohio"
