"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-27-1901" "0" "Kingfisher (OK)" "12" "Kingfisher, OK" "" 9 27 1901 "Oklahoma St."
"W" "00-00-1901" "17" "Northwestern Oklahoma St." "0" "Perry, OK" "" 0 0 1901 "Oklahoma St."
"L" "00-00-1901" "5" "Chilocco Indian School (OK)" "6" "Stillwater, OK" "" 0 0 1901 "Oklahoma St."
"L" "00-00-1901" "5" "Kingfisher (OK)" "11" "Stillwater, OK" "" 0 0 1901 "Oklahoma St."
"W" "00-00-1901" "12" "Pawnee Indian School (OK)" "0" "Stillwater, OK" "" 0 0 1901 "Oklahoma St."
"W" "00-00-1902" "40" "Central Oklahoma" "0" "?" "" 0 0 1902 "Oklahoma St."
"L" "00-00-1903" "0" "Oklahoma City (OK)" "5" "Oklahoma City, OK" "" 0 0 1903 "Oklahoma St."
"T" "00-00-1903" "0" "University JC (OK)" "0" "Stillwater, OK" "" 0 0 1903 "Oklahoma St."
"L" "00-00-1903" "0" "Oklahoma City Military (OK)" "5" "Oklahoma City, OK" "" 0 0 1903 "Oklahoma St."
"T" "00-00-1903" "6" "Oklahoma City Military (OK)" "6" "Stillwater, OK" "" 0 0 1903 "Oklahoma St."
"L" "00-00-1904" "0" "Chilocco Indian School (OK)" "23" "Chilocco, OK" "" 0 0 1904 "Oklahoma St."
"L" "00-00-1904" "0" "Chilocco Indian School (OK)" "17" "Stillwater, OK" "" 0 0 1904 "Oklahoma St."
"L" "00-00-1904" "0" "University JC (OK)" "6" "Tonkawa, OK" "" 0 0 1904 "Oklahoma St."
"L" "00-00-1904" "0" "Kingfisher (OK)" "11" "Kingfisher, OK" "" 0 0 1904 "Oklahoma St."
"L" "11-06-1904" "0" "Oklahoma" "75" "Guthrie, OK" "" 11 6 1904 "Oklahoma St."
"T" "00-00-1905" "0" "Chilocco Indian School (OK)" "0" "Stillwater, OK" "" 0 0 1905 "Oklahoma St."
