"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1893" "62" "Lewis & Clark (OR)" "0" "Corvallis, OR" "" 0 0 1893 "Oregon St."
"W" "00-00-1893" "36" "Western Oregon" "22" "Monmouth, OR" "" 0 0 1893 "Oregon St."
"W" "00-00-1893" "28" "Western Oregon" "0" "Corvallis, OR" "" 0 0 1893 "Oregon St."
"W" "00-00-1893" "6" "Multnomah AC (OR)" "0" "?" "" 0 0 1893 "Oregon St."
"L" "00-00-1893" "12" "Portland University (OR)" "26" "?" "" 0 0 1893 "Oregon St."
"W" "00-00-1894" "16" "Oregon" "0" "Corvallis, OR" "" 0 0 1894 "Oregon St."
"L" "00-00-1894" "0" "Portland University (OR)" "22" "?" "" 0 0 1894 "Oregon St."
"W" "00-00-1894" "36" "Western Oregon" "6" "Monmouth, OR" "" 0 0 1894 "Oregon St."
"T" "00-00-1895" "0" "Pacific (OR)" "0" "?" "" 0 0 1895 "Oregon St."
"L" "00-00-1895" "6" "Willamette (OR)" "36" "Salem, OR" "" 0 0 1895 "Oregon St."
"L" "00-00-1895" "0" "Oregon" "44" "Eugene, OR" "" 0 0 1895 "Oregon St."
"W" "00-00-1896" "18" "Vancouver Barracks (WA)" "0" "Corvallis, OR" "" 0 0 1896 "Oregon St."
"L" "00-00-1896" "0" "Oregon" "2" "Eugene, OR" "" 0 0 1896 "Oregon St."
"L" "00-00-1896" "8" "Oregon" "12" "Corvallis, OR" "" 0 0 1896 "Oregon St."
"W" "00-00-1897" "26" "Oregon" "8" "Eugene, OR" "" 0 0 1897 "Oregon St."
"W" "12-04-1897" "16" "Washington" "0" "Corvallis, OR" "" 12 4 1897 "Oregon St."
"W" "00-00-1898" "25" "Lewis & Clark (OR)" "6" "Corvallis, OR" "" 0 0 1898 "Oregon St."
"T" "00-00-1898" "5" "Pacific (OR)" "5" "Corvallis, OR" "" 0 0 1898 "Oregon St."
"L" "00-00-1898" "6" "Chemawa Indian School (OR)" "29" "Corvallis, OR" "" 0 0 1898 "Oregon St."
