"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1894" "44" "Lewis & Clark (OR)" "2" "Albany, OR" "" 0 0 1894 "Oregon"
"L" "00-00-1894" "0" "Oregon St." "16" "Corvallis, OR" "" 0 0 1894 "Oregon"
"L" "00-00-1894" "0" "Portland University (OR)" "12" "?" "" 0 0 1894 "Oregon"
"T" "00-00-1894" "0" "Pacific (OR)" "0" "?" "" 0 0 1894 "Oregon"
"W" "00-00-1895" "44" "Oregon St." "0" "Eugene, OR" "" 0 0 1895 "Oregon"
"W" "00-00-1895" "8" "Willamette (OR)" "4" "?" "" 0 0 1895 "Oregon"
"W" "00-00-1895" "6" "Portland University (OR)" "4" "?" "" 0 0 1895 "Oregon"
"W" "00-00-1895" "6" "Willamette (OR)" "0" "?" "" 0 0 1895 "Oregon"
"W" "00-00-1896" "2" "Oregon St." "0" "Eugene, OR" "" 0 0 1896 "Oregon"
"W" "00-00-1896" "12" "Oregon St." "8" "Corvallis, OR" "" 0 0 1896 "Oregon"
"L" "00-00-1896" "6" "Multnomah AC (OR)" "12" "?" "" 0 0 1896 "Oregon"
"W" "00-00-1897" "10" "Chemawa Indian School (OR)" "0" "?" "" 0 0 1897 "Oregon"
"L" "00-00-1897" "8" "Oregon St." "26" "Eugene, OR" "" 0 0 1897 "Oregon"
"W" "11-05-1898" "34" "Chemawa Indian School (OR)" "0" "?" "" 11 5 1898 "Oregon"
"W" "11-24-1898" "95" "Portland University (OR)" "0" "?" "" 11 24 1898 "Oregon"
"L" "12-03-1898" "0" "Multnomah AC (OR)" "21" "?" "" 12 3 1898 "Oregon"
"W" "12-10-1898" "38" "Oregon St." "0" "Corvallis, OR" "" 12 10 1898 "Oregon"
"W" "11-04-1899" "29" "Chemawa Indian School (OR)" "0" "?" "" 11 4 1899 "Oregon"
"L" "11-11-1899" "0" "Multnomah AC (OR)" "5" "?" "" 11 11 1899 "Oregon"
"L" "11-18-1899" "0" "California" "12" "Berkeley, CA" "" 11 18 1899 "Oregon"
"W" "11-21-1899" "35" "Oregon State Normal School (OR)" "0" "?" "" 11 21 1899 "Oregon"
"T" "11-25-1899" "0" "Multnomah AC (OR)" "0" "?" "" 11 25 1899 "Oregon"
"W" "11-30-1899" "38" "Oregon St." "0" "Eugene, OR" "" 11 30 1899 "Oregon"
"L" "10-27-1900" "0" "Capital AC (OR)" "5" "?" "" 10 27 1900 "Oregon"
"L" "11-03-1900" "0" "Multnomah AC (OR)" "5" "?" "" 11 3 1900 "Oregon"
"L" "11-10-1900" "0" "Stanford (CA)" "34" "Stanford, CA" "" 11 10 1900 "Oregon"
"W" "11-17-1900" "2" "California" "0" "Berkeley, CA" "" 11 17 1900 "Oregon"
"W" "11-19-1900" "21" "Oregon State Normal School (OR)" "0" "?" "" 11 19 1900 "Oregon"
"T" "11-29-1900" "0" "Multnomah AC (OR)" "0" "?" "" 11 29 1900 "Oregon"
