"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-26-1912" "7" "Houston HS (TX)" "6" "Houston, TX" "" 10 26 1912 "Rice (TX)"
"W" "10-30-1912" "13" "Orange HS (TX)" "0" "?" "" 10 30 1912 "Rice (TX)"
"W" "11-09-1912" "20" "Sam Houston St. (TX)" "6" "Huntsville, TX" "" 11 9 1912 "Rice (TX)"
"L" "11-15-1912" "0" "Southwestern (TX)" "32" "Georgetown, TX" "Synder Field" 11 15 1912 "Rice (TX)"
"L" "11-28-1912" "0" "Austin (TX)" "81" "Sherman, TX" "" 11 28 1912 "Rice (TX)"
"W" "10-17-1913" "14" "Signal Corps, Company B (TX)" "0" "Houston, TX" "" 10 17 1913 "Rice (TX)"
"W" "10-25-1913" "7" "Houston HS (TX)" "0" "Houston, TX" "" 10 25 1913 "Rice (TX)"
"W" "11-18-1913" "53" "Southwestern (TX)" "14" "Houston, TX" "" 11 18 1913 "Rice (TX)"
"W" "11-27-1913" "7" "Trinity (TX)" "0" "San Marcos, TX" "" 11 27 1913 "Rice (TX)"
"W" "10-10-1914" "12" "Southwestern (TX)" "7" "Houston, TX" "" 10 10 1914 "Rice (TX)"
"L" "10-17-1914" "0" "Texas" "41" "Austin, TX" "" 10 17 1914 "Rice (TX)"
"T" "10-24-1914" "0" "Texas Christian" "0" "Houston, TX" "" 10 24 1914 "Rice (TX)"
"W" "10-31-1914" "13" "Daniel Baker (TX)" "7" "Houston, TX" "" 10 31 1914 "Rice (TX)"
"L" "11-09-1914" "7" "Texas A&M" "32" "Houston, TX" "" 11 9 1914 "Rice (TX)"
"T" "11-14-1914" "13" "Oklahoma St." "13" "Houston, TX" "" 11 14 1914 "Rice (TX)"
"W" "11-20-1914" "14" "Baylor (TX)" "13" "Waco, TX" "" 11 20 1914 "Rice (TX)"
"T" "11-26-1914" "0" "Austin (TX)" "0" "Sherman, TX" "" 11 26 1914 "Rice (TX)"
"W" "10-02-1915" "46" "Trinity (TX)" "0" "Houston, TX" "" 10 2 1915 "Rice (TX)"
"L" "10-08-1915" "0" "Baylor (TX)" "26" "Houston, TX" "" 10 8 1915 "Rice (TX)"
"L" "10-16-1915" "0" "Texas" "59" "Austin, TX" "" 10 16 1915 "Rice (TX)"
"W" "10-23-1915" "28" "Daniel Baker (TX)" "0" "Houston, TX" "" 10 23 1915 "Rice (TX)"
"W" "10-30-1915" "33" "Texas Christian" "3" "Houston, TX" "" 10 30 1915 "Rice (TX)"
"W" "11-08-1915" "7" "Texas A&M" "0" "Houston, TX" "" 11 8 1915 "Rice (TX)"
"W" "11-17-1915" "6" "Louisiana St." "0" "Houston, TX" "" 11 17 1915 "Rice (TX)"
"L" "11-27-1915" "2" "Notre Dame (IN)" "55" "Houston, TX" "" 11 27 1915 "Rice (TX)"
"L" "10-07-1916" "2" "Texas" "16" "Austin, TX" "" 10 7 1916 "Rice (TX)"
