"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-06-1869" "6" "Princeton (NJ)" "4" "New Brunswick, NJ" "Rutgers 6g - Princeton 4g" 11 6 1869 "Rutgers (NJ)"
"L" "11-13-1869" "0" "Princeton (NJ)" "8" "Princeton, NJ" "Princeton 8g - Rutgers 0" 11 13 1869 "Rutgers (NJ)"
"W" "11-12-1870" "6" "Columbia (NY)" "3" "New Brunswick, NJ" "Rutgers 6g - Columbia 3g" 11 12 1870 "Rutgers (NJ)"
"L" "11-19-1870" "2" "Princeton (NJ)" "6" "Princeton, NJ" "Princeton 6g - Rutgers 2g" 11 19 1870 "Rutgers (NJ)"
"W" "11-02-1872" "1" "Columbia (NY)" "0" "New York, NY" "Rutgers 1g - Columbia 0" 11 2 1872 "Rutgers (NJ)"
"W" "11-09-1872" "5" "Columbia (NY)" "2" "New Brunswick, NJ" "Rutgers 5g - Columbia 2g" 11 9 1872 "Rutgers (NJ)"
"L" "11-23-1872" "1" "Princeton (NJ)" "4" "Princeton, NJ" "Princeton 4g - Rutgers 1g" 11 23 1872 "Rutgers (NJ)"
"L" "10-25-1873" "1" "Yale (CT)" "4" "New Haven, CT" "Yale 4g - Rutgers 1g" 10 25 1873 "Rutgers (NJ)"
"W" "11-01-1873" "5" "Columbia (NY)" "4" "New Brunswick, NJ" "Rutgers 5g - Columbia 4g" 11 1 1873 "Rutgers (NJ)"
"L" "11-15-1873" "3" "Columbia (NY)" "4" "Hoboken, NJ" "Columbia 4g - Rutgers 3g" 11 15 1873 "Rutgers (NJ)"
"W" "10-24-1874" "6" "Columbia (NY)" "1" "New Brunswick, NJ" "Rutgers 6g - Columbia 1g" 10 24 1874 "Rutgers (NJ)"
"W" "11-01-1874" "6" "Stevens Tech (NJ)" "0" "New Brunswick, NJ" "Rutgers 6 - Stevens Tech 0" 11 1 1874 "Rutgers (NJ)"
"L" "11-07-1874" "1" "Columbia (NY)" "4" "Hoboken, NJ" "Columbia 4g - Rutgers 1g" 11 7 1874 "Rutgers (NJ)"
"L" "11-21-1874" "0" "Princeton (NJ)" "6" "Princeton, NJ" "Princeton 6g - Rutgers 0" 11 21 1874 "Rutgers (NJ)"
"W" "10-24-1875" "6" "Stevens Tech (NJ)" "0" "New Brunswick, NJ" "Rutgers 6g - Stevens Tech 0" 10 24 1875 "Rutgers (NJ)"
"T" "11-02-1875" "1" "Columbia (NY)" "1" "New Brunswick, NJ" "Columbia 1g - Rutgers 1g" 11 2 1875 "Rutgers (NJ)"
"L" "11-06-1875" "1" "Yale (CT)" "4" "New Haven, CT" "Yale 4g - Rutgers 1g" 11 6 1875 "Rutgers (NJ)"
"W" "11-01-1876" "3" "Stevens Tech (NJ)" "2" "New Brunswick, NJ" "Rutgers 3g - Stevens Tech 2g" 11 1 1876 "Rutgers (NJ)"
"L" "10-27-1877" "1" "Stevens Tech (NJ)" "2" "Hoboken, NJ" "Stevens Tech 2t - Rutgers 1t" 10 27 1877 "Rutgers (NJ)"
"L" "11-06-1877" "2" "Columbia (NY)" "4" "Hoboken, NJ" "Columbia 4t - Rutgers 2t" 11 6 1877 "Rutgers (NJ)"
"L" "11-14-1877" "0" "Stevens Tech (NJ)" "1" "New Brunswick, NJ" "Rutgers 0 - Stevens Tech 1g,1t" 11 14 1877 "Rutgers (NJ)"
"T" "10-29-1878" "0" "Stevens Tech (NJ)" "0" "New Brunswick, NJ" "Stevens Tech 0 - Rutgers 0" 10 29 1878 "Rutgers (NJ)"
"L" "11-02-1878" "0" "Princeton (NJ)" "5" "Princeton, NJ" "Princeton 5g,8t - Rutgers 0" 11 2 1878 "Rutgers (NJ)"
"L" "11-09-1878" "0" "Stevens Tech (NJ)" "1" "Hoboken, NJ" "Stevens Tech 1g - Rutgers 0" 11 9 1878 "Rutgers (NJ)"
"W" "12-07-1878" "6" "City College of New York" "0" "New Brunswick, NJ" "Rutgers 6t,5s - City College of New York  9s" 12 7 1878 "Rutgers (NJ)"
