"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "02-11-1893" "0" "San Jose YMCA (CA)" "4" "?" "" 2 11 1893 "San Jose St. (CA)"
"L" "12-09-1893" "0" "San Jose YMCA (CA)" "18" "San Jose, CA" "Recreation Park" 12 9 1893 "San Jose St. (CA)"
"T" "01-25-1896" "6" "Pacific (CA)" "6" "?" "" 1 25 1896 "San Jose St. (CA)"
"W" "00-00-1898" "18" "Pacific (CA)" "0" "?" "" 0 0 1898 "San Jose St. (CA)"
"W" "10-22-1898" "23" "Alameda HS (CA)" "5" "San Jose, CA" "Cyclers Park" 10 22 1898 "San Jose St. (CA)"
"T" "10-29-1898" "6" "San Jose HS (CA)" "6" "San Jose, CA" "Cyclers Park" 10 29 1898 "San Jose St. (CA)"
"W" "11-05-1898" "16" "Oakland HS (CA)" "0" "San Jose, CA" "" 11 5 1898 "San Jose St. (CA)"
"W" "11-19-1898" "6" "Stockton HS (CA)" "0" "?" "" 11 19 1898 "San Jose St. (CA)"
"W" "11-26-1898" "11" "San Francisco Lowell Boys HS (CA)" "6" "San Francisco, CA" "" 11 26 1898 "San Jose St. (CA)"
"W" "09-26-1899" "5" "Pacific (CA)" "0" "Stockton, CA" "" 9 26 1899 "San Jose St. (CA)"
"W" "09-29-1899" "6" "Stanford Freshmen (CA)" "0" "Stanford, CA" "San Jose St. won - score unknown" 9 29 1899 "San Jose St. (CA)"
"W" "10-07-1899" "23" "Santa Clara HS (CA)" "0" "San Jose, CA" "Cyclers Park" 10 7 1899 "San Jose St. (CA)"
"W" "10-14-1899" "17" "Palo Alto HS (CA)" "0" "?" "" 10 14 1899 "San Jose St. (CA)"
"W" "10-21-1899" "28" "Hoitts Academy (CA)" "0" "San Jose, CA" "Cyclers Park" 10 21 1899 "San Jose St. (CA)"
"W" "10-28-1899" "35" "Saint Matthews School (CA)" "12" "San Jose, CA" "" 10 28 1899 "San Jose St. (CA)"
"L" "11-11-1899" "0" "Belmont Prep School" "1" "San Jose, CA" "San Jose St. Forfeits" 11 11 1899 "San Jose St. (CA)"
"L" "11-22-1899" "0" "California" "44" "Berkeley, CA" "" 11 22 1899 "San Jose St. (CA)"
"L" "11-30-1899" "0" "Nevada" "6" "Reno, NV" "" 11 30 1899 "San Jose St. (CA)"
"T" "12-13-1899" "6" "Santa Clara (CA)" "6" "San Jose, CA" "" 12 13 1899 "San Jose St. (CA)"
"L" "10-10-1900" "0" "Stanford (CA)" "35" "San Jose, CA" "" 10 10 1900 "San Jose St. (CA)"
"L" "10-20-1900" "0" "Stanford (CA)" "24" "Stanford, CA" "" 10 20 1900 "San Jose St. (CA)"
"T" "11-04-1900" "0" "Nevada" "0" "Reno, NV" "" 11 4 1900 "San Jose St. (CA)"
"W" "11-17-1900" "6" "California JV" "0" "San Jose, CA" "" 11 17 1900 "San Jose St. (CA)"
"L" "11-22-1900" "0" "California" "5" "Berkeley, CA" "" 11 22 1900 "San Jose St. (CA)"
"W" "12-08-1900" "5" "Cal St.-Chico" "0" "San Jose, CA" "" 12 8 1900 "San Jose St. (CA)"
"W" "00-00-1900" "12" "Cal St.-Chico" "0" "?" "" 0 0 1900 "San Jose St. (CA)"
"L" "00-00-1921" "7" "San Jose HS (CA)" "20" "?" "" 0 0 1921 "San Jose St. (CA)"
"L" "00-00-1921" "0" "Santa Clara University HS (CA)" "48" "?" "" 0 0 1921 "San Jose St. (CA)"
"L" "10-22-1921" "0" "Pacific (CA)" "34" "Stockton, CA" "" 10 22 1921 "San Jose St. (CA)"
"L" "00-00-1921" "0" "San Jose HS (CA)" "7" "?" "" 0 0 1921 "San Jose St. (CA)"
"L" "00-00-1921" "14" "Hollister JC (CA)" "30" "?" "" 0 0 1921 "San Jose St. (CA)"
"W" "11-21-1921" "14" "Fresno St. (CA)" "2" "Fresno, CA" "" 11 21 1921 "San Jose St. (CA)"
"T" "00-00-1922" "6" "San Jose HS (CA)" "6" "?" "" 0 0 1922 "San Jose St. (CA)"
"L" "00-00-1922" "3" "College of San Mateo (CA)" "6" "?" "" 0 0 1922 "San Jose St. (CA)"
"W" "00-00-1922" "12" "Santa Clara HS (CA)" "7" "?" "" 0 0 1922 "San Jose St. (CA)"
