"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1894" "14" "Philadelphia Dental College (PA)" "6" "?" "" 0 0 1894 "Temple (PA)"
"W" "00-00-1894" "26" "1st Regiment" "0" "?" "" 0 0 1894 "Temple (PA)"
"L" "00-00-1894" "0" "Ursinus (PA)" "16" "?" "" 0 0 1894 "Temple (PA)"
"W" "00-00-1894" "12" "Crescent AC (PA)" "10" "?" "" 0 0 1894 "Temple (PA)"
"W" "00-00-1894" "18" "Central Pennsylvania" "0" "?" "" 0 0 1894 "Temple (PA)"
"T" "00-00-1895" "0" "Schuylkill Navy AC (PA)" "0" "?" "" 0 0 1895 "Temple (PA)"
"L" "00-00-1895" "0" "New Jersey (NJ)" "8" "?" "" 0 0 1895 "Temple (PA)"
"W" "00-00-1895" "30" "Central Pennsylvania" "0" "?" "" 0 0 1895 "Temple (PA)"
"L" "00-00-1895" "0" "Stevens Tech (NJ)" "10" "?" "" 0 0 1895 "Temple (PA)"
"L" "00-00-1895" "0" "Pratt Institute (NY)" "15" "?" "" 0 0 1895 "Temple (PA)"
"L" "00-00-1895" "0" "Ursinus (PA)" "56" "?" "" 0 0 1895 "Temple (PA)"
"L" "00-00-1896" "8" "Polytechnic (NY)" "16" "?" "" 0 0 1896 "Temple (PA)"
"L" "00-00-1896" "6" "Loyola (MD)" "14" "?" "" 0 0 1896 "Temple (PA)"
"W" "00-00-1896" "4" "New Jersey (NJ)" "2" "?" "" 0 0 1896 "Temple (PA)"
"W" "00-00-1896" "6" "Philadelphia Dental College (PA)" "0" "?" "" 0 0 1896 "Temple (PA)"
"W" "00-00-1896" "26" "Central Pennsylvania" "0" "?" "" 0 0 1896 "Temple (PA)"
"W" "00-00-1897" "18" "Eastburn Academy (PA)" "3" "?" "" 0 0 1897 "Temple (PA)"
"W" "00-00-1897" "22" "Philadelphia Dental College (PA)" "0" "?" "" 0 0 1897 "Temple (PA)"
"L" "00-00-1897" "6" "Loyola (MD)" "22" "?" "" 0 0 1897 "Temple (PA)"
"W" "00-00-1897" "54" "Central Pennsylvania" "10" "?" "" 0 0 1897 "Temple (PA)"
"L" "00-00-1897" "0" "Saint Francis Xavier (NY)" "30" "?" "" 0 0 1897 "Temple (PA)"
"L" "00-00-1897" "0" "Philadelphia Pharmacy (PA)" "20" "?" "" 0 0 1897 "Temple (PA)"
"L" "00-00-1898" "0" "Oak Lane AC (PA)" "12" "?" "" 0 0 1898 "Temple (PA)"
"L" "00-00-1898" "6" "West Chester (PA)" "20" "?" "" 0 0 1898 "Temple (PA)"
"W" "00-00-1898" "3" "Philadelphia (PA)" "0" "?" "" 0 0 1898 "Temple (PA)"
"W" "00-00-1898" "12" "Schuylkill Navy AC (PA)" "8" "?" "" 0 0 1898 "Temple (PA)"
"L" "00-00-1898" "8" "Widener (PA)" "15" "?" "" 0 0 1898 "Temple (PA)"
"L" "00-00-1898" "3" "New Jersey (NJ)" "40" "?" "" 0 0 1898 "Temple (PA)"
"L" "00-00-1898" "0" "Beverly AC (NJ)" "38" "?" "" 0 0 1898 "Temple (PA)"
