"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1904" "6" "Saint Edward's (TX)" "0" "?" "" 0 0 1904 "Texas St."
"W" "00-00-1904" "18" "West Texas Military Academy" "0" "?" "" 0 0 1904 "Texas St."
"W" "00-00-1904" "48" "West Texas Military Academy" "0" "?" "" 0 0 1904 "Texas St."
"W" "00-00-1904" "18" "Texas School for the Deaf" "5" "?" "" 0 0 1904 "Texas St."
"L" "00-00-1904" "5" "Texas School for the Deaf" "12" "?" "" 0 0 1904 "Texas St."
"W" "00-00-1904" "5" "Austin (TX)" "0" "?" "" 0 0 1904 "Texas St."
"L" "10-04-1909" "0" "Baylor (TX)" "55" "Waco, TX" "" 10 4 1909 "Texas St."
"L" "00-00-1910" "0" "Austin (TX)" "19" "?" "" 0 0 1910 "Texas St."
"L" "10-04-1913" "7" "Baylor (TX)" "9" "Waco, TX" "" 10 4 1913 "Texas St."
"W" "00-00-1915" "13" "Texas Lutheran" "6" "?" "" 0 0 1915 "Texas St."
"T" "00-00-1915" "0" "Sam Houston St. (TX)" "0" "San Marcos, TX" "" 0 0 1915 "Texas St."
"L" "10-30-1915" "0" "North Texas" "14" "Denton, TX" "" 10 30 1915 "Texas St."
"L" "09-30-1916" "0" "Baylor (TX)" "75" "Waco, TX" "" 9 30 1916 "Texas St."
"T" "11-06-1916" "0" "North Texas" "0" "Denton, TX" "" 11 6 1916 "Texas St."
"L" "11-18-1916" "0" "Sam Houston St. (TX)" "31" "Huntsville, TX" "" 11 18 1916 "Texas St."
"W" "00-00-1917" "12" "Sam Houston St. (TX)" "0" "San Marcos, TX" "" 0 0 1917 "Texas St."
"L" "10-04-1918" "0" "Southwestern (TX)" "35" "Georgetown, TX" "" 10 4 1918 "Texas St."
"L" "10-04-1919" "0" "Texas A&M" "28" "College Station, TX" "" 10 4 1919 "Texas St."
"L" "10-11-1919" "0" "Southwestern (TX)" "19" "Georgetown, TX" "" 10 11 1919 "Texas St."
"L" "00-00-1919" "0" "Texas Shorthorns" "18" "?" "" 0 0 1919 "Texas St."
"W" "00-00-1919" "32" "Sam Houston St. (TX)" "0" "San Marcos, TX" "" 0 0 1919 "Texas St."
"W" "00-00-1919" "20" "West Texas Military Academy" "0" "?" "" 0 0 1919 "Texas St."
"L" "00-00-1919" "0" "Meridian College (TX)" "6" "?" "" 0 0 1919 "Texas St."
"W" "00-00-1919" "13" "San Marcos Military Academy (TX)" "6" "?" "" 0 0 1919 "Texas St."
