"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-10-1917" "0" "Detroit (MI)" "145" "Detroit, MI" "" 10 10 1917 "Toledo (OH)"
"L" "10-20-1917" "0" "Ohio Northern" "90" "Ada, OH" "" 10 20 1917 "Toledo (OH)"
"L" "00-00-1917" "0" "Findlay (OH)" "27" "Findlay, OH" "" 0 0 1917 "Toledo (OH)"
"W" "00-00-1918" "19" "Defiance (OH)" "12" "?" "" 0 0 1918 "Toledo (OH)"
"L" "00-00-1918" "17" "Hillsdale (MI)" "31" "?" "" 0 0 1918 "Toledo (OH)"
"L" "09-27-1919" "0" "Ohio Northern" "13" "Ada, OH" "" 9 27 1919 "Toledo (OH)"
"W" "10-03-1919" "6" "Bowling Green (OH)" "0" "Bowling Green, OH" "" 10 3 1919 "Toledo (OH)"
"L" "10-11-1919" "0" "Western Reserve (OH)" "19" "Toledo, OH" "" 10 11 1919 "Toledo (OH)"
"L" "10-19-1919" "6" "Adrian (MI)" "27" "?" "" 10 19 1919 "Toledo (OH)"
"W" "00-00-1919" "12" "Defiance (OH)" "6" "?" "" 0 0 1919 "Toledo (OH)"
"L" "11-08-1919" "7" "Wayne St. (MI)" "8" "Detroit, MI" "" 11 8 1919 "Toledo (OH)"
"L" "09-25-1920" "7" "Western Reserve (OH)" "17" "Cleveland, OH" "" 9 25 1920 "Toledo (OH)"
"L" "10-01-1920" "0" "Wooster (OH)" "36" "Toledo, OH" "" 10 1 1920 "Toledo (OH)"
"L" "10-07-1920" "0" "Wayne St. (MI)" "14" "Detroit, MI" "" 10 7 1920 "Toledo (OH)"
"L" "09-24-1921" "0" "Cincinnati (OH)" "20" "Cincinnati, OH" "" 9 24 1921 "Toledo (OH)"
"W" "10-08-1921" "46" "Findlay (OH)" "0" "Findlay, OH" "" 10 8 1921 "Toledo (OH)"
"W" "10-15-1921" "40" "Defiance (OH)" "0" "Toledo, OH" "" 10 15 1921 "Toledo (OH)"
"L" "10-22-1921" "0" "Adrian (MI)" "1" "Adrian, MI" "Toledo Forfeits" 10 22 1921 "Toledo (OH)"
"L" "10-29-1921" "7" "Bowling Green (OH)" "20" "Toledo, OH" "" 10 29 1921 "Toledo (OH)"
"W" "11-05-1921" "1" "Baldwin-Wallace (OH)" "0" "Toledo, OH" "Baldwin-Wallace Forfeits" 11 5 1921 "Toledo (OH)"
"L" "11-11-1921" "0" "Bluffton (OH)" "14" "Bluffton, OH" "" 11 11 1921 "Toledo (OH)"
"L" "11-19-1921" "0" "Wayne St. (MI)" "13" "Toledo, OH" "" 11 19 1921 "Toledo (OH)"
"L" "10-07-1922" "0" "Defiance (OH)" "7" "Defiance, OH" "" 10 7 1922 "Toledo (OH)"
"T" "10-14-1922" "0" "Alma (MI)" "0" "Toledo, OH" "" 10 14 1922 "Toledo (OH)"
"W" "10-20-1922" "6" "Hillsdale (MI)" "0" "Toledo, OH" "" 10 20 1922 "Toledo (OH)"
"T" "11-04-1922" "6" "Bowling Green (OH)" "6" "Bowling Green, OH" "" 11 4 1922 "Toledo (OH)"
"W" "11-11-1922" "3" "Muskingum (OH)" "0" "Toledo, OH" "" 11 11 1922 "Toledo (OH)"
"L" "11-18-1922" "2" "Wayne St. (MI)" "6" "Detroit, MI" "" 11 18 1922 "Toledo (OH)"
"T" "11-24-1922" "0" "Baldwin-Wallace (OH)" "0" "Toledo, OH" "" 11 24 1922 "Toledo (OH)"
"L" "09-29-1923" "12" "Carnegie Mellon (PA)" "32" "Pittsburgh, PA" "" 9 29 1923 "Toledo (OH)"
"W" "10-06-1923" "13" "Eastern Michigan" "0" "Toledo, OH" "" 10 6 1923 "Toledo (OH)"
"L" "10-13-1923" "3" "Akron (OH)" "10" "Akron, OH" "" 10 13 1923 "Toledo (OH)"
"W" "10-19-1923" "26" "Defiance (OH)" "0" "Toledo, OH" "" 10 19 1923 "Toledo (OH)"
"W" "10-27-1923" "27" "Bowling Green (OH)" "0" "Toledo, OH" "" 10 27 1923 "Toledo (OH)"
"W" "11-03-1923" "87" "Findlay (OH)" "0" "Toledo, OH" "" 11 3 1923 "Toledo (OH)"
"W" "11-10-1923" "32" "Grand Rapids (MI)" "0" "Toledo, OH" "" 11 10 1923 "Toledo (OH)"
"W" "11-17-1923" "38" "Wayne St. (MI)" "0" "Toledo, OH" "" 11 17 1923 "Toledo (OH)"
"L" "11-24-1923" "19" "Hillsdale (MI)" "32" "Hillsdale, MI" "" 11 24 1923 "Toledo (OH)"
"L" "12-01-1923" "0" "Notre Dame JV (IN)" "31" "Toledo, OH" "" 12 1 1923 "Toledo (OH)"
"W" "10-04-1924" "7" "Eastern Michigan" "0" "Ypsilanti, MI" "" 10 4 1924 "Toledo (OH)"
"L" "10-11-1924" "0" "Carnegie Mellon (PA)" "54" "Pittsburgh, PA" "" 10 11 1924 "Toledo (OH)"
"W" "10-18-1924" "19" "Hillsdale (MI)" "0" "Toledo, OH" "" 10 18 1924 "Toledo (OH)"
"W" "10-25-1924" "12" "Bowling Green (OH)" "7" "Toledo, OH" "" 10 25 1924 "Toledo (OH)"
"W" "11-01-1924" "6" "Assumption College (Canada)" "0" "Toledo, OH" "" 11 1 1924 "Toledo (OH)"
"L" "11-08-1924" "6" "Dayton (OH)" "52" "Dayton, OH" "" 11 8 1924 "Toledo (OH)"
"W" "11-15-1924" "27" "Wayne St. (MI)" "0" "Detroit, MI" "" 11 15 1924 "Toledo (OH)"
"L" "11-22-1924" "7" "Akron (OH)" "14" "Akron, OH" "" 11 22 1924 "Toledo (OH)"
"L" "09-26-1925" "0" "Western Reserve (OH)" "14" "Toledo, OH" "" 9 26 1925 "Toledo (OH)"
"L" "10-03-1925" "0" "Buffalo (NY)" "2" "Buffalo, NY" "" 10 3 1925 "Toledo (OH)"
"L" "10-10-1925" "6" "Dayton (OH)" "29" "Toledo, OH" "" 10 10 1925 "Toledo (OH)"
"L" "10-17-1925" "0" "Ohio" "7" "Toledo, OH" "" 10 17 1925 "Toledo (OH)"
"L" "10-31-1925" "2" "Assumption College (Canada)" "6" "Windsor, ON (Canada)" "" 10 31 1925 "Toledo (OH)"
"L" "11-07-1925" "0" "Michigan St." "58" "East Lansing, MI" "" 11 7 1925 "Toledo (OH)"
"W" "11-11-1925" "20" "Findlay (OH)" "0" "Findlay, OH" "" 11 11 1925 "Toledo (OH)"
"L" "11-14-1925" "0" "Wayne St. (MI)" "23" "Toledo, OH" "" 11 14 1925 "Toledo (OH)"
"L" "11-21-1925" "0" "Louisville (KY)" "33" "Louisville, KY" "" 11 21 1925 "Toledo (OH)"
"L" "10-02-1926" "0" "Alma (MI)" "20" "Alma, MI" "" 10 2 1926 "Toledo (OH)"
"L" "10-09-1926" "14" "Hillsdale (MI)" "26" "Toledo, OH" "" 10 9 1926 "Toledo (OH)"
"L" "10-16-1926" "0" "Defiance (OH)" "12" "Defiance, OH" "" 10 16 1926 "Toledo (OH)"
"L" "10-23-1926" "7" "Bluffton (OH)" "13" "Toledo, OH" "" 10 23 1926 "Toledo (OH)"
"W" "10-30-1926" "7" "Findlay (OH)" "0" "Toledo, OH" "" 10 30 1926 "Toledo (OH)"
"L" "11-06-1926" "6" "Xavier (OH)" "69" "Cincinnati, OH" "" 11 6 1926 "Toledo (OH)"
"W" "11-13-1926" "14" "Wayne St. (MI)" "7" "Detroit, MI" "" 11 13 1926 "Toledo (OH)"
"W" "11-20-1926" "33" "Buffalo (NY)" "7" "Toledo, OH" "" 11 20 1926 "Toledo (OH)"
