"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "10-21-1910" "0" "Wetumpka Agriculture School (AL)" "0" "Troy, AL" "" 10 21 1910 "Troy (AL)"
"L" "10-24-1910" "0" "Montgomery Sidney Lanier HS (AL)" "11" "Montgomery, AL" "" 10 24 1910 "Troy (AL)"
"T" "10-29-1910" "0" "Montgomery HS (AL)" "0" "Troy, AL" "" 10 29 1910 "Troy (AL)"
"W" "11-24-1910" "11" "Montgomery HS (AL)" "5" "Troy, AL" "" 11 24 1910 "Troy (AL)"
"W" "10-21-1911" "16" "Columbus" "5" "Troy, AL" "" 10 21 1911 "Troy (AL)"
"L" "10-27-1911" "0" "Wetumpka Agriculture School (AL)" "10" "Wetumpka, AL" "" 10 27 1911 "Troy (AL)"
"W" "11-03-1911" "17" "Highland Avenue HS (AL)" "0" "Troy, AL" "" 11 3 1911 "Troy (AL)"
"T" "11-18-1911" "5" "Montgomery Sidney Lanier HS (AL)" "5" "Troy, AL" "" 11 18 1911 "Troy (AL)"
"W" "11-24-1911" "5" "Wetumpka Agriculture School (AL)" "0" "Troy, AL" "" 11 24 1911 "Troy (AL)"
"W" "11-30-1911" "6" "Montgomery HS (AL)" "0" "Troy, AL" "" 11 30 1911 "Troy (AL)"
"W" "11-02-1912" "25" "Dothan HS (AL)" "0" "Dothan, AL" "" 11 2 1912 "Troy (AL)"
"W" "11-08-1912" "12" "Wetumpka Agriculture School (AL)" "7" "Troy, AL" "" 11 8 1912 "Troy (AL)"
"W" "11-23-1912" "24" "Ozark HS (AL)" "3" "Troy, AL" "" 11 23 1912 "Troy (AL)"
"L" "09-23-1921" "0" "Luverne HS (AL)" "30" "Luverne, AL" "" 9 23 1921 "Troy (AL)"
"L" "09-29-1921" "0" "Enterprise HS (AL)" "33" "Troy, AL" "" 9 29 1921 "Troy (AL)"
"L" "10-07-1921" "0" "Ramer HS (AL)" "65" "Ramer, AL" "" 10 7 1921 "Troy (AL)"
"L" "10-14-1921" "0" "Luverne HS (AL)" "34" "Troy, AL" "" 10 14 1921 "Troy (AL)"
