"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-25-1892" "12" "Utah" "0" "Logan, UT" "" 11 25 1892 "Utah St."
"L" "00-00-1896" "0" "Brigham Young Academy (UT)" "6" "Logan, UT" "" 0 0 1896 "Utah St."
"L" "00-00-1898" "5" "Brigham Young Academy (UT)" "12" "Logan, UT" "" 0 0 1898 "Utah St."
"W" "00-00-1899" "10" "Brigham Young Academy (UT)" "6" "Logan, UT" "" 0 0 1899 "Utah St."
"L" "11-17-1900" "0" "Utah" "21" "Logan, UT" "" 11 17 1900 "Utah St."
"W" "00-00-1901" "15" "Ogden Mutes (UT)" "5" "Logan, UT" "" 0 0 1901 "Utah St."
"W" "00-00-1901" "15" "Ogden HS (UT)" "6" "Logan, UT" "" 0 0 1901 "Utah St."
"L" "11-09-1901" "0" "Utah" "17" "Salt Lake City, UT" "" 11 9 1901 "Utah St."
"L" "11-16-1901" "11" "All Hallows College (UT)" "12" "Logan, UT" "" 11 16 1901 "Utah St."
"W" "00-00-1901" "1" "Utah National Guard" "0" "Logan, UT" "Utah St. won - score unknown" 0 0 1901 "Utah St."
"T" "00-00-1901" "0" "Salt Lake City HS (UT)" "0" "Logan, UT" "" 0 0 1901 "Utah St."
"L" "10-11-1902" "5" "Colorado St." "24" "Logan, UT" "" 10 11 1902 "Utah St."
"L" "10-11-1902" "5" "Fort Douglas (UT)" "10" "Logan, UT" "5-0 score?" 10 11 1902 "Utah St."
"L" "11-15-1902" "0" "Utah" "18" "Salt Lake City, UT" "" 11 15 1902 "Utah St."
"L" "00-00-1902" "0" "Utah National Guard" "21" "?" "" 0 0 1902 "Utah St."
"W" "10-17-1903" "17" "Utah" "0" "Logan, UT" "" 10 17 1903 "Utah St."
"W" "11-21-1903" "46" "Wyoming" "0" "Logan, UT" "" 11 21 1903 "Utah St."
"W" "00-00-1903" "15" "Salt Lake City HS (UT)" "0" "Logan, UT" "" 0 0 1903 "Utah St."
"L" "00-00-1904" "0" "Montana St." "5" "Bozeman, MT" "" 0 0 1904 "Utah St."
"W" "00-00-1904" "22" "Idaho St." "0" "Logan, UT" "" 0 0 1904 "Utah St."
"L" "00-00-1904" "0" "Oregon St." "45" "Corvallis, OR" "" 0 0 1904 "Utah St."
"L" "10-22-1904" "0" "Washington" "45" "Seattle, WA" "" 10 22 1904 "Utah St."
"L" "00-00-1904" "0" "Montana" "5" "Missoula, MT" "" 0 0 1904 "Utah St."
"W" "00-00-1904" "10" "Idaho St." "0" "Pocatello, ID" "" 0 0 1904 "Utah St."
"L" "11-05-1904" "0" "Stanford (CA)" "57" "Stanford, CA" "" 11 5 1904 "Utah St."
"L" "11-09-1904" "5" "Nevada" "24" "Reno, NV" "" 11 9 1904 "Utah St."
"L" "11-19-1904" "0" "Utah" "43" "Salt Lake City, UT" "" 11 19 1904 "Utah St."
"W" "00-00-1904" "21" "Ogden HS (UT)" "0" "Logan, UT" "" 0 0 1904 "Utah St."
"W" "00-00-1904" "5" "Salt Lake City HS (UT)" "0" "Logan, UT" "" 0 0 1904 "Utah St."
"L" "00-00-1904" "0" "Multnomah AC (OR)" "29" "Portland, OR" "" 0 0 1904 "Utah St."
"T" "00-00-1905" "5" "Montana St." "5" "?" "" 0 0 1905 "Utah St."
"L" "00-00-1905" "0" "Montana" "23" "Missoula, MT" "" 0 0 1905 "Utah St."
"L" "11-25-1905" "0" "Utah" "5" "Logan, UT" "" 11 25 1905 "Utah St."
"W" "00-00-1905" "21" "Ogden HS (UT)" "0" "?" "" 0 0 1905 "Utah St."
"W" "00-00-1905" "5" "Salt Lake City HS (UT)" "0" "?" "" 0 0 1905 "Utah St."
"W" "00-00-1906" "16" "Montana" "6" "Logan, UT" "" 0 0 1906 "Utah St."
"L" "11-29-1906" "0" "Utah" "35" "Salt Lake City, UT" "" 11 29 1906 "Utah St."
"W" "00-00-1906" "16" "Fort Douglas (UT)" "10" "Logan, UT" "" 0 0 1906 "Utah St."
"W" "00-00-1906" "5" "Ogden HS (UT)" "0" "Logan, UT" "" 0 0 1906 "Utah St."
"L" "11-09-1907" "0" "Utah" "10" "Salt Lake City, UT" "" 11 9 1907 "Utah St."
"W" "00-00-1907" "1" "Brigham Young Academy (UT)" "0" "?" "Utah St. won - score unknown" 0 0 1907 "Utah St."
