"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-25-1892" "0" "Utah St." "12" "Logan, UT" "" 11 25 1892 "Utah"
"W" "00-00-1892" "4" "Salt Lake City YMCA (UT)" "0" "?" "" 0 0 1892 "Utah"
"L" "00-00-1892" "0" "Salt Lake City YMCA (UT)" "4" "?" "" 0 0 1892 "Utah"
"L" "10-04-1894" "4" "Salt Lake City HS (UT)" "20" "Salt Lake City, UT" "" 10 4 1894 "Utah"
"L" "11-03-1894" "0" "Salt Lake City YMCA (UT)" "14" "Salt Lake City, UT" "" 11 3 1894 "Utah"
"W" "11-29-1894" "14" "Salt Lake City HS (UT)" "6" "Salt Lake City, UT" "" 11 29 1894 "Utah"
"L" "11-28-1895" "0" "Salt Lake City YMCA (UT)" "20" "Salt Lake City, UT" "" 11 28 1895 "Utah"
"W" "04-06-1896" "12" "Brigham Young Academy (UT)" "4" "Salt Lake City, UT" "" 4 6 1896 "Utah"
"W" "11-14-1896" "6" "Brigham Young Academy (UT)" "0" "Salt Lake City, UT" "" 11 14 1896 "Utah"
"L" "11-26-1896" "0" "Salt Lake City Crescents (UT)" "4" "Salt Lake City, UT" "" 11 26 1896 "Utah"
"L" "12-05-1896" "6" "Brigham Young Academy (UT)" "8" "Provo, UT" "" 12 5 1896 "Utah"
"W" "12-25-1896" "6" "Salt Lake City HS (UT)" "4" "Salt Lake City, UT" "" 12 25 1896 "Utah"
"L" "10-23-1897" "0" "Salt Lake City YMCA (UT)" "8" "Salt Lake City, UT" "" 10 23 1897 "Utah"
"W" "11-01-1897" "8" "Latter Day Saints College (UT)" "0" "Salt Lake City, UT" "" 11 1 1897 "Utah"
"L" "11-05-1897" "4" "Westminster College (UT)" "6" "Salt Lake City, UT" "" 11 5 1897 "Utah"
"L" "11-25-1897" "0" "Salt Lake City YMCA (UT)" "16" "Salt Lake City, UT" "" 11 25 1897 "Utah"
"L" "12-04-1897" "0" "Brigham Young Academy (UT)" "14" "Salt Lake City, UT" "" 12 4 1897 "Utah"
"L" "12-18-1897" "0" "Brigham Young Academy (UT)" "22" "Provo, UT" "" 12 18 1897 "Utah"
"L" "11-14-1898" "0" "Salt Lake City HS (UT)" "6" "Salt Lake City, UT" "" 11 14 1898 "Utah"
"W" "11-24-1898" "5" "Brigham Young Academy (UT)" "0" "Salt Lake City, UT" "" 11 24 1898 "Utah"
"W" "12-12-1898" "1" "All Hallows College (UT)" "0" "Salt Lake City, UT" "All Hollows College Forfeits" 12 12 1898 "Utah"
"W" "11-03-1899" "18" "9th Calvary (UT)" "0" "Salt Lake City, UT" "" 11 3 1899 "Utah"
"W" "11-13-1899" "5" "9th Calvary (UT)" "0" "Salt Lake City, UT" "" 11 13 1899 "Utah"
"L" "11-25-1899" "0" "Salt Lake City HS (UT)" "34" "Salt Lake City, UT" "" 11 25 1899 "Utah"
"W" "11-10-1900" "36" "All Hallows College (UT)" "6" "Salt Lake City, UT" "" 11 10 1900 "Utah"
"L" "11-17-1900" "0" "Wyoming" "15" "Salt Lake City, UT" "" 11 17 1900 "Utah"
"W" "11-17-1900" "21" "Utah St." "0" "Logan, UT" "" 11 17 1900 "Utah"
"L" "11-24-1900" "0" "Salt Lake City YMCA (UT)" "6" "Salt Lake City, UT" "" 11 24 1900 "Utah"
"W" "00-00-1901" "36" "Utah Prep School (UT)" "0" "?" "" 0 0 1901 "Utah"
"W" "10-19-1901" "12" "Ogden HS (UT)" "0" "Salt Lake City, UT" "" 10 19 1901 "Utah"
"W" "10-26-1901" "16" "All Hallows College (UT)" "0" "Salt Lake City, UT" "" 10 26 1901 "Utah"
"W" "00-00-1901" "28" "Salt Lake Collegiate Institute (UT)" "0" "?" "" 0 0 1901 "Utah"
"W" "11-09-1901" "17" "Utah St." "0" "Salt Lake City, UT" "" 11 9 1901 "Utah"
"L" "11-28-1901" "2" "Nevada" "6" "Salt Lake City, UT" "" 11 28 1901 "Utah"
"W" "09-26-1902" "5" "Fort Douglas (UT)" "0" "Salt Lake City, UT" "" 9 26 1902 "Utah"
"W" "00-00-1902" "23" "Utah Prep School (UT)" "0" "?" "" 0 0 1902 "Utah"
"W" "10-04-1902" "29" "Ogden HS (UT)" "5" "Ogden, UT" "" 10 4 1902 "Utah"
