"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1913" "20" "Elizabethtown HS (KY)" "0" "?" "" 0 0 1913 "Western Kentucky"
"L" "10-10-1914" "0" "Middle Tennessee St." "47" "Murfreesboro, TN" "" 10 10 1914 "Western Kentucky"
"L" "10-23-1914" "6" "Eastern Kentucky" "34" "Richmond, KY" "" 10 23 1914 "Western Kentucky"
"W" "11-26-1914" "18" "Eastern Kentucky" "0" "Bowling Green, KY" "" 11 26 1914 "Western Kentucky"
"W" "10-02-1915" "6" "Hopkinsville HS (KY)" "0" "?" "" 10 2 1915 "Western Kentucky"
"T" "10-09-1915" "14" "Bethel (KY)" "14" "?" "" 10 9 1915 "Western Kentucky"
"L" "10-15-1915" "0" "Owensboro HS (KY)" "51" "?" "" 10 15 1915 "Western Kentucky"
"L" "10-23-1915" "0" "Bethel (KY)" "40" "?" "" 10 23 1915 "Western Kentucky"
"T" "11-01-1915" "0" "Eastern Kentucky" "0" "Richmond, KY" "" 11 1 1915 "Western Kentucky"
"L" "11-25-1915" "0" "Eastern Kentucky" "6" "Bowling Green, KY" "" 11 25 1915 "Western Kentucky"
"W" "00-00-1916" "2" "Owensboro HS (KY)" "0" "?" "" 0 0 1916 "Western Kentucky"
"W" "00-00-1916" "13" "Clarksville HS (TN)" "0" "?" "" 0 0 1916 "Western Kentucky"
"W" "00-00-1916" "1" "Portland HS (TN)" "0" "?" "Portland HS (ME) Forfeits" 0 0 1916 "Western Kentucky"
"L" "11-04-1916" "12" "Eastern Kentucky" "13" "Richmond, KY" "" 11 4 1916 "Western Kentucky"
"L" "11-30-1916" "0" "Eastern Kentucky" "16" "Bowling Green, KY" "" 11 30 1916 "Western Kentucky"
"L" "11-04-1920" "0" "Morton Elliott Academy (KY)" "13" "?" "" 11 4 1920 "Western Kentucky"
"L" "10-01-1921" "0" "Union (TN)" "30" "?" "" 10 1 1921 "Western Kentucky"
"L" "10-08-1921" "0" "Bethel (KY)" "26" "?" "" 10 8 1921 "Western Kentucky"
"L" "10-22-1921" "0" "Vanderbilt JV (TN)" "12" "?" "" 10 22 1921 "Western Kentucky"
"W" "11-05-1921" "21" "Eastern Kentucky" "0" "Bowling Green, KY" "" 11 5 1921 "Western Kentucky"
"L" "11-11-1921" "7" "Middle Tennessee St." "15" "Murfreesboro, TN" "" 11 11 1921 "Western Kentucky"
"T" "11-18-1921" "7" "Bethel (KY)" "7" "?" "" 11 18 1921 "Western Kentucky"
"W" "11-24-1921" "12" "Rhodes (TN)" "0" "?" "" 11 24 1921 "Western Kentucky"
"W" "09-30-1922" "42" "Louisville (KY)" "0" "Bowling Green, KY" "" 9 30 1922 "Western Kentucky"
