"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1905" "6" "Kalamazoo (MI)" "0" "?" "" 0 0 1905 "Western Michigan"
"L" "00-00-1905" "0" "Central Michigan" "6" "?" "" 0 0 1905 "Western Michigan"
"L" "10-27-1906" "0" "Ferris St. (MI)" "12" "Big Rapids, MI" "" 10 27 1906 "Western Michigan"
"L" "11-17-1906" "5" "Eastern Michigan" "14" "Kalamazoo, MI" "" 11 17 1906 "Western Michigan"
"L" "00-00-1906" "0" "Kalamazoo (MI)" "14" "?" "" 0 0 1906 "Western Michigan"
"W" "00-00-1906" "21" "Wayland HS (MI)" "0" "?" "" 0 0 1906 "Western Michigan"
"L" "00-00-1907" "0" "Albion (MI)" "5" "?" "" 0 0 1907 "Western Michigan"
"W" "00-00-1907" "9" "Grand Rapids HS (MI)" "0" "?" "" 0 0 1907 "Western Michigan"
"L" "00-00-1907" "0" "Olivet (MI)" "3" "?" "" 0 0 1907 "Western Michigan"
"W" "00-00-1907" "29" "Central Michigan" "0" "?" "" 0 0 1907 "Western Michigan"
"T" "11-02-1907" "0" "Ferris St. (MI)" "0" "Big Rapids, MI" "" 11 2 1907 "Western Michigan"
"W" "11-09-1907" "6" "Eastern Michigan" "0" "Kalamazoo, MI" "" 11 9 1907 "Western Michigan"
"W" "00-00-1908" "20" "MacFadden's School" "0" "?" "" 0 0 1908 "Western Michigan"
"L" "10-10-1908" "0" "Michigan St." "35" "East Lansing, MI" "" 10 10 1908 "Western Michigan"
"L" "00-00-1908" "0" "Olivet (MI)" "34" "?" "" 0 0 1908 "Western Michigan"
"W" "00-00-1908" "11" "Central Michigan" "5" "?" "" 0 0 1908 "Western Michigan"
"L" "00-00-1908" "0" "Albion (MI)" "24" "?" "" 0 0 1908 "Western Michigan"
"W" "00-00-1908" "2" "Kalamazoo (MI)" "0" "?" "" 0 0 1908 "Western Michigan"
"W" "00-00-1909" "61" "Otsego Independents (MI)" "0" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "6" "Albion (MI)" "0" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "15" "Battle Creek Training School (MI)" "0" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "47" "Dowagiac HS (MI)" "0" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "28" "Benton Harbor Business (MI)" "3" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "26" "Kalamazoo (MI)" "6" "?" "" 0 0 1909 "Western Michigan"
"W" "00-00-1909" "11" "Central Michigan" "0" "?" "" 0 0 1909 "Western Michigan"
"L" "00-00-1910" "0" "Albion (MI)" "6" "?" "" 0 0 1910 "Western Michigan"
"T" "10-08-1910" "3" "Hillsdale (MI)" "3" "Hillsdale, MI" "" 10 8 1910 "Western Michigan"
"W" "00-00-1910" "22" "Culver Military Academy (IN)" "5" "?" "" 0 0 1910 "Western Michigan"
"W" "00-00-1910" "16" "Central Michigan" "6" "?" "" 0 0 1910 "Western Michigan"
"W" "00-00-1910" "6" "Hope (MI)" "0" "?" "" 0 0 1910 "Western Michigan"
"W" "11-24-1910" "28" "Kalamazoo (MI)" "0" "Kalamazoo, MI" "" 11 24 1910 "Western Michigan"
"L" "00-00-1911" "6" "Hillsdale (MI)" "14" "?" "" 0 0 1911 "Western Michigan"
"L" "00-00-1911" "5" "Albion (MI)" "12" "?" "" 0 0 1911 "Western Michigan"
"L" "00-00-1911" "3" "Culver Military Academy (IN)" "27" "?" "" 0 0 1911 "Western Michigan"
"W" "00-00-1911" "62" "Battle Creek Training School (MI)" "6" "?" "" 0 0 1911 "Western Michigan"
"W" "00-00-1911" "34" "Hope (MI)" "0" "?" "" 0 0 1911 "Western Michigan"
"W" "00-00-1912" "19" "Culver Military Academy (IN)" "13" "?" "" 0 0 1912 "Western Michigan"
"L" "00-00-1912" "0" "Michigan St. Freshmen" "20" "?" "" 0 0 1912 "Western Michigan"
"W" "00-00-1912" "54" "Hope (MI)" "0" "?" "" 0 0 1912 "Western Michigan"
"W" "00-00-1912" "6" "Albion (MI)" "3" "?" "" 0 0 1912 "Western Michigan"
"T" "00-00-1912" "7" "Hillsdale (MI)" "7" "?" "" 0 0 1912 "Western Michigan"
"L" "11-15-1912" "0" "Eastern Michigan" "7" "Ypsilanti, MI" "" 11 15 1912 "Western Michigan"
"W" "00-00-1913" "13" "Culver Military Academy (IN)" "6" "?" "" 0 0 1913 "Western Michigan"
"W" "00-00-1913" "14" "Hope (MI)" "0" "?" "" 0 0 1913 "Western Michigan"
"W" "00-00-1913" "20" "Albion (MI)" "3" "?" "" 0 0 1913 "Western Michigan"
"W" "11-01-1913" "12" "Eastern Michigan" "6" "Kalamazoo, MI" "" 11 1 1913 "Western Michigan"
"W" "00-00-1914" "28" "Battle Creek Training School (MI)" "0" "?" "" 0 0 1914 "Western Michigan"
"W" "10-10-1914" "3" "Olivet (MI)" "0" "Kalamazoo, MI" "" 10 10 1914 "Western Michigan"
"W" "00-00-1914" "43" "Albion (MI)" "0" "?" "" 0 0 1914 "Western Michigan"
"W" "10-23-1914" "68" "Ferris St. (MI)" "0" "Kalamazoo, MI" "" 10 23 1914 "Western Michigan"
"W" "10-31-1914" "28" "Hillsdale (MI)" "7" "Kalamazoo, MI" "" 10 31 1914 "Western Michigan"
"W" "11-14-1914" "10" "Eastern Michigan" "0" "Ypsilanti, MI" "" 11 14 1914 "Western Michigan"
"L" "10-09-1915" "16" "Hillsdale (MI)" "20" "Hillsdale, MI" "" 10 9 1915 "Western Michigan"
"W" "10-16-1915" "54" "Albion (MI)" "7" "Kalamazoo, MI" "" 10 16 1915 "Western Michigan"
