"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1912" "0" "Talladega (AL)" "6" "?" "" 0 0 1912 "Alabama A&M"
"L" "00-00-1912" "0" "Fisk (TN)" "15" "?" "" 0 0 1912 "Alabama A&M"
"L" "10-25-1912" "13" "Burrell Normal School (AL)" "15" "Florence, AL" "" 10 25 1912 "Alabama A&M"
"L" "00-00-1913" "0" "Fisk (TN)" "46" "?" "" 0 0 1913 "Alabama A&M"
"L" "10-31-1924" "0" "Alabama St." "30" "Normal, AL" "" 10 31 1924 "Alabama A&M"
"L" "11-14-1924" "0" "Miles (AL)" "12" "Birmingham, AL" "" 11 14 1924 "Alabama A&M"
"L" "00-00-1925" "0" "Alabama St." "7" "?" "" 0 0 1925 "Alabama A&M"
"L" "00-00-1926" "0" "Walden (TN)" "14" "?" "" 0 0 1926 "Alabama A&M"
"L" "00-00-1927" "0" "Talladega (AL)" "44" "?" "" 0 0 1927 "Alabama A&M"
"L" "10-05-1928" "0" "Miles (AL)" "12" "?" "" 10 5 1928 "Alabama A&M"
"W" "00-00-1928" "13" "Talladega (AL)" "0" "?" "" 0 0 1928 "Alabama A&M"
"T" "00-00-1928" "13" "Rust (MS)" "13" "Normal, AL" "" 0 0 1928 "Alabama A&M"
"W" "10-04-1929" "13" "Miles (AL)" "0" "Birmingham, AL" "" 10 4 1929 "Alabama A&M"
"L" "00-00-1929" "0" "Talladega (AL)" "24" "?" "" 0 0 1929 "Alabama A&M"
"L" "10-18-1929" "0" "Alabama St." "32" "Normal, AL" "" 10 18 1929 "Alabama A&M"
"W" "00-00-1929" "19" "Rust (MS)" "7" "?" "" 0 0 1929 "Alabama A&M"
"T" "00-00-1929" "0" "Knoxville (TN)" "0" "?" "" 0 0 1929 "Alabama A&M"
"W" "00-00-1929" "31" "Morristown College (TN)" "6" "?" "" 0 0 1929 "Alabama A&M"
"W" "10-03-1930" "6" "Miles (AL)" "0" "Normal, AL" "" 10 3 1930 "Alabama A&M"
"W" "00-00-1930" "12" "Talladega (AL)" "6" "?" "" 0 0 1930 "Alabama A&M"
"L" "10-17-1930" "6" "Alabama St." "46" "Montgomery, AL" "" 10 17 1930 "Alabama A&M"
"W" "00-00-1930" "33" "Selma (AL)" "0" "?" "" 0 0 1930 "Alabama A&M"
"L" "11-01-1930" "0" "Morris Brown (GA)" "7" "Chattanooga, TN" "" 11 1 1930 "Alabama A&M"
"L" "00-00-1930" "0" "Tennessee St." "12" "?" "" 0 0 1930 "Alabama A&M"
"L" "11-22-1930" "2" "Knoxville (TN)" "26" "Knoxville, TN" "" 11 22 1930 "Alabama A&M"
"T" "11-27-1930" "6" "Kentucky St." "6" "Normal, AL" "" 11 27 1930 "Alabama A&M"
"W" "00-00-1930" "24" "Talladega (AL)" "0" "?" "" 0 0 1930 "Alabama A&M"
"L" "10-10-1931" "0" "Talladega (AL)" "7" "Anniston, AL" "" 10 10 1931 "Alabama A&M"
"L" "10-10-1931" "18" "Talladega (AL)" "30" "Anniston, AL" "" 10 10 1931 "Alabama A&M"
"L" "10-17-1931" "0" "Knoxville (TN)" "27" "Knoxville, TN" "" 10 17 1931 "Alabama A&M"
"L" "10-23-1931" "0" "Alabama St." "56" "Montgomery, AL" "Cramton Bowl" 10 23 1931 "Alabama A&M"
"W" "10-31-1931" "45" "Selma (AL)" "0" "Normal, AL" "" 10 31 1931 "Alabama A&M"
"L" "11-14-1931" "0" "Morris Brown (GA)" "12" "Atlanta, GA" "" 11 14 1931 "Alabama A&M"
"L" "11-26-1931" "0" "Kentucky St." "18" "Frankfort, KY" "" 11 26 1931 "Alabama A&M"
"L" "10-01-1932" "0" "Knoxville (TN)" "13" "Knoxville, TN" "" 10 1 1932 "Alabama A&M"
"W" "00-00-1932" "9" "Prairie View A&M (TX)" "7" "?" "" 0 0 1932 "Alabama A&M"
"L" "00-00-1932" "7" "Florida A&M" "54" "?" "" 0 0 1932 "Alabama A&M"
"L" "10-28-1932" "0" "Alabama St." "18" "Normal, AL" "" 10 28 1932 "Alabama A&M"
"L" "11-11-1932" "0" "Miles (AL)" "16" "Birmingham, AL" "" 11 11 1932 "Alabama A&M"
"L" "11-18-1932" "0" "Talladega (AL)" "25" "Normal, AL" "" 11 18 1932 "Alabama A&M"
"L" "11-24-1932" "0" "Tuskegee (AL)" "7" "Normal, AL" "" 11 24 1932 "Alabama A&M"
"W" "10-14-1933" "8" "Talladega (AL)" "0" "Talladega, AL" "" 10 14 1933 "Alabama A&M"
"L" "00-00-1933" "0" "Fort Valley St. (GA)" "12" "?" "" 0 0 1933 "Alabama A&M"
"L" "00-00-1933" "0" "Tennessee St." "20" "?" "" 0 0 1933 "Alabama A&M"
"L" "11-11-1933" "8" "LeMoyne-Owen (TN)" "28" "Memphis, TN" "" 11 11 1933 "Alabama A&M"
"W" "11-25-1933" "7" "Knoxville (TN)" "0" "Normal, AL" "" 11 25 1933 "Alabama A&M"
"L" "00-00-1934" "0" "Fort Valley St. (GA)" "13" "?" "" 0 0 1934 "Alabama A&M"
"L" "00-00-1934" "0" "LeMoyne-Owen (TN)" "58" "Normal, AL" "" 0 0 1934 "Alabama A&M"
"L" "11-10-1934" "0" "Talladega (AL)" "26" "Talladega, AL" "" 11 10 1934 "Alabama A&M"
"L" "11-16-1934" "0" "Miles (AL)" "6" "?" "" 11 16 1934 "Alabama A&M"
"T" "11-17-1934" "0" "Rust (MS)" "0" "Huntsville, AL" "" 11 17 1934 "Alabama A&M"
"W" "00-00-1934" "12" "Morristown College (TN)" "0" "?" "" 0 0 1934 "Alabama A&M"
"L" "10-12-1935" "0" "Talladega (AL)" "7" "Talladega, AL" "" 10 12 1935 "Alabama A&M"
"L" "00-00-1935" "0" "Fort Valley St. (GA)" "20" "?" "" 0 0 1935 "Alabama A&M"
"W" "10-26-1935" "2" "Lane (TN)" "0" "Huntsville, AL" "" 10 26 1935 "Alabama A&M"
"L" "00-00-1935" "12" "West Kentucky Industrial" "27" "?" "" 0 0 1935 "Alabama A&M"
"W" "00-00-1935" "13" "Morristown College (TN)" "6" "?" "" 0 0 1935 "Alabama A&M"
"L" "11-15-1935" "0" "Miles (AL)" "31" "Birmingham, AL" "" 11 15 1935 "Alabama A&M"
"W" "11-22-1935" "12" "Rust (MS)" "7" "Holly Springs, MS" "" 11 22 1935 "Alabama A&M"
"L" "00-00-1935" "0" "Tennessee St." "25" "?" "" 0 0 1935 "Alabama A&M"
"T" "00-00-1936" "0" "Fort Valley St. (GA)" "0" "?" "" 0 0 1936 "Alabama A&M"
"T" "00-00-1936" "0" "Miles (AL)" "0" "?" "" 0 0 1936 "Alabama A&M"
"L" "10-24-1936" "0" "Lane (TN)" "65" "Jackson, TN" "" 10 24 1936 "Alabama A&M"
"T" "11-07-1936" "6" "Talladega (AL)" "6" "Normal, AL" "" 11 7 1936 "Alabama A&M"
"L" "00-00-1936" "0" "Tennessee St." "12" "?" "" 0 0 1936 "Alabama A&M"
"T" "10-09-1937" "0" "Fisk (TN)" "0" "Nashville, TN" "" 10 9 1937 "Alabama A&M"
"W" "10-15-1937" "6" "Knoxville (TN)" "3" "Knoxville, TN" "" 10 15 1937 "Alabama A&M"
"T" "10-23-1937" "0" "Talladega (AL)" "0" "Talladega, AL" "" 10 23 1937 "Alabama A&M"
"W" "10-30-1937" "13" "Dillard (LA)" "0" "Normal, AL" "" 10 30 1937 "Alabama A&M"
"L" "11-06-1937" "6" "West Kentucky Industrial" "12" "Normal, AL" "" 11 6 1937 "Alabama A&M"
"T" "11-13-1937" "0" "Lane (TN)" "0" "Normal, AL" "" 11 13 1937 "Alabama A&M"
"L" "11-19-1937" "0" "Miles (AL)" "6" "Birmingham, AL" "" 11 19 1937 "Alabama A&M"
"W" "11-25-1937" "45" "Stillman (AL)" "6" "Normal, AL" "" 11 25 1937 "Alabama A&M"
