"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1901" "0" "Tuskegee (AL)" "37" "?" "" 0 0 1901 "Alabama St."
"L" "00-00-1902" "0" "Tuskegee (AL)" "85" "?" "" 0 0 1902 "Alabama St."
"L" "11-19-1904" "0" "Tuskegee (AL)" "65" "Tuskegee, AL" "" 11 19 1904 "Alabama St."
"L" "00-00-1905" "0" "Tuskegee (AL)" "6" "?" "" 0 0 1905 "Alabama St."
"L" "00-00-1905" "0" "Talladega (AL)" "5" "?" "" 0 0 1905 "Alabama St."
"L" "00-00-1906" "0" "Tuskegee (AL)" "5" "?" "" 0 0 1906 "Alabama St."
"T" "00-00-1906" "5" "Talladega (AL)" "5" "?" "" 0 0 1906 "Alabama St."
"L" "00-00-1907" "0" "Tuskegee (AL)" "6" "?" "" 0 0 1907 "Alabama St."
"W" "00-00-1907" "10" "Talladega (AL)" "5" "?" "Duplicate Game?" 0 0 1907 "Alabama St."
"W" "12-06-1907" "8" "Talladega (AL)" "0" "Montgomery, AL" "" 12 6 1907 "Alabama St."
"W" "00-00-1908" "6" "Talladega (AL)" "0" "?" "" 0 0 1908 "Alabama St."
"L" "10-31-1908" "0" "Tuskegee (AL)" "6" "Tuskegee, AL" "" 10 31 1908 "Alabama St."
"W" "00-00-1908" "6" "Atlanta (GA)" "0" "?" "" 0 0 1908 "Alabama St."
"W" "11-21-1908" "5" "Talladega (AL)" "0" "Montgomery, AL" "" 11 21 1908 "Alabama St."
"W" "12-07-1908" "64" "Florida N&I" "0" "?" "" 12 7 1908 "Alabama St."
"W" "00-00-1909" "6" "Atlanta (GA)" "0" "?" "" 0 0 1909 "Alabama St."
"W" "00-00-1909" "65" "Florida A&M" "0" "?" "" 0 0 1909 "Alabama St."
"W" "10-29-1909" "13" "Talladega (AL)" "6" "Montgomery, AL" "" 10 29 1909 "Alabama St."
"W" "00-00-1909" "18" "Americus Institute (GA)" "0" "?" "" 0 0 1909 "Alabama St."
"W" "12-03-1909" "2" "Tuskegee (AL)" "0" "Montgomery, AL" "" 12 3 1909 "Alabama St."
"L" "00-00-1910" "0" "Tuskegee (AL)" "6" "?" "" 0 0 1910 "Alabama St."
"W" "00-00-1910" "6" "Talladega (AL)" "0" "?" "" 0 0 1910 "Alabama St."
"W" "00-00-1910" "6" "Atlanta (GA)" "0" "?" "" 0 0 1910 "Alabama St."
"W" "00-00-1910" "6" "Americus Institute (GA)" "0" "?" "" 0 0 1910 "Alabama St."
"L" "00-00-1910" "0" "Morehouse (GA)" "17" "?" "" 0 0 1910 "Alabama St."
"W" "00-00-1911" "12" "Americus Institute (GA)" "0" "?" "" 0 0 1911 "Alabama St."
"W" "00-00-1911" "17" "Jackson St. (MS)" "0" "?" "" 0 0 1911 "Alabama St."
"L" "00-00-1911" "5" "Talladega (AL)" "6" "?" "" 0 0 1911 "Alabama St."
"W" "11-15-1912" "6" "Talladega (AL)" "2" "Montgomery, AL" "" 11 15 1912 "Alabama St."
"W" "12-02-1912" "26" "Jackson St. (MS)" "0" "Jackson, MS" "" 12 2 1912 "Alabama St."
"W" "11-27-1913" "27" "Clark Atlanta (GA)" "0" "Montgomery, AL" "" 11 27 1913 "Alabama St."
"W" "00-00-1914" "40" "Selma (AL)" "0" "?" "" 0 0 1914 "Alabama St."
"W" "00-00-1914" "26" "Americus Institute (GA)" "0" "?" "" 0 0 1914 "Alabama St."
"T" "10-17-1914" "7" "Tuskegee (AL)" "7" "Montgomery, AL" "" 10 17 1914 "Alabama St."
"L" "00-00-1914" "0" "Talladega (AL)" "19" "?" "" 0 0 1914 "Alabama St."
"L" "00-00-1915" "0" "Fisk (TN)" "27" "?" "" 0 0 1915 "Alabama St."
"W" "10-29-1915" "13" "Tuskegee (AL)" "0" "Montgomery, AL" "" 10 29 1915 "Alabama St."
"W" "11-05-1915" "40" "Selma (AL)" "0" "Montgomery, AL" "" 11 5 1915 "Alabama St."
"W" "00-00-1916" "41" "Selma (AL)" "0" "?" "" 0 0 1916 "Alabama St."
"W" "00-00-1916" "62" "Paine (GA)" "20" "?" "" 0 0 1916 "Alabama St."
"L" "00-00-1916" "0" "Birmingham Industrial HS (AL)" "12" "?" "" 0 0 1916 "Alabama St."
"L" "00-00-1916" "0" "Tuskegee (AL)" "33" "?" "" 0 0 1916 "Alabama St."
"T" "00-00-1916" "0" "Clark Atlanta (GA)" "0" "?" "" 0 0 1916 "Alabama St."
"W" "00-00-1917" "72" "Selma (AL)" "0" "?" "" 0 0 1917 "Alabama St."
"L" "00-00-1917" "0" "Ohio National Guard" "19" "?" "" 0 0 1917 "Alabama St."
"L" "11-23-1917" "0" "Talladega (AL)" "19" "Montgomery, AL" "" 11 23 1917 "Alabama St."
"L" "00-00-1918" "0" "Tuskegee (AL)" "31" "?" "" 0 0 1918 "Alabama St."
"T" "00-00-1918" "0" "Clark Atlanta (GA)" "0" "?" "" 0 0 1918 "Alabama St."
"W" "11-27-1919" "13" "Selma (AL)" "6" "Montgomery, AL" "" 11 27 1919 "Alabama St."
"W" "11-25-1920" "2" "Montgomery Grey Sox (AL)" "0" "Montgomery, AL" "" 11 25 1920 "Alabama St."
"T" "00-00-1921" "7" "24th Infantry (GA)" "7" "?" "" 0 0 1921 "Alabama St."
"W" "00-00-1921" "7" "Bethel (TN)" "0" "?" "" 0 0 1921 "Alabama St."
"W" "00-00-1921" "7" "24th Infantry (GA)" "0" "?" "" 0 0 1921 "Alabama St."
"T" "00-00-1921" "7" "Miles (AL)" "7" "?" "" 0 0 1921 "Alabama St."
"L" "11-11-1921" "20" "Talladega (AL)" "21" "Montgomery, AL" "" 11 11 1921 "Alabama St."
"W" "00-00-1922" "14" "Florida A&M" "0" "?" "" 0 0 1922 "Alabama St."
"L" "00-00-1922" "0" "Tuskegee (AL)" "19" "?" "" 0 0 1922 "Alabama St."
"L" "10-20-1922" "0" "24th Infantry (GA)" "26" "Montgomery, AL" "" 10 20 1922 "Alabama St."
"W" "10-26-1922" "38" "Stillman (AL)" "0" "Montgomery, AL" "" 10 26 1922 "Alabama St."
"L" "00-00-1922" "0" "24th Infantry (GA)" "12" "?" "" 0 0 1922 "Alabama St."
"W" "00-00-1922" "31" "Mobile" "0" "?" "" 0 0 1922 "Alabama St."
"W" "00-00-1922" "82" "Selma (AL)" "0" "?" "" 0 0 1922 "Alabama St."
"W" "10-12-1923" "30" "Stillman (AL)" "0" "Montgomery, AL" "" 10 12 1923 "Alabama St."
"L" "00-00-1923" "0" "Florida A&M" "6" "?" "" 0 0 1923 "Alabama St."
"L" "00-00-1923" "0" "Talladega (AL)" "13" "?" "" 0 0 1923 "Alabama St."
"L" "10-26-1923" "6" "Tuskegee (AL)" "13" "Montgomery, AL" "" 10 26 1923 "Alabama St."
"W" "11-02-1923" "18" "24th Infantry (GA)" "12" "Montgomery, AL" "" 11 2 1923 "Alabama St."
"W" "00-00-1923" "26" "Birmingham Industrial HS (AL)" "0" "?" "" 0 0 1923 "Alabama St."
"W" "11-16-1923" "16" "Miles (AL)" "0" "?" "" 11 16 1923 "Alabama St."
"L" "11-24-1923" "0" "Morehouse (GA)" "25" "Atlanta, GA" "" 11 24 1923 "Alabama St."
"W" "00-00-1924" "20" "Selma (AL)" "0" "?" "" 0 0 1924 "Alabama St."
"W" "00-00-1924" "12" "Birmingham Industrial HS (AL)" "0" "?" "" 0 0 1924 "Alabama St."
"W" "10-25-1924" "13" "Talladega (AL)" "6" "Montgomery, AL" "" 10 25 1924 "Alabama St."
"W" "10-31-1924" "30" "Alabama A&M" "0" "Normal, AL" "" 10 31 1924 "Alabama St."
"L" "11-08-1924" "7" "24th Infantry (GA)" "40" "Fort Benning, GA" "" 11 8 1924 "Alabama St."
"L" "11-15-1924" "7" "Tuskegee (AL)" "28" "Montgomery, AL" "" 11 15 1924 "Alabama St."
"L" "11-21-1924" "0" "Morehouse (GA)" "33" "Montgomery, AL" "" 11 21 1924 "Alabama St."
