"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1922" "12" "Southern (LA)" "49" "?" "" 0 0 1922 "Alcorn St. (MS)"
"L" "00-00-1923" "9" "Southern (LA)" "30" "?" "" 0 0 1923 "Alcorn St. (MS)"
"L" "00-00-1924" "6" "Straight (LA)" "12" "New Orleans, LA" "" 0 0 1924 "Alcorn St. (MS)"
"L" "00-00-1924" "12" "Southern (LA)" "63" "?" "" 0 0 1924 "Alcorn St. (MS)"
"L" "00-00-1925" "0" "Southern (LA)" "38" "Baton Rouge, LA" "" 0 0 1925 "Alcorn St. (MS)"
"T" "00-00-1925" "0" "Straight (LA)" "0" "New Orleans, LA" "" 0 0 1925 "Alcorn St. (MS)"
"L" "00-00-1926" "6" "Rust (MS)" "14" "?" "" 0 0 1926 "Alcorn St. (MS)"
"W" "10-16-1926" "12" "Leland (LA)" "0" "?" "" 10 16 1926 "Alcorn St. (MS)"
"W" "10-23-1926" "13" "Xavier (LA)" "0" "Lorman, MS" "" 10 23 1926 "Alcorn St. (MS)"
"T" "10-30-1926" "0" "New Orleans (LA)" "0" "Lorman, MS" "" 10 30 1926 "Alcorn St. (MS)"
"L" "11-06-1926" "0" "Straight (LA)" "25" "New Orleans, LA" "" 11 6 1926 "Alcorn St. (MS)"
"W" "11-20-1926" "25" "Tougaloo (MS)" "0" "Lorman, MS" "" 11 20 1926 "Alcorn St. (MS)"
"W" "10-15-1927" "58" "Campbell College (MS)" "0" "Lorman, MS" "" 10 15 1927 "Alcorn St. (MS)"
"L" "10-22-1927" "12" "Leland (LA)" "19" "Baker, LA" "" 10 22 1927 "Alcorn St. (MS)"
"T" "11-12-1927" "0" "New Orleans (LA)" "0" "New Orleans, LA" "" 11 12 1927 "Alcorn St. (MS)"
"L" "11-19-1927" "6" "Rust (MS)" "14" "Lorman, MS" "" 11 19 1927 "Alcorn St. (MS)"
"W" "10-06-1928" "43" "Eureka HS" "0" "Lorman, MS" "" 10 6 1928 "Alcorn St. (MS)"
"T" "10-13-1928" "6" "Southern (LA)" "6" "Lorman, MS" "" 10 13 1928 "Alcorn St. (MS)"
"W" "10-20-1928" "33" "Leland (LA)" "12" "Lorman, MS" "" 10 20 1928 "Alcorn St. (MS)"
"W" "10-27-1928" "18" "Lane (TN)" "0" "Lorman, MS" "" 10 27 1928 "Alcorn St. (MS)"
"W" "11-03-1928" "49" "New Orleans (LA)" "0" "?" "" 11 3 1928 "Alcorn St. (MS)"
"W" "11-10-1928" "25" "Tougaloo (MS)" "0" "Lorman, MS" "" 11 10 1928 "Alcorn St. (MS)"
"W" "00-00-1928" "21" "Jackson St. (MS)" "0" "?" "" 0 0 1928 "Alcorn St. (MS)"
"W" "11-24-1928" "31" "Straight (LA)" "0" "?" "" 11 24 1928 "Alcorn St. (MS)"
"W" "11-29-1928" "19" "Mississippi Industrial Training School" "0" "?" "" 11 29 1928 "Alcorn St. (MS)"
"W" "00-00-1929" "27" "Eureka HS" "0" "?" "" 0 0 1929 "Alcorn St. (MS)"
"L" "10-19-1929" "0" "Arkansas-Pine Bluff" "8" "Lorman, MS" "" 10 19 1929 "Alcorn St. (MS)"
"L" "10-26-1929" "0" "Lane (TN)" "20" "Jackson, TN" "" 10 26 1929 "Alcorn St. (MS)"
"T" "00-00-1929" "0" "New Orleans (LA)" "0" "?" "" 0 0 1929 "Alcorn St. (MS)"
"W" "00-00-1929" "17" "Jackson St. (MS)" "12" "?" "" 0 0 1929 "Alcorn St. (MS)"
"T" "11-15-1929" "7" "Mississippi Industrial Training School" "7" "Holly Springs, MS" "" 11 15 1929 "Alcorn St. (MS)"
"W" "11-23-1929" "20" "Tougaloo (MS)" "6" "Tougaloo, MS" "" 11 23 1929 "Alcorn St. (MS)"
"W" "12-06-1929" "31" "Rust (MS)" "0" "Memphis, TN" "" 12 6 1929 "Alcorn St. (MS)"
"L" "12-14-1929" "0" "Prairie View A&M (TX)" "6" "Jackson, MS" "" 12 14 1929 "Alcorn St. (MS)"
"W" "10-04-1930" "27" "Eureka HS" "0" "Lorman, MS" "" 10 4 1930 "Alcorn St. (MS)"
"W" "10-18-1930" "18" "Arkansas-Pine Bluff" "12" "Pine Bluff, AR" "" 10 18 1930 "Alcorn St. (MS)"
"L" "10-27-1930" "6" "Prairie View A&M (TX)" "24" "Prairie View, TX" "" 10 27 1930 "Alcorn St. (MS)"
"W" "11-01-1930" "38" "Mississippi Industrial Training School" "0" "Lorman, MS" "" 11 1 1930 "Alcorn St. (MS)"
