"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-29-1928" "0" "Mountain City HS (TN)" "26" "Mountain City, TN" "" 9 29 1928 "Appalachian St. (NC)"
"W" "10-06-1928" "6" "Wilkesboro HS (NC)" "0" "Wilkesboro, NC" "" 10 6 1928 "Appalachian St. (NC)"
"L" "10-13-1928" "0" "Morganton HS (NC)" "7" "Boone, NC" "" 10 13 1928 "Appalachian St. (NC)"
"L" "10-27-1928" "6" "Rutherford College (NC)" "50" "Boone, NC" "" 10 27 1928 "Appalachian St. (NC)"
"W" "11-03-1928" "52" "Lees-McRae JC (NC)" "0" "Boone, NC" "" 11 3 1928 "Appalachian St. (NC)"
"L" "11-09-1928" "0" "Bluefield College (VA)" "44" "Bluefield, WV" "" 11 9 1928 "Appalachian St. (NC)"
"W" "11-17-1928" "52" "Mount Park Industrial Institute (NC)" "0" "Boone, NC" "" 11 17 1928 "Appalachian St. (NC)"
"L" "11-24-1928" "0" "Belmont Abbey (NC)" "13" "Belmont, NC" "" 11 24 1928 "Appalachian St. (NC)"
"L" "12-01-1928" "6" "East Tennessee St." "9" "Johnson City, TN" "" 12 1 1928 "Appalachian St. (NC)"
"T" "09-30-1929" "0" "Carson-Newman (TN)" "0" "Jefferson City, TN" "" 9 30 1929 "Appalachian St. (NC)"
"T" "10-07-1929" "0" "Catawba (NC)" "0" "Boone, NC" "" 10 7 1929 "Appalachian St. (NC)"
"W" "00-00-1929" "26" "East Tennessee St." "0" "?" "" 0 0 1929 "Appalachian St. (NC)"
"L" "10-19-1929" "7" "Bluefield College (VA)" "12" "Boone, NC" "" 10 19 1929 "Appalachian St. (NC)"
"W" "11-02-1929" "19" "North Georgia" "6" "Dahlonega, GA" "" 11 2 1929 "Appalachian St. (NC)"
"W" "11-09-1929" "28" "Belmont Abbey (NC)" "0" "Boone, NC" "" 11 9 1929 "Appalachian St. (NC)"
"T" "11-16-1929" "0" "Rutherford College (NC)" "0" "Connelly Springs, NC" "" 11 16 1929 "Appalachian St. (NC)"
"W" "11-23-1929" "6" "Gardner-Webb JC (NC)" "0" "Boone, NC" "" 11 23 1929 "Appalachian St. (NC)"
"W" "09-20-1930" "33" "Lincoln Memorial (TN)" "0" "Winston-Salem, NC" "" 9 20 1930 "Appalachian St. (NC)"
"L" "09-27-1930" "7" "King College (TN)" "18" "Bristol, TN" "" 9 27 1930 "Appalachian St. (NC)"
"W" "10-04-1930" "13" "Tusculum (TN)" "0" "Greeneville, TN" "" 10 4 1930 "Appalachian St. (NC)"
"T" "10-11-1930" "13" "Catawba (NC)" "13" "Boone, NC" "" 10 11 1930 "Appalachian St. (NC)"
"W" "10-18-1930" "61" "Atlantic Christian (NC)" "12" "Boone, NC" "" 10 18 1930 "Appalachian St. (NC)"
"W" "10-25-1930" "14" "West Liberty St. (WV)" "13" "Boone, NC" "" 10 25 1930 "Appalachian St. (NC)"
"W" "11-07-1930" "7" "Newport News Apprentice School (VA)" "0" "Newport News, VA" "" 11 7 1930 "Appalachian St. (NC)"
"W" "11-08-1930" "6" "Atlantic (VA)" "0" "Virginia Beach, VA" "" 11 8 1930 "Appalachian St. (NC)"
"L" "11-15-1930" "6" "High Point (NC)" "13" "High Point, NC" "" 11 15 1930 "Appalachian St. (NC)"
"W" "11-22-1930" "27" "Gardner-Webb JC (NC)" "0" "Boone, NC" "" 11 22 1930 "Appalachian St. (NC)"
"W" "11-27-1930" "14" "Piedmont (GA)" "0" "Boone, NC" "" 11 27 1930 "Appalachian St. (NC)"
"W" "09-19-1931" "20" "Campbell (NC)" "6" "Boone, NC" "" 9 19 1931 "Appalachian St. (NC)"
"W" "09-25-1931" "6" "Lenoir-Rhyne (NC)" "0" "Hickory, NC" "" 9 25 1931 "Appalachian St. (NC)"
"W" "10-03-1931" "20" "High Point (NC)" "0" "Boone, NC" "" 10 3 1931 "Appalachian St. (NC)"
"W" "10-10-1931" "20" "King College (TN)" "0" "Bristol, TN" "" 10 10 1931 "Appalachian St. (NC)"
"W" "10-17-1931" "24" "Piedmont (GA)" "12" "Boone, NC" "" 10 17 1931 "Appalachian St. (NC)"
"W" "10-24-1931" "7" "Catawba (NC)" "6" "Salisbury, NC" "" 10 24 1931 "Appalachian St. (NC)"
"W" "10-29-1931" "25" "Newport News Apprentice School (VA)" "12" "Newport News, VA" "" 10 29 1931 "Appalachian St. (NC)"
"L" "10-30-1931" "3" "Langley Field (VA)" "6" "Hampton, VA" "" 10 30 1931 "Appalachian St. (NC)"
"T" "11-06-1931" "6" "Maryville (TN)" "6" "Maryville, TN" "" 11 6 1931 "Appalachian St. (NC)"
"T" "11-14-1931" "6" "Bowdon St. (GA)" "6" "Boone, NC" "" 11 14 1931 "Appalachian St. (NC)"
"W" "11-21-1931" "25" "Concord (WV)" "0" "Boone, NC" "" 11 21 1931 "Appalachian St. (NC)"
"L" "11-26-1931" "6" "Glenville St. (WV)" "25" "Glenville, WV" "" 11 26 1931 "Appalachian St. (NC)"
"W" "12-05-1931" "15" "Catawba (NC)" "7" "Charlotte, NC" "" 12 5 1931 "Appalachian St. (NC)"
"L" "09-24-1932" "0" "North Carolina St." "38" "Raleigh, NC" "" 9 24 1932 "Appalachian St. (NC)"
"W" "10-08-1932" "12" "Concord (WV)" "6" "Athens, WV" "" 10 8 1932 "Appalachian St. (NC)"
"L" "10-15-1932" "13" "Lenoir-Rhyne (NC)" "6" "Hickory, NC" "Appalachian St. Forfeits" 10 15 1932 "Appalachian St. (NC)"
