"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1923" "12" "Southern (LA)" "22" "?" "" 0 0 1923 "Arkansas-Pine Bluff"
"L" "00-00-1924" "6" "Arkansas Baptist" "19" "Little Rock, AR" "" 0 0 1924 "Arkansas-Pine Bluff"
"L" "00-00-1924" "9" "Southern (LA)" "28" "?" "" 0 0 1924 "Arkansas-Pine Bluff"
"L" "00-00-1925" "0" "Southern (LA)" "30" "?" "" 0 0 1925 "Arkansas-Pine Bluff"
"L" "00-00-1928" "13" "Philander-Smith (AR)" "20" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "6" "Jarvis Christian (TX)" "12" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "0" "Leland (LA)" "26" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "0" "Lane (TN)" "33" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "0" "Bishop (TX)" "56" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"W" "00-00-1928" "13" "Arkansas Baptist" "0" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "0" "Langston (OK)" "67" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"W" "00-00-1928" "45" "Shorter College (AR)" "0" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"L" "00-00-1928" "13" "Grambling St. (LA)" "88" "?" "" 0 0 1928 "Arkansas-Pine Bluff"
"W" "00-00-1929" "33" "LeMoyne-Owen (TN)" "0" "?" "" 0 0 1929 "Arkansas-Pine Bluff"
"L" "10-12-1929" "6" "Bishop (TX)" "7" "Pine Bluff, AR" "" 10 12 1929 "Arkansas-Pine Bluff"
"W" "00-00-1929" "6" "Jarvis Christian (TX)" "0" "?" "" 0 0 1929 "Arkansas-Pine Bluff"
"W" "10-19-1929" "8" "Alcorn St. (MS)" "0" "Lorman, MS" "" 10 19 1929 "Arkansas-Pine Bluff"
"L" "00-00-1929" "0" "Southern (LA)" "45" "?" "" 0 0 1929 "Arkansas-Pine Bluff"
"T" "00-00-1929" "0" "Lane (TN)" "0" "?" "" 0 0 1929 "Arkansas-Pine Bluff"
"W" "00-00-1929" "38" "Philander-Smith (AR)" "6" "?" "" 0 0 1929 "Arkansas-Pine Bluff"
"W" "11-15-1929" "6" "Arkansas Baptist" "0" "Little Rock, AR" "" 11 15 1929 "Arkansas-Pine Bluff"
