"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1930" "12" "Bell Independents" "0" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"L" "00-00-1930" "0" "Vanderbilt Freshmen (TN)" "12" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"L" "00-00-1930" "6" "Bethel (KY)" "19" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"T" "00-00-1930" "0" "Murray St. Freshmen (KY)" "0" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"W" "00-00-1930" "7" "Clarksville Independents" "0" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"L" "00-00-1930" "0" "Tennessee JC" "30" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"L" "00-00-1930" "0" "Western Kentucky Freshmen" "12" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"W" "00-00-1930" "18" "Clarksville All-Stars" "0" "?" "" 0 0 1930 "Austin Peay St. (TN)"
"T" "00-00-1931" "0" "Vanderbilt Freshmen (TN)" "0" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"W" "00-00-1931" "14" "Bethel (TN)" "0" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"L" "00-00-1931" "0" "Murray St. Freshmen (KY)" "60" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"W" "00-00-1931" "12" "Bethel (KY)" "0" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"L" "00-00-1931" "7" "Middle Tennessee St. Freshmen" "13" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"W" "00-00-1931" "18" "Tennessee Tech Freshmen" "0" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"T" "00-00-1931" "0" "Tennessee JC" "0" "?" "" 0 0 1931 "Austin Peay St. (TN)"
"L" "00-00-1932" "6" "Vanderbilt Freshmen (TN)" "7" "?" "" 0 0 1932 "Austin Peay St. (TN)"
"W" "00-00-1932" "14" "Lambuth (TN)" "0" "?" "" 0 0 1932 "Austin Peay St. (TN)"
"T" "00-00-1932" "6" "Murray St. Freshmen (KY)" "6" "?" "" 0 0 1932 "Austin Peay St. (TN)"
"W" "00-00-1932" "7" "Tennessee Tech Freshmen" "0" "?" "" 0 0 1932 "Austin Peay St. (TN)"
"W" "00-00-1932" "20" "Middle Tennessee St. Freshmen" "0" "?" "" 0 0 1932 "Austin Peay St. (TN)"
"L" "11-24-1932" "0" "Cumberland (TN)" "7" "?" "" 11 24 1932 "Austin Peay St. (TN)"
"T" "11-24-1932" "6" "Tennessee JC" "6" "Clarksville, TN" "" 11 24 1932 "Austin Peay St. (TN)"
"W" "00-00-1936" "13" "Cumberland (TN)" "0" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"L" "00-00-1936" "0" "Tennessee JC" "18" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"L" "00-00-1936" "0" "Murray St. Freshmen (KY)" "7" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"L" "00-00-1936" "6" "Bethel (TN)" "9" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"L" "11-07-1936" "0" "Middle Tennessee St." "27" "Murfreesboro, TN" "" 11 7 1936 "Austin Peay St. (TN)"
"L" "00-00-1936" "0" "Tennessee JC" "32" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"W" "00-00-1936" "19" "Tennessee Tech Freshmen" "0" "?" "" 0 0 1936 "Austin Peay St. (TN)"
"L" "09-17-1937" "0" "Cumberland (TN)" "26" "?" "" 9 17 1937 "Austin Peay St. (TN)"
"L" "10-02-1937" "0" "Memphis (TN)" "26" "Memphis, TN" "Game in Question" 10 2 1937 "Austin Peay St. (TN)"
"L" "00-00-1937" "19" "Union (TN)" "20" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"L" "00-00-1937" "7" "Pensacola NAS (FL)" "12" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"W" "00-00-1937" "26" "Murray St. Freshmen (KY)" "7" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"L" "00-00-1937" "14" "Tennessee JC" "20" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"L" "11-05-1937" "0" "Middle Tennessee St." "20" "Murfreesboro, TN" "" 11 5 1937 "Austin Peay St. (TN)"
"W" "00-00-1937" "19" "Middle Tennessee St. Freshmen" "0" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"L" "00-00-1937" "6" "Western Kentucky Freshmen" "26" "?" "" 0 0 1937 "Austin Peay St. (TN)"
"L" "09-30-1938" "0" "Union (TN)" "19" "Jackson, TN" "" 9 30 1938 "Austin Peay St. (TN)"
"L" "00-00-1938" "7" "Murray St. Freshmen (KY)" "13" "?" "" 0 0 1938 "Austin Peay St. (TN)"
"L" "00-00-1938" "0" "Pensacola NAS (FL)" "12" "?" "" 0 0 1938 "Austin Peay St. (TN)"
"L" "10-15-1938" "0" "Western Kentucky Freshmen" "26" "?" "" 10 15 1938 "Austin Peay St. (TN)"
"W" "10-22-1938" "14" "Tennessee JC" "13" "Clarksville, TN" "" 10 22 1938 "Austin Peay St. (TN)"
"W" "00-00-1938" "51" "Tennessee JC" "0" "?" "" 0 0 1938 "Austin Peay St. (TN)"
"T" "11-04-1938" "6" "Tennessee Wesleyan" "6" "Athens, TN" "" 11 4 1938 "Austin Peay St. (TN)"
"L" "11-11-1938" "0" "Tennessee Tech" "28" "?" "" 11 11 1938 "Austin Peay St. (TN)"
"W" "11-19-1938" "12" "Southern Illinois" "9" "Carbondale, IL" "" 11 19 1938 "Austin Peay St. (TN)"
"W" "00-00-1939" "31" "Tennessee JC" "0" "?" "" 0 0 1939 "Austin Peay St. (TN)"
"L" "09-29-1939" "6" "Union (TN)" "33" "Jackson, TN" "" 9 29 1939 "Austin Peay St. (TN)"
"L" "00-00-1939" "7" "Pensacola NAS (FL)" "20" "?" "" 0 0 1939 "Austin Peay St. (TN)"
"L" "00-00-1939" "0" "Western Kentucky Freshmen" "7" "?" "" 0 0 1939 "Austin Peay St. (TN)"
"W" "00-00-1939" "7" "Tennessee JC" "0" "?" "" 0 0 1939 "Austin Peay St. (TN)"
"L" "11-03-1939" "0" "Tennessee Tech" "25" "Cookeville, TN" "" 11 3 1939 "Austin Peay St. (TN)"
"L" "11-10-1939" "0" "Murray St. Freshmen (KY)" "7" "Clarksville, TN" "" 11 10 1939 "Austin Peay St. (TN)"
"W" "11-18-1939" "25" "Southern Illinois" "6" "Carbondale, IL" "" 11 18 1939 "Austin Peay St. (TN)"
"W" "00-00-1939" "13" "Middle Tennessee St. Freshmen" "0" "?" "" 0 0 1939 "Austin Peay St. (TN)"
"L" "09-14-1940" "0" "Milligan (TN)" "12" "Milligan College, TN" "" 9 14 1940 "Austin Peay St. (TN)"
"L" "09-21-1940" "0" "Memphis (TN)" "40" "Memphis, TN" "" 9 21 1940 "Austin Peay St. (TN)"
"L" "09-26-1940" "0" "Union (TN)" "28" "Jackson, TN" "" 9 26 1940 "Austin Peay St. (TN)"
"L" "10-04-1940" "6" "Middle Tennessee St." "35" "Murfreesboro, TN" "" 10 4 1940 "Austin Peay St. (TN)"
"L" "00-00-1940" "7" "Pensacola NAS (FL)" "33" "?" "" 0 0 1940 "Austin Peay St. (TN)"
"W" "10-18-1940" "20" "Tennessee JC" "0" "Clarksville, TN" "" 10 18 1940 "Austin Peay St. (TN)"
"L" "10-26-1940" "0" "Arkansas St." "13" "Jonesboro, AR" "" 10 26 1940 "Austin Peay St. (TN)"
"W" "10-31-1940" "37" "Burlington JC (IA)" "0" "Clarksville, TN" "" 10 31 1940 "Austin Peay St. (TN)"
"W" "11-08-1940" "7" "Tennessee JC" "0" "Clarksville, TN" "" 11 8 1940 "Austin Peay St. (TN)"
"L" "11-16-1940" "0" "Western Kentucky" "20" "Bowling Green, KY" "" 11 16 1940 "Austin Peay St. (TN)"
"W" "11-22-1940" "14" "Rose-Hulman Tech (IN)" "7" "Clarksville, TN" "" 11 22 1940 "Austin Peay St. (TN)"
"L" "09-19-1941" "0" "Western Kentucky" "38" "Clarksville, TN" "" 9 19 1941 "Austin Peay St. (TN)"
"L" "09-27-1941" "0" "Union (TN)" "34" "Jackson, TN" "" 9 27 1941 "Austin Peay St. (TN)"
"L" "10-04-1941" "7" "Rose-Hulman Tech (IN)" "22" "Terre Haute, IN" "" 10 4 1941 "Austin Peay St. (TN)"
"L" "10-10-1941" "0" "Middle Tennessee St." "28" "Murfreesboro, TN" "" 10 10 1941 "Austin Peay St. (TN)"
"W" "10-17-1941" "13" "Tennessee JC" "0" "Martin, TN" "" 10 17 1941 "Austin Peay St. (TN)"
"W" "10-24-1941" "34" "Arkansas St." "0" "Clarksville, TN" "" 10 24 1941 "Austin Peay St. (TN)"
"W" "10-31-1941" "12" "Burlington JC (IA)" "7" "Burlington, IA" "" 10 31 1941 "Austin Peay St. (TN)"
"W" "11-14-1941" "24" "Tennessee Wesleyan" "6" "Clarksville, TN" "" 11 14 1941 "Austin Peay St. (TN)"
"L" "11-21-1941" "0" "Memphis (TN)" "26" "Clarksville, TN" "" 11 21 1941 "Austin Peay St. (TN)"
"L" "09-21-1946" "0" "Tennessee Wesleyan" "6" "Athens, TN" "" 9 21 1946 "Austin Peay St. (TN)"
"W" "09-27-1946" "27" "Cumberland (TN)" "0" "Lebanon, TN" "" 9 27 1946 "Austin Peay St. (TN)"
"L" "10-04-1946" "6" "Western Kentucky" "25" "Clarksville, TN" "" 10 4 1946 "Austin Peay St. (TN)"
"W" "10-11-1946" "33" "Tennessee JC" "0" "Clarksville, TN" "" 10 11 1946 "Austin Peay St. (TN)"
"L" "10-17-1946" "9" "Middle Tennessee St." "42" "Clarksville, TN" "" 10 17 1946 "Austin Peay St. (TN)"
"L" "00-00-1946" "12" "Vanderbilt Freshmen (TN)" "45" "?" "" 0 0 1946 "Austin Peay St. (TN)"
"W" "00-00-1946" "14" "Tennessee JC" "0" "?" "" 0 0 1946 "Austin Peay St. (TN)"
"W" "11-08-1946" "27" "Bethel (TN)" "0" "Clarksville, TN" "" 11 8 1946 "Austin Peay St. (TN)"
"W" "00-00-1946" "13" "Cumberland (TN)" "9" "?" "" 0 0 1946 "Austin Peay St. (TN)"
"W" "09-21-1947" "6" "Tennessee Wesleyan" "0" "Clarksville, TN" "" 9 21 1947 "Austin Peay St. (TN)"
"L" "09-26-1947" "7" "Union (TN)" "26" "Clarksville, TN" "" 9 26 1947 "Austin Peay St. (TN)"
"T" "10-03-1947" "13" "Cumberland (TN)" "13" "Lebanon, TN" "" 10 3 1947 "Austin Peay St. (TN)"
"L" "10-09-1947" "7" "Troy (AL)" "13" "Clarksville, TN" "" 10 9 1947 "Austin Peay St. (TN)"
"L" "10-17-1947" "0" "Middle Tennessee St." "33" "Clarksville, TN" "" 10 17 1947 "Austin Peay St. (TN)"
