"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1925" "6" "Edward Waters (FL)" "0" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"L" "10-23-1925" "0" "Florida A&M" "23" "Tallahassee, FL" "" 10 23 1925 "Bethune-Cookman (FL)"
"L" "00-00-1925" "3" "Savannah St. (GA)" "6" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"W" "00-00-1925" "17" "Lincoln HS (FL)" "7" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"W" "00-00-1925" "82" "Miami HS (FL)" "0" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"W" "00-00-1925" "25" "Jacksonville Stanton HS (FL)" "0" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"W" "00-00-1925" "44" "Fresendon" "0" "?" "" 0 0 1925 "Bethune-Cookman (FL)"
"W" "00-00-1926" "12" "Florida A&M" "0" "?" "" 0 0 1926 "Bethune-Cookman (FL)"
"T" "10-07-1927" "0" "Fessenden Academy (FL)" "0" "Daytona Beach, FL" "Results of game unknown" 10 7 1927 "Bethune-Cookman (FL)"
"T" "10-14-1927" "0" "Tampa HS (FL)" "0" "Daytona Beach, FL" "Results of game unknown" 10 14 1927 "Bethune-Cookman (FL)"
"T" "10-21-1927" "0" "Howard Academy" "0" "Daytona Beach, FL" "Results of game unknown" 10 21 1927 "Bethune-Cookman (FL)"
"T" "10-28-1927" "0" "Selden Institute (GA)" "0" "Waycross, GA" "Results of game unknown" 10 28 1927 "Bethune-Cookman (FL)"
"T" "11-05-1927" "0" "Saint Anthanatious" "0" "Brunswick, GA" "Results of game unknown" 11 5 1927 "Bethune-Cookman (FL)"
"L" "11-12-1927" "6" "Florida A&M" "12" "Tallahassee, FL" "" 11 12 1927 "Bethune-Cookman (FL)"
"T" "11-19-1927" "0" "Florida N&I" "0" "Saint Augustine, FL" "Results of game unknown" 11 19 1927 "Bethune-Cookman (FL)"
"W" "11-25-1927" "20" "Edward Waters (FL)" "7" "Daytona Beach, FL" "" 11 25 1927 "Bethune-Cookman (FL)"
"W" "11-05-1928" "21" "Booker T. Washington HS (FL)" "6" "Tampa, FL" "" 11 5 1928 "Bethune-Cookman (FL)"
"W" "00-00-1928" "21" "Tampa AC (FL)" "0" "?" "" 0 0 1928 "Bethune-Cookman (FL)"
"T" "11-29-1928" "6" "Edward Waters (FL)" "6" "Jacksonville, FL" "" 11 29 1928 "Bethune-Cookman (FL)"
"W" "00-00-1929" "58" "Tampa AC (FL)" "0" "?" "" 0 0 1929 "Bethune-Cookman (FL)"
"T" "00-00-1929" "0" "Howard Academy" "0" "?" "" 0 0 1929 "Bethune-Cookman (FL)"
"T" "00-00-1929" "6" "Florida A&M" "6" "?" "" 0 0 1929 "Bethune-Cookman (FL)"
"W" "00-00-1929" "48" "Simpson All-Stars" "0" "?" "" 0 0 1929 "Bethune-Cookman (FL)"
"L" "11-15-1929" "7" "Florida N&I" "12" "Tampa, FL" "" 11 15 1929 "Bethune-Cookman (FL)"
"W" "11-28-1929" "3" "Edward Waters (FL)" "0" "Daytona Beach, FL" "" 11 28 1929 "Bethune-Cookman (FL)"
"W" "00-00-1930" "13" "Jacksonville Stanton HS (FL)" "0" "?" "" 0 0 1930 "Bethune-Cookman (FL)"
"W" "11-22-1930" "7" "Claflin (SC)" "6" "Daytona Beach, FL" "" 11 22 1930 "Bethune-Cookman (FL)"
