"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-13-1878" "0" "Amherst (MA)" "1" "Providence, RI" "Amherst 1g,4t - Brown 0" 11 13 1878 "Brown (RI)"
"L" "11-13-1880" "0" "Yale (CT)" "8" "New Haven, CT" "Brown 11s - Yale 8g,5t,1s" 11 13 1880 "Brown (RI)"
"W" "00-00-1886" "70" "Providence HS (RI)" "0" "?" "" 0 0 1886 "Brown (RI)"
"L" "00-00-1886" "6" "Boston (MA)" "10" "?" "" 0 0 1886 "Brown (RI)"
"W" "00-00-1889" "14" "Pawtucket CC" "0" "?" "" 0 0 1889 "Brown (RI)"
"L" "10-19-1889" "0" "MIT (MA)" "48" "Cambridge, MA" "" 10 19 1889 "Brown (RI)"
"W" "00-00-1889" "16" "Tufts (MA)" "0" "?" "" 0 0 1889 "Brown (RI)"
"L" "00-00-1889" "0" "Boston AA (MA)" "16" "?" "" 0 0 1889 "Brown (RI)"
"L" "10-08-1890" "8" "MIT (MA)" "10" "Cambridge, MA" "South End Grounds" 10 8 1890 "Brown (RI)"
"L" "00-00-1890" "0" "Fall River" "8" "?" "" 0 0 1890 "Brown (RI)"
"W" "10-18-1890" "14" "Tufts (MA)" "0" "Medford, MA" "" 10 18 1890 "Brown (RI)"
"L" "00-00-1890" "12" "Boston AA (MA)" "26" "?" "" 0 0 1890 "Brown (RI)"
"L" "11-08-1890" "16" "Trinity (CT)" "20" "Providence, RI" "" 11 8 1890 "Brown (RI)"
"W" "00-00-1890" "22" "Harvard Freshmen (MA)" "8" "?" "" 0 0 1890 "Brown (RI)"
"L" "11-21-1890" "6" "Wesleyan (CT)" "34" "Springfield, MA" "" 11 21 1890 "Brown (RI)"
"W" "09-30-1891" "6" "MIT (MA)" "4" "Providence, RI" "" 9 30 1891 "Brown (RI)"
"L" "10-03-1891" "0" "Trinity (CT)" "8" "Providence, RI" "" 10 3 1891 "Brown (RI)"
"W" "10-10-1891" "18" "Fall River" "4" "?" "" 10 10 1891 "Brown (RI)"
"L" "10-17-1891" "18" "Bowdoin (ME)" "22" "Brunswick, ME" "" 10 17 1891 "Brown (RI)"
"L" "10-17-1891" "8" "Phillips Andover Academy (MA)" "26" "Providence, RI" "" 10 17 1891 "Brown (RI)"
"L" "10-31-1891" "6" "MIT (MA)" "14" "Cambridge, MA" "" 10 31 1891 "Brown (RI)"
"W" "11-07-1891" "18" "Bowdoin (ME)" "0" "Providence, RI" "" 11 7 1891 "Brown (RI)"
"L" "11-14-1891" "0" "Williams (MA)" "58" "Providence, RI" "" 11 14 1891 "Brown (RI)"
"W" "11-21-1891" "32" "Worcester Tech (MA)" "6" "Providence, RI" "" 11 21 1891 "Brown (RI)"
"L" "11-26-1891" "12" "Tufts (MA)" "34" "Medford, MA" "" 11 26 1891 "Brown (RI)"
"W" "10-08-1892" "24" "Fall River" "0" "Providence, RI" "" 10 8 1892 "Brown (RI)"
"W" "10-08-1892" "8" "Worcester Tech (MA)" "4" "Providence, RI" "" 10 8 1892 "Brown (RI)"
"W" "10-12-1892" "6" "Phillips Andover Academy (MA)" "4" "Andover, MA" "" 10 12 1892 "Brown (RI)"
"L" "10-15-1892" "6" "MIT (MA)" "30" "Cambridge, MA" "" 10 15 1892 "Brown (RI)"
"L" "10-22-1892" "4" "Tufts (MA)" "24" "Providence, RI" "" 10 22 1892 "Brown (RI)"
"L" "11-02-1892" "6" "MIT (MA)" "12" "Providence, RI" "" 11 2 1892 "Brown (RI)"
"T" "11-05-1892" "0" "Trinity (CT)" "0" "Providence, RI" "" 11 5 1892 "Brown (RI)"
"L" "11-12-1892" "0" "Worcester Tech (MA)" "4" "Worcester, MA" "" 11 12 1892 "Brown (RI)"
"L" "11-12-1892" "0" "Bowdoin (ME)" "8" "Brunswick, ME" "" 11 12 1892 "Brown (RI)"
