"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-12-1881" "0" "Penn St." "9" "Lewisburg, PA" "Penn St. 9g - Bucknell 0" 11 12 1881 "Bucknell (PA)"
"L" "11-30-1883" "0" "Lafayette (PA)" "59" "Lewisburg, PA" "" 11 30 1883 "Bucknell (PA)"
"L" "11-12-1887" "0" "Penn St." "54" "Lewisburg, PA" "" 11 12 1887 "Bucknell (PA)"
"L" "11-19-1887" "0" "Penn St." "24" "State College, PA" "" 11 19 1887 "Bucknell (PA)"
"L" "10-10-1888" "0" "Lafayette (PA)" "54" "Easton, PA" "" 10 10 1888 "Bucknell (PA)"
"L" "10-24-1888" "0" "Lehigh (PA)" "74" "Bethlehem, PA" "" 10 24 1888 "Bucknell (PA)"
"T" "10-27-1888" "0" "Penn St." "0" "Lewisburg, PA" "" 10 27 1888 "Bucknell (PA)"
"W" "11-03-1888" "10" "Wyoming Seminary (PA)" "4" "Kingston, PA" "" 11 3 1888 "Bucknell (PA)"
"W" "11-10-1888" "18" "Dickinson (PA)" "8" "Lewisburg, PA" "" 11 10 1888 "Bucknell (PA)"
"L" "11-17-1888" "0" "Cornell (NY)" "20" "Ithaca, NY" "" 11 17 1888 "Bucknell (PA)"
"W" "09-28-1889" "8" "Swarthmore (PA)" "0" "Swarthmore, PA" "" 9 28 1889 "Bucknell (PA)"
"L" "10-11-1889" "4" "Dickinson (PA)" "20" "Carlisle, PA" "" 10 11 1889 "Bucknell (PA)"
"T" "10-12-1889" "12" "Franklin & Marshall (PA)" "12" "Lancaster, PA" "" 10 12 1889 "Bucknell (PA)"
"L" "10-15-1889" "0" "Cornell (NY)" "66" "Ithaca, NY" "" 10 15 1889 "Bucknell (PA)"
"L" "10-26-1889" "0" "Franklin & Marshall (PA)" "16" "Lewisburg, PA" "" 10 26 1889 "Bucknell (PA)"
"L" "11-25-1889" "0" "Penn St." "12" "State College, PA" "" 11 25 1889 "Bucknell (PA)"
"T" "10-04-1890" "0" "Lafayette (PA)" "0" "Easton, PA" "" 10 4 1890 "Bucknell (PA)"
"W" "10-17-1890" "12" "Dickinson (PA)" "0" "Carlisle, PA" "" 10 17 1890 "Bucknell (PA)"
"L" "10-18-1890" "6" "Franklin & Marshall (PA)" "22" "Lewisburg, PA" "" 10 18 1890 "Bucknell (PA)"
"L" "11-08-1890" "0" "Cornell (NY)" "26" "Ithaca, NY" "" 11 8 1890 "Bucknell (PA)"
"L" "11-27-1890" "10" "Franklin & Marshall (PA)" "12" "Lancaster, PA" "" 11 27 1890 "Bucknell (PA)"
"W" "09-25-1891" "16" "Lafayette (PA)" "10" "Easton, PA" "" 9 25 1891 "Bucknell (PA)"
"L" "09-26-1891" "4" "Lehigh (PA)" "62" "Bethlehem, PA" "" 9 26 1891 "Bucknell (PA)"
"W" "10-10-1891" "32" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 10 10 1891 "Bucknell (PA)"
"W" "10-17-1891" "4" "Cornell (NY)" "0" "Ithaca, NY" "" 10 17 1891 "Bucknell (PA)"
"W" "10-24-1891" "32" "Swarthmore (PA)" "12" "Lewisburg, PA" "" 10 24 1891 "Bucknell (PA)"
"W" "11-07-1891" "12" "Penn St." "10" "Lewisburg, PA" "" 11 7 1891 "Bucknell (PA)"
"W" "11-14-1891" "70" "Haverford (PA)" "0" "Haverford, PA" "" 11 14 1891 "Bucknell (PA)"
"T" "11-21-1891" "0" "Dickinson (PA)" "0" "Carlisle, PA" "" 11 21 1891 "Bucknell (PA)"
"L" "11-26-1891" "6" "Franklin & Marshall (PA)" "12" "Lancaster, PA" "" 11 26 1891 "Bucknell (PA)"
"L" "10-01-1892" "0" "Cornell (NY)" "54" "Ithaca, NY" "" 10 1 1892 "Bucknell (PA)"
"W" "10-15-1892" "22" "Franklin & Marshall (PA)" "12" "Lancaster, PA" "" 10 15 1892 "Bucknell (PA)"
"W" "11-05-1892" "38" "Dickinson (PA)" "0" "Carlisle, PA" "" 11 5 1892 "Bucknell (PA)"
"L" "11-12-1892" "0" "Penn St." "18" "State College, PA" "" 11 12 1892 "Bucknell (PA)"
"W" "09-30-1893" "10" "Shamokin HS (PA)" "6" "Shamokin, PA" "" 9 30 1893 "Bucknell (PA)"
"L" "10-07-1893" "6" "Franklin & Marshall (PA)" "10" "Lancaster, PA" "" 10 7 1893 "Bucknell (PA)"
"W" "10-21-1893" "23" "Gettysburg (PA)" "0" "Gettysburg, PA" "" 10 21 1893 "Bucknell (PA)"
"L" "11-01-1893" "0" "Swarthmore (PA)" "36" "Swarthmore, PA" "" 11 1 1893 "Bucknell (PA)"
"W" "11-03-1893" "26" "Haverford (PA)" "0" "Haverford, PA" "" 11 3 1893 "Bucknell (PA)"
"L" "11-11-1893" "18" "Penn St." "36" "Lewisburg, PA" "" 11 11 1893 "Bucknell (PA)"
"W" "11-29-1893" "20" "Dickinson (PA)" "12" "Harrisburg, PA" "" 11 29 1893 "Bucknell (PA)"
"W" "09-29-1894" "54" "Milton AC (PA)" "0" "Milton, PA" "" 9 29 1894 "Bucknell (PA)"
"W" "10-06-1894" "34" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 10 6 1894 "Bucknell (PA)"
"L" "10-13-1894" "0" "Wilkes-Barre Academy (PA)" "4" "Wilkes-Barre, PA" "" 10 13 1894 "Bucknell (PA)"
"W" "10-20-1894" "42" "Franklin & Marshall (PA)" "0" "Lewisburg, PA" "" 10 20 1894 "Bucknell (PA)"
"W" "10-27-1894" "12" "Colgate (NY)" "8" "Scranton, PA" "" 10 27 1894 "Bucknell (PA)"
"W" "11-10-1894" "10" "Carlisle Indian School (PA)" "0" "Williamsport, PA" "" 11 10 1894 "Bucknell (PA)"
"L" "11-17-1894" "6" "Penn St." "12" "Williamsport, PA" "" 11 17 1894 "Bucknell (PA)"
"L" "11-29-1894" "0" "Lafayette (PA)" "44" "Easton, PA" "" 11 29 1894 "Bucknell (PA)"
"L" "10-02-1895" "0" "Pennsylvania" "40" "Philadelphia, PA" "" 10 2 1895 "Bucknell (PA)"
"W" "10-09-1895" "24" "Franklin & Marshall (PA)" "0" "Lewisburg, PA" "" 10 9 1895 "Bucknell (PA)"
"W" "10-12-1895" "24" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 10 12 1895 "Bucknell (PA)"
"W" "10-19-1895" "50" "Gettysburg (PA)" "0" "Harrisburg, PA" "" 10 19 1895 "Bucknell (PA)"
"L" "10-26-1895" "0" "Penn St." "16" "Williamsport, PA" "" 10 26 1895 "Bucknell (PA)"
"W" "11-16-1895" "18" "Carlisle Indian School (PA)" "4" "Lewisburg, PA" "" 11 16 1895 "Bucknell (PA)"
"W" "11-28-1895" "28" "Dickinson (PA)" "0" "Sunbury, PA" "" 11 28 1895 "Bucknell (PA)"
"W" "09-26-1896" "10" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 9 26 1896 "Bucknell (PA)"
"L" "10-03-1896" "0" "Pennsylvania" "40" "Philadelphia, PA" "" 10 3 1896 "Bucknell (PA)"
"W" "10-07-1896" "10" "Pennsylvania JV" "0" "Lewisburg, PA" "" 10 7 1896 "Bucknell (PA)"
"W" "10-31-1896" "10" "Penn St." "0" "Williamsport, PA" "" 10 31 1896 "Bucknell (PA)"
"L" "11-07-1896" "0" "Cornell (NY)" "54" "Ithaca, NY" "" 11 7 1896 "Bucknell (PA)"
"W" "11-14-1896" "18" "Bloomsburg (PA)" "6" "Lewisburg, PA" "" 11 14 1896 "Bucknell (PA)"
"W" "11-21-1896" "6" "Dickinson (PA)" "0" "Sunbury, PA" "Dickinson Forfeits" 11 21 1896 "Bucknell (PA)"
"T" "11-26-1896" "0" "Franklin & Marshall (PA)" "0" "Lancaster, PA" "" 11 26 1896 "Bucknell (PA)"
"L" "09-22-1897" "0" "Pennsylvania" "17" "Lewisburg, PA" "" 9 22 1897 "Bucknell (PA)"
"W" "09-25-1897" "45" "Lycoming (PA)" "0" "Lewisburg, PA" "" 9 25 1897 "Bucknell (PA)"
"L" "10-02-1897" "0" "Pennsylvania" "33" "Philadelphia, PA" "" 10 2 1897 "Bucknell (PA)"
"T" "10-09-1897" "6" "Pennsylvania JV" "6" "Lewisburg, PA" "" 10 9 1897 "Bucknell (PA)"
"W" "10-25-1897" "28" "Lehigh (PA)" "20" "Williamsport, PA" "" 10 25 1897 "Bucknell (PA)"
"W" "10-30-1897" "6" "Bloomsburg (PA)" "0" "Lewisburg, PA" "" 10 30 1897 "Bucknell (PA)"
"L" "11-13-1897" "4" "Penn St." "27" "Williamsport, PA" "" 11 13 1897 "Bucknell (PA)"
"W" "09-24-1898" "6" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 9 24 1898 "Bucknell (PA)"
"T" "10-01-1898" "0" "Company C, National Guard (PA)" "0" "Bradford, PA" "" 10 1 1898 "Bucknell (PA)"
"L" "10-08-1898" "0" "Navy (MD)" "11" "Annapolis, MD" "" 10 8 1898 "Bucknell (PA)"
"W" "10-15-1898" "6" "Maryland University" "0" "Shamokin, MD" "" 10 15 1898 "Bucknell (PA)"
"W" "10-22-1898" "34" "Swarthmore (PA)" "18" "Lewisburg, PA" "" 10 22 1898 "Bucknell (PA)"
"T" "10-29-1898" "0" "Lehigh (PA)" "0" "Bethlehem, PA" "" 10 29 1898 "Bucknell (PA)"
"L" "11-05-1898" "0" "Penn St." "16" "Williamsport, PA" "" 11 5 1898 "Bucknell (PA)"
"W" "11-08-1898" "6" "Maryland AC (MD)" "5" "?" "" 11 8 1898 "Bucknell (PA)"
"T" "11-12-1898" "11" "Franklin & Marshall (PA)" "11" "Reading, PA" "" 11 12 1898 "Bucknell (PA)"
"L" "11-19-1898" "0" "Lafayette (PA)" "6" "Easton, PA" "" 11 19 1898 "Bucknell (PA)"
"L" "11-24-1898" "5" "Buffalo (NY)" "36" "Buffalo, NY" "" 11 24 1898 "Bucknell (PA)"
"W" "09-23-1899" "22" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 9 23 1899 "Bucknell (PA)"
"W" "09-30-1899" "22" "Lycoming (PA)" "5" "Williamsport, PA" "" 9 30 1899 "Bucknell (PA)"
"L" "10-04-1899" "10" "Pennsylvania" "47" "Philadelphia, PA" "" 10 4 1899 "Bucknell (PA)"
"W" "10-07-1899" "40" "Shamokin HS (PA)" "0" "Lewisburg, PA" "" 10 7 1899 "Bucknell (PA)"
"W" "10-14-1899" "5" "Lehigh (PA)" "0" "Bethlehem, PA" "" 10 14 1899 "Bucknell (PA)"
"L" "10-21-1899" "0" "Duquesne AC (PA)" "35" "Pittsburgh, PA" "" 10 21 1899 "Bucknell (PA)"
"W" "10-28-1899" "45" "Susquehanna (PA)" "0" "Lewisburg, PA" "" 10 28 1899 "Bucknell (PA)"
"W" "11-04-1899" "5" "Penn St." "0" "Williamsport, PA" "" 11 4 1899 "Bucknell (PA)"
"T" "11-11-1899" "0" "Pennsylvania Railroad YMCA" "0" "Philadelphia, PA" "Score Unknown" 11 11 1899 "Bucknell (PA)"
"L" "11-18-1899" "0" "Lafayette (PA)" "12" "Easton, PA" "" 11 18 1899 "Bucknell (PA)"
"L" "11-30-1899" "0" "Buffalo (NY)" "30" "Buffalo, NY" "" 11 30 1899 "Bucknell (PA)"
"W" "09-29-1900" "36" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 9 29 1900 "Bucknell (PA)"
"L" "10-06-1900" "0" "Cornell (NY)" "6" "Ithaca, NY" "" 10 6 1900 "Bucknell (PA)"
"L" "10-13-1900" "6" "Lehigh (PA)" "12" "Bethlehem, PA" "" 10 13 1900 "Bucknell (PA)"
"L" "10-20-1900" "0" "Duquesne AC (PA)" "29" "Pittsburgh, PA" "" 10 20 1900 "Bucknell (PA)"
"W" "10-27-1900" "39" "Williamsport Wheel Club (PA)" "0" "Lewisburg, PA" "" 10 27 1900 "Bucknell (PA)"
"L" "11-03-1900" "12" "Penn St." "5" "Williamsport, PA" "Bucknell Forfeits" 11 3 1900 "Bucknell (PA)"
"W" "11-10-1900" "35" "Susquehanna (PA)" "0" "Lewisburg, PA" "" 11 10 1900 "Bucknell (PA)"
"L" "11-17-1900" "10" "Army (NY)" "18" "West Point, NY" "" 11 17 1900 "Bucknell (PA)"
"T" "11-24-1900" "0" "Villanova (PA)" "0" "Villanova, PA" "" 11 24 1900 "Bucknell (PA)"
"W" "09-21-1901" "18" "Lewisburg AC (PA)" "5" "Lewisburg, PA" "" 9 21 1901 "Bucknell (PA)"
"W" "09-28-1901" "5" "Wyoming Seminary (PA)" "0" "Lewisburg, PA" "" 9 28 1901 "Bucknell (PA)"
"L" "10-05-1901" "0" "Cornell (NY)" "6" "Ithaca, NY" "" 10 5 1901 "Bucknell (PA)"
"L" "10-12-1901" "5" "Carlisle Indian School (PA)" "6" "Williamsport, PA" "" 10 12 1901 "Bucknell (PA)"
"L" "10-19-1901" "0" "Pennsylvania" "6" "Philadelphia, PA" "" 10 19 1901 "Bucknell (PA)"
"W" "10-26-1901" "10" "Lehigh (PA)" "0" "Bethlehem, PA" "" 10 26 1901 "Bucknell (PA)"
"W" "11-02-1901" "51" "Gettysburg (PA)" "6" "Lewisburg, PA" "" 11 2 1901 "Bucknell (PA)"
"L" "11-09-1901" "5" "Washington & Jefferson (PA)" "11" "Pittsburgh, PA" "" 11 9 1901 "Bucknell (PA)"
"W" "11-16-1901" "34" "Burlingame AC" "0" "Lewisburg, PA" "" 11 16 1901 "Bucknell (PA)"
