"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1884" "0" "Wabash (IN)" "4" "?" "" 0 0 1884 "Butler (IN)"
"L" "00-00-1886" "2" "Hanover (IN)" "11" "?" "" 0 0 1886 "Butler (IN)"
"W" "10-29-1887" "48" "Purdue (IN)" "6" "Indianapolis, IN" "" 10 29 1887 "Butler (IN)"
"W" "00-00-1887" "48" "Franklin (IN)" "8" "?" "" 0 0 1887 "Butler (IN)"
"L" "00-00-1887" "8" "Hanover (IN)" "10" "?" "" 0 0 1887 "Butler (IN)"
"L" "00-00-1888" "0" "Earlham (IN)" "10" "?" "" 0 0 1888 "Butler (IN)"
"W" "00-00-1888" "11" "Franklin (IN)" "0" "?" "" 0 0 1888 "Butler (IN)"
"W" "11-16-1889" "32" "Hanover (IN)" "0" "Indianapolis, IN" "" 11 16 1889 "Butler (IN)"
"W" "11-29-1889" "14" "Purdue (IN)" "0" "Indianapolis, IN" "" 11 29 1889 "Butler (IN)"
"T" "10-18-1890" "0" "DePauw (IN)" "0" "Greencastle, IN" "" 10 18 1890 "Butler (IN)"
"W" "11-01-1890" "18" "DePauw (IN)" "0" "Indianapolis, IN" "" 11 1 1890 "Butler (IN)"
"W" "11-08-1890" "22" "Wabash (IN)" "6" "Indianapolis, IN" "" 11 8 1890 "Butler (IN)"
"W" "11-27-1890" "12" "Purdue (IN)" "10" "Indianapolis, IN" "" 11 27 1890 "Butler (IN)"
"L" "10-17-1891" "20" "DePauw (IN)" "32" "Greencastle, IN" "" 10 17 1891 "Butler (IN)"
"L" "10-31-1891" "6" "Michigan" "42" "Ann Arbor, MI" "" 10 31 1891 "Butler (IN)"
"W" "11-01-1891" "52" "Indiana" "6" "Indianapolis, IN" "" 11 1 1891 "Butler (IN)"
"W" "11-16-1891" "28" "Wabash (IN)" "6" "Crawfordsville, IN" "" 11 16 1891 "Butler (IN)"
"W" "11-21-1891" "34" "Cincinnati (OH)" "10" "Indianapolis, IN" "" 11 21 1891 "Butler (IN)"
"W" "00-00-1891" "26" "Indiana" "6" "?" "" 0 0 1891 "Butler (IN)"
"L" "11-26-1891" "0" "Purdue (IN)" "58" "Indianapolis, IN" "" 11 26 1891 "Butler (IN)"
"L" "00-00-1892" "10" "Indiana" "11" "?" "" 0 0 1892 "Butler (IN)"
"W" "00-00-1892" "14" "Wabash (IN)" "12" "?" "" 0 0 1892 "Butler (IN)"
"L" "10-29-1892" "6" "Purdue (IN)" "40" "West Lafayette, IN" "" 10 29 1892 "Butler (IN)"
"W" "00-00-1892" "18" "Earlham (IN)" "6" "?" "" 0 0 1892 "Butler (IN)"
"W" "11-12-1892" "20" "DePauw (IN)" "18" "Indianapolis, IN" "" 11 12 1892 "Butler (IN)"
"W" "00-00-1892" "12" "Dayton AC (OH)" "0" "?" "" 0 0 1892 "Butler (IN)"
"W" "00-00-1893" "20" "Earlham (IN)" "16" "?" "" 0 0 1893 "Butler (IN)"
"L" "10-14-1893" "6" "DePauw (IN)" "20" "Greencastle, IN" "" 10 14 1893 "Butler (IN)"
"W" "00-00-1893" "38" "Indiana" "0" "?" "" 0 0 1893 "Butler (IN)"
"L" "10-21-1893" "0" "Purdue (IN)" "96" "West Lafayette, IN" "" 10 21 1893 "Butler (IN)"
"L" "11-18-1893" "24" "Wabash (IN)" "28" "Crawfordsville, IN" "" 11 18 1893 "Butler (IN)"
"L" "10-13-1894" "0" "Purdue (IN)" "30" "Indianapolis, IN" "" 10 13 1894 "Butler (IN)"
"W" "10-24-1894" "66" "Kokomo" "0" "Kokomo, IN" "" 10 24 1894 "Butler (IN)"
"W" "10-27-1894" "58" "Indiana" "0" "Crawfordsville, IN" "" 10 27 1894 "Butler (IN)"
"W" "10-27-1894" "34" "Rose-Hulman Tech (IN)" "0" "Terre Haute, IN" "" 10 27 1894 "Butler (IN)"
"W" "11-10-1894" "38" "DePauw (IN)" "6" "Indianapolis, IN" "" 11 10 1894 "Butler (IN)"
"W" "00-00-1894" "12" "Central Normal (IN)" "0" "?" "" 0 0 1894 "Butler (IN)"
"W" "11-24-1894" "58" "Wabash (IN)" "0" "Indianapolis, IN" "" 11 24 1894 "Butler (IN)"
"W" "11-29-1894" "6" "Indianapolis Light Artillery (IN)" "4" "Indianapolis, IN" "" 11 29 1894 "Butler (IN)"
"L" "10-26-1895" "6" "Wabash (IN)" "10" "Indianapolis, IN" "" 10 26 1895 "Butler (IN)"
"L" "00-00-1895" "0" "Miami (OH)" "6" "Oxford, OH" "" 0 0 1895 "Butler (IN)"
"W" "00-00-1895" "34" "Indiana" "2" "?" "" 0 0 1895 "Butler (IN)"
"W" "00-00-1895" "18" "Knightstown AC (IN)" "0" "?" "" 0 0 1895 "Butler (IN)"
"L" "11-23-1895" "0" "DePauw (IN)" "16" "Indianapolis, IN" "" 11 23 1895 "Butler (IN)"
"L" "11-28-1895" "0" "Indianapolis Light Artillery (IN)" "26" "Indianapolis, IN" "" 11 28 1895 "Butler (IN)"
"L" "11-28-1895" "0" "Wabash (IN)" "12" "Crawfordsville, IN" "" 11 28 1895 "Butler (IN)"
"W" "00-00-1896" "22" "Franklin (IN)" "6" "?" "" 0 0 1896 "Butler (IN)"
"W" "00-00-1896" "18" "Rose-Hulman Tech (IN)" "0" "?" "" 0 0 1896 "Butler (IN)"
"L" "10-22-1896" "6" "Indiana" "22" "Indianapolis, IN" "" 10 22 1896 "Butler (IN)"
"W" "00-00-1896" "16" "Miami (OH)" "4" "Oxford, OH" "" 0 0 1896 "Butler (IN)"
"W" "00-00-1896" "13" "Earlham (IN)" "0" "?" "" 0 0 1896 "Butler (IN)"
"L" "11-14-1896" "0" "Miami (OH)" "6" "Indianapolis, IN" "" 11 14 1896 "Butler (IN)"
"L" "11-26-1896" "0" "Indianapolis AC (IN)" "14" "Indianapolis, IN" "" 11 26 1896 "Butler (IN)"
"W" "00-00-1897" "4" "Earlham (IN)" "0" "?" "" 0 0 1897 "Butler (IN)"
"W" "00-00-1898" "11" "Franklin (IN)" "0" "?" "" 0 0 1898 "Butler (IN)"
"L" "00-00-1898" "0" "Earlham (IN)" "10" "?" "" 0 0 1898 "Butler (IN)"
"T" "11-14-1898" "0" "DePauw (IN)" "0" "Greencastle, IN" "" 11 14 1898 "Butler (IN)"
"L" "10-07-1899" "0" "Indianapolis Manual Training HS (IN)" "20" "?" "" 10 7 1899 "Butler (IN)"
"L" "10-16-1899" "0" "DePauw (IN)" "28" "Greencastle, IN" "" 10 16 1899 "Butler (IN)"
"L" "00-00-1899" "0" "Franklin (IN)" "17" "?" "" 0 0 1899 "Butler (IN)"
"L" "00-00-1899" "0" "Earlham (IN)" "10" "?" "" 0 0 1899 "Butler (IN)"
"W" "00-00-1899" "11" "Franklin (IN)" "2" "?" "" 0 0 1899 "Butler (IN)"
"L" "00-00-1900" "0" "Franklin (IN)" "17" "?" "" 0 0 1900 "Butler (IN)"
"L" "00-00-1900" "0" "Earlham (IN)" "33" "?" "" 0 0 1900 "Butler (IN)"
"L" "00-00-1900" "0" "Franklin (IN)" "37" "?" "" 0 0 1900 "Butler (IN)"
"W" "11-29-1900" "10" "DePauw (IN)" "7" "Greencastle, IN" "" 11 29 1900 "Butler (IN)"
"W" "10-19-1901" "30" "Earlham (IN)" "0" "Indianapolis, IN" "" 10 19 1901 "Butler (IN)"
"W" "00-00-1901" "16" "Owl Club Football Team (IN)" "0" "?" "" 0 0 1901 "Butler (IN)"
"L" "11-09-1901" "0" "Transylvania (KY)" "28" "Lexington, KY" "" 11 9 1901 "Butler (IN)"
"L" "10-18-1902" "0" "Cincinnati (OH)" "6" "Cincinnati, OH" "" 10 18 1902 "Butler (IN)"
"W" "11-01-1902" "17" "Wabash (IN)" "12" "Indianapolis, IN" "" 11 1 1902 "Butler (IN)"
"L" "00-00-1902" "0" "Franklin (IN)" "5" "?" "" 0 0 1902 "Butler (IN)"
"L" "11-05-1902" "0" "DePauw (IN)" "32" "Greencastle, IN" "" 11 5 1902 "Butler (IN)"
"L" "11-15-1902" "0" "Transylvania (KY)" "56" "Indianapolis, IN" "" 11 15 1902 "Butler (IN)"
"L" "11-22-1902" "0" "Purdue (IN)" "87" "West Lafayette, IN" "" 11 22 1902 "Butler (IN)"
"L" "10-24-1903" "0" "DePauw (IN)" "18" "Greencastle, IN" "" 10 24 1903 "Butler (IN)"
"L" "00-00-1903" "0" "Rose-Hulman Tech (IN)" "31" "?" "" 0 0 1903 "Butler (IN)"
"L" "11-07-1903" "0" "Wabash (IN)" "46" "Indianapolis, IN" "" 11 7 1903 "Butler (IN)"
"W" "09-30-1904" "21" "Shelbyville AC (IN)" "0" "Shelbyville, IN" "" 9 30 1904 "Butler (IN)"
"W" "10-17-1904" "47" "Indiana St." "0" "Indianapolis, IN" "" 10 17 1904 "Butler (IN)"
"W" "00-00-1904" "55" "Central Normal (IN)" "5" "?" "" 0 0 1904 "Butler (IN)"
"W" "10-22-1904" "32" "Miami (OH)" "0" "Oxford, OH" "" 10 22 1904 "Butler (IN)"
"W" "10-29-1904" "17" "Indiana St." "0" "Terre Haute, IN" "" 10 29 1904 "Butler (IN)"
"W" "00-00-1904" "6" "Franklin (IN)" "0" "?" "Franklin Forfeits - Score Unknown" 0 0 1904 "Butler (IN)"
"W" "11-11-1904" "17" "Hanover (IN)" "6" "Hanover, IN" "" 11 11 1904 "Butler (IN)"
"W" "00-00-1904" "28" "Earlham (IN)" "8" "?" "" 0 0 1904 "Butler (IN)"
"L" "11-19-1904" "0" "Wabash (IN)" "51" "Indianapolis, IN" "" 11 19 1904 "Butler (IN)"
"W" "00-00-1904" "6" "Franklin (IN)" "0" "?" "Franklin Forfeits - Score Unknown" 0 0 1904 "Butler (IN)"
"W" "00-00-1905" "6" "Wabash (IN)" "0" "Crawfordsville, IN" "" 0 0 1905 "Butler (IN)"
"W" "00-00-1905" "101" "Indiana St." "0" "Terre Haute, IN" "" 0 0 1905 "Butler (IN)"
"L" "09-30-1905" "0" "Indiana" "31" "Bloomington, IN" "" 9 30 1905 "Butler (IN)"
"W" "00-00-1905" "31" "Winona Tech (IN)" "0" "?" "" 0 0 1905 "Butler (IN)"
"W" "00-00-1905" "47" "Shelbyville AC (IN)" "0" "?" "" 0 0 1905 "Butler (IN)"
"L" "10-21-1905" "6" "Rose-Hulman Tech (IN)" "6" "Terre Haute, IN" "Butler Forfeits" 10 21 1905 "Butler (IN)"
"L" "00-00-1905" "10" "Wittenberg (OH)" "12" "?" "" 0 0 1905 "Butler (IN)"
"W" "00-00-1905" "17" "Miami (OH)" "0" "Indianapolis, IN" "" 0 0 1905 "Butler (IN)"
"W" "11-11-1905" "64" "Franklin (IN)" "0" "Indianapolis, IN" "" 11 11 1905 "Butler (IN)"
"W" "11-18-1905" "18" "DePauw (IN)" "17" "Greencastle, IN" "" 11 18 1905 "Butler (IN)"
"W" "00-00-1906" "17" "Irvington AC" "0" "?" "" 0 0 1906 "Butler (IN)"
"T" "00-00-1907" "0" "Indiana St." "0" "Indianapolis, IN" "" 0 0 1907 "Butler (IN)"
"L" "00-00-1907" "0" "Hanover (IN)" "22" "?" "" 0 0 1907 "Butler (IN)"
"L" "00-00-1907" "5" "Rose-Hulman Tech (IN)" "16" "?" "" 0 0 1907 "Butler (IN)"
"W" "00-00-1907" "5" "Winona Tech (IN)" "0" "?" "" 0 0 1907 "Butler (IN)"
"T" "00-00-1907" "0" "Franklin (IN)" "0" "?" "" 0 0 1907 "Butler (IN)"
"L" "11-09-1907" "6" "Earlham (IN)" "34" "?" "" 11 9 1907 "Butler (IN)"
"W" "10-10-1908" "22" "Winona Tech (IN)" "5" "Indianapolis, IN" "" 10 10 1908 "Butler (IN)"
"W" "10-17-1908" "18" "Hanover (IN)" "0" "Indianapolis, IN" "" 10 17 1908 "Butler (IN)"
"W" "00-00-1908" "8" "Franklin (IN)" "0" "?" "" 0 0 1908 "Butler (IN)"
"W" "00-00-1908" "31" "Earlham (IN)" "0" "?" "" 0 0 1908 "Butler (IN)"
"W" "00-00-1908" "23" "Franklin (IN)" "0" "?" "" 0 0 1908 "Butler (IN)"
"W" "11-21-1908" "10" "Hanover (IN)" "0" "Hanover, IN" "" 11 21 1908 "Butler (IN)"
"T" "00-00-1908" "6" "Rose-Hulman Tech (IN)" "6" "?" "" 0 0 1908 "Butler (IN)"
"W" "00-00-1909" "25" "Winona Tech (IN)" "0" "?" "" 0 0 1909 "Butler (IN)"
"W" "10-09-1909" "18" "Franklin (IN)" "0" "Franklin, IN" "" 10 9 1909 "Butler (IN)"
"W" "10-16-1909" "23" "Hanover (IN)" "5" "Indianapolis, IN" "" 10 16 1909 "Butler (IN)"
"W" "10-23-1909" "8" "Earlham (IN)" "0" "Indianapolis, IN" "" 10 23 1909 "Butler (IN)"
"L" "10-30-1909" "6" "DePauw (IN)" "12" "Indianapolis, IN" "" 10 30 1909 "Butler (IN)"
"L" "11-06-1909" "6" "Rose-Hulman Tech (IN)" "12" "Terre Haute, IN" "" 11 6 1909 "Butler (IN)"
"L" "11-13-1909" "0" "Cincinnati (OH)" "22" "Cincinnati, OH" "" 11 13 1909 "Butler (IN)"
"W" "11-25-1909" "12" "Wabash (IN)" "0" "Indianapolis, IN" "" 11 25 1909 "Butler (IN)"
"W" "10-01-1910" "34" "Georgetown (KY)" "0" "Indianapolis, IN" "" 10 1 1910 "Butler (IN)"
"W" "10-08-1910" "5" "Hanover (IN)" "3" "Hanover, IN" "" 10 8 1910 "Butler (IN)"
"L" "10-14-1910" "0" "Wabash (IN)" "48" "Crawfordsville, IN" "" 10 14 1910 "Butler (IN)"
"W" "00-00-1910" "18" "Evansville (IN)" "0" "?" "" 0 0 1910 "Butler (IN)"
"L" "10-29-1910" "0" "Indiana" "33" "Bloomington, IN" "" 10 29 1910 "Butler (IN)"
"W" "11-05-1910" "3" "DePauw (IN)" "0" "Greencastle, IN" "" 11 5 1910 "Butler (IN)"
"L" "11-12-1910" "6" "Earlham (IN)" "17" "Richmond, IN" "" 11 12 1910 "Butler (IN)"
"T" "11-24-1910" "0" "Miami (OH)" "0" "Indianapolis, IN" "Washington Park" 11 24 1910 "Butler (IN)"
"W" "00-00-1911" "19" "Franklin (IN)" "0" "?" "" 0 0 1911 "Butler (IN)"
"T" "10-14-1911" "0" "Transylvania (KY)" "0" "Indianapolis, IN" "" 10 14 1911 "Butler (IN)"
"L" "10-21-1911" "0" "Notre Dame (IN)" "27" "South Bend, IN" "" 10 21 1911 "Butler (IN)"
"L" "11-04-1911" "11" "Cincinnati (OH)" "23" "Cincinnati, OH" "" 11 4 1911 "Butler (IN)"
"L" "11-10-1911" "6" "Earlham (IN)" "39" "Richmond, IN" "" 11 10 1911 "Butler (IN)"
"W" "11-18-1911" "3" "DePauw (IN)" "0" "Indianapolis, IN" "" 11 18 1911 "Butler (IN)"
"L" "11-30-1911" "6" "Rose-Hulman Tech (IN)" "11" "Indianapolis, IN" "" 11 30 1911 "Butler (IN)"
"W" "00-00-1911" "45" "Evansville (IN)" "0" "?" "" 0 0 1911 "Butler (IN)"
"W" "00-00-1912" "25" "Franklin (IN)" "0" "?" "" 0 0 1912 "Butler (IN)"
"W" "00-00-1912" "54" "Hanover (IN)" "0" "?" "" 0 0 1912 "Butler (IN)"
"L" "10-19-1912" "0" "Wabash (IN)" "46" "Crawfordsville, IN" "" 10 19 1912 "Butler (IN)"
"W" "10-26-1912" "13" "Earlham (IN)" "0" "Indianapolis, IN" "" 10 26 1912 "Butler (IN)"
"W" "11-01-1912" "27" "Transylvania (KY)" "0" "Lexington, KY" "" 11 1 1912 "Butler (IN)"
"W" "00-00-1912" "52" "Evansville (IN)" "14" "?" "" 0 0 1912 "Butler (IN)"
"L" "11-16-1912" "3" "DePauw (IN)" "17" "Greencastle, IN" "" 11 16 1912 "Butler (IN)"
"L" "11-28-1912" "6" "Rose-Hulman Tech (IN)" "13" "Terre Haute, IN" "" 11 28 1912 "Butler (IN)"
"L" "09-27-1913" "7" "Kentucky" "21" "Lexington, KY" "" 9 27 1913 "Butler (IN)"
"W" "10-11-1913" "10" "Wabash (IN)" "6" "Crawfordsville, IN" "" 10 11 1913 "Butler (IN)"
"W" "00-00-1913" "14" "Franklin (IN)" "7" "?" "" 0 0 1913 "Butler (IN)"
"T" "10-25-1913" "0" "Earlham (IN)" "0" "Indianapolis, IN" "" 10 25 1913 "Butler (IN)"
"L" "11-01-1913" "0" "Louisville (KY)" "20" "Louisville, KY" "" 11 1 1913 "Butler (IN)"
"L" "11-08-1913" "0" "DePauw (IN)" "13" "Indianapolis, IN" "" 11 8 1913 "Butler (IN)"
"L" "00-00-1913" "19" "Rose-Hulman Tech (IN)" "20" "?" "" 0 0 1913 "Butler (IN)"
"L" "00-00-1914" "0" "Georgetown (KY)" "13" "?" "" 0 0 1914 "Butler (IN)"
"W" "10-17-1914" "7" "Earlham (IN)" "6" "Indianapolis, IN" "" 10 17 1914 "Butler (IN)"
"W" "10-24-1914" "17" "Hanover (IN)" "16" "Indianapolis, IN" "" 10 24 1914 "Butler (IN)"
"L" "10-31-1914" "0" "Transylvania (KY)" "48" "Indianapolis, IN" "" 10 31 1914 "Butler (IN)"
"W" "11-07-1914" "7" "DePauw (IN)" "0" "Greencastle, IN" "" 11 7 1914 "Butler (IN)"
"W" "11-21-1914" "6" "Franklin (IN)" "0" "Indianapolis, IN" "" 11 21 1914 "Butler (IN)"
"L" "10-02-1915" "0" "Kentucky" "33" "Lexington, KY" "" 10 2 1915 "Butler (IN)"
"L" "10-16-1915" "16" "Franklin (IN)" "20" "Franklin, IN" "" 10 16 1915 "Butler (IN)"
"L" "10-23-1915" "0" "Rose-Hulman Tech (IN)" "7" "Terre Haute, IN" "" 10 23 1915 "Butler (IN)"
"L" "10-30-1915" "7" "Wabash (IN)" "35" "Indianapolis, IN" "" 10 30 1915 "Butler (IN)"
"L" "11-06-1915" "0" "DePauw (IN)" "39" "Indianapolis, IN" "" 11 6 1915 "Butler (IN)"
"W" "11-13-1915" "20" "Hanover (IN)" "7" "Indianapolis, IN" "" 11 13 1915 "Butler (IN)"
"L" "11-20-1915" "19" "Earlham (IN)" "34" "Richmond, IN" "" 11 20 1915 "Butler (IN)"
"L" "09-30-1916" "3" "Kentucky" "39" "Lexington, KY" "" 9 30 1916 "Butler (IN)"
"W" "10-14-1916" "27" "Earlham (IN)" "0" "Indianapolis, IN" "" 10 14 1916 "Butler (IN)"
"L" "10-21-1916" "0" "Wabash (IN)" "56" "Crawfordsville, IN" "" 10 21 1916 "Butler (IN)"
"L" "10-28-1916" "7" "Louisville (KY)" "19" "Louisville, KY" "" 10 28 1916 "Butler (IN)"
"W" "00-00-1916" "83" "Union Christian College (IN)" "0" "?" "" 0 0 1916 "Butler (IN)"
"L" "11-04-1916" "0" "DePauw (IN)" "21" "Greencastle, IN" "" 11 4 1916 "Butler (IN)"
"L" "11-11-1916" "14" "Franklin (IN)" "39" "Indianapolis, IN" "" 11 11 1916 "Butler (IN)"
"W" "11-18-1916" "13" "Rose-Hulman Tech (IN)" "7" "Indianapolis, IN" "" 11 18 1916 "Butler (IN)"
"L" "09-29-1917" "0" "Kentucky" "33" "Lexington, KY" "" 9 29 1917 "Butler (IN)"
"L" "10-06-1917" "0" "Millikin (IL)" "33" "Indianapolis, IN" "" 10 6 1917 "Butler (IN)"
"W" "10-20-1917" "25" "Hanover (IN)" "7" "Hanover, IN" "" 10 20 1917 "Butler (IN)"
"W" "10-26-1917" "6" "Franklin (IN)" "0" "Franklin, IN" "" 10 26 1917 "Butler (IN)"
"W" "00-00-1917" "43" "10th US Infantry" "7" "?" "" 0 0 1917 "Butler (IN)"
"W" "11-17-1917" "6" "Earlham (IN)" "0" "Richmond, IN" "" 11 17 1917 "Butler (IN)"
"L" "11-24-1917" "0" "Rose-Hulman Tech (IN)" "25" "Indianapolis, IN" "" 11 24 1917 "Butler (IN)"
"W" "00-00-1917" "41" "Camp Zachary Taylor (KY)" "6" "?" "" 0 0 1917 "Butler (IN)"
