"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "10-09-1915" "0" "Saint Mary's (CA)" "9" "Davis, CA" "" 10 9 1915 "California-Davis"
"W" "10-16-1915" "10" "California Freshmen" "7" "Berkeley, CA" "" 10 16 1915 "California-Davis"
"W" "10-23-1915" "14" "Nevada" "10" "Carson City, NV" "" 10 23 1915 "California-Davis"
"L" "10-30-1915" "6" "California JV" "14" "Davis, CA" "" 10 30 1915 "California-Davis"
"W" "00-00-1915" "21" "San Francisco National AC (CA)" "14" "?" "" 0 0 1915 "California-Davis"
"W" "10-07-1916" "72" "Preston Industrial School (CA)" "26" "Davis, CA" "" 10 7 1916 "California-Davis"
"T" "10-14-1916" "6" "California Freshmen" "6" "Davis, CA" "" 10 14 1916 "California-Davis"
"W" "10-21-1916" "13" "Saint Mary's (CA)" "3" "Davis, CA" "" 10 21 1916 "California-Davis"
"W" "10-28-1916" "7" "California JV" "3" "?" "" 10 28 1916 "California-Davis"
"W" "11-04-1916" "26" "Nevada" "7" "Reno, NV" "" 11 4 1916 "California-Davis"
"W" "11-11-1916" "10" "Olympic AC (CA)" "9" "Davis, CA" "" 11 11 1916 "California-Davis"
"W" "11-18-1916" "27" "Nevada" "7" "Davis, CA" "" 11 18 1916 "California-Davis"
"L" "11-30-1916" "0" "California Freshmen" "3" "?" "" 11 30 1916 "California-Davis"
"L" "10-02-1917" "0" "Sacramento HS (CA)" "111" "Sacramento, CA" "" 10 2 1917 "California-Davis"
"L" "10-20-1917" "7" "San Francisco (CA)" "13" "Davis, CA" "" 10 20 1917 "California-Davis"
"L" "00-00-1917" "0" "Preston Industrial School (CA)" "48" "?" "" 0 0 1917 "California-Davis"
"W" "10-05-1919" "47" "San Francisco (CA)" "0" "San Francisco, CA" "" 10 5 1919 "California-Davis"
"W" "00-00-1919" "38" "Preston Industrial School (CA)" "0" "?" "" 0 0 1919 "California-Davis"
"L" "10-25-1919" "0" "California Freshmen" "7" "Berkeley, CA" "" 10 25 1919 "California-Davis"
"L" "11-01-1919" "6" "Stanford Freshmen (CA)" "19" "Palo Alto, CA" "" 11 1 1919 "California-Davis"
"L" "11-08-1919" "0" "Nevada" "13" "Davis, CA" "" 11 8 1919 "California-Davis"
"W" "00-00-1919" "19" "USS Boston" "0" "?" "" 0 0 1919 "California-Davis"
"L" "11-22-1919" "0" "Saint Mary's (CA)" "14" "Oakland, CA" "" 11 22 1919 "California-Davis"
"L" "11-27-1919" "0" "Nevada" "56" "Reno, NV" "" 11 27 1919 "California-Davis"
"W" "00-00-1920" "27" "USS Boston" "0" "?" "" 0 0 1920 "California-Davis"
"L" "09-25-1920" "3" "Nevada" "7" "Reno, NV" "" 9 25 1920 "California-Davis"
"W" "10-02-1920" "18" "California JV" "0" "Berkeley, CA" "" 10 2 1920 "California-Davis"
