"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1925" "7" "Carthage" "0" "?" "" 0 0 1925 "Campbell (NC)"
"W" "09-24-1927" "6" "Atlantic Christian (NC)" "0" "Wilson, NC" "" 9 24 1927 "Campbell (NC)"
"L" "00-00-1928" "0" "Guilford (NC)" "19" "?" "" 0 0 1928 "Campbell (NC)"
"W" "00-00-1928" "31" "Mars Hill JC (NC)" "7" "?" "" 0 0 1928 "Campbell (NC)"
"W" "11-24-1928" "6" "Atlantic Christian (NC)" "0" "Dunn, NC" "" 11 24 1928 "Campbell (NC)"
"L" "09-28-1929" "0" "Atlantic Christian (NC)" "6" "Wilson, NC" "" 9 28 1929 "Campbell (NC)"
"L" "10-12-1929" "0" "Guilford (NC)" "12" "Greensboro, NC" "" 10 12 1929 "Campbell (NC)"
"W" "00-00-1929" "25" "Newport News Apprentice School (VA)" "6" "?" "" 0 0 1929 "Campbell (NC)"
"W" "11-23-1929" "13" "Rutherford College (NC)" "0" "Morganton, NC" "" 11 23 1929 "Campbell (NC)"
"L" "00-00-1930" "0" "Langley Field (VA)" "7" "?" "" 0 0 1930 "Campbell (NC)"
"W" "00-00-1930" "18" "Newport News Apprentice School (VA)" "14" "?" "" 0 0 1930 "Campbell (NC)"
"L" "00-00-1930" "6" "Rutherford College (NC)" "18" "?" "" 0 0 1930 "Campbell (NC)"
"L" "00-00-1931" "0" "Langley Field (VA)" "20" "?" "" 0 0 1931 "Campbell (NC)"
"L" "09-19-1931" "6" "Appalachian St. (NC)" "20" "Boone, NC" "" 9 19 1931 "Campbell (NC)"
"L" "00-00-1931" "6" "Newport News Apprentice School (VA)" "20" "?" "" 0 0 1931 "Campbell (NC)"
"L" "00-00-1931" "0" "Quantico Marines (VA)" "18" "?" "" 0 0 1931 "Campbell (NC)"
"L" "00-00-1931" "0" "Parris Island Marines (SC)" "22" "?" "" 0 0 1931 "Campbell (NC)"
"W" "00-00-1931" "30" "Rutherford College (NC)" "7" "?" "" 0 0 1931 "Campbell (NC)"
"L" "09-17-1932" "0" "Langley Field (VA)" "6" "Langley AFB, VA" "" 9 17 1932 "Campbell (NC)"
"L" "00-00-1932" "0" "Bluefield College (VA)" "14" "?" "" 0 0 1932 "Campbell (NC)"
"L" "00-00-1932" "6" "Newport News Apprentice School (VA)" "12" "?" "" 0 0 1932 "Campbell (NC)"
"W" "00-00-1932" "30" "Rutherford College (NC)" "7" "?" "" 0 0 1932 "Campbell (NC)"
