"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1935" "6" "Connecticut Freshmen" "0" "?" "" 0 0 1935 "Central Connecticut St."
"L" "00-00-1935" "0" "Wesleyan Freshmen (CT)" "6" "?" "" 0 0 1935 "Central Connecticut St."
"T" "00-00-1935" "6" "SUNY-New Paltz (NY)" "6" "?" "" 0 0 1935 "Central Connecticut St."
"L" "11-09-1935" "0" "Montclair St. (NJ)" "39" "Upper Montclair, NJ" "" 11 9 1935 "Central Connecticut St."
"L" "10-10-1936" "6" "SUNY-Farmingdale (NY)" "12" "Farmingdale, NY" "" 10 10 1936 "Central Connecticut St."
"T" "10-17-1936" "7" "Hartwick (NY)" "7" "Oneonta, NY" "" 10 17 1936 "Central Connecticut St."
"W" "10-24-1936" "33" "SUNY-New Paltz (NY)" "0" "New Britain, CT" "" 10 24 1936 "Central Connecticut St."
"L" "10-31-1936" "0" "American International (MA)" "6" "Springfield, MA" "" 10 31 1936 "Central Connecticut St."
"L" "11-07-1936" "6" "Montclair St. (NJ)" "41" "New Britain, CT" "" 11 7 1936 "Central Connecticut St."
"L" "11-21-1936" "0" "Arnold College (CT)" "19" "New Britain, CT" "" 11 21 1936 "Central Connecticut St."
"L" "10-02-1937" "0" "SUNY-Farmingdale (NY)" "6" "New Britain, CT" "" 10 2 1937 "Central Connecticut St."
"W" "10-09-1937" "32" "Wagner (NY)" "0" "New Britain, CT" "" 10 9 1937 "Central Connecticut St."
"T" "00-00-1937" "6" "Hyannis St. (MA)" "6" "?" "" 0 0 1937 "Central Connecticut St."
"L" "10-23-1937" "0" "Hartwick (NY)" "7" "New Britain, CT" "" 10 23 1937 "Central Connecticut St."
"L" "10-30-1937" "3" "American International (MA)" "9" "New Britain, CT" "" 10 30 1937 "Central Connecticut St."
"W" "11-06-1937" "7" "Massachusetts-Lowell" "6" "Lowell, MA" "" 11 6 1937 "Central Connecticut St."
"W" "10-01-1938" "13" "New Jersey (NJ)" "6" "New Britain, CT" "" 10 1 1938 "Central Connecticut St."
"L" "10-08-1938" "0" "Massachusetts-Lowell" "24" "New Britain, CT" "" 10 8 1938 "Central Connecticut St."
"L" "10-22-1938" "6" "Hartwick (NY)" "7" "Oneonta, NY" "" 10 22 1938 "Central Connecticut St."
"W" "10-29-1938" "21" "SUNY-Farmingdale (NY)" "0" "Farmingdale, NY" "" 10 29 1938 "Central Connecticut St."
"L" "11-05-1938" "0" "Wagner (NY)" "6" "Staten Island, NY" "" 11 5 1938 "Central Connecticut St."
"W" "11-12-1938" "12" "Montclair St. (NJ)" "6" "New Britain, CT" "" 11 12 1938 "Central Connecticut St."
"W" "10-07-1939" "39" "Arnold College (CT)" "0" "New Britain, CT" "" 10 7 1939 "Central Connecticut St."
"W" "10-14-1939" "27" "New Jersey (NJ)" "0" "Ewing, NJ" "" 10 14 1939 "Central Connecticut St."
"W" "10-21-1939" "20" "Hartwick (NY)" "0" "Oneonta, NY" "" 10 21 1939 "Central Connecticut St."
"W" "10-28-1939" "18" "SUNY-Farmingdale (NY)" "0" "Farmingdale, NY" "" 10 28 1939 "Central Connecticut St."
"W" "11-04-1939" "39" "Wagner (NY)" "0" "New Britain, CT" "" 11 4 1939 "Central Connecticut St."
"W" "11-11-1939" "20" "Montclair St. (NJ)" "12" "Upper Montclair, NJ" "" 11 11 1939 "Central Connecticut St."
"W" "09-27-1940" "13" "Arnold College (CT)" "3" "New Britain, CT" "" 9 27 1940 "Central Connecticut St."
"W" "10-04-1940" "13" "Hyannis St. (MA)" "0" "New Britain, CT" "" 10 4 1940 "Central Connecticut St."
"W" "10-12-1940" "45" "New Jersey (NJ)" "0" "New Britain, CT" "" 10 12 1940 "Central Connecticut St."
"W" "10-26-1940" "13" "Wagner (NY)" "12" "Staten Island, NY" "" 10 26 1940 "Central Connecticut St."
"W" "11-02-1940" "19" "SUNY-Farmingdale (NY)" "6" "Farmingdale, NY" "" 11 2 1940 "Central Connecticut St."
"L" "11-11-1940" "6" "Montclair St. (NJ)" "19" "New Britain, CT" "" 11 11 1940 "Central Connecticut St."
"W" "00-00-1941" "30" "New Jersey (NJ)" "6" "?" "" 0 0 1941 "Central Connecticut St."
"L" "10-25-1941" "18" "Wagner (NY)" "20" "Staten Island, NY" "" 10 25 1941 "Central Connecticut St."
"W" "11-01-1941" "33" "Massachusetts-Lowell" "6" "Lowell, MA" "" 11 1 1941 "Central Connecticut St."
"W" "11-08-1941" "12" "Montclair St. (NJ)" "6" "Upper Montclair, NJ" "" 11 8 1941 "Central Connecticut St."
"W" "11-15-1941" "13" "Arnold College (CT)" "0" "New Britain, CT" "" 11 15 1941 "Central Connecticut St."
"W" "10-05-1946" "29" "Worcester Tech (MA)" "0" "?" "" 10 5 1946 "Central Connecticut St."
"W" "10-19-1946" "19" "Montclair St. (NJ)" "12" "New Britain, CT" "" 10 19 1946 "Central Connecticut St."
"W" "10-26-1946" "28" "New Jersey (NJ)" "0" "Ewing, NJ" "" 10 26 1946 "Central Connecticut St."
"T" "11-02-1946" "6" "Massachusetts-Lowell" "6" "Lowell, MA" "" 11 2 1946 "Central Connecticut St."
"L" "11-09-1946" "12" "American International (MA)" "19" "Springfield, MA" "" 11 9 1946 "Central Connecticut St."
"W" "00-00-1947" "28" "Massachusetts Maritime" "0" "?" "" 0 0 1947 "Central Connecticut St."
"W" "10-04-1947" "27" "City College of New York" "0" "New Britain, CT" "" 10 4 1947 "Central Connecticut St."
"W" "10-11-1947" "28" "New Jersey (NJ)" "0" "Ewing, NJ" "" 10 11 1947 "Central Connecticut St."
"L" "10-18-1947" "0" "Montclair St. (NJ)" "7" "Upper Montclair, NJ" "" 10 18 1947 "Central Connecticut St."
"T" "10-24-1947" "0" "Arnold College (CT)" "0" "New Britain, CT" "" 10 24 1947 "Central Connecticut St."
"W" "10-31-1947" "30" "Massachusetts-Lowell" "0" "New Britain, CT" "" 10 31 1947 "Central Connecticut St."
"T" "11-07-1947" "0" "American International (MA)" "0" "New Britain, CT" "" 11 7 1947 "Central Connecticut St."
