"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "00-00-1905" "0" "Porter Military Academy (SC)" "0" "?" "" 0 0 1905 "Citadel (SC)"
"W" "00-00-1905" "17" "Porter Military Academy (SC)" "0" "?" "" 0 0 1905 "Citadel (SC)"
"W" "00-00-1905" "5" "Porter Military Academy (SC)" "0" "?" "" 0 0 1905 "Citadel (SC)"
"L" "00-00-1905" "5" "Welch Neck Academy (SC)" "6" "?" "" 0 0 1905 "Citadel (SC)"
"L" "00-00-1905" "0" "Fort Moultrie (SC)" "10" "?" "" 0 0 1905 "Citadel (SC)"
"L" "11-30-1905" "0" "South Carolina" "47" "Charleston, SC" "" 11 30 1905 "Citadel (SC)"
"W" "00-00-1906" "23" "College of Charleston (SC)" "0" "?" "" 0 0 1906 "Citadel (SC)"
"W" "00-00-1906" "10" "Porter Military Academy (SC)" "0" "?" "" 0 0 1906 "Citadel (SC)"
"W" "11-10-1906" "10" "Mercer (GA)" "0" "Charleston, SC" "" 11 10 1906 "Citadel (SC)"
"W" "00-00-1907" "17" "Porter Military Academy (SC)" "2" "?" "" 0 0 1907 "Citadel (SC)"
"L" "00-00-1907" "0" "South Carolina Medical" "6" "?" "" 0 0 1907 "Citadel (SC)"
"T" "00-00-1907" "5" "Porter Military Academy (SC)" "5" "?" "" 0 0 1907 "Citadel (SC)"
"L" "00-00-1907" "4" "College of Charleston (SC)" "5" "?" "" 0 0 1907 "Citadel (SC)"
"L" "00-00-1907" "5" "Welch Neck Academy (SC)" "7" "?" "" 0 0 1907 "Citadel (SC)"
"L" "00-00-1907" "5" "College of Charleston (SC)" "7" "?" "" 0 0 1907 "Citadel (SC)"
"L" "11-28-1907" "0" "South Carolina" "12" "Charleston, SC" "" 11 28 1907 "Citadel (SC)"
"W" "00-00-1908" "10" "Porter Military Academy (SC)" "5" "?" "" 0 0 1908 "Citadel (SC)"
"W" "00-00-1908" "26" "South Carolina Medical" "0" "?" "" 0 0 1908 "Citadel (SC)"
"T" "00-00-1908" "0" "College of Charleston (SC)" "0" "?" "" 0 0 1908 "Citadel (SC)"
"W" "00-00-1908" "27" "College of Charleston (SC)" "0" "?" "" 0 0 1908 "Citadel (SC)"
"W" "00-00-1908" "10" "Mercer (GA)" "0" "?" "" 0 0 1908 "Citadel (SC)"
"L" "11-26-1908" "0" "South Carolina" "12" "Charleston, SC" "" 11 26 1908 "Citadel (SC)"
"W" "10-02-1909" "36" "College of Charleston (SC)" "0" "Charleston, SC" "" 10 2 1909 "Citadel (SC)"
"T" "10-09-1909" "0" "Georgia" "0" "Charleston, SC" "" 10 9 1909 "Citadel (SC)"
"W" "10-16-1909" "99" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 10 16 1909 "Citadel (SC)"
"W" "10-23-1909" "21" "College of Charleston (SC)" "5" "Charleston, SC" "" 10 23 1909 "Citadel (SC)"
"W" "10-30-1909" "31" "West End Amateurs" "0" "Charleston, SC" "" 10 30 1909 "Citadel (SC)"
"T" "11-06-1909" "0" "Davidson (NC)" "0" "Charleston, SC" "" 11 6 1909 "Citadel (SC)"
"L" "11-13-1909" "0" "Clemson (SC)" "17" "Charleston, SC" "" 11 13 1909 "Citadel (SC)"
"L" "11-20-1909" "5" "Parris Island Marines (SC)" "17" "Parris Island, SC" "" 11 20 1909 "Citadel (SC)"
"L" "11-25-1909" "5" "South Carolina" "11" "Charleston, SC" "" 11 25 1909 "Citadel (SC)"
"L" "10-15-1910" "0" "Clemson (SC)" "32" "Charleston, SC" "" 10 15 1910 "Citadel (SC)"
"L" "10-22-1910" "0" "College of Charleston (SC)" "11" "Charleston, SC" "" 10 22 1910 "Citadel (SC)"
"W" "10-29-1910" "9" "Wake Forest (NC)" "5" "Charleston, SC" "" 10 29 1910 "Citadel (SC)"
"L" "11-05-1910" "2" "Florida" "6" "Jacksonville, FL" "" 11 5 1910 "Citadel (SC)"
"L" "11-12-1910" "0" "Mercer (GA)" "21" "Charleston, SC" "" 11 12 1910 "Citadel (SC)"
"W" "11-24-1910" "5" "South Carolina" "0" "Charleston, SC" "" 11 24 1910 "Citadel (SC)"
"W" "12-03-1910" "10" "Charleston 6th Naval District (SC)" "0" "Charleston, SC" "" 12 3 1910 "Citadel (SC)"
"L" "10-07-1911" "3" "Florida" "15" "Gainesville, FL" "" 10 7 1911 "Citadel (SC)"
"W" "10-14-1911" "5" "Mercer (GA)" "0" "Savannah, GA" "" 10 14 1911 "Citadel (SC)"
"W" "10-28-1911" "21" "College of Charleston (SC)" "0" "Charleston, SC" "" 10 28 1911 "Citadel (SC)"
"L" "11-04-1911" "0" "Clemson (SC)" "18" "Charleston, SC" "" 11 4 1911 "Citadel (SC)"
"W" "11-11-1911" "21" "College of Charleston (SC)" "3" "Charleston, SC" "" 11 11 1911 "Citadel (SC)"
"W" "11-18-1911" "6" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 11 18 1911 "Citadel (SC)"
"T" "11-30-1911" "0" "South Carolina" "0" "Charleston, SC" "" 11 30 1911 "Citadel (SC)"
"T" "12-02-1911" "0" "Charleston 6th Naval District (SC)" "0" "Charleston, SC" "" 12 2 1911 "Citadel (SC)"
"W" "12-09-1911" "17" "Parris Island Marines (SC)" "10" "Charleston, SC" "" 12 9 1911 "Citadel (SC)"
"W" "09-28-1912" "1" "Fort Moultrie (SC)" "0" "Charleston, SC" "Fort Moultrie Forfeits" 9 28 1912 "Citadel (SC)"
"L" "10-05-1912" "16" "Georgia Tech" "20" "Charleston, SC" "" 10 5 1912 "Citadel (SC)"
"L" "10-12-1912" "0" "Georgia" "33" "Athens, GA" "" 10 12 1912 "Citadel (SC)"
"W" "10-19-1912" "66" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 10 19 1912 "Citadel (SC)"
"L" "10-26-1912" "14" "Clemson (SC)" "52" "Clemson, SC" "" 10 26 1912 "Citadel (SC)"
"W" "11-09-1912" "40" "College of Charleston (SC)" "0" "Charleston, SC" "" 11 9 1912 "Citadel (SC)"
"L" "11-28-1912" "2" "South Carolina" "26" "Columbia, SC" "" 11 28 1912 "Citadel (SC)"
"W" "09-27-1913" "34" "Charleston 6th Naval District (SC)" "0" "Charleston, SC" "" 9 27 1913 "Citadel (SC)"
"L" "10-04-1913" "0" "Georgia Tech" "47" "Charleston, SC" "" 10 4 1913 "Citadel (SC)"
"T" "10-11-1913" "0" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 10 11 1913 "Citadel (SC)"
"W" "10-18-1913" "72" "College of Charleston (SC)" "0" "Charleston, SC" "" 10 18 1913 "Citadel (SC)"
"T" "10-25-1913" "7" "Mercer (GA)" "7" "Charleston, SC" "" 10 25 1913 "Citadel (SC)"
"W" "11-01-1913" "75" "Furman (SC)" "0" "Charleston, SC" "" 11 1 1913 "Citadel (SC)"
"L" "11-08-1913" "3" "Clemson (SC)" "7" "Charleston, SC" "" 11 8 1913 "Citadel (SC)"
"L" "11-15-1913" "13" "Florida" "18" "Gainesville, FL" "" 11 15 1913 "Citadel (SC)"
"L" "11-26-1913" "13" "South Carolina" "42" "Columbia, SC" "" 11 26 1913 "Citadel (SC)"
"W" "00-00-1914" "20" "Charleston 6th Naval District (SC)" "0" "?" "" 0 0 1914 "Citadel (SC)"
"L" "10-03-1914" "0" "Georgia" "13" "Athens, GA" "" 10 3 1914 "Citadel (SC)"
"W" "10-10-1914" "12" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 10 10 1914 "Citadel (SC)"
"L" "10-24-1914" "0" "Davidson (NC)" "16" "Charlotte, NC" "" 10 24 1914 "Citadel (SC)"
"L" "10-31-1914" "0" "Clemson (SC)" "14" "Charleston, SC" "" 10 31 1914 "Citadel (SC)"
"W" "11-07-1914" "14" "Newberry (SC)" "13" "Charleston, SC" "" 11 7 1914 "Citadel (SC)"
"L" "11-14-1914" "0" "Florida" "7" "Charleston, SC" "" 11 14 1914 "Citadel (SC)"
"L" "11-26-1914" "6" "South Carolina" "7" "Columbia, SC" "" 11 26 1914 "Citadel (SC)"
"W" "09-25-1915" "46" "Charleston 6th Naval District (SC)" "0" "Charleston, SC" "" 9 25 1915 "Citadel (SC)"
"L" "10-02-1915" "7" "North Carolina" "14" "Chapel Hill, NC" "" 10 2 1915 "Citadel (SC)"
"W" "10-09-1915" "54" "Porter Military Academy (SC)" "0" "Charleston, SC" "" 10 9 1915 "Citadel (SC)"
"L" "10-16-1915" "0" "Georgia" "39" "Charleston, SC" "" 10 16 1915 "Citadel (SC)"
"W" "10-23-1915" "14" "Presbyterian (SC)" "0" "Columbia, SC" "" 10 23 1915 "Citadel (SC)"
"W" "11-06-1915" "48" "Newberry (SC)" "3" "Charleston, SC" "" 11 6 1915 "Citadel (SC)"
"L" "11-13-1915" "0" "Florida" "6" "Gainesville, FL" "" 11 13 1915 "Citadel (SC)"
"W" "11-25-1915" "3" "South Carolina" "0" "Columbia, SC" "" 11 25 1915 "Citadel (SC)"
"L" "09-30-1916" "0" "Georgia" "6" "Athens, GA" "" 9 30 1916 "Citadel (SC)"
"W" "10-07-1916" "35" "Charleston 6th Naval District (SC)" "0" "Charleston, SC" "" 10 7 1916 "Citadel (SC)"
"W" "10-14-1916" "34" "Presbyterian (SC)" "7" "Charleston, SC" "" 10 14 1916 "Citadel (SC)"
"T" "10-21-1916" "7" "Davidson (NC)" "7" "Davidson, NC" "" 10 21 1916 "Citadel (SC)"
"W" "10-28-1916" "21" "Newberry (SC)" "14" "Newberry, SC" "" 10 28 1916 "Citadel (SC)"
"W" "11-08-1916" "37" "Wofford (SC)" "0" "Charleston, SC" "" 11 8 1916 "Citadel (SC)"
"W" "11-16-1916" "3" "Clemson (SC)" "0" "Orangeburg, SC" "" 11 16 1916 "Citadel (SC)"
"W" "11-30-1916" "20" "South Carolina" "2" "Columbia, SC" "" 11 30 1916 "Citadel (SC)"
"W" "10-06-1917" "19" "Charleston 6th Naval District (SC)" "7" "Charleston, SC" "" 10 6 1917 "Citadel (SC)"
"L" "10-13-1917" "0" "Presbyterian (SC)" "7" "Clinton, SC" "" 10 13 1917 "Citadel (SC)"
"W" "10-20-1917" "18" "Erskine (SC)" "7" "Charleston, SC" "" 10 20 1917 "Citadel (SC)"
"W" "11-03-1917" "32" "Newberry (SC)" "7" "Charleston, SC" "" 11 3 1917 "Citadel (SC)"
"L" "11-08-1917" "0" "Clemson (SC)" "20" "Orangeburg, SC" "" 11 8 1917 "Citadel (SC)"
"L" "11-29-1917" "0" "South Carolina" "20" "Columbia, SC" "" 11 29 1917 "Citadel (SC)"
"L" "11-16-1918" "0" "Clemson (SC)" "7" "Columbia, SC" "" 11 16 1918 "Citadel (SC)"
"L" "11-23-1918" "0" "Charleston 6th Naval District (SC)" "6" "Charleston, SC" "" 11 23 1918 "Citadel (SC)"
"T" "11-28-1918" "0" "South Carolina" "0" "Orangeburg, SC" "" 11 28 1918 "Citadel (SC)"
"L" "10-04-1919" "0" "Georgia" "28" "Athens, GA" "" 10 4 1919 "Citadel (SC)"
"W" "10-11-1919" "12" "Presbyterian (SC)" "7" "Charleston, SC" "" 10 11 1919 "Citadel (SC)"
