"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "11-12-1870" "3" "Rutgers (NJ)" "6" "New Brunswick, NJ" "Rutgers 6g - Columbia 3g" 11 12 1870 "Columbia (NY)"
"L" "11-02-1872" "0" "Rutgers (NJ)" "1" "New York, NY" "Rutgers 1g - Columbia 0" 11 2 1872 "Columbia (NY)"
"L" "11-09-1872" "2" "Rutgers (NJ)" "5" "New Brunswick, NJ" "Rutgers 5g - Columbia 2g" 11 9 1872 "Columbia (NY)"
"L" "11-16-1872" "0" "Yale (CT)" "3" "New Haven, CT" "Yale 3g - Columbia 0" 11 16 1872 "Columbia (NY)"
"W" "11-23-1872" "6" "Stevens Tech (NJ)" "0" "New York, NY" "Columbia 6g - Stevens Tech 0" 11 23 1872 "Columbia (NY)"
"W" "10-25-1873" "2" "Stevens Tech (NJ)" "1" "Hoboken, NJ" "Columbia 2g - Stevens Tech 1g" 10 25 1873 "Columbia (NY)"
"L" "11-01-1873" "4" "Rutgers (NJ)" "5" "New Brunswick, NJ" "Rutgers 5g - Columbia 4g" 11 1 1873 "Columbia (NY)"
"W" "11-15-1873" "4" "Rutgers (NJ)" "3" "Hoboken, NJ" "Columbia 4g - Rutgers 3g" 11 15 1873 "Columbia (NY)"
"L" "10-24-1874" "1" "Rutgers (NJ)" "6" "New Brunswick, NJ" "Rutgers 6g - Columbia 1g" 10 24 1874 "Columbia (NY)"
"L" "10-31-1874" "2" "Stevens Tech (NJ)" "4" "New York, NY" "Stevens Tech 4g - Columbia 2g" 10 31 1874 "Columbia (NY)"
"W" "11-07-1874" "4" "Rutgers (NJ)" "1" "Hoboken, NJ" "Columbia 4g - Rutgers 1g" 11 7 1874 "Columbia (NY)"
"L" "11-14-1874" "0" "Princeton (NJ)" "6" "Princeton, NJ" "Princeton 6g - Columbia 0" 11 14 1874 "Columbia (NY)"
"L" "11-21-1874" "1" "Yale (CT)" "5" "New Haven, CT" "Yale 5g - Columbia 1g" 11 21 1874 "Columbia (NY)"
"L" "12-05-1874" "1" "Yale (CT)" "6" "New Haven, CT" "Yale 6g - Columbia 1g" 12 5 1874 "Columbia (NY)"
"T" "11-02-1875" "1" "Rutgers (NJ)" "1" "New Brunswick, NJ" "Columbia 1g - Rutgers 1g" 11 2 1875 "Columbia (NY)"
"W" "11-04-1875" "5" "City College of New York" "0" "New York, NY" "Columbia 5g - City College of New York  0" 11 4 1875 "Columbia (NY)"
"W" "11-04-1875" "2" "Stevens Tech (NJ)" "1" "Hoboken, NJ" "Columbia 2g - Stevens Tech 1g" 11 4 1875 "Columbia (NY)"
