"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "11-16-1881" "1" "Amherst (MA)" "0" "Amherst, MA" "Dartmouth 1g - Amherst 0" 11 16 1881 "Dartmouth (NH)"
"T" "11-21-1881" "0" "Amherst (MA)" "0" "Amherst, MA" "Dartmouth 0 - Amherst 0" 11 21 1881 "Dartmouth (NH)"
"W" "10-31-1882" "1" "McGill (Canada)" "0" "Hanover, NH" "Dartmouth 1g,1t - McGill 0" 10 31 1882 "Dartmouth (NH)"
"L" "11-09-1882" "0" "Harvard (MA)" "4" "Cambridge, MA" "Harvard 4g,18t - Dartmouth 2s" 11 9 1882 "Dartmouth (NH)"
"L" "10-27-1883" "2" "Williams (MA)" "5" "Williamstown, MA" "" 10 27 1883 "Dartmouth (NH)"
"L" "10-25-1884" "0" "Yale (CT)" "113" "Hanover, NH" "" 10 25 1884 "Dartmouth (NH)"
"L" "11-12-1884" "0" "Harvard (MA)" "29" "Hanover, NH" "" 11 12 1884 "Dartmouth (NH)"
"T" "11-15-1884" "10" "Tufts (MA)" "10" "Hanover, NH" "" 11 15 1884 "Dartmouth (NH)"
"W" "11-27-1884" "20" "Tufts (MA)" "0" "Boston, MA" "" 11 27 1884 "Dartmouth (NH)"
"L" "10-16-1886" "11" "Phillips Andover Academy (MA)" "18" "Andover, MA" "" 10 16 1886 "Dartmouth (NH)"
"W" "10-23-1886" "11" "MIT (MA)" "6" "Hanover, NH" "" 10 23 1886 "Dartmouth (NH)"
"W" "10-27-1886" "91" "Vermont" "0" "Burlington, VT" "" 10 27 1886 "Dartmouth (NH)"
"L" "10-30-1886" "0" "Harvard (MA)" "70" "Hanover, NH" "" 10 30 1886 "Dartmouth (NH)"
"W" "10-15-1887" "52" "Tufts (MA)" "0" "Medford, MA" "" 10 15 1887 "Dartmouth (NH)"
"T" "10-22-1887" "4" "Stevens Tech (NJ)" "4" "Hoboken, NJ" "" 10 22 1887 "Dartmouth (NH)"
"W" "10-26-1887" "52" "Amherst (MA)" "0" "Hanover, NH" "" 10 26 1887 "Dartmouth (NH)"
"L" "11-05-1887" "15" "MIT (MA)" "24" "Cambridge, MA" "" 11 5 1887 "Dartmouth (NH)"
"W" "11-19-1887" "66" "Trinity (CT)" "0" "Hanover, NH" "" 11 19 1887 "Dartmouth (NH)"
"L" "10-27-1888" "0" "Harvard (MA)" "74" "Cambridge, MA" "" 10 27 1888 "Dartmouth (NH)"
"L" "10-31-1888" "10" "Phillips Exeter Academy (NH)" "12" "Exeter, NH" "" 10 31 1888 "Dartmouth (NH)"
"L" "11-03-1888" "4" "Phillips Andover Academy (MA)" "14" "Andover, MA" "" 11 3 1888 "Dartmouth (NH)"
"W" "11-10-1888" "30" "MIT (MA)" "0" "Hanover, NH" "" 11 10 1888 "Dartmouth (NH)"
"W" "11-17-1888" "36" "Williams (MA)" "6" "Hanover, NH" "" 11 17 1888 "Dartmouth (NH)"
"L" "11-19-1888" "0" "Stevens Tech (NJ)" "30" "Hoboken, NJ" "" 11 19 1888 "Dartmouth (NH)"
"W" "11-29-1888" "40" "Amherst (MA)" "0" "Amherst, MA" "" 11 29 1888 "Dartmouth (NH)"
"L" "10-09-1889" "0" "Harvard (MA)" "38" "Cambridge, MA" "" 10 9 1889 "Dartmouth (NH)"
"W" "10-12-1889" "45" "Phillips Andover Academy (MA)" "4" "Andover, MA" "" 10 12 1889 "Dartmouth (NH)"
"W" "10-19-1889" "34" "Phillips Exeter Academy (NH)" "0" "Exeter, NH" "" 10 19 1889 "Dartmouth (NH)"
"W" "10-26-1889" "20" "Phillips Andover Academy (MA)" "4" "Andover, MA" "" 10 26 1889 "Dartmouth (NH)"
"W" "11-02-1889" "60" "Amherst (MA)" "6" "Hanover, NH" "" 11 2 1889 "Dartmouth (NH)"
"W" "11-09-1889" "20" "Williams (MA)" "9" "Williamstown, MA" "" 11 9 1889 "Dartmouth (NH)"
"W" "11-16-1889" "42" "MIT (MA)" "6" "Hanover, NH" "" 11 16 1889 "Dartmouth (NH)"
"W" "11-28-1889" "18" "Stevens Tech (NJ)" "5" "Hoboken, NJ" "" 11 28 1889 "Dartmouth (NH)"
"W" "10-04-1890" "10" "Phillips Andover Academy (MA)" "5" "Hanover, NH" "" 10 4 1890 "Dartmouth (NH)"
"L" "10-08-1890" "0" "Harvard (MA)" "43" "Cambridge, MA" "" 10 8 1890 "Dartmouth (NH)"
"W" "10-11-1890" "71" "Vermont" "0" "Hanover, NH" "" 10 11 1890 "Dartmouth (NH)"
"L" "10-18-1890" "0" "Harvard (MA)" "64" "Cambridge, MA" "" 10 18 1890 "Dartmouth (NH)"
"W" "10-25-1890" "10" "Phillips Andover Academy (MA)" "0" "Andover, MA" "" 10 25 1890 "Dartmouth (NH)"
"W" "11-01-1890" "42" "Bowdoin (ME)" "0" "Hanover, NH" "" 11 1 1890 "Dartmouth (NH)"
"L" "11-08-1890" "0" "Amherst (MA)" "4" "Amherst, MA" "" 11 8 1890 "Dartmouth (NH)"
"L" "11-15-1890" "0" "Williams (MA)" "6" "Williamstown, MA" "" 11 15 1890 "Dartmouth (NH)"
"L" "10-03-1891" "0" "Harvard (MA)" "16" "Cambridge, MA" "" 10 3 1891 "Dartmouth (NH)"
"T" "10-14-1891" "14" "Amherst (MA)" "14" "Hanover, NH" "" 10 14 1891 "Dartmouth (NH)"
"L" "10-24-1891" "6" "Williams (MA)" "14" "Williamstown, MA" "" 10 24 1891 "Dartmouth (NH)"
"W" "11-04-1891" "32" "Stevens Tech (NJ)" "12" "Hoboken, NJ" "" 11 4 1891 "Dartmouth (NH)"
"W" "11-14-1891" "8" "MIT (MA)" "6" "Cambridge, MA" "" 11 14 1891 "Dartmouth (NH)"
"L" "10-01-1892" "0" "Harvard (MA)" "48" "Cambridge, MA" "" 10 1 1892 "Dartmouth (NH)"
"W" "10-08-1892" "10" "Springfield (MA)" "8" "Hanover, NH" "" 10 8 1892 "Dartmouth (NH)"
"W" "10-15-1892" "26" "Phillips Andover Academy (MA)" "0" "Andover, MA" "" 10 15 1892 "Dartmouth (NH)"
"L" "10-22-1892" "8" "Boston AA (MA)" "30" "Boston, MA" "" 10 22 1892 "Dartmouth (NH)"
"W" "10-26-1892" "20" "Wesleyan (CT)" "8" "Middletown, CT" "" 10 26 1892 "Dartmouth (NH)"
"W" "11-05-1892" "12" "Tufts (MA)" "10" "Hanover, NH" "" 11 5 1892 "Dartmouth (NH)"
"W" "11-19-1892" "24" "Williams (MA)" "12" "Hanover, NH" "" 11 19 1892 "Dartmouth (NH)"
"L" "11-24-1892" "2" "Amherst (MA)" "30" "Amherst, MA" "" 11 24 1892 "Dartmouth (NH)"
