"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1905" "5" "Riverdale" "6" "?" "" 0 0 1905 "Dayton (OH)"
"L" "00-00-1905" "0" "Tipp Tippecanoe HS (OH)" "11" "?" "" 0 0 1905 "Dayton (OH)"
"L" "00-00-1905" "5" "Tipp Tippecanoe HS (OH)" "36" "?" "" 0 0 1905 "Dayton (OH)"
"W" "00-00-1906" "29" "Germantown Academy (PA)" "0" "?" "" 0 0 1906 "Dayton (OH)"
"L" "00-00-1906" "2" "Oakwood AC (OH)" "11" "?" "" 0 0 1906 "Dayton (OH)"
"W" "00-00-1906" "43" "Dayton YMCA (OH)" "0" "?" "" 0 0 1906 "Dayton (OH)"
"W" "00-00-1906" "28" "Dayton Alumni (OH)" "0" "?" "" 0 0 1906 "Dayton (OH)"
"W" "00-00-1906" "36" "Wittenberg (OH)" "0" "?" "" 0 0 1906 "Dayton (OH)"
"W" "00-00-1906" "42" "Hamilton AC (OH)" "0" "?" "" 0 0 1906 "Dayton (OH)"
"L" "00-00-1907" "0" "Lebanon Valley (PA)" "6" "Dayton, OH" "" 0 0 1907 "Dayton (OH)"
"L" "00-00-1907" "0" "Ohio Deaf Mute Institute" "10" "?" "" 0 0 1907 "Dayton (OH)"
"L" "00-00-1907" "5" "Xavier (OH)" "17" "?" "" 0 0 1907 "Dayton (OH)"
"L" "11-28-1907" "0" "Wittenberg (OH)" "65" "?" "" 11 28 1907 "Dayton (OH)"
"W" "00-00-1908" "12" "Franklin (IN)" "2" "?" "" 0 0 1908 "Dayton (OH)"
"T" "00-00-1908" "0" "Miamisburg AC (OH)" "0" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "16" "Nelson College" "0" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "24" "Cedarville (OH)" "0" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "6" "West Carrollton HS (OH)" "0" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "12" "Mercantile AC" "5" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "4" "Miamisburg AC (OH)" "0" "?" "" 0 0 1908 "Dayton (OH)"
"W" "00-00-1908" "6" "Xavier (OH)" "0" "?" "" 0 0 1908 "Dayton (OH)"
"L" "00-00-1909" "5" "Central AC" "6" "?" "" 0 0 1909 "Dayton (OH)"
"W" "00-00-1909" "25" "Cedarville (OH)" "5" "?" "" 0 0 1909 "Dayton (OH)"
"L" "00-00-1909" "11" "Dayton Steele HS (OH)" "18" "?" "" 0 0 1909 "Dayton (OH)"
"W" "00-00-1909" "11" "Ohio Deaf Mute Institute" "6" "?" "" 0 0 1909 "Dayton (OH)"
"L" "00-00-1909" "0" "Earlham (IN)" "55" "?" "" 0 0 1909 "Dayton (OH)"
"W" "00-00-1909" "6" "Saint Patrick's College" "2" "?" "" 0 0 1909 "Dayton (OH)"
"W" "00-00-1909" "12" "Xavier (OH)" "0" "?" "" 0 0 1909 "Dayton (OH)"
"W" "00-00-1910" "64" "Ohio Deaf Mute Institute" "0" "?" "" 0 0 1910 "Dayton (OH)"
"W" "00-00-1910" "29" "Earlham JV (IN)" "0" "?" "" 0 0 1910 "Dayton (OH)"
"W" "00-00-1910" "45" "Xavier (OH)" "3" "?" "" 0 0 1910 "Dayton (OH)"
"L" "00-00-1910" "5" "Xavier (OH)" "6" "?" "" 0 0 1910 "Dayton (OH)"
"W" "00-00-1910" "22" "Saint Patrick's College" "6" "?" "" 0 0 1910 "Dayton (OH)"
"W" "11-12-1910" "10" "Antioch (OH)" "0" "Dayton, OH" "" 11 12 1910 "Dayton (OH)"
"L" "10-07-1911" "0" "Otterbein (OH)" "22" "Dayton, OH" "" 10 7 1911 "Dayton (OH)"
"W" "10-14-1911" "11" "Antioch (OH)" "0" "Dayton, OH" "" 10 14 1911 "Dayton (OH)"
"W" "10-21-1911" "56" "Cedarville (OH)" "0" "?" "" 10 21 1911 "Dayton (OH)"
"L" "00-00-1911" "0" "Earlham (IN)" "39" "Richmond, IN" "" 0 0 1911 "Dayton (OH)"
"W" "00-00-1911" "32" "Saint Patrick's College" "0" "?" "" 0 0 1911 "Dayton (OH)"
"T" "00-00-1911" "5" "Wilmington (OH)" "5" "?" "" 0 0 1911 "Dayton (OH)"
"L" "00-00-1911" "0" "Xavier (OH)" "5" "?" "" 0 0 1911 "Dayton (OH)"
"L" "00-00-1912" "8" "Wittenberg (OH)" "34" "?" "" 0 0 1912 "Dayton (OH)"
"W" "00-00-1912" "20" "Aquinas College (MI)" "0" "?" "" 0 0 1912 "Dayton (OH)"
"W" "10-19-1912" "14" "Otterbein (OH)" "12" "Dayton, OH" "" 10 19 1912 "Dayton (OH)"
"W" "10-26-1912" "40" "Wilmington (OH)" "0" "Dayton, OH" "" 10 26 1912 "Dayton (OH)"
"L" "11-23-1912" "0" "Antioch (OH)" "13" "Dayton, OH" "" 11 23 1912 "Dayton (OH)"
"W" "11-28-1912" "40" "Xavier (OH)" "0" "Dayton, OH" "" 11 28 1912 "Dayton (OH)"
"W" "10-11-1913" "7" "Earlham (IN)" "6" "Richmond, IN" "" 10 11 1913 "Dayton (OH)"
"W" "10-18-1913" "46" "Wilmington (OH)" "0" "Dayton, OH" "" 10 18 1913 "Dayton (OH)"
"L" "00-00-1913" "0" "Muskingum (OH)" "20" "?" "" 0 0 1913 "Dayton (OH)"
"T" "11-01-1913" "6" "Transylvania (KY)" "6" "Dayton, OH" "" 11 1 1913 "Dayton (OH)"
"W" "11-08-1913" "19" "Wittenberg (OH)" "3" "Dayton, OH" "" 11 8 1913 "Dayton (OH)"
"W" "11-15-1913" "6" "Antioch (OH)" "2" "Dayton, OH" "" 11 15 1913 "Dayton (OH)"
"L" "10-03-1914" "0" "Antioch (OH)" "7" "Dayton, OH" "" 10 3 1914 "Dayton (OH)"
"W" "10-17-1914" "14" "Ohio Northern" "0" "Dayton, OH" "" 10 17 1914 "Dayton (OH)"
"W" "00-00-1914" "13" "Wilmington (OH)" "7" "?" "" 0 0 1914 "Dayton (OH)"
"L" "10-31-1914" "19" "Antioch (OH)" "20" "Yellow Springs, OH" "" 10 31 1914 "Dayton (OH)"
"W" "10-02-1915" "10" "Antioch (OH)" "6" "Dayton, OH" "" 10 2 1915 "Dayton (OH)"
"W" "00-00-1915" "20" "Dayton Alumni (OH)" "0" "?" "" 0 0 1915 "Dayton (OH)"
"W" "10-16-1915" "13" "Antioch (OH)" "0" "Yellow Springs, OH" "" 10 16 1915 "Dayton (OH)"
"L" "00-00-1915" "6" "Georgetown (KY)" "9" "?" "" 0 0 1915 "Dayton (OH)"
"L" "00-00-1915" "0" "Wilmington (OH)" "7" "?" "" 0 0 1915 "Dayton (OH)"
"W" "00-00-1916" "53" "Ohio Deaf Mute Institute" "7" "?" "" 0 0 1916 "Dayton (OH)"
"L" "10-14-1916" "0" "Wilmington (OH)" "22" "Dayton, OH" "" 10 14 1916 "Dayton (OH)"
"L" "10-21-1916" "0" "Marietta (OH)" "93" "Marietta, OH" "" 10 21 1916 "Dayton (OH)"
"L" "10-28-1916" "10" "Otterbein (OH)" "55" "Westerville, OH" "" 10 28 1916 "Dayton (OH)"
"W" "11-04-1916" "20" "Wilmington (OH)" "7" "Dayton, OH" "" 11 4 1916 "Dayton (OH)"
"W" "11-18-1916" "19" "Dayton Alumni (OH)" "0" "Dayton, OH" "" 11 18 1916 "Dayton (OH)"
"W" "00-00-1916" "67" "Aquinas College (MI)" "7" "?" "" 0 0 1916 "Dayton (OH)"
"W" "00-00-1917" "25" "Aquinas College (MI)" "0" "?" "" 0 0 1917 "Dayton (OH)"
"W" "00-00-1917" "35" "Dayton Alumni (OH)" "0" "?" "" 0 0 1917 "Dayton (OH)"
"W" "10-26-1917" "13" "Wilmington (OH)" "0" "Wilmington, OH" "" 10 26 1917 "Dayton (OH)"
"L" "11-03-1917" "3" "Xavier (OH)" "7" "Dayton, OH" "" 11 3 1917 "Dayton (OH)"
"W" "00-00-1917" "60" "Findlay (OH)" "0" "?" "" 0 0 1917 "Dayton (OH)"
