"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1924" "0" "Lincoln (PA)" "65" "?" "" 0 0 1924 "Delaware St."
"L" "00-00-1925" "6" "Atlantic City HS (NJ)" "27" "?" "" 0 0 1925 "Delaware St."
"L" "00-00-1925" "13" "Moorestown HS (NJ)" "21" "?" "" 0 0 1925 "Delaware St."
"W" "00-00-1926" "14" "Downingtown Industrial School (PA)" "0" "?" "" 0 0 1926 "Delaware St."
"L" "11-03-1928" "0" "Bordentown Manual Training (NJ)" "36" "Bordentown, NJ" "" 11 3 1928 "Delaware St."
"W" "00-00-1929" "12" "Cheyney (PA)" "7" "?" "" 0 0 1929 "Delaware St."
"L" "00-00-1930" "6" "Bordentown Manual Training (NJ)" "7" "?" "" 0 0 1930 "Delaware St."
"W" "00-00-1930" "7" "Washington Howard HS (DC)" "0" "?" "" 0 0 1930 "Delaware St."
"L" "11-08-1930" "0" "Cheyney (PA)" "6" "Dover, DE" "" 11 8 1930 "Delaware St."
"W" "11-15-1930" "14" "Downingtown Industrial School (PA)" "12" "Dover, DE" "" 11 15 1930 "Delaware St."
"W" "11-22-1930" "18" "Maryland-Eastern Shore" "0" "Princess Anne, MD" "" 11 22 1930 "Delaware St."
"W" "11-22-1930" "19" "Maryland-Eastern Shore" "0" "Princess Anne, MD" "" 11 22 1930 "Delaware St."
"W" "00-00-1931" "14" "Bordentown Manual Training (NJ)" "13" "?" "" 0 0 1931 "Delaware St."
"T" "00-00-1931" "0" "Washington Howard HS (DC)" "0" "?" "" 0 0 1931 "Delaware St."
"L" "00-00-1931" "0" "Cheyney (PA)" "30" "?" "" 0 0 1931 "Delaware St."
"L" "00-00-1931" "0" "Downingtown Industrial School (PA)" "33" "?" "" 0 0 1931 "Delaware St."
"W" "00-00-1931" "30" "Maryland-Eastern Shore" "0" "?" "" 0 0 1931 "Delaware St."
"L" "10-08-1932" "6" "Washington Howard HS (DC)" "7" "Washington, DC" "" 10 8 1932 "Delaware St."
"W" "00-00-1932" "29" "Newark AC (NJ)" "7" "?" "" 0 0 1932 "Delaware St."
"L" "10-15-1932" "12" "Cheyney (PA)" "13" "Cheyney, PA" "" 10 15 1932 "Delaware St."
"L" "10-22-1932" "7" "Bordentown Manual Training (NJ)" "20" "Dover, DE" "" 10 22 1932 "Delaware St."
"L" "10-29-1932" "0" "Downingtown Industrial School (PA)" "18" "Dover, DE" "" 10 29 1932 "Delaware St."
"W" "00-00-1932" "13" "Maryland-Eastern Shore" "0" "?" "" 0 0 1932 "Delaware St."
"L" "00-00-1932" "6" "Storer College (WV)" "20" "?" "" 0 0 1932 "Delaware St."
"L" "10-07-1933" "0" "Miner Teachers (DC)" "8" "Dover, DE" "" 10 7 1933 "Delaware St."
"L" "10-13-1933" "18" "Bowie St. (MD)" "26" "Dover, DE" "" 10 13 1933 "Delaware St."
"L" "10-21-1933" "0" "Bordentown Manual Training (NJ)" "13" "Bordentown, NJ" "" 10 21 1933 "Delaware St."
"W" "10-28-1933" "38" "Maryland-Eastern Shore" "0" "Dover, DE" "" 10 28 1933 "Delaware St."
"W" "11-04-1933" "33" "Storer College (WV)" "6" "Dover, DE" "" 11 4 1933 "Delaware St."
"L" "11-11-1933" "0" "Cheyney (PA)" "7" "Dover, DE" "" 11 11 1933 "Delaware St."
"W" "11-17-1933" "18" "Washington Howard HS (DC)" "0" "Dover, DE" "" 11 17 1933 "Delaware St."
"W" "11-25-1933" "7" "Downingtown Industrial School (PA)" "0" "Downingtown, PA" "" 11 25 1933 "Delaware St."
"W" "10-06-1934" "6" "Miner Teachers (DC)" "2" "Washington, DC" "" 10 6 1934 "Delaware St."
"W" "10-13-1934" "13" "Bowie St. (MD)" "0" "Dover, DE" "" 10 13 1934 "Delaware St."
"W" "10-20-1934" "20" "Bordentown Manual Training (NJ)" "0" "Dover, DE" "" 10 20 1934 "Delaware St."
"W" "10-26-1934" "0" "Maryland-Eastern Shore" "0" "Princess Anne, MD" "Maryland-Eastern Shore Forfeits by failing to show for game" 10 26 1934 "Delaware St."
"W" "11-03-1934" "38" "Storer College (WV)" "0" "Harpers Ferry, WV" "" 11 3 1934 "Delaware St."
"W" "11-10-1934" "14" "Cheyney (PA)" "0" "Dover, DE" "" 11 10 1934 "Delaware St."
"W" "11-17-1934" "25" "Downingtown Industrial School (PA)" "0" "Dover, DE" "" 11 17 1934 "Delaware St."
"W" "11-24-1934" "8" "Lincoln (PA)" "0" "Dover, DE" "" 11 24 1934 "Delaware St."
"L" "10-05-1935" "0" "Virginia St." "6" "Petersburg, VA" "" 10 5 1935 "Delaware St."
"W" "10-12-1935" "7" "Cheyney (PA)" "0" "Cheyney, PA" "" 10 12 1935 "Delaware St."
"W" "10-19-1935" "39" "Bordentown Manual Training (NJ)" "0" "Bordentown, NJ" "" 10 19 1935 "Delaware St."
"W" "10-25-1935" "25" "Miner Teachers (DC)" "17" "Dover, DE" "" 10 25 1935 "Delaware St."
"W" "11-02-1935" "52" "Storer College (WV)" "0" "Dover, DE" "" 11 2 1935 "Delaware St."
