"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "10-21-1893" "20" "Des Moines YMCA (IA)" "4" "Des Moines, IA" "" 10 21 1893 "Drake (IA)"
"T" "00-00-1893" "0" "Des Moines HS (IA)" "0" "?" "" 0 0 1893 "Drake (IA)"
"L" "00-00-1893" "0" "Simpson (IA)" "62" "Indianola, IA" "" 0 0 1893 "Drake (IA)"
"W" "10-28-1893" "33" "Des Moines (IA)" "0" "Des Moines, IA" "" 10 28 1893 "Drake (IA)"
"L" "00-00-1893" "0" "Simpson (IA)" "6" "Des Moines, IA" "" 0 0 1893 "Drake (IA)"
"L" "00-00-1894" "0" "Panora AC (IA)" "22" "?" "" 0 0 1894 "Drake (IA)"
"W" "00-00-1894" "18" "Des Moines YMCA (IA)" "6" "?" "" 0 0 1894 "Drake (IA)"
"W" "00-00-1894" "16" "Grinnell (IA)" "4" "Des Moines, IA" "" 0 0 1894 "Drake (IA)"
"W" "10-28-1894" "16" "William Penn (IA)" "6" "Oskaloosa, IA" "" 10 28 1894 "Drake (IA)"
"L" "00-00-1894" "0" "Simpson (IA)" "18" "Indianola, IA" "" 0 0 1894 "Drake (IA)"
"W" "00-00-1895" "6" "Panora AC (IA)" "0" "?" "Panora AC Forfeits" 0 0 1895 "Drake (IA)"
"L" "00-00-1895" "0" "Des Moines YMCA (IA)" "4" "?" "" 0 0 1895 "Drake (IA)"
"L" "10-23-1895" "0" "William Penn (IA)" "4" "Oskaloosa, IA" "" 10 23 1895 "Drake (IA)"
"L" "11-02-1895" "16" "Simpson (IA)" "18" "Des Moines, IA" "" 11 2 1895 "Drake (IA)"
"L" "00-00-1895" "0" "Des Moines YMCA (IA)" "22" "?" "" 0 0 1895 "Drake (IA)"
"L" "09-26-1896" "12" "Parsons (IA)" "6" "Des Moines, IA" "Drake Forfeits" 9 26 1896 "Drake (IA)"
"L" "10-03-1896" "0" "Iowa" "32" "Iowa City, IA" "" 10 3 1896 "Drake (IA)"
"L" "10-17-1896" "0" "Grinnell (IA)" "46" "Grinnell, IA" "" 10 17 1896 "Drake (IA)"
"L" "10-24-1896" "12" "Simpson (IA)" "18" "Indianola, IA" "" 10 24 1896 "Drake (IA)"
"W" "10-31-1896" "16" "Monmouth (IL)" "10" "Des Moines, IA" "" 10 31 1896 "Drake (IA)"
"W" "11-20-1896" "12" "Monmouth (IL)" "0" "Monmouth, IA" "" 11 20 1896 "Drake (IA)"
"L" "11-21-1896" "0" "Knox (IL)" "6" "Galesburg, IL" "" 11 21 1896 "Drake (IA)"
"W" "11-24-1896" "6" "Parsons (IA)" "0" "Fairfield, IA" "" 11 24 1896 "Drake (IA)"
"T" "11-26-1896" "4" "Iowa Wesleyan" "4" "Mount Pleasant, IA" "" 11 26 1896 "Drake (IA)"
