"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1893" "0" "Pittsburgh AC (PA)" "20" "Pittsburgh, PA" "" 0 0 1893 "Duquesne (PA)"
"L" "00-00-1893" "10" "Washington & Jefferson (PA)" "22" "Washington, PA" "" 0 0 1893 "Duquesne (PA)"
"W" "00-00-1894" "6" "Hazelwood" "0" "?" "" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "28" "Non-parells" "6" "?" "" 0 0 1894 "Duquesne (PA)"
"L" "00-00-1894" "4" "Oakmont" "8" "?" "" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "48" "Allegheny AA (PA)" "0" "?" "" 0 0 1894 "Duquesne (PA)"
"T" "00-00-1894" "0" "Beaver Falls" "0" "Beaver Falls, PA" "Game tied - score unknown" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "6" "Greensburg AA (PA)" "0" "?" "Duquesne won - score unknown" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "4" "Westmoreland Company (PA)" "0" "?" "" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "44" "Bellevue AC (PA)" "0" "?" "" 0 0 1894 "Duquesne (PA)"
"W" "00-00-1894" "14" "Beaver Falls" "0" "?" "" 0 0 1894 "Duquesne (PA)"
"L" "00-00-1894" "0" "Vigilants Steelworkers" "12" "Martins Ferry, OH" "" 0 0 1894 "Duquesne (PA)"
"W" "10-03-1896" "8" "Emerald AA" "0" "?" "" 10 3 1896 "Duquesne (PA)"
"L" "10-10-1896" "0" "J. F. Lalus AC" "52" "?" "" 10 10 1896 "Duquesne (PA)"
"W" "10-14-1896" "10" "Park Institute" "8" "?" "" 10 14 1896 "Duquesne (PA)"
"W" "10-17-1896" "20" "Emerald AA" "0" "?" "" 10 17 1896 "Duquesne (PA)"
"W" "10-21-1896" "12" "Our Boys" "0" "?" "" 10 21 1896 "Duquesne (PA)"
"W" "10-24-1896" "4" "Arions" "0" "?" "" 10 24 1896 "Duquesne (PA)"
"W" "10-28-1896" "28" "Keystone T." "0" "?" "" 10 28 1896 "Duquesne (PA)"
"W" "10-31-1896" "20" "Orange AC" "0" "?" "" 10 31 1896 "Duquesne (PA)"
"W" "11-07-1896" "20" "Imperial R." "6" "?" "" 11 7 1896 "Duquesne (PA)"
"L" "11-10-1896" "0" "Allegheny AA (PA)" "10" "Pittsburgh, PA" "" 11 10 1896 "Duquesne (PA)"
"W" "11-12-1896" "69" "Pittsburgh Times" "0" "?" "" 11 12 1896 "Duquesne (PA)"
"W" "11-14-1896" "33" "Keystone T." "0" "?" "" 11 14 1896 "Duquesne (PA)"
"W" "11-18-1896" "38" "Henderson AC" "0" "?" "" 11 18 1896 "Duquesne (PA)"
"L" "10-16-1897" "0" "Washington & Jefferson (PA)" "24" "Washington, PA" "" 10 16 1897 "Duquesne (PA)"
"L" "10-23-1897" "5" "Geneva (PA)" "26" "Beaver Falls, PA" "" 10 23 1897 "Duquesne (PA)"
"T" "10-30-1897" "0" "West Virginia" "0" "Pittsburgh, PA" "" 10 30 1897 "Duquesne (PA)"
"W" "00-00-1897" "14" "Bethany (WV)" "0" "?" "" 0 0 1897 "Duquesne (PA)"
"L" "11-06-1897" "0" "Washington & Jefferson (PA)" "36" "Washington, PA" "" 11 6 1897 "Duquesne (PA)"
"W" "00-00-1897" "38" "Marquette AC" "0" "?" "" 0 0 1897 "Duquesne (PA)"
"W" "00-00-1898" "23" "Geneva (PA)" "5" "?" "" 0 0 1898 "Duquesne (PA)"
"T" "00-00-1898" "0" "Pittsburgh AC (PA)" "0" "Pittsburgh, PA" "" 0 0 1898 "Duquesne (PA)"
"W" "00-00-1898" "17" "Swissvale AC (PA)" "0" "?" "" 0 0 1898 "Duquesne (PA)"
"L" "00-00-1898" "0" "Duquesne AC (PA)" "16" "Pittsburgh, PA" "" 0 0 1898 "Duquesne (PA)"
"L" "00-00-1898" "0" "Latrobe AC (PA)" "17" "?" "" 0 0 1898 "Duquesne (PA)"
"W" "00-00-1898" "16" "Steubenville Acme Club (OH)" "0" "?" "" 0 0 1898 "Duquesne (PA)"
"L" "00-00-1898" "0" "Greensburg AA (PA)" "11" "?" "" 0 0 1898 "Duquesne (PA)"
"L" "00-00-1898" "6" "Latrobe AC (PA)" "22" "?" "" 0 0 1898 "Duquesne (PA)"
"W" "00-00-1898" "28" "Homestead AC (PA)" "5" "?" "" 0 0 1898 "Duquesne (PA)"
"W" "00-00-1898" "11" "Wheeling AC (WV)" "0" "?" "" 0 0 1898 "Duquesne (PA)"
"W" "00-00-1899" "11" "Wheeling AC (WV)" "0" "?" "" 0 0 1899 "Duquesne (PA)"
"T" "00-00-1899" "6" "Pittsburgh Lyceum (PA)" "6" "?" "" 0 0 1899 "Duquesne (PA)"
"T" "00-00-1899" "6" "Swissvale AC (PA)" "6" "?" "" 0 0 1899 "Duquesne (PA)"
"W" "00-00-1899" "1" "Homestead AC (PA)" "0" "?" "Homestead AC Forfeits" 0 0 1899 "Duquesne (PA)"
"W" "00-00-1900" "32" "Bonquet AC" "0" "?" "" 0 0 1900 "Duquesne (PA)"
"T" "00-00-1900" "5" "Coraopolis AC (PA)" "5" "?" "" 0 0 1900 "Duquesne (PA)"
"W" "00-00-1900" "26" "Crescent AC (PA)" "11" "?" "" 0 0 1900 "Duquesne (PA)"
