"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1899" "0" "Illinois College" "46" "?" "" 0 0 1899 "Eastern Illinois"
"T" "10-27-1900" "6" "Mattoon HS (IL)" "6" "Charleston, IL" "" 10 27 1900 "Eastern Illinois"
"W" "11-12-1900" "18" "Westfield HS (IL)" "0" "Charleston, IL" "" 11 12 1900 "Eastern Illinois"
"T" "11-24-1900" "11" "Westfield HS (IL)" "11" "Charleston, IL" "" 11 24 1900 "Eastern Illinois"
"W" "10-26-1901" "10" "Indiana St." "0" "Charleston, IL" "" 10 26 1901 "Eastern Illinois"
"W" "00-00-1901" "28" "Illinois St." "0" "?" "" 0 0 1901 "Eastern Illinois"
"W" "11-23-1901" "27" "Indiana St." "0" "Terre Haute, IN" "" 11 23 1901 "Eastern Illinois"
"W" "00-00-1902" "21" "Indiana St." "0" "Terre Haute, IN" "" 0 0 1902 "Eastern Illinois"
"L" "00-00-1902" "0" "Indiana St." "10" "Charleston, IL" "" 0 0 1902 "Eastern Illinois"
"L" "11-22-1902" "0" "Northern Illinois" "10" "DeKalb, IL" "" 11 22 1902 "Eastern Illinois"
"L" "00-00-1903" "0" "Rose-Hulman Tech (IN)" "5" "?" "" 0 0 1903 "Eastern Illinois"
"L" "00-00-1903" "0" "Rose-Hulman Tech (IN)" "5" "?" "" 0 0 1903 "Eastern Illinois"
"L" "00-00-1903" "0" "Millikin (IL)" "12" "?" "" 0 0 1903 "Eastern Illinois"
"W" "11-14-1903" "29" "Northern Illinois" "0" "Charleston, IL" "" 11 14 1903 "Eastern Illinois"
"L" "00-00-1904" "0" "Rose-Hulman Tech (IN)" "12" "?" "" 0 0 1904 "Eastern Illinois"
"W" "10-08-1904" "16" "Rose-Hulman Tech (IN)" "2" "?" "" 10 8 1904 "Eastern Illinois"
"W" "10-15-1904" "6" "Millikin (IL)" "0" "Decatur, IL" "" 10 15 1904 "Eastern Illinois"
"W" "00-00-1904" "12" "Indiana St." "6" "Charleston, IL" "" 0 0 1904 "Eastern Illinois"
"W" "11-12-1904" "4" "Millikin (IL)" "0" "Charleston, IL" "" 11 12 1904 "Eastern Illinois"
"T" "11-19-1904" "5" "Indiana St." "5" "Terre Haute, IN" "" 11 19 1904 "Eastern Illinois"
"L" "00-00-1905" "0" "Rose-Hulman Tech (IN)" "27" "?" "" 0 0 1905 "Eastern Illinois"
"L" "00-00-1905" "0" "Rose-Hulman Tech (IN)" "22" "?" "" 0 0 1905 "Eastern Illinois"
"L" "00-00-1905" "0" "Millikin (IL)" "33" "?" "" 0 0 1905 "Eastern Illinois"
"L" "00-00-1905" "0" "Millikin (IL)" "4" "?" "" 0 0 1905 "Eastern Illinois"
"L" "00-00-1905" "4" "Illinois St." "6" "?" "" 0 0 1905 "Eastern Illinois"
"T" "00-00-1906" "0" "Rose-Hulman Tech (IN)" "0" "?" "" 0 0 1906 "Eastern Illinois"
"W" "00-00-1906" "11" "Indiana St." "0" "Terre Haute, IN" "" 0 0 1906 "Eastern Illinois"
"W" "00-00-1906" "11" "Illinois St." "5" "?" "" 0 0 1906 "Eastern Illinois"
"W" "00-00-1906" "23" "Indiana St." "0" "Charleston, IL" "" 0 0 1906 "Eastern Illinois"
"L" "00-00-1906" "0" "Millikin (IL)" "17" "?" "" 0 0 1906 "Eastern Illinois"
"T" "00-00-1907" "0" "Rose-Hulman Tech (IN)" "0" "?" "" 0 0 1907 "Eastern Illinois"
"T" "00-00-1907" "11" "Saint Louis (MO)" "11" "?" "" 0 0 1907 "Eastern Illinois"
"W" "00-00-1907" "32" "Indiana St." "5" "Terre Haute, IN" "" 0 0 1907 "Eastern Illinois"
"T" "00-00-1907" "6" "Illinois St." "6" "?" "" 0 0 1907 "Eastern Illinois"
"W" "10-03-1908" "4" "Rose-Hulman Tech (IN)" "0" "?" "" 10 3 1908 "Eastern Illinois"
"L" "10-17-1908" "0" "Illinois St." "30" "Bloomington, IL" "" 10 17 1908 "Eastern Illinois"
"L" "11-07-1908" "16" "DePauw (IN)" "29" "Greencastle, IN" "" 11 7 1908 "Eastern Illinois"
"W" "00-00-1908" "49" "Illinois Wesleyan" "6" "?" "" 0 0 1908 "Eastern Illinois"
"W" "11-14-1908" "26" "Bradley (IL)" "0" "Charleston, IL" "" 11 14 1908 "Eastern Illinois"
"L" "10-02-1909" "0" "Rose-Hulman Tech (IN)" "75" "Terre Haute, IN" "" 10 2 1909 "Eastern Illinois"
"L" "10-01-1910" "0" "Rose-Hulman Tech (IN)" "41" "Terre Haute, IN" "" 10 1 1910 "Eastern Illinois"
"L" "10-08-1910" "0" "Barnes Medical College (MO)" "29" "?" "" 10 8 1910 "Eastern Illinois"
"L" "00-00-1910" "10" "Illinois Wesleyan" "37" "?" "" 0 0 1910 "Eastern Illinois"
"T" "11-05-1910" "0" "Shurtleff (IL)" "0" "Charleston, IL" "" 11 5 1910 "Eastern Illinois"
"L" "11-12-1910" "6" "Bradley (IL)" "11" "Peoria, IL" "" 11 12 1910 "Eastern Illinois"
"L" "00-00-1911" "0" "Millikin (IL)" "18" "?" "" 0 0 1911 "Eastern Illinois"
"L" "10-07-1911" "3" "Rose-Hulman Tech (IN)" "11" "Terre Haute, IN" "" 10 7 1911 "Eastern Illinois"
"W" "10-14-1911" "6" "Shurtleff (IL)" "0" "Charleston, IL" "" 10 14 1911 "Eastern Illinois"
"W" "00-00-1911" "21" "Grand Prairie Seminary (IL)" "0" "?" "" 0 0 1911 "Eastern Illinois"
"W" "11-04-1911" "34" "Bradley (IL)" "0" "Charleston, IL" "" 11 4 1911 "Eastern Illinois"
"L" "11-30-1911" "8" "Lincoln College (IL)" "10" "Charleston, IL" "" 11 30 1911 "Eastern Illinois"
"L" "00-00-1912" "3" "Rose-Hulman Tech (IN)" "45" "?" "" 0 0 1912 "Eastern Illinois"
"W" "00-00-1912" "33" "Rose-Hulman Tech (IN)" "14" "?" "" 0 0 1912 "Eastern Illinois"
"W" "00-00-1912" "38" "Millikin (IL)" "7" "?" "" 0 0 1912 "Eastern Illinois"
"W" "11-16-1912" "32" "Illinois St." "3" "?" "" 11 16 1912 "Eastern Illinois"
"W" "00-00-1912" "16" "Shurtleff (IL)" "0" "?" "" 0 0 1912 "Eastern Illinois"
"L" "10-11-1913" "6" "Illinois Wesleyan" "56" "Bloomington, IL" "" 10 11 1913 "Eastern Illinois"
"W" "10-18-1913" "26" "Shurtleff (IL)" "13" "Charleston, IL" "" 10 18 1913 "Eastern Illinois"
"L" "10-25-1913" "7" "Saint Viator (IL)" "14" "Kankakee, IL" "" 10 25 1913 "Eastern Illinois"
"W" "10-31-1913" "54" "Southern Illinois" "12" "Carbondale, IL" "" 10 31 1913 "Eastern Illinois"
"W" "11-08-1913" "19" "Lincoln College (IL)" "0" "Charleston, IL" "" 11 8 1913 "Eastern Illinois"
"W" "00-00-1913" "26" "Illinois St." "7" "?" "" 0 0 1913 "Eastern Illinois"
"W" "00-00-1913" "6" "Millikin (IL)" "0" "?" "" 0 0 1913 "Eastern Illinois"
"W" "10-03-1914" "32" "Rose-Hulman Tech (IN)" "6" "Charleston, IL" "" 10 3 1914 "Eastern Illinois"
"W" "10-09-1914" "18" "Illinois Wesleyan" "0" "Charleston, IL" "" 10 9 1914 "Eastern Illinois"
"W" "10-23-1914" "25" "Southern Illinois" "7" "Carbondale, IL" "" 10 23 1914 "Eastern Illinois"
"W" "10-31-1914" "60" "Lincoln College (IL)" "0" "Lincoln, IL" "" 10 31 1914 "Eastern Illinois"
"W" "11-07-1914" "48" "Shurtleff (IL)" "3" "Charleston, IL" "" 11 7 1914 "Eastern Illinois"
"W" "11-14-1914" "13" "Illinois St." "6" "Normal, IL" "" 11 14 1914 "Eastern Illinois"
"T" "11-26-1914" "3" "Millikin (IL)" "3" "Decatur, IL" "" 11 26 1914 "Eastern Illinois"
"L" "10-02-1915" "0" "Rose-Hulman Tech (IN)" "34" "Terre Haute, IN" "" 10 2 1915 "Eastern Illinois"
"W" "10-09-1915" "26" "Saint Viator (IL)" "13" "Charleston, IL" "" 10 9 1915 "Eastern Illinois"
"L" "10-18-1915" "3" "DePauw (IN)" "49" "Greencastle, IN" "" 10 18 1915 "Eastern Illinois"
"L" "10-22-1915" "0" "Southern Illinois" "41" "Carbondale, IL" "" 10 22 1915 "Eastern Illinois"
"W" "10-30-1915" "27" "Lincoln College (IL)" "0" "Charleston, IL" "" 10 30 1915 "Eastern Illinois"
"W" "11-02-1915" "35" "Millikin (IL)" "0" "Decatur, IL" "" 11 2 1915 "Eastern Illinois"
"W" "11-06-1915" "52" "Shurtleff (IL)" "6" "Charleston, IL" "" 11 6 1915 "Eastern Illinois"
"T" "11-13-1915" "0" "Illinois St." "0" "Charleston, IL" "" 11 13 1915 "Eastern Illinois"
"L" "10-06-1916" "0" "Illinois College" "34" "Jacksonville, IL" "" 10 6 1916 "Eastern Illinois"
"W" "10-13-1916" "7" "Illinois Wesleyan" "6" "Charleston, IL" "" 10 13 1916 "Eastern Illinois"
"L" "10-21-1916" "7" "Saint Viator (IL)" "36" "Bourbonnais, IL" "" 10 21 1916 "Eastern Illinois"
"W" "00-00-1916" "19" "Southern Illinois" "7" "Charleston, IL" "" 0 0 1916 "Eastern Illinois"
"W" "11-04-1916" "27" "Blackburn (IL)" "6" "Charleston, IL" "" 11 4 1916 "Eastern Illinois"
"W" "11-18-1916" "24" "Illinois St." "6" "Normal, IL" "" 11 18 1916 "Eastern Illinois"
"L" "11-30-1916" "0" "Millikin (IL)" "40" "Decatur, IL" "" 11 30 1916 "Eastern Illinois"
"W" "10-09-1917" "24" "Southern Illinois" "0" "Carbondale, IL" "" 10 9 1917 "Eastern Illinois"
"W" "10-12-1917" "64" "Illinois College" "0" "Charleston, IL" "" 10 12 1917 "Eastern Illinois"
"T" "10-27-1917" "0" "Illinois Wesleyan" "0" "Bloomington, IL" "" 10 27 1917 "Eastern Illinois"
"W" "11-03-1917" "35" "Saint Viator (IL)" "0" "Charleston, IL" "" 11 3 1917 "Eastern Illinois"
"W" "11-17-1917" "13" "Illinois St." "7" "Charleston, IL" "" 11 17 1917 "Eastern Illinois"
"L" "11-29-1917" "7" "Millikin (IL)" "55" "Charleston, IL" "" 11 29 1917 "Eastern Illinois"
"W" "00-00-1919" "53" "Hillsboro HS (IL)" "0" "?" "" 0 0 1919 "Eastern Illinois"
"L" "00-00-1919" "0" "Shurtleff (IL)" "4" "?" "" 0 0 1919 "Eastern Illinois"
"L" "10-11-1919" "0" "Rose-Hulman Tech (IN)" "25" "Charleston, IL" "" 10 11 1919 "Eastern Illinois"
"L" "10-17-1919" "12" "Illinois Wesleyan" "14" "Charleston, IL" "" 10 17 1919 "Eastern Illinois"
"W" "00-00-1919" "53" "McKendree (IL)" "0" "?" "" 0 0 1919 "Eastern Illinois"
"W" "11-01-1919" "26" "Lincoln College (IL)" "0" "Lincoln, IL" "" 11 1 1919 "Eastern Illinois"
