"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"T" "00-00-1909" "0" "Middletown North Middletown HS (KY)" "0" "Middletown, KY" "" 0 0 1909 "Eastern Kentucky"
"T" "00-00-1909" "0" "Middletown North Middletown HS (KY)" "0" "Richmond, KY" "" 0 0 1909 "Eastern Kentucky"
"T" "00-00-1909" "0" "Team Unknown" "0" "?" "" 0 0 1909 "Eastern Kentucky"
"T" "00-00-1909" "0" "Berea (KY)" "0" "?" "" 0 0 1909 "Eastern Kentucky"
"W" "00-00-1909" "32" "Kentucky Wesleyan" "0" "?" "" 0 0 1909 "Eastern Kentucky"
"L" "00-00-1910" "5" "Richmond All-Stars (KY)" "15" "Richmond, KY" "" 0 0 1910 "Eastern Kentucky"
"W" "00-00-1910" "16" "Richmond All-Stars (KY)" "5" "Richmond, KY" "" 0 0 1910 "Eastern Kentucky"
"L" "00-00-1910" "0" "Lexington HS (KY)" "22" "Richmond, KY" "" 0 0 1910 "Eastern Kentucky"
"L" "00-00-1910" "0" "Pleasureville AC (KY)" "5" "Pleasureville, KY" "" 0 0 1910 "Eastern Kentucky"
"L" "00-00-1910" "0" "Stanford HS (KY)" "16" "Richmond, KY" "" 0 0 1910 "Eastern Kentucky"
"T" "00-00-1911" "0" "Richmond HS (KY)" "0" "Richmond, KY" "" 0 0 1911 "Eastern Kentucky"
"W" "00-00-1911" "21" "Paris HS (KY)" "5" "Paris, KY" "" 0 0 1911 "Eastern Kentucky"
"L" "00-00-1911" "0" "Richmond All-Stars (KY)" "3" "Richmond, KY" "" 0 0 1911 "Eastern Kentucky"
"L" "00-00-1911" "5" "Richmond HS (KY)" "10" "Richmond, KY" "" 0 0 1911 "Eastern Kentucky"
"L" "00-00-1911" "0" "Paris HS (KY)" "5" "Richmond, KY" "" 0 0 1911 "Eastern Kentucky"
"T" "00-00-1912" "0" "Richmond All-Stars (KY)" "0" "?" "" 0 0 1912 "Eastern Kentucky"
"L" "00-00-1912" "12" "Millersburg Military Institute (KY)" "13" "Richmond, KY" "" 0 0 1912 "Eastern Kentucky"
"L" "00-00-1912" "0" "Lexington HS (KY)" "34" "?" "" 0 0 1912 "Eastern Kentucky"
"W" "00-00-1912" "26" "Threlkeld Select School (KY)" "6" "?" "" 0 0 1912 "Eastern Kentucky"
"W" "00-00-1912" "14" "Cynthiana HS (KY)" "0" "?" "" 0 0 1912 "Eastern Kentucky"
"L" "00-00-1912" "0" "Millersburg Military Institute (KY)" "3" "Richmond, KY" "" 0 0 1912 "Eastern Kentucky"
"L" "00-00-1912" "0" "Georgetown (KY)" "44" "Richmond, KY" "" 0 0 1912 "Eastern Kentucky"
"W" "00-00-1912" "7" "Cynthiana HS (KY)" "0" "Richmond, KY" "" 0 0 1912 "Eastern Kentucky"
"L" "09-29-1913" "0" "Transylvania (KY)" "88" "Richmond, KY" "" 9 29 1913 "Eastern Kentucky"
"W" "11-02-1913" "14" "Kentucky Wesleyan" "12" "Richmond, KY" "" 11 2 1913 "Eastern Kentucky"
"L" "11-22-1913" "3" "Stanford HS (KY)" "7" "Richmond, KY" "" 11 22 1913 "Eastern Kentucky"
"L" "00-00-1914" "6" "Stanford HS (KY)" "7" "Richmond, KY" "" 0 0 1914 "Eastern Kentucky"
"W" "00-00-1914" "13" "Lancaster HS (KY)" "0" "Richmond, KY" "" 0 0 1914 "Eastern Kentucky"
"L" "00-00-1914" "7" "Kentucky Wesleyan" "13" "Owensboro, KY" "" 0 0 1914 "Eastern Kentucky"
"L" "00-00-1914" "0" "Cynthiana HS (KY)" "6" "Richmond, KY" "" 0 0 1914 "Eastern Kentucky"
"W" "10-23-1914" "34" "Western Kentucky" "6" "Richmond, KY" "" 10 23 1914 "Eastern Kentucky"
"L" "00-00-1914" "0" "Somerset HS (KY)" "46" "Somerset, KY" "" 0 0 1914 "Eastern Kentucky"
"L" "11-26-1914" "0" "Western Kentucky" "18" "Bowling Green, KY" "" 11 26 1914 "Eastern Kentucky"
"L" "00-00-1914" "0" "Cynthiana HS (KY)" "81" "Cynthiana, KY" "" 0 0 1914 "Eastern Kentucky"
"L" "00-00-1914" "0" "Stanford HS (KY)" "6" "Stanford, KY" "" 0 0 1914 "Eastern Kentucky"
"W" "00-00-1915" "6" "Millersburg Military Institute (KY)" "0" "Richmond, KY" "" 0 0 1915 "Eastern Kentucky"
"L" "00-00-1915" "0" "Kentucky Wesleyan" "33" "Richmond, KY" "" 0 0 1915 "Eastern Kentucky"
"T" "11-01-1915" "0" "Western Kentucky" "0" "Richmond, KY" "" 11 1 1915 "Eastern Kentucky"
"T" "00-00-1915" "0" "Millersburg Military Institute (KY)" "0" "Millersburg, KY" "" 0 0 1915 "Eastern Kentucky"
"W" "11-25-1915" "6" "Western Kentucky" "0" "Bowling Green, KY" "" 11 25 1915 "Eastern Kentucky"
"W" "10-07-1916" "46" "Stanford HS (KY)" "0" "?" "" 10 7 1916 "Eastern Kentucky"
"W" "10-16-1916" "19" "Kentucky Wesleyan" "0" "Owensboro, KY" "" 10 16 1916 "Eastern Kentucky"
"L" "10-23-1916" "14" "Stanford Lincoln County HS (KY)" "26" "?" "" 10 23 1916 "Eastern Kentucky"
"W" "11-04-1916" "13" "Western Kentucky" "12" "Richmond, KY" "" 11 4 1916 "Eastern Kentucky"
"L" "11-11-1916" "0" "Centre (KY)" "26" "?" "" 11 11 1916 "Eastern Kentucky"
"L" "11-17-1916" "6" "Lexington HS (KY)" "18" "?" "" 11 17 1916 "Eastern Kentucky"
"W" "11-30-1916" "16" "Western Kentucky" "0" "Bowling Green, KY" "" 11 30 1916 "Eastern Kentucky"
"L" "00-00-1919" "0" "Paint Lick Military Prep School (KY)" "9" "?" "" 0 0 1919 "Eastern Kentucky"
"L" "00-00-1919" "0" "Paris HS (KY)" "40" "?" "" 0 0 1919 "Eastern Kentucky"
