"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "00-00-1907" "0" "Saint Augustine's (NC)" "10" "?" "" 0 0 1907 "Florida A&M"
"L" "00-00-1908" "0" "Tuskegee (AL)" "51" "?" "" 0 0 1908 "Florida A&M"
"L" "00-00-1909" "0" "Alabama St." "65" "?" "" 0 0 1909 "Florida A&M"
"L" "00-00-1915" "0" "Edward Waters (FL)" "7" "?" "" 0 0 1915 "Florida A&M"
"L" "00-00-1920" "7" "Talladega (AL)" "24" "?" "" 0 0 1920 "Florida A&M"
"L" "00-00-1920" "0" "Tuskegee (AL)" "13" "?" "" 0 0 1920 "Florida A&M"
"L" "00-00-1921" "0" "Talladega (AL)" "3" "?" "" 0 0 1921 "Florida A&M"
"T" "00-00-1921" "0" "Tuskegee (AL)" "0" "?" "" 0 0 1921 "Florida A&M"
"L" "00-00-1922" "0" "Alabama St." "14" "?" "" 0 0 1922 "Florida A&M"
"T" "00-00-1922" "6" "Tuskegee (AL)" "6" "?" "" 0 0 1922 "Florida A&M"
"W" "00-00-1923" "6" "Alabama St." "0" "?" "" 0 0 1923 "Florida A&M"
"L" "00-00-1924" "6" "Alabama St." "13" "?" "" 0 0 1924 "Florida A&M"
"W" "10-23-1925" "23" "Bethune-Cookman (FL)" "0" "Tallahassee, FL" "" 10 23 1925 "Florida A&M"
"L" "10-30-1925" "0" "Tuskegee (AL)" "40" "Tuskegee, AL" "" 10 30 1925 "Florida A&M"
"L" "11-26-1925" "0" "Alabama St." "25" "Montgomery, AL" "" 11 26 1925 "Florida A&M"
"L" "00-00-1926" "6" "Tuskegee (AL)" "73" "?" "" 0 0 1926 "Florida A&M"
"L" "00-00-1926" "0" "Bethune-Cookman (FL)" "12" "?" "" 0 0 1926 "Florida A&M"
"W" "00-00-1926" "17" "Claflin (SC)" "0" "?" "" 0 0 1926 "Florida A&M"
"W" "11-26-1926" "6" "Alabama St." "0" "Tallahassee, FL" "" 11 26 1926 "Florida A&M"
"L" "10-22-1927" "13" "Tuskegee (AL)" "33" "Tuskegee, AL" "" 10 22 1927 "Florida A&M"
"W" "00-00-1927" "18" "Savannah St. (GA)" "0" "?" "" 0 0 1927 "Florida A&M"
"W" "11-12-1927" "12" "Bethune-Cookman (FL)" "6" "Tallahassee, FL" "" 11 12 1927 "Florida A&M"
"W" "11-18-1927" "13" "Edward Waters (FL)" "0" "Jacksonville, FL" "" 11 18 1927 "Florida A&M"
"L" "12-02-1927" "0" "Alabama St." "25" "?" "" 12 2 1927 "Florida A&M"
"L" "00-00-1927" "13" "Morehouse (GA)" "14" "?" "" 0 0 1927 "Florida A&M"
"L" "10-05-1928" "0" "Alabama St." "6" "Tallahassee, FL" "" 10 5 1928 "Florida A&M"
"L" "10-13-1928" "0" "Tuskegee (AL)" "46" "Tuskegee, AL" "" 10 13 1928 "Florida A&M"
"L" "00-00-1928" "0" "Clark Atlanta (GA)" "6" "?" "" 0 0 1928 "Florida A&M"
"L" "00-00-1928" "0" "Morris Brown (GA)" "8" "?" "" 0 0 1928 "Florida A&M"
"T" "10-04-1929" "0" "Alabama St." "0" "Montgomery, AL" "" 10 4 1929 "Florida A&M"
"T" "00-00-1929" "6" "Bethune-Cookman (FL)" "6" "?" "" 0 0 1929 "Florida A&M"
"T" "00-00-1929" "0" "Florida N&I" "0" "?" "" 0 0 1929 "Florida A&M"
"L" "00-00-1929" "0" "Morris Brown (GA)" "24" "?" "" 0 0 1929 "Florida A&M"
"L" "11-16-1929" "0" "Tuskegee (AL)" "52" "Tuskegee, AL" "" 11 16 1929 "Florida A&M"
"L" "12-25-1929" "12" "Edward Waters (FL)" "13" "Jacksonville, FL" "" 12 25 1929 "Florida A&M"
"L" "10-03-1930" "6" "Alabama St." "13" "Tallahassee, FL" "" 10 3 1930 "Florida A&M"
"L" "00-00-1930" "6" "Morris Brown (GA)" "21" "?" "" 0 0 1930 "Florida A&M"
"W" "11-21-1930" "6" "South Carolina St." "0" "Tallahassee, FL" "" 11 21 1930 "Florida A&M"
