"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "12-06-1881" "0" "City College of New York" "3" "New York, NY" "City College of New York  3g,4t - Fordham 0" 12 6 1881 "Fordham (NY)"
"W" "00-00-1882" "1" "Seton Hall (NJ)" "0" "New York, NY" "Fordham 1t - Seton Hall 0" 0 0 1882 "Fordham (NY)"
"W" "00-00-1882" "2" "Seton Hall (NJ)" "1" "South Orange, NJ" "Fordham 2t - Seton Hall 1t" 0 0 1882 "Fordham (NY)"
"W" "00-00-1882" "1" "Saint Francis Xavier (NY)" "0" "?" "Fordham 1g - Saint Francis Xavier 0" 0 0 1882 "Fordham (NY)"
"L" "00-00-1882" "1" "Saint Francis Xavier (NY)" "2" "?" "Saint Francis Xavier 2g,1t - Fordham 1g,1t" 0 0 1882 "Fordham (NY)"
"W" "00-00-1882" "3" "Saint Francis Xavier (NY)" "1" "?" "Fordham 3g,1s - Saint Francis Xavier 1g,1t" 0 0 1882 "Fordham (NY)"
"L" "11-26-1883" "6" "Saint Francis Xavier (NY)" "12" "New York, NY" "" 11 26 1883 "Fordham (NY)"
"L" "00-00-1883" "6" "Saint Francis Xavier (NY)" "12" "?" "" 0 0 1883 "Fordham (NY)"
"W" "00-00-1883" "10" "Saint Francis Xavier (NY)" "4" "?" "" 0 0 1883 "Fordham (NY)"
"L" "00-00-1883" "4" "Saint Francis Xavier (NY)" "16" "?" "" 0 0 1883 "Fordham (NY)"
"W" "12-09-1883" "6" "Seton Hall (NJ)" "2" "New York, NY" "" 12 9 1883 "Fordham (NY)"
"W" "00-00-1883" "8" "Seton Hall (NJ)" "2" "?" "" 0 0 1883 "Fordham (NY)"
"L" "00-00-1883" "0" "Seton Hall (NJ)" "2" "?" "" 0 0 1883 "Fordham (NY)"
"L" "00-00-1883" "0" "Seton Hall (NJ)" "10" "?" "" 0 0 1883 "Fordham (NY)"
"L" "00-00-1884" "0" "Saint Francis Xavier (NY)" "10" "?" "" 0 0 1884 "Fordham (NY)"
"W" "00-00-1884" "10" "Seton Hall (NJ)" "4" "?" "" 0 0 1884 "Fordham (NY)"
"W" "00-00-1884" "18" "City College of New York" "0" "?" "" 0 0 1884 "Fordham (NY)"
"W" "00-00-1884" "12" "Saint John's (NY)" "0" "?" "" 0 0 1884 "Fordham (NY)"
"L" "12-03-1885" "0" "Seton Hall (NJ)" "14" "New York, NY" "" 12 3 1885 "Fordham (NY)"
"L" "12-08-1885" "0" "Seton Hall (NJ)" "36" "South Orange, NJ" "" 12 8 1885 "Fordham (NY)"
"L" "12-10-1885" "0" "Seton Hall (NJ)" "12" "New York, NY" "" 12 10 1885 "Fordham (NY)"
"W" "00-00-1886" "36" "Hoboken AC (NJ)" "12" "?" "" 0 0 1886 "Fordham (NY)"
"W" "00-00-1887" "6" "Olympic Club (NY)" "0" "?" "" 0 0 1887 "Fordham (NY)"
"W" "00-00-1887" "15" "Olympic Club (NY)" "0" "?" "" 0 0 1887 "Fordham (NY)"
"L" "00-00-1888" "0" "Seton Hall (NJ)" "12" "South Orange, NJ" "" 0 0 1888 "Fordham (NY)"
"W" "00-00-1888" "4" "American AA" "0" "?" "" 0 0 1888 "Fordham (NY)"
"L" "00-00-1889" "0" "New York AC (NY)" "20" "New York, NY" "" 0 0 1889 "Fordham (NY)"
"W" "00-00-1889" "34" "New York (NY)" "6" "New York, NY" "" 0 0 1889 "Fordham (NY)"
"L" "11-23-1889" "6" "Saint Austin's" "14" "Staten Island, NY" "Cricket Grounds" 11 23 1889 "Fordham (NY)"
"L" "12-03-1889" "0" "Franklin & Marshall (PA)" "56" "Lancaster, PA" "" 12 3 1889 "Fordham (NY)"
"W" "00-00-1890" "24" "City College of New York" "0" "?" "" 0 0 1890 "Fordham (NY)"
"L" "10-25-1890" "0" "Columbia (NY)" "40" "New York, NY" "" 10 25 1890 "Fordham (NY)"
"L" "00-00-1890" "0" "Manhattan AC (NY)" "32" "?" "" 0 0 1890 "Fordham (NY)"
"T" "11-20-1890" "6" "Georgetown (DC)" "6" "New York, NY" "" 11 20 1890 "Fordham (NY)"
"L" "12-02-1890" "0" "Franklin & Marshall (PA)" "18" "Lancaster, PA" "" 12 2 1890 "Fordham (NY)"
"L" "10-24-1891" "6" "Army (NY)" "10" "West Point, NY" "" 10 24 1891 "Fordham (NY)"
"L" "11-07-1891" "0" "Williams (MA)" "40" "New York, NY" "" 11 7 1891 "Fordham (NY)"
"T" "00-00-1891" "0" "Manhattan AC (NY)" "0" "?" "" 0 0 1891 "Fordham (NY)"
"W" "00-00-1891" "6" "New York Law School (NY)" "0" "?" "" 0 0 1891 "Fordham (NY)"
"W" "00-00-1892" "5" "New York AC (NY)" "0" "?" "" 0 0 1892 "Fordham (NY)"
"W" "00-00-1892" "39" "YMCA" "0" "?" "" 0 0 1892 "Fordham (NY)"
