"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"L" "09-12-1970" "14" "Lenoir-Rhyne (NC)" "27" "Boiling Springs, NC" "" 9 12 1970 "Gardner-Webb (NC)"
"W" "09-19-1970" "3" "Newberry (SC)" "0" "Newberry, SC" "" 9 19 1970 "Gardner-Webb (NC)"
"L" "10-03-1970" "12" "Millsaps (MS)" "21" "Boiling Springs, NC" "" 10 3 1970 "Gardner-Webb (NC)"
"L" "10-10-1970" "7" "Guilford (NC)" "35" "Boiling Springs, NC" "" 10 10 1970 "Gardner-Webb (NC)"
"L" "10-17-1970" "28" "Samford (AL)" "56" "Birmingham, AL" "" 10 17 1970 "Gardner-Webb (NC)"
"L" "10-24-1970" "19" "Bluefield St. (WV)" "21" "Bluefield, WV" "" 10 24 1970 "Gardner-Webb (NC)"
"W" "10-31-1970" "18" "Mars Hill (NC)" "13" "Boiling Springs, NC" "" 10 31 1970 "Gardner-Webb (NC)"
"L" "11-07-1970" "20" "Presbyterian (SC)" "44" "Clinton, SC" "" 11 7 1970 "Gardner-Webb (NC)"
"L" "11-14-1970" "6" "Georgetown (KY)" "19" "?" "" 11 14 1970 "Gardner-Webb (NC)"
"L" "11-21-1970" "12" "Elon (NC)" "30" "Boiling Springs, NC" "" 11 21 1970 "Gardner-Webb (NC)"
"W" "09-11-1971" "24" "Lenoir-Rhyne (NC)" "6" "Hickory, NC" "" 9 11 1971 "Gardner-Webb (NC)"
"L" "09-18-1971" "0" "Newberry (SC)" "20" "Boiling Springs, NC" "" 9 18 1971 "Gardner-Webb (NC)"
"L" "10-02-1971" "14" "Elon (NC)" "33" "Burlington, NC" "" 10 2 1971 "Gardner-Webb (NC)"
"W" "10-09-1971" "42" "Guilford (NC)" "14" "Greensboro, NC" "" 10 9 1971 "Gardner-Webb (NC)"
"L" "10-16-1971" "7" "Samford (AL)" "9" "Boiling Springs, NC" "" 10 16 1971 "Gardner-Webb (NC)"
"L" "10-23-1971" "14" "Carson-Newman (TN)" "16" "?" "" 10 23 1971 "Gardner-Webb (NC)"
"L" "10-30-1971" "13" "Mars Hill (NC)" "27" "?" "" 10 30 1971 "Gardner-Webb (NC)"
"L" "11-06-1971" "10" "Presbyterian (SC)" "35" "Boiling Springs, NC" "" 11 6 1971 "Gardner-Webb (NC)"
"W" "11-13-1971" "34" "Georgetown (KY)" "13" "?" "" 11 13 1971 "Gardner-Webb (NC)"
"L" "11-20-1971" "13" "Maryville (TN)" "21" "?" "" 11 20 1971 "Gardner-Webb (NC)"
"L" "09-16-1972" "3" "Newberry (SC)" "14" "Newberry, SC" "" 9 16 1972 "Gardner-Webb (NC)"
"L" "09-23-1972" "7" "Samford (AL)" "21" "Birmingham, AL" "" 9 23 1972 "Gardner-Webb (NC)"
"W" "09-30-1972" "10" "Guilford (NC)" "0" "Boiling Springs, NC" "" 9 30 1972 "Gardner-Webb (NC)"
"W" "10-07-1972" "35" "Georgetown (KY)" "0" "Boiling Springs, NC" "" 10 7 1972 "Gardner-Webb (NC)"
"L" "10-14-1972" "7" "Catawba (NC)" "30" "Boiling Springs, NC" "" 10 14 1972 "Gardner-Webb (NC)"
"L" "10-21-1972" "17" "Carson-Newman (TN)" "34" "Jefferson City, TN" "" 10 21 1972 "Gardner-Webb (NC)"
"L" "10-28-1972" "17" "Mars Hill (NC)" "18" "Boiling Springs, NC" "" 10 28 1972 "Gardner-Webb (NC)"
"L" "11-04-1972" "14" "Presbyterian (SC)" "35" "Clinton, SC" "" 11 4 1972 "Gardner-Webb (NC)"
"L" "11-11-1972" "7" "Wofford (SC)" "24" "Spartanburg, SC" "" 11 11 1972 "Gardner-Webb (NC)"
"L" "11-18-1972" "0" "Elon (NC)" "20" "Boiling Springs, NC" "" 11 18 1972 "Gardner-Webb (NC)"
"L" "11-25-1972" "6" "Lenoir-Rhyne (NC)" "25" "Boiling Springs, NC" "" 11 25 1972 "Gardner-Webb (NC)"
"L" "09-08-1973" "0" "Elon (NC)" "48" "Burlington, NC" "" 9 8 1973 "Gardner-Webb (NC)"
"W" "09-15-1973" "23" "Newberry (SC)" "14" "Boiling Springs, NC" "" 9 15 1973 "Gardner-Webb (NC)"
