"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1881" "2" "Alexandria Episcopal HS (VA)" "0" "Washington, DC" "Georgetown 2g - Episcopal HS 0" 0 0 1881 "Georgetown (DC)"
"L" "11-20-1883" "0" "Gallaudet (DC)" "3" "Washington, DC" "Gallaudet 3g,3t - Georgetown 0" 11 20 1883 "Georgetown (DC)"
"L" "11-29-1883" "0" "Gallaudet (DC)" "3" "Washington, DC" "Gallaudet 3g,5t - Georgetown 5s" 11 29 1883 "Georgetown (DC)"
"L" "00-00-1885" "0" "Gallaudet (DC)" "6" "?" "Gallaudet won - score unknown" 0 0 1885 "Georgetown (DC)"
"W" "00-00-1887" "46" "Emerson Institute (DC)" "6" "Washington, DC" "" 0 0 1887 "Georgetown (DC)"
"L" "00-00-1887" "8" "Alexandria HS (VA)" "24" "Washington, DC" "" 0 0 1887 "Georgetown (DC)"
"W" "00-00-1887" "12" "Washington HS (DC)" "6" "Washington, DC" "" 0 0 1887 "Georgetown (DC)"
"W" "00-00-1888" "8" "Washington AC (DC)" "0" "Washington, DC" "" 0 0 1888 "Georgetown (DC)"
"W" "10-15-1888" "8" "Orient AC (DC)" "0" "Washington, DC" "" 10 15 1888 "Georgetown (DC)"
"W" "10-16-1888" "1" "Jefferson AC (DC)" "0" "Washington, DC" "Jefferson AC Forfeits" 10 16 1888 "Georgetown (DC)"
"W" "11-13-1888" "9" "Orient AC (DC)" "6" "Washington, DC" "" 11 13 1888 "Georgetown (DC)"
"L" "11-17-1888" "0" "Dupont AC (DC)" "16" "Washington, DC" "" 11 17 1888 "Georgetown (DC)"
"L" "11-20-1888" "5" "Alexandria HS (VA)" "12" "Washington, DC" "" 11 20 1888 "Georgetown (DC)"
"W" "10-29-1889" "6" "Orient AC (DC)" "0" "Washington, DC" "" 10 29 1889 "Georgetown (DC)"
"L" "11-01-1889" "0" "Virginia" "32" "Charlottesville, VA" "" 11 1 1889 "Georgetown (DC)"
"L" "00-00-1889" "10" "Gallaudet (DC)" "20" "Washington, DC" "" 0 0 1889 "Georgetown (DC)"
"W" "11-28-1889" "2" "Dupont AC (DC)" "0" "Washington, DC" "" 11 28 1889 "Georgetown (DC)"
"W" "12-03-1889" "8" "Alexandria Episcopal HS (VA)" "6" "Washington, DC" "" 12 3 1889 "Georgetown (DC)"
"W" "01-18-1890" "10" "Gallaudet (DC)" "4" "Washington, DC" "" 1 18 1890 "Georgetown (DC)"
