"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1924" "6" "South Georgia College" "0" "?" "" 0 0 1924 "Georgia Southern"
"L" "00-00-1924" "0" "Parris Island Marines (SC)" "19" "?" "" 0 0 1924 "Georgia Southern"
"L" "00-00-1924" "0" "Savannah HS (GA)" "13" "?" "" 0 0 1924 "Georgia Southern"
"L" "00-00-1924" "0" "Richmond Academy (GA)" "48" "?" "" 0 0 1924 "Georgia Southern"
"L" "00-00-1925" "0" "Richmond Academy (GA)" "6" "?" "Richmond Academy won - score unknown" 0 0 1925 "Georgia Southern"
"L" "00-00-1925" "0" "Benedictine Military School (GA)" "6" "?" "Benedictine Military School won - score unknown" 0 0 1925 "Georgia Southern"
"W" "00-00-1925" "6" "Brewton-Parker (GA)" "0" "?" "Georgia Southern won - score unknown" 0 0 1925 "Georgia Southern"
"L" "00-00-1925" "6" "Richmond Academy (GA)" "47" "?" "" 0 0 1925 "Georgia Southern"
"W" "00-00-1926" "6" "South Georgia College" "0" "?" "" 0 0 1926 "Georgia Southern"
"W" "00-00-1926" "13" "Benedictine Military School (GA)" "0" "?" "" 0 0 1926 "Georgia Southern"
"T" "00-00-1926" "0" "Piedmont Institute (GA)" "0" "?" "" 0 0 1926 "Georgia Southern"
"L" "00-00-1926" "0" "Georgia Military College" "12" "?" "" 0 0 1926 "Georgia Southern"
"L" "00-00-1926" "0" "Abraham Baldwin Agricultural College (GA)" "6" "?" "" 0 0 1926 "Georgia Southern"
"L" "00-00-1926" "6" "Richmond Academy (GA)" "54" "?" "" 0 0 1926 "Georgia Southern"
"W" "00-00-1926" "12" "Brewton-Parker (GA)" "0" "?" "" 0 0 1926 "Georgia Southern"
"W" "00-00-1926" "14" "Fort Screven (GA)" "0" "?" "" 0 0 1926 "Georgia Southern"
"W" "00-00-1926" "7" "Brewton-Parker (GA)" "6" "?" "" 0 0 1926 "Georgia Southern"
"W" "00-00-1927" "2" "South Georgia College" "0" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1927" "6" "Abraham Baldwin Agricultural College (GA)" "0" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1927" "25" "Benedictine Military School (GA)" "6" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1927" "6" "Fort Screven (GA)" "0" "?" "" 0 0 1927 "Georgia Southern"
"L" "00-00-1927" "0" "Richmond Academy (GA)" "16" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1927" "25" "Brewton-Parker (GA)" "7" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1927" "26" "Piedmont Institute (GA)" "13" "?" "" 0 0 1927 "Georgia Southern"
"T" "00-00-1927" "0" "Brewton-Parker (GA)" "0" "?" "" 0 0 1927 "Georgia Southern"
"W" "00-00-1928" "26" "Waynesboro JC (GA)" "0" "?" "" 0 0 1928 "Georgia Southern"
"L" "00-00-1928" "2" "Brewton-Parker (GA)" "6" "?" "" 0 0 1928 "Georgia Southern"
"L" "00-00-1928" "6" "Middle Georgia College" "24" "?" "" 0 0 1928 "Georgia Southern"
"W" "00-00-1928" "7" "Benedictine Military School (GA)" "6" "?" "" 0 0 1928 "Georgia Southern"
"L" "00-00-1928" "0" "Abraham Baldwin Agricultural College (GA)" "6" "?" "Abraham Baldwin Agricultural College won - score unknown" 0 0 1928 "Georgia Southern"
