"W.L" "Date" "PF" "Opponent" "PA" "Location" "Notes" "Month" "Day" "Year" "school"
"W" "00-00-1928" "88" "Arkansas-Pine Bluff" "13" "?" "" 0 0 1928 "Grambling St. (LA)"
"L" "00-00-1930" "0" "Straight (LA)" "6" "?" "" 0 0 1930 "Grambling St. (LA)"
"L" "00-00-1931" "0" "Arkansas Baptist" "6" "Ruston, LA" "Arkansas Baptist won - score unknown" 0 0 1931 "Grambling St. (LA)"
"W" "10-27-1933" "13" "Straight (LA)" "0" "New Orleans, LA" "" 10 27 1933 "Grambling St. (LA)"
"L" "10-05-1934" "6" "New Orleans (LA)" "31" "New Orleans, LA" "" 10 5 1934 "Grambling St. (LA)"
"L" "00-00-1934" "0" "Bishop (TX)" "45" "?" "" 0 0 1934 "Grambling St. (LA)"
"W" "11-02-1935" "19" "Tougaloo (MS)" "0" "Grambling, LA" "" 11 2 1935 "Grambling St. (LA)"
"L" "00-00-1936" "8" "Philander-Smith (AR)" "25" "?" "" 0 0 1936 "Grambling St. (LA)"
"L" "00-00-1936" "0" "Southern (LA)" "36" "?" "" 0 0 1936 "Grambling St. (LA)"
"L" "11-14-1936" "7" "Tougaloo (MS)" "36" "Tougaloo, MS" "" 11 14 1936 "Grambling St. (LA)"
"L" "10-09-1937" "0" "Philander-Smith (AR)" "19" "Little Rock, AR" "" 10 9 1937 "Grambling St. (LA)"
"W" "11-20-1937" "12" "Tougaloo (MS)" "7" "Rustin, LA" "" 11 20 1937 "Grambling St. (LA)"
"L" "10-01-1938" "0" "Arkansas-Pine Bluff" "12" "Pine Bluff, AR" "" 10 1 1938 "Grambling St. (LA)"
"L" "10-22-1938" "0" "Southern (LA)" "20" "Ruston, LA" "" 10 22 1938 "Grambling St. (LA)"
"W" "11-04-1938" "66" "Campbell College (MS)" "0" "Grambling, LA" "" 11 4 1938 "Grambling St. (LA)"
"L" "09-30-1939" "0" "Arkansas-Pine Bluff" "2" "Grambling, LA" "" 9 30 1939 "Grambling St. (LA)"
"W" "00-00-1939" "6" "Jarvis Christian (TX)" "0" "?" "" 0 0 1939 "Grambling St. (LA)"
"W" "10-14-1939" "30" "Dillard (LA)" "7" "New Orleans, LA" "" 10 14 1939 "Grambling St. (LA)"
"L" "10-21-1939" "7" "Southern (LA)" "53" "Grambling, LA" "" 10 21 1939 "Grambling St. (LA)"
"L" "00-00-1939" "0" "Henderson JC (TX)" "7" "?" "" 0 0 1939 "Grambling St. (LA)"
"W" "11-11-1939" "33" "Tillotson (TX)" "0" "Grambling, LA" "" 11 11 1939 "Grambling St. (LA)"
"L" "09-28-1940" "0" "Arkansas-Pine Bluff" "6" "Pine Bluff, AR" "" 9 28 1940 "Grambling St. (LA)"
"W" "10-19-1940" "26" "Philander-Smith (AR)" "0" "?" "" 10 19 1940 "Grambling St. (LA)"
"T" "11-03-1940" "0" "Leland (LA)" "0" "Grambling, LA" "" 11 3 1940 "Grambling St. (LA)"
"L" "11-09-1940" "2" "Tillotson (TX)" "6" "Austin, TX" "" 11 9 1940 "Grambling St. (LA)"
"T" "11-30-1940" "0" "Tougaloo (MS)" "0" "Tougaloo, MS" "" 11 30 1940 "Grambling St. (LA)"
"L" "10-04-1941" "0" "Philander-Smith (AR)" "2" "Little Rock, AR" "" 10 4 1941 "Grambling St. (LA)"
"L" "10-11-1941" "0" "Jarvis Christian (TX)" "13" "?" "" 10 11 1941 "Grambling St. (LA)"
"L" "10-18-1941" "0" "Alabama A&M" "27" "Normal, AL" "" 10 18 1941 "Grambling St. (LA)"
"L" "10-18-1941" "0" "Dillard (LA)" "7" "?" "" 10 18 1941 "Grambling St. (LA)"
"L" "11-01-1941" "13" "Leland (LA)" "19" "Ruston, LA" "" 11 1 1941 "Grambling St. (LA)"
"W" "11-15-1941" "37" "Tillotson (TX)" "6" "Grambling, LA" "" 11 15 1941 "Grambling St. (LA)"
"T" "11-22-1941" "12" "Tougaloo (MS)" "12" "Grambling, LA" "" 11 22 1941 "Grambling St. (LA)"
"W" "00-00-1942" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1942 "Grambling St. (LA)"
"W" "00-00-1942" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1942 "Grambling St. (LA)"
"W" "10-10-1942" "12" "Philander-Smith (AR)" "0" "Grambling, LA" "" 10 10 1942 "Grambling St. (LA)"
"W" "00-00-1942" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1942 "Grambling St. (LA)"
"W" "00-00-1942" "18" "Tillotson (TX)" "0" "?" "" 0 0 1942 "Grambling St. (LA)"
"W" "10-31-1942" "77" "Jarvis Christian (TX)" "0" "?" "" 10 31 1942 "Grambling St. (LA)"
"W" "11-09-1942" "12" "Leland (LA)" "0" "Baker, LA" "" 11 9 1942 "Grambling St. (LA)"
"W" "11-14-1942" "27" "Alcorn St. (MS)" "0" "Grambling, LA" "Normal Field" 11 14 1942 "Grambling St. (LA)"
"W" "00-00-1942" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1942 "Grambling St. (LA)"
"W" "00-00-1945" "47" "Alabama A&M" "6" "?" "" 0 0 1945 "Grambling St. (LA)"
"W" "10-06-1945" "25" "Philander-Smith (AR)" "0" "Little Rock, AR" "" 10 6 1945 "Grambling St. (LA)"
"W" "00-00-1945" "46" "Tillotson (TX)" "0" "?" "" 0 0 1945 "Grambling St. (LA)"
"W" "00-00-1945" "28" "Arkansas-Pine Bluff" "8" "?" "" 0 0 1945 "Grambling St. (LA)"
"W" "00-00-1945" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1945 "Grambling St. (LA)"
"L" "00-00-1945" "7" "Texas College" "12" "?" "" 0 0 1945 "Grambling St. (LA)"
"W" "00-00-1945" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1945 "Grambling St. (LA)"
"W" "00-00-1945" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1945 "Grambling St. (LA)"
"L" "12-01-1945" "12" "Florida A&M" "33" "?" "" 12 1 1945 "Grambling St. (LA)"
"W" "00-00-1945" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1945 "Grambling St. (LA)"
"W" "00-00-1945" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1945 "Grambling St. (LA)"
"W" "01-01-1946" "19" "Lane (TN)" "6" "Jacksonville, FL" "Flower Bowl" 1 1 1946 "Grambling St. (LA)"
"L" "09-28-1946" "6" "Tuskegee (AL)" "21" "Tuskegee, AL" "" 9 28 1946 "Grambling St. (LA)"
"L" "10-05-1946" "0" "Southern (LA)" "38" "Baton Rouge, LA" "" 10 5 1946 "Grambling St. (LA)"
"W" "10-12-1946" "46" "Butler College (TX)" "0" "Tyler, TX" "Steer Stadium" 10 12 1946 "Grambling St. (LA)"
"L" "10-19-1946" "0" "Morgan St. (MD)" "35" "Baltimore, MD" "" 10 19 1946 "Grambling St. (LA)"
"W" "10-26-1946" "19" "Bishop (TX)" "7" "?" "" 10 26 1946 "Grambling St. (LA)"
"L" "11-02-1946" "6" "Arkansas-Pine Bluff" "7" "Pine Bluff, AR" "" 11 2 1946 "Grambling St. (LA)"
"L" "11-16-1946" "6" "Prairie View A&M (TX)" "16" "Ruston, LA" "" 11 16 1946 "Grambling St. (LA)"
"W" "11-28-1946" "42" "Alcorn St. (MS)" "0" "?" "" 11 28 1946 "Grambling St. (LA)"
"L" "00-00-1946" "8" "Houston College for Negroes (TX)" "9" "?" "" 0 0 1946 "Grambling St. (LA)"
"W" "12-07-1946" "70" "Mississippi Industrial Training School" "12" "Ruston, LA" "Lions Bowl (LA)" 12 7 1946 "Grambling St. (LA)"
"W" "00-00-1946" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1946 "Grambling St. (LA)"
"W" "00-00-1946" "6" "Unknown" "0" "?" "Grambling St. won - score unknown" 0 0 1946 "Grambling St. (LA)"
"W" "09-20-1947" "53" "Fort Benning (GA)" "0" "Ruston, LA" "" 9 20 1947 "Grambling St. (LA)"
"L" "09-27-1947" "6" "Tuskegee (AL)" "19" "Tuskegee, AL" "" 9 27 1947 "Grambling St. (LA)"
"W" "10-04-1947" "21" "Southern (LA)" "6" "Grambling, LA" "" 10 4 1947 "Grambling St. (LA)"
"W" "10-10-1947" "27" "Texas Southern" "6" "Houston, TX" "" 10 10 1947 "Grambling St. (LA)"
"W" "10-18-1947" "21" "Florida N&I" "0" "Jacksonville, FL" "" 10 18 1947 "Grambling St. (LA)"
"W" "10-25-1947" "20" "Bishop (TX)" "6" "Shreveport, LA" "" 10 25 1947 "Grambling St. (LA)"
"W" "10-31-1947" "40" "Philander-Smith (AR)" "0" "Grambling, LA" "" 10 31 1947 "Grambling St. (LA)"
"W" "11-08-1947" "42" "Tillotson (TX)" "7" "Ruston, LA" "Tiger Field" 11 8 1947 "Grambling St. (LA)"
"W" "11-15-1947" "13" "Prairie View A&M (TX)" "0" "?" "" 11 15 1947 "Grambling St. (LA)"
"W" "11-22-1947" "67" "Butler College (TX)" "9" "?" "" 11 22 1947 "Grambling St. (LA)"
"W" "12-05-1947" "47" "Bethune-Cookman (FL)" "6" "Ruston, LA" "Lions Bowl (LA)" 12 5 1947 "Grambling St. (LA)"
"L" "01-01-1948" "21" "Central St. (OH)" "27" "Birmingham, AL" "Vulcan Bowl" 1 1 1948 "Grambling St. (LA)"
"W" "09-25-1948" "38" "Wiley (TX)" "0" "Grambling, LA" "" 9 25 1948 "Grambling St. (LA)"
"L" "10-02-1948" "0" "Southern (LA)" "18" "Baton Rouge, LA" "" 10 2 1948 "Grambling St. (LA)"
"W" "10-03-1948" "25" "Tillotson (TX)" "7" "Austin, TX" "" 10 3 1948 "Grambling St. (LA)"
"W" "10-09-1948" "61" "Texas Southern" "12" "Grambling, LA" "" 10 9 1948 "Grambling St. (LA)"
"L" "10-16-1948" "0" "Central St. (OH)" "7" "Wilberforce, OH" "" 10 16 1948 "Grambling St. (LA)"
"W" "10-23-1948" "25" "Bishop (TX)" "14" "Dallas, TX" "" 10 23 1948 "Grambling St. (LA)"
"W" "11-13-1948" "34" "Prairie View A&M (TX)" "12" "Ruston, LA" "" 11 13 1948 "Grambling St. (LA)"
"W" "11-20-1948" "46" "Florida N&I" "7" "Jacksonville, FL" "" 11 20 1948 "Grambling St. (LA)"
"W" "11-27-1948" "34" "Bethune-Cookman (FL)" "7" "Daytona Beach, FL" "Memorial Stadium" 11 27 1948 "Grambling St. (LA)"
"W" "12-04-1948" "26" "Texas College" "20" "Ruston, LA" "Lions Bowl (LA)" 12 4 1948 "Grambling St. (LA)"
"W" "09-24-1949" "7" "Texas College" "0" "Ruston, LA" "Lions Bowl (LA)" 9 24 1949 "Grambling St. (LA)"
"L" "00-00-1949" "8" "Maryland-Eastern Shore" "13" "?" "" 0 0 1949 "Grambling St. (LA)"
"W" "10-08-1949" "20" "Wiley (TX)" "0" "Marshall, TX" "" 10 8 1949 "Grambling St. (LA)"
"L" "10-15-1949" "7" "Central St. (OH)" "26" "Grambling, LA" "" 10 15 1949 "Grambling St. (LA)"
"W" "10-22-1949" "51" "Fort Valley St. (GA)" "0" "Grambling, LA" "" 10 22 1949 "Grambling St. (LA)"
"W" "10-31-1949" "55" "Tuskegee (AL)" "0" "Shreveport, LA" "" 10 31 1949 "Grambling St. (LA)"
"L" "11-05-1949" "7" "Texas Southern" "15" "Houston, TX" "" 11 5 1949 "Grambling St. (LA)"
"W" "11-12-1949" "14" "Prairie View A&M (TX)" "13" "Prairie View, TX" "" 11 12 1949 "Grambling St. (LA)"
"T" "11-19-1949" "7" "Bishop (TX)" "7" "Grambling, LA" "" 11 19 1949 "Grambling St. (LA)"
"T" "00-00-1949" "7" "Alcorn St. (MS)" "7" "?" "" 0 0 1949 "Grambling St. (LA)"
"W" "11-26-1949" "18" "Bethune-Cookman (FL)" "13" "Grambling, LA" "" 11 26 1949 "Grambling St. (LA)"
"W" "00-00-1949" "34" "Samuel Huston (TX)" "0" "?" "" 0 0 1949 "Grambling St. (LA)"
"W" "09-16-1950" "7" "Texas College" "0" "Grambling, LA" "" 9 16 1950 "Grambling St. (LA)"
"L" "09-30-1950" "6" "Maryland-Eastern Shore" "34" "Princess Anne, MD" "" 9 30 1950 "Grambling St. (LA)"
"W" "10-07-1950" "19" "Mississippi Industrial Training School" "6" "Grambling, LA" "" 10 7 1950 "Grambling St. (LA)"
"W" "10-14-1950" "26" "Texas Southern" "2" "Fort Worth, TX" "" 10 14 1950 "Grambling St. (LA)"
"T" "10-23-1950" "14" "Wiley (TX)" "14" "Shreveport, LA" "" 10 23 1950 "Grambling St. (LA)"
"W" "10-28-1950" "27" "Tillotson (TX)" "7" "Grambling, LA" "" 10 28 1950 "Grambling St. (LA)"
"W" "00-00-1950" "54" "Fort Valley St. (GA)" "0" "?" "" 0 0 1950 "Grambling St. (LA)"
"L" "11-11-1950" "7" "Prairie View A&M (TX)" "40" "Grambling, LA" "" 11 11 1950 "Grambling St. (LA)"
"W" "11-18-1950" "13" "Paul Quinn (TX)" "6" "Waco, TX" "" 11 18 1950 "Grambling St. (LA)"
"L" "11-23-1950" "7" "Tennessee St." "55" "Nashville, TN" "" 11 23 1950 "Grambling St. (LA)"
"L" "12-02-1950" "0" "Bishop (TX)" "38" "Ruston, LA" "Lions Bowl (LA)" 12 2 1950 "Grambling St. (LA)"
"L" "09-28-1951" "6" "Maryland-Eastern Shore" "7" "Grambling, LA" "" 9 28 1951 "Grambling St. (LA)"
"L" "10-06-1951" "7" "Xavier (LA)" "25" "New Orleans, LA" "" 10 6 1951 "Grambling St. (LA)"
"T" "10-13-1951" "7" "Texas Southern" "7" "Grambling, LA" "" 10 13 1951 "Grambling St. (LA)"
"W" "10-20-1951" "18" "Wiley (TX)" "13" "Marshall, TX" "" 10 20 1951 "Grambling St. (LA)"
"W" "00-00-1951" "19" "Mississippi Industrial Training School" "13" "?" "" 0 0 1951 "Grambling St. (LA)"
"L" "11-10-1951" "12" "Prairie View A&M (TX)" "34" "Prairie View, TX" "" 11 10 1951 "Grambling St. (LA)"
"L" "11-17-1951" "13" "Tennessee St." "30" "Grambling, LA" "" 11 17 1951 "Grambling St. (LA)"
"L" "11-24-1951" "13" "Arkansas-Pine Bluff" "25" "Grambling, LA" "" 11 24 1951 "Grambling St. (LA)"
"W" "12-01-1951" "52" "Bishop (TX)" "0" "Shreveport, LA" "Lions Bowl (LA)" 12 1 1951 "Grambling St. (LA)"
"W" "09-19-1952" "13" "Paul Quinn (TX)" "0" "Dallas, TX" "" 9 19 1952 "Grambling St. (LA)"
"L" "09-27-1952" "0" "Maryland-Eastern Shore" "34" "Princess Anne, MD" "" 9 27 1952 "Grambling St. (LA)"
"W" "10-04-1952" "14" "Kentucky St." "13" "?" "" 10 4 1952 "Grambling St. (LA)"
"L" "10-11-1952" "14" "Texas Southern" "46" "Houston, TX" "" 10 11 1952 "Grambling St. (LA)"
"W" "10-20-1952" "18" "Wiley (TX)" "14" "Shreveport, LA" "" 10 20 1952 "Grambling St. (LA)"
"W" "10-25-1952" "27" "Mississippi Industrial Training School" "0" "Grambling, LA" "" 10 25 1952 "Grambling St. (LA)"
"T" "11-01-1952" "13" "Jackson St. (MS)" "13" "Grambling, LA" "" 11 1 1952 "Grambling St. (LA)"
"W" "11-08-1952" "34" "Leland (LA)" "7" "Baker, LA" "" 11 8 1952 "Grambling St. (LA)"
"L" "11-15-1952" "13" "Prairie View A&M (TX)" "25" "Grambling, LA" "" 11 15 1952 "Grambling St. (LA)"
"W" "11-22-1952" "35" "Arkansas-Pine Bluff" "19" "Pine Bluff, AR" "" 11 22 1952 "Grambling St. (LA)"
"W" "00-00-1952" "27" "Alcorn St. (MS)" "13" "Monroe, LA" "Lions Bowl (LA)" 0 0 1952 "Grambling St. (LA)"
"W" "09-19-1953" "27" "Paul Quinn (TX)" "0" "Grambling, LA" "" 9 19 1953 "Grambling St. (LA)"
"W" "09-26-1953" "60" "Leland (LA)" "0" "Baker, LA" "" 9 26 1953 "Grambling St. (LA)"
"W" "10-03-1953" "13" "Kentucky St." "0" "Frankfort, KY" "" 10 3 1953 "Grambling St. (LA)"
"L" "10-10-1953" "7" "Texas Southern" "22" "Grambling, LA" "" 10 10 1953 "Grambling St. (LA)"
"W" "10-17-1953" "34" "Bishop (TX)" "6" "Fort Worth, TX" "" 10 17 1953 "Grambling St. (LA)"
"W" "10-26-1953" "24" "Wiley (TX)" "0" "Shreveport, LA" "" 10 26 1953 "Grambling St. (LA)"
"W" "10-31-1953" "21" "Jackson St. (MS)" "12" "Jackson, MS" "" 10 31 1953 "Grambling St. (LA)"
"W" "00-00-1953" "40" "Morris Brown (GA)" "0" "?" "" 0 0 1953 "Grambling St. (LA)"
"L" "11-14-1953" "0" "Prairie View A&M (TX)" "32" "Prairie View, TX" "" 11 14 1953 "Grambling St. (LA)"
"W" "11-21-1953" "20" "Arkansas-Pine Bluff" "16" "Grambling, LA" "" 11 21 1953 "Grambling St. (LA)"
"T" "09-16-1954" "0" "Paul Quinn (TX)" "0" "Waco, TX" "" 9 16 1954 "Grambling St. (LA)"
"L" "09-25-1954" "6" "Alcorn St. (MS)" "26" "Grambling, LA" "" 9 25 1954 "Grambling St. (LA)"
"T" "10-09-1954" "19" "Texas Southern" "19" "Houston, TX" "" 10 9 1954 "Grambling St. (LA)"
"W" "10-16-1954" "48" "Bishop (TX)" "7" "Grambling, LA" "" 10 16 1954 "Grambling St. (LA)"
"W" "10-25-1954" "35" "Wiley (TX)" "12" "Shreveport, LA" "" 10 25 1954 "Grambling St. (LA)"
"W" "10-30-1954" "44" "Jackson St. (MS)" "12" "Grambling, LA" "" 10 30 1954 "Grambling St. (LA)"
"L" "11-06-1954" "14" "Bethune-Cookman (FL)" "25" "Daytona Beach, FL" "" 11 6 1954 "Grambling St. (LA)"
"L" "11-13-1954" "19" "Prairie View A&M (TX)" "26" "Grambling, LA" "" 11 13 1954 "Grambling St. (LA)"
"W" "11-20-1954" "21" "Arkansas-Pine Bluff" "13" "Pine Bluff, AR" "" 11 20 1954 "Grambling St. (LA)"
"W" "09-17-1955" "39" "Paul Quinn (TX)" "0" "Grambling, LA" "" 9 17 1955 "Grambling St. (LA)"
"W" "09-24-1955" "13" "Alcorn St. (MS)" "6" "Lorman, MS" "" 9 24 1955 "Grambling St. (LA)"
"W" "10-08-1955" "12" "Tennessee St." "0" "Grambling, LA" "" 10 8 1955 "Grambling St. (LA)"
"W" "10-15-1955" "80" "Bishop (TX)" "0" "Marshall, TX" "" 10 15 1955 "Grambling St. (LA)"
"W" "10-24-1955" "20" "Wiley (TX)" "0" "Shreveport, LA" "" 10 24 1955 "Grambling St. (LA)"
"W" "10-29-1955" "48" "Jackson St. (MS)" "7" "Jackson, MS" "" 10 29 1955 "Grambling St. (LA)"
"W" "11-05-1955" "26" "Bethune-Cookman (FL)" "7" "Grambling, LA" "" 11 5 1955 "Grambling St. (LA)"
"W" "11-12-1955" "26" "Prairie View A&M (TX)" "7" "Prairie View, TX" "" 11 12 1955 "Grambling St. (LA)"
"W" "11-19-1955" "38" "Arkansas-Pine Bluff" "6" "Grambling, LA" "" 11 19 1955 "Grambling St. (LA)"
"W" "12-03-1955" "28" "Florida A&M" "21" "Miami, FL" "Orange Blossom Classic" 12 3 1955 "Grambling St. (LA)"
"W" "09-15-1956" "43" "Paul Quinn (TX)" "6" "Grambling, LA" "" 9 15 1956 "Grambling St. (LA)"
"W" "09-22-1956" "33" "Alcorn St. (MS)" "12" "Grambling, LA" "" 9 22 1956 "Grambling St. (LA)"
"L" "10-06-1956" "0" "Tennessee St." "33" "Nashville, TN" "" 10 6 1956 "Grambling St. (LA)"
"W" "10-13-1956" "51" "Wiley (TX)" "20" "Dallas, TX" "" 10 13 1956 "Grambling St. (LA)"
"W" "10-22-1956" "34" "Morris Brown (GA)" "12" "Shreveport, LA" "" 10 22 1956 "Grambling St. (LA)"
"W" "10-27-1956" "26" "Jackson St. (MS)" "7" "Grambling, LA" "" 10 27 1956 "Grambling St. (LA)"
"W" "11-03-1956" "27" "Bethune-Cookman (FL)" "7" "Tampa, FL" "" 11 3 1956 "Grambling St. (LA)"
"W" "11-10-1956" "46" "Prairie View A&M (TX)" "0" "Grambling, LA" "" 11 10 1956 "Grambling St. (LA)"
"W" "11-17-1956" "52" "Bluefield St. (WV)" "0" "Grambling, LA" "" 11 17 1956 "Grambling St. (LA)"
"W" "09-20-1957" "60" "Paul Quinn (TX)" "0" "Dallas, TX" "" 9 20 1957 "Grambling St. (LA)"
"W" "09-28-1957" "53" "Alcorn St. (MS)" "0" "Lorman, MS" "" 9 28 1957 "Grambling St. (LA)"
"L" "10-21-1957" "12" "Wiley (TX)" "40" "Shreveport, LA" "" 10 21 1957 "Grambling St. (LA)"
"L" "10-26-1957" "14" "Prairie View A&M (TX)" "25" "Prairie View, TX" "" 10 26 1957 "Grambling St. (LA)"
"L" "11-02-1957" "20" "Jackson St. (MS)" "39" "Jackson, MS" "" 11 2 1957 "Grambling St. (LA)"
"W" "11-09-1957" "20" "Bethune-Cookman (FL)" "12" "Grambling, LA" "" 11 9 1957 "Grambling St. (LA)"
"L" "11-16-1957" "14" "Texas Southern" "59" "Houston, TX" "" 11 16 1957 "Grambling St. (LA)"
"W" "11-23-1957" "19" "Mississippi Valley St." "12" "Grambling, LA" "" 11 23 1957 "Grambling St. (LA)"
"W" "09-27-1958" "48" "Alcorn St. (MS)" "6" "Grambling, LA" "" 9 27 1958 "Grambling St. (LA)"
"W" "10-04-1958" "72" "Paul Quinn (TX)" "8" "Grambling, LA" "" 10 4 1958 "Grambling St. (LA)"
"W" "10-11-1958" "7" "Tennessee St." "6" "Grambling, LA" "" 10 11 1958 "Grambling St. (LA)"
"W" "10-20-1958" "19" "Wiley (TX)" "15" "Shreveport, LA" "" 10 20 1958 "Grambling St. (LA)"
"L" "10-25-1958" "6" "Prairie View A&M (TX)" "44" "Grambling, LA" "" 10 25 1958 "Grambling St. (LA)"
"W" "11-01-1958" "21" "Jackson St. (MS)" "18" "Grambling, LA" "" 11 1 1958 "Grambling St. (LA)"
"L" "11-08-1958" "7" "Texas Southern" "21" "Houston, TX" "" 11 8 1958 "Grambling St. (LA)"
"L" "11-15-1958" "6" "Arkansas-Pine Bluff" "7" "Grambling, LA" "" 11 15 1958 "Grambling St. (LA)"
"W" "11-22-1958" "52" "Mississippi Valley St." "7" "Itta Bena, MS" "" 11 22 1958 "Grambling St. (LA)"
"W" "09-19-1959" "48" "Bishop (TX)" "6" "Dallas, TX" "" 9 19 1959 "Grambling St. (LA)"
"W" "09-26-1959" "19" "Texas College" "10" "Grambling, LA" "" 9 26 1959 "Grambling St. (LA)"
"L" "10-03-1959" "6" "Southern (LA)" "12" "Grambling, LA" "" 10 3 1959 "Grambling St. (LA)"
"L" "10-10-1959" "21" "Tennessee St." "26" "Nashville, TN" "" 10 10 1959 "Grambling St. (LA)"
"W" "10-17-1959" "42" "Wiley (TX)" "20" "Shreveport, LA" "" 10 17 1959 "Grambling St. (LA)"
"L" "10-26-1959" "6" "Prairie View A&M (TX)" "35" "Dallas, TX" "" 10 26 1959 "Grambling St. (LA)"
"L" "10-31-1959" "13" "Jackson St. (MS)" "14" "Jackson, MS" "" 10 31 1959 "Grambling St. (LA)"
"L" "11-07-1959" "14" "Texas Southern" "15" "Grambling, LA" "" 11 7 1959 "Grambling St. (LA)"
"L" "11-14-1959" "6" "Arkansas-Pine Bluff" "7" "Pine Bluff, AR" "" 11 14 1959 "Grambling St. (LA)"
"W" "11-21-1959" "93" "Mississippi Valley St." "0" "Grambling, LA" "" 11 21 1959 "Grambling St. (LA)"
"W" "09-17-1960" "61" "Bishop (TX)" "6" "Grambling, LA" "" 9 17 1960 "Grambling St. (LA)"
"W" "09-24-1960" "66" "Texas College" "0" "Tyler, TX" "" 9 24 1960 "Grambling St. (LA)"
"L" "10-01-1960" "6" "Southern (LA)" "16" "Baton Rouge, LA" "" 10 1 1960 "Grambling St. (LA)"
"W" "10-08-1960" "20" "Tennessee St." "6" "Grambling, LA" "" 10 8 1960 "Grambling St. (LA)"
"W" "10-15-1960" "65" "Mississippi Valley St." "7" "Itta Bena, MS" "" 10 15 1960 "Grambling St. (LA)"
"W" "10-24-1960" "26" "Prairie View A&M (TX)" "0" "Shreveport, LA" "" 10 24 1960 "Grambling St. (LA)"
"W" "10-29-1960" "32" "Jackson St. (MS)" "12" "Grambling, LA" "" 10 29 1960 "Grambling St. (LA)"
"W" "11-05-1960" "51" "Texas Southern" "0" "Houston, TX" "" 11 5 1960 "Grambling St. (LA)"
"W" "11-12-1960" "33" "Arkansas-Pine Bluff" "12" "Grambling, LA" "" 11 12 1960 "Grambling St. (LA)"
"W" "11-19-1960" "57" "Wiley (TX)" "19" "Marshall, TX" "" 11 19 1960 "Grambling St. (LA)"
"W" "09-23-1961" "59" "Texas College" "0" "Grambling, LA" "" 9 23 1961 "Grambling St. (LA)"
"L" "09-30-1961" "9" "Southern (LA)" "20" "Grambling, LA" "" 9 30 1961 "Grambling St. (LA)"
"W" "10-07-1961" "25" "Tennessee St." "8" "Nashville, TN" "" 10 7 1961 "Grambling St. (LA)"
"W" "10-14-1961" "69" "Mississippi Valley St." "0" "Grambling, LA" "" 10 14 1961 "Grambling St. (LA)"
"W" "10-23-1961" "34" "Prairie View A&M (TX)" "14" "Shreveport, LA" "" 10 23 1961 "Grambling St. (LA)"
"L" "10-28-1961" "13" "Jackson St. (MS)" "14" "Jackson, MS" "" 10 28 1961 "Grambling St. (LA)"
"W" "11-04-1961" "23" "Texas Southern" "19" "Grambling, LA" "" 11 4 1961 "Grambling St. (LA)"
"W" "11-11-1961" "23" "Arkansas-Pine Bluff" "7" "Pine Bluff, AR" "" 11 11 1961 "Grambling St. (LA)"
"W" "11-18-1961" "71" "Wiley (TX)" "28" "Grambling, LA" "" 11 18 1961 "Grambling St. (LA)"
"W" "11-25-1961" "49" "Alcorn St. (MS)" "0" "Lorman, MS" "" 11 25 1961 "Grambling St. (LA)"
"W" "09-15-1962" "55" "Benedict (SC)" "0" "Grambling, LA" "" 9 15 1962 "Grambling St. (LA)"
"W" "09-29-1962" "14" "Southern (LA)" "3" "Baton Rouge, LA" "" 9 29 1962 "Grambling St. (LA)"
"W" "10-06-1962" "26" "Tennessee St." "6" "Grambling, LA" "" 10 6 1962 "Grambling St. (LA)"
"W" "10-13-1962" "41" "Mississippi Valley St." "6" "Itta Bena, MS" "" 10 13 1962 "Grambling St. (LA)"
"W" "10-20-1962" "23" "Prairie View A&M (TX)" "15" "Shreveport, LA" "" 10 20 1962 "Grambling St. (LA)"
"L" "10-27-1962" "31" "Jackson St. (MS)" "45" "Grambling, LA" "" 10 27 1962 "Grambling St. (LA)"
"L" "11-03-1962" "25" "Texas Southern" "42" "Houston, TX" "" 11 3 1962 "Grambling St. (LA)"
"T" "11-10-1962" "20" "Arkansas-Pine Bluff" "20" "Grambling, LA" "" 11 10 1962 "Grambling St. (LA)"
"T" "11-17-1962" "0" "Wiley (TX)" "0" "Marshall, TX" "" 11 17 1962 "Grambling St. (LA)"
"W" "11-24-1962" "46" "Alcorn St. (MS)" "7" "Grambling, LA" "" 11 24 1962 "Grambling St. (LA)"
